,nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
0,535.0,829.0,620.0,905.0,578.0,748.0,339.0,1277.0,230.0,815.0,630.0,953.0,644.0,934.0,539.0,1162.0,535.0,1129.0,406.0,1224.0,420.0,1191.0,616.0,1258.0,587.0,1229.0,339.0,1286.0,368.0,1219.0,382.0,1553.0,378.0,1510.0
1,535.0,825.0,621.0,906.0,578.0,744.0,340.0,1277.0,230.0,815.0,630.0,953.0,644.0,934.0,535.0,1163.0,530.0,1129.0,406.0,1224.0,416.0,1191.0,616.0,1258.0,587.0,1224.0,340.0,1286.0,364.0,1220.0,383.0,1548.0,378.0,1510.0
2,535.0,824.0,621.0,905.0,578.0,743.0,340.0,1277.0,231.0,815.0,631.0,953.0,640.0,934.0,535.0,1163.0,531.0,1124.0,407.0,1220.0,416.0,1191.0,616.0,1258.0,588.0,1224.0,340.0,1286.0,364.0,1215.0,383.0,1548.0,373.0,1510.0
3,536.0,824.0,621.0,905.0,578.0,743.0,340.0,1277.0,231.0,815.0,631.0,953.0,640.0,939.0,536.0,1167.0,531.0,1124.0,402.0,1220.0,416.0,1191.0,616.0,1258.0,588.0,1225.0,340.0,1286.0,364.0,1215.0,383.0,1548.0,374.0,1510.0
4,535.0,824.0,621.0,905.0,578.0,743.0,340.0,1277.0,231.0,815.0,631.0,953.0,640.0,939.0,535.0,1167.0,531.0,1124.0,407.0,1219.0,416.0,1191.0,616.0,1257.0,588.0,1224.0,340.0,1286.0,364.0,1215.0,383.0,1548.0,378.0,1510.0
5,535.0,824.0,620.0,905.0,582.0,743.0,339.0,1277.0,230.0,814.0,625.0,953.0,640.0,934.0,535.0,1162.0,530.0,1129.0,406.0,1224.0,416.0,1191.0,616.0,1258.0,587.0,1224.0,339.0,1286.0,363.0,1219.0,382.0,1548.0,378.0,1510.0
6,535.0,825.0,620.0,906.0,582.0,744.0,340.0,1277.0,230.0,815.0,630.0,953.0,639.0,939.0,535.0,1162.0,530.0,1129.0,406.0,1224.0,416.0,1191.0,615.0,1258.0,587.0,1224.0,340.0,1286.0,363.0,1220.0,382.0,1548.0,378.0,1510.0
7,536.0,825.0,621.0,906.0,581.0,737.0,341.0,1276.0,232.0,816.0,626.0,953.0,640.0,934.0,536.0,1167.0,531.0,1124.0,403.0,1219.0,417.0,1191.0,616.0,1257.0,588.0,1224.0,341.0,1286.0,365.0,1215.0,379.0,1547.0,379.0,1509.0
8,536.0,824.0,622.0,905.0,579.0,744.0,341.0,1276.0,231.0,815.0,626.0,953.0,641.0,939.0,536.0,1167.0,531.0,1124.0,403.0,1219.0,417.0,1191.0,617.0,1257.0,588.0,1224.0,341.0,1286.0,365.0,1215.0,379.0,1548.0,379.0,1510.0
9,536.0,824.0,621.0,905.0,579.0,743.0,340.0,1276.0,231.0,814.0,626.0,952.0,641.0,938.0,536.0,1167.0,531.0,1124.0,407.0,1219.0,417.0,1191.0,617.0,1257.0,588.0,1224.0,340.0,1286.0,364.0,1214.0,383.0,1548.0,379.0,1510.0
10,536.0,824.0,622.0,905.0,579.0,743.0,341.0,1277.0,232.0,815.0,627.0,953.0,641.0,938.0,536.0,1162.0,532.0,1124.0,403.0,1219.0,417.0,1191.0,617.0,1257.0,589.0,1224.0,341.0,1286.0,365.0,1215.0,379.0,1543.0,379.0,1510.0
11,536.0,824.0,621.0,905.0,579.0,743.0,340.0,1276.0,231.0,814.0,626.0,952.0,641.0,938.0,536.0,1162.0,531.0,1124.0,402.0,1224.0,417.0,1191.0,617.0,1257.0,588.0,1224.0,340.0,1286.0,364.0,1215.0,383.0,1548.0,379.0,1510.0
12,536.0,824.0,622.0,905.0,581.0,736.0,341.0,1277.0,231.0,815.0,627.0,953.0,641.0,939.0,536.0,1162.0,531.0,1124.0,403.0,1220.0,417.0,1191.0,617.0,1258.0,588.0,1224.0,341.0,1286.0,365.0,1215.0,384.0,1543.0,379.0,1510.0
13,536.0,824.0,622.0,905.0,579.0,743.0,341.0,1276.0,231.0,814.0,627.0,952.0,641.0,938.0,536.0,1167.0,531.0,1124.0,403.0,1219.0,417.0,1191.0,617.0,1257.0,589.0,1224.0,341.0,1286.0,365.0,1214.0,379.0,1543.0,379.0,1510.0
14,536.0,825.0,622.0,906.0,582.0,737.0,341.0,1277.0,232.0,815.0,627.0,953.0,641.0,934.0,541.0,1163.0,532.0,1125.0,403.0,1220.0,417.0,1191.0,617.0,1258.0,589.0,1224.0,341.0,1282.0,365.0,1210.0,379.0,1543.0,379.0,1510.0
