sho_x(coord),sho_y(coord),hip_x(coord),hip_y(coord),c_x(coord),c_y(coord),a_sq(dis),b_sq(dis),c_sq(dis),a(dis),b(dis),c(dis),cos(rad)),theta(theta),degree(deg)
481.0,972.0,524.0,972.0,481.0,972.0,1849.0,81796.0,83645.0,43.0,286.0,289.21445330411825,0.14867859994114513,1.4215644404057701,98.55035725887274
480.0,966.0,524.0,966.0,480.0,966.0,1936.0,82369.0,84305.0,44.0,287.0,290.3532331488665,0.15153955588102866,1.4186706956547142,98.71615662009638
480.0,971.0,524.0,971.0,480.0,971.0,1936.0,79524.0,81460.0,44.0,282.0,285.41198292993937,0.15416311378489236,1.4160159414231834,98.8682628332076
480.0,971.0,524.0,971.0,480.0,971.0,1936.0,78961.0,80897.0,44.0,281.0,284.4239792985113,0.154698630222808,1.415473922702703,98.89931821830821
480.0,970.0,524.0,970.0,480.0,970.0,1936.0,79524.0,81460.0,44.0,282.0,285.41198292993937,0.15416311378489236,1.4160159414231834,98.8682628332076
480.0,970.0,524.0,970.0,480.0,970.0,1936.0,79524.0,81460.0,44.0,282.0,285.41198292993937,0.15416311378489236,1.4160159414231834,98.8682628332076
480.0,970.0,524.0,970.0,480.0,970.0,1936.0,82944.0,84880.0,44.0,288.0,291.3417237540823,0.151025398741513,1.4191908393566237,98.68635458123666
479.0,971.0,524.0,971.0,479.0,971.0,2025.0,82369.0,84394.0,45.0,287.0,290.5064543172836,0.15490189402419324,1.4152681788204353,98.91110647442277
480.0,970.0,524.0,970.0,480.0,970.0,1936.0,82369.0,84305.0,44.0,287.0,290.3532331488665,0.15153955588102866,1.4186706956547142,98.71615662009638
480.0,970.0,524.0,970.0,480.0,970.0,1936.0,82369.0,84305.0,44.0,287.0,290.3532331488665,0.15153955588102866,1.4186706956547142,98.71615662009638
480.0,971.0,524.0,971.0,480.0,971.0,1936.0,78961.0,80897.0,44.0,281.0,284.4239792985113,0.154698630222808,1.415473922702703,98.89931821830821
480.0,970.0,524.0,970.0,480.0,970.0,1936.0,78961.0,80897.0,44.0,281.0,284.4239792985113,0.154698630222808,1.415473922702703,98.89931821830821
480.0,970.0,524.0,970.0,480.0,970.0,1936.0,82369.0,84305.0,44.0,287.0,290.3532331488665,0.15153955588102866,1.4186706956547142,98.71615662009638
480.0,971.0,524.0,971.0,480.0,971.0,1936.0,81796.0,83732.0,44.0,286.0,289.36482163524994,0.1520571842539411,1.4181469983996315,98.7461622625552
480.0,970.0,524.0,970.0,480.0,970.0,1936.0,82369.0,84305.0,44.0,287.0,290.3532331488665,0.15153955588102866,1.4186706956547142,98.71615662009638
480.0,971.0,524.0,971.0,480.0,971.0,1936.0,81796.0,83732.0,44.0,286.0,289.36482163524994,0.1520571842539411,1.4181469983996315,98.7461622625552
481.0,971.0,525.0,971.0,481.0,971.0,1936.0,81796.0,83732.0,44.0,286.0,289.36482163524994,0.1520571842539411,1.4181469983996315,98.7461622625552
476.0,971.0,525.0,971.0,476.0,971.0,2401.0,78400.0,80801.0,49.0,280.0,284.25516705945734,0.17238033175224823,1.3975506603425316,99.92624550665171
475.0,966.0,525.0,966.0,475.0,966.0,2500.0,81796.0,84296.0,50.0,286.0,290.33773437154184,0.17221323335125147,1.3977202956250436,99.91652612090726
476.0,966.0,525.0,966.0,476.0,966.0,2401.0,81225.0,83626.0,49.0,285.0,289.1816038409082,0.16944369679530893,1.4005311505376423,99.75547599759174
475.0,970.0,525.0,970.0,475.0,970.0,2500.0,78961.0,81461.0,50.0,281.0,285.41373477812874,0.17518428129910552,1.3947033858970388,100.08938231549389
475.0,971.0,525.0,971.0,475.0,971.0,2500.0,78400.0,80900.0,50.0,280.0,284.42925306655786,0.17579063848365747,1.39408747072486,100.1246716553978
476.0,971.0,525.0,971.0,476.0,971.0,2401.0,81225.0,83626.0,49.0,285.0,289.1816038409082,0.16944369679530893,1.4005311505376423,99.75547599759174
476.0,966.0,525.0,966.0,476.0,966.0,2401.0,84100.0,86501.0,49.0,290.0,294.11052344314373,0.16660403519859937,1.403411767136313,99.59042882409257
476.0,967.0,525.0,967.0,476.0,967.0,2401.0,83521.0,85922.0,49.0,289.0,293.1245469079654,0.1671644374955227,1.402843394252069,99.62299419154944
477.0,967.0,526.0,967.0,477.0,967.0,2401.0,82944.0,85345.0,49.0,288.0,292.138665705175,0.16772856780776352,1.4022711850026899,99.6557793665372
476.0,966.0,525.0,966.0,476.0,966.0,2401.0,83521.0,85922.0,49.0,289.0,293.1245469079654,0.1671644374955227,1.402843394252069,99.62299419154944
476.0,966.0,520.0,966.0,476.0,966.0,1936.0,83521.0,85457.0,44.0,289.0,292.3302926485724,0.1505146784527562,1.4197074652734638,98.65675409661463
471.0,969.0,520.0,969.0,471.0,969.0,2401.0,79524.0,81925.0,49.0,282.0,286.2254356272342,0.17119373018900794,1.3987551680625194,99.85723229790548
471.0,969.0,520.0,969.0,471.0,969.0,2401.0,80089.0,82490.0,49.0,283.0,287.2107240337658,0.17060644293434996,1.3993512242888388,99.82308079178488
475.0,967.0,524.0,967.0,475.0,967.0,2401.0,81225.0,83626.0,49.0,285.0,289.1816038409082,0.16944369679530893,1.4005311505376423,99.75547599759174
470.0,968.0,525.0,968.0,470.0,968.0,3025.0,81225.0,84250.0,55.0,285.0,290.25850547399983,0.1894862647011275,1.3801574208808012,100.92280471986925
471.0,969.0,520.0,969.0,471.0,969.0,2401.0,80656.0,83057.0,49.0,284.0,288.19611378365255,0.17002311154266314,1.399943204696413,99.78916281287644
471.0,969.0,520.0,969.0,471.0,969.0,2401.0,80656.0,83057.0,49.0,284.0,288.19611378365255,0.17002311154266314,1.399943204696413,99.78916281287644
469.0,973.0,519.0,973.0,469.0,973.0,2500.0,78400.0,80900.0,50.0,280.0,284.42925306655786,0.17579063848365747,1.39408747072486,100.1246716553978
470.0,970.0,519.0,970.0,470.0,970.0,2401.0,80656.0,83057.0,49.0,284.0,288.19611378365255,0.17002311154266314,1.399943204696413,99.78916281287644
464.0,971.0,519.0,971.0,464.0,971.0,3025.0,81796.0,84821.0,55.0,286.0,291.240450487222,0.18884739365012446,1.380808038876181,100.88552705465872
463.0,970.0,518.0,970.0,463.0,970.0,3025.0,81796.0,84821.0,55.0,286.0,291.240450487222,0.18884739365012446,1.380808038876181,100.88552705465872
463.0,974.0,518.0,974.0,463.0,974.0,3025.0,78400.0,81425.0,55.0,280.0,285.3506614676055,0.19274530403092788,1.3768371795350036,101.11304053594829
464.0,976.0,518.0,976.0,464.0,976.0,2916.0,80656.0,83572.0,54.0,284.0,289.0882218285622,0.18679418918707655,1.382898446074297,100.76575554474292
464.0,975.0,518.0,975.0,464.0,975.0,2916.0,80089.0,83005.0,54.0,283.0,288.1058833137567,0.18743109088540286,1.3822500934612736,100.80290341310544
459.0,978.0,519.0,978.0,459.0,978.0,3600.0,80089.0,83689.0,60.0,283.0,289.29051142407,0.20740396808952438,1.3618758535035924,101.97026137346737
459.0,979.0,519.0,979.0,459.0,979.0,3600.0,80089.0,83689.0,60.0,283.0,289.29051142407,0.20740396808952438,1.3618758535035924,101.97026137346737
458.0,979.0,518.0,979.0,458.0,979.0,3600.0,80656.0,84256.0,60.0,284.0,290.26884090442775,0.20670492848302396,1.3625903772709091,101.92932217723833
457.0,981.0,517.0,981.0,457.0,981.0,3600.0,80089.0,83689.0,60.0,283.0,289.29051142407,0.20740396808952438,1.3618758535035924,101.97026137346737
457.0,983.0,512.0,983.0,457.0,983.0,3025.0,80089.0,83114.0,55.0,283.0,288.294987816299,0.19077681653989034,1.3788428900892102,100.9981217862674
453.0,987.0,513.0,987.0,453.0,987.0,3600.0,78400.0,82000.0,60.0,280.0,286.35642126552705,0.2095290887308735,1.35970299357215,102.0947570770121
455.0,990.0,514.0,990.0,455.0,990.0,3481.0,77841.0,81322.0,59.0,279.0,285.1701246624548,0.20689404287996893,1.362397084531459,101.94039703541934
