sho_x(coord),sho_y(coord),hip_x(coord),hip_y(coord),c_x(coord),c_y(coord),a_sq(dis),b_sq(dis),c_sq(dis),a(dis),b(dis),c(dis),cos(rad)),theta(theta),degree(deg)
266.0,449.0,254.0,449.0,266.0,449.0,144.0,34969.0,35113.0,12.0,187.0,187.3846311734236,0.06403940347110995,1.506713070932528,86.3282999016293
265.0,449.0,254.0,449.0,265.0,449.0,121.0,33856.0,33977.0,11.0,184.0,184.32851108821987,0.05967606386586276,1.5110847859885073,86.5787807235707
266.0,448.0,254.0,448.0,266.0,448.0,144.0,34225.0,34369.0,12.0,185.0,185.3887806745597,0.06472883610505735,1.506022204868979,86.28871619197912
265.0,448.0,254.0,448.0,265.0,448.0,121.0,34225.0,34346.0,11.0,185.0,185.32673849177834,0.05935463004162238,1.5114067906025352,86.59723022893824
268.0,449.0,254.0,449.0,268.0,449.0,196.0,33856.0,34052.0,14.0,184.0,184.53184007102948,0.0758676659519092,1.494855690529002,85.64892204842613
268.0,450.0,257.0,450.0,268.0,450.0,121.0,33489.0,33610.0,11.0,183.0,183.3303030052588,0.06000099176012635,1.5107592747994596,86.56013030625398
268.0,449.0,254.0,449.0,268.0,449.0,196.0,33856.0,34052.0,14.0,184.0,184.53184007102948,0.0758676659519092,1.494855690529002,85.64892204842613
268.0,449.0,254.0,449.0,268.0,449.0,196.0,33856.0,34052.0,14.0,184.0,184.53184007102948,0.0758676659519092,1.494855690529002,85.64892204842613
271.0,448.0,254.0,448.0,271.0,448.0,289.0,34225.0,34514.0,17.0,185.0,185.77943912069495,0.09150635872549731,1.4791617810333846,84.74972727026696
273.0,451.0,253.0,451.0,273.0,451.0,400.0,33489.0,33889.0,20.0,183.0,184.08965207202712,0.10864271714835323,1.4619387437501563,83.76291992354152
276.0,451.0,256.0,451.0,276.0,451.0,400.0,32400.0,32800.0,20.0,180.0,181.10770276274835,0.11043152607484653,1.460139105621001,83.6598082540901
277.0,452.0,254.0,452.0,277.0,452.0,529.0,32400.0,32929.0,23.0,180.0,181.46349495146399,0.12674725572849682,1.4437072310636403,82.71833119246493
283.0,452.0,255.0,452.0,283.0,452.0,784.0,33489.0,34273.0,28.0,183.0,185.129684275645,0.15124532896793572,1.418968353451069,81.30089791537392
286.0,454.0,255.0,454.0,286.0,454.0,961.0,32761.0,33722.0,31.0,181.0,183.63550854886427,0.1688126672503052,1.4011714035384368,80.28120779717437
289.0,455.0,253.0,455.0,289.0,455.0,1296.0,31684.0,32980.0,36.0,178.0,181.60396471443016,0.19823355760216757,1.3712409430896095,78.56631873457333
295.0,456.0,252.0,456.0,295.0,456.0,1849.0,31329.0,33178.0,43.0,177.0,182.14829123546562,0.23607138836352465,1.3324753549130752,76.34521414171567
299.0,456.0,250.0,456.0,299.0,456.0,2401.0,31329.0,33730.0,49.0,177.0,183.65728953678914,0.266801280382528,1.3007238568806845,74.52598731124175
305.0,457.0,249.0,457.0,305.0,457.0,3136.0,30276.0,33412.0,56.0,174.0,182.78949641595932,0.30636333650466063,1.2594260223969949,72.1597956922965
313.0,458.0,247.0,458.0,313.0,458.0,4356.0,29584.0,33940.0,66.0,172.0,184.22811946062956,0.3582514992457735,1.2044019160456563,69.00714662688581
320.0,461.0,249.0,461.0,320.0,461.0,5041.0,28900.0,33941.0,71.0,170.0,184.23083346714796,0.385386086920465,1.1751701342203535,67.33228890064873
327.0,460.0,247.0,460.0,327.0,460.0,6400.0,30276.0,36676.0,80.0,174.0,191.5097908724251,0.41773321163142135,1.13984733939452,65.30844183652194
333.0,464.0,249.0,464.0,333.0,464.0,7056.0,27556.0,34612.0,84.0,166.0,186.04300578092153,0.45150850819361515,1.1023410625273995,63.15949046678678
341.0,464.0,263.0,464.0,341.0,464.0,6084.0,26244.0,32328.0,78.0,162.0,179.79988876526036,0.4338156187728999,1.1220729827841756,64.29004621918874
345.0,467.0,270.0,467.0,345.0,467.0,5625.0,26569.0,32194.0,75.0,163.0,179.42686532400882,0.41799760512209305,1.1395563202536758,65.29176766799404
351.0,467.0,272.0,467.0,351.0,467.0,6241.0,26569.0,32810.0,79.0,163.0,181.13530854032848,0.43613804860365596,1.119493769638315,64.14226819146627
355.0,464.0,259.0,464.0,355.0,464.0,9216.0,27225.0,36441.0,96.0,165.0,190.8952592391964,0.5028935783036376,1.043853099605467,59.80837703904239
359.0,465.0,258.0,465.0,359.0,465.0,10201.0,27225.0,37426.0,101.0,165.0,193.45800577903205,0.5220771277636467,1.021511810534124,58.528315466372696
364.0,464.0,254.0,464.0,364.0,464.0,12100.0,25281.0,37381.0,110.0,159.0,193.3416664870767,0.56894099445115,0.9655787812678891,55.32358895403572
366.0,461.0,258.0,461.0,366.0,461.0,11664.0,25921.0,37585.0,108.0,161.0,193.86851214160592,0.557078603466634,0.9799325007262025,56.145996499311885
369.0,461.0,259.0,461.0,369.0,461.0,12100.0,23716.0,35816.0,110.0,154.0,189.25115587493778,0.5812381937190965,0.9505468408120751,54.46232220802562
371.0,458.0,258.0,458.0,371.0,458.0,12769.0,24964.0,37733.0,113.0,158.0,194.2498391247725,0.5817250635014256,0.9499483968380347,54.428033894038066
