sho_x(coord),sho_y(coord),hip_x(coord),hip_y(coord),c_x(coord),c_y(coord),a_sq(dis),b_sq(dis),c_sq(dis),a(dis),b(dis),c(dis),cos(rad)),theta(theta),degree(deg)
719.0,654.0,738.0,654.0,719.0,654.0,361.0,136900.0,137261.0,19.0,370.0,370.48751665879377,0.05128377919814865,1.5194900413379522,92.93963361917635
719.0,653.0,737.0,653.0,719.0,653.0,324.0,137641.0,137965.0,18.0,371.0,371.43640101637857,0.04846051693034331,1.5223168221700987,92.77767100788587
719.0,654.0,737.0,654.0,719.0,654.0,324.0,141376.0,141700.0,18.0,376.0,376.4306044943742,0.04781757855256695,1.522960506818719,92.74079059418257
719.0,653.0,737.0,653.0,719.0,653.0,324.0,137641.0,137965.0,18.0,371.0,371.43640101637857,0.04846051693034331,1.5223168221700987,92.77767100788587
719.0,653.0,737.0,653.0,719.0,653.0,324.0,138384.0,138708.0,18.0,372.0,372.43522926812386,0.04833055142332259,1.5224469401429936,92.7702157972002
715.0,655.0,739.0,655.0,715.0,655.0,576.0,139876.0,140452.0,24.0,374.0,374.7692623468472,0.06403940347110995,1.506713070932528,93.6717000983707
714.0,656.0,739.0,656.0,714.0,656.0,625.0,139129.0,139754.0,25.0,373.0,373.8368628158545,0.06687408997521618,1.503872291147975,93.83446479055168
717.0,652.0,742.0,652.0,717.0,652.0,625.0,140625.0,141250.0,25.0,375.0,375.8324094593227,0.06651901052377393,1.5042281630190728,93.81407483429035
717.0,652.0,742.0,652.0,717.0,652.0,625.0,140625.0,141250.0,25.0,375.0,375.8324094593227,0.06651901052377393,1.5042281630190728,93.81407483429035
715.0,656.0,739.0,656.0,715.0,656.0,576.0,139129.0,139705.0,24.0,373.0,373.77132046212427,0.06421038395970784,1.506541737819797,93.68151676262104
715.0,656.0,739.0,656.0,715.0,656.0,576.0,134689.0,135265.0,24.0,367.0,367.78390394360656,0.06525571060249552,1.5054942140698837,93.74153545243078
715.0,656.0,739.0,656.0,715.0,656.0,576.0,134689.0,135265.0,24.0,367.0,367.78390394360656,0.06525571060249552,1.5054942140698837,93.74153545243078
715.0,655.0,739.0,655.0,715.0,655.0,576.0,135424.0,136000.0,24.0,368.0,368.7817782917155,0.06507913734559684,1.5056711634605107,93.73139699916045
715.0,656.0,739.0,656.0,715.0,656.0,576.0,134689.0,135265.0,24.0,367.0,367.78390394360656,0.06525571060249552,1.5054942140698837,93.74153545243078
717.0,659.0,741.0,659.0,717.0,659.0,576.0,136161.0,136737.0,24.0,369.0,369.7796641244621,0.06490351506166649,1.505847157826874,93.72131326474975
715.0,656.0,739.0,656.0,715.0,656.0,576.0,134689.0,135265.0,24.0,367.0,367.78390394360656,0.06525571060249552,1.5054942140698837,93.74153545243078
715.0,656.0,739.0,656.0,715.0,656.0,576.0,134689.0,135265.0,24.0,367.0,367.78390394360656,0.06525571060249552,1.5054942140698837,93.74153545243078
714.0,657.0,738.0,657.0,714.0,657.0,576.0,134689.0,135265.0,24.0,367.0,367.78390394360656,0.06525571060249552,1.5054942140698837,93.74153545243078
718.0,655.0,737.0,655.0,718.0,655.0,361.0,136900.0,137261.0,19.0,370.0,370.48751665879377,0.05128377919814865,1.5194900413379522,92.93963361917635
718.0,655.0,736.0,655.0,718.0,655.0,324.0,136900.0,137224.0,18.0,370.0,370.4375790872195,0.04859118247223482,1.522186002513011,92.78516642211434
714.0,657.0,739.0,657.0,714.0,657.0,625.0,134689.0,135314.0,25.0,367.0,367.85051311640166,0.06796238990725308,1.502781509417051,93.89696198010361
714.0,658.0,732.0,658.0,714.0,658.0,324.0,133225.0,133549.0,18.0,365.0,365.44356609468446,0.04925521111879774,1.5215211777553748,92.82325807484271
713.0,657.0,732.0,657.0,713.0,657.0,361.0,133956.0,134317.0,19.0,366.0,366.4928375834922,0.05184275939818751,1.5189303165453578,92.97170348748084
713.0,657.0,731.0,657.0,713.0,657.0,324.0,133956.0,134280.0,18.0,366.0,366.4423556304593,0.04912095919979347,1.5216555923788764,92.81555668421123
712.0,659.0,731.0,659.0,712.0,659.0,361.0,133225.0,133586.0,19.0,365.0,365.4941860002701,0.051984411046106106,1.5187884736336021,92.97983048767829
712.0,660.0,736.0,660.0,712.0,660.0,576.0,132496.0,133072.0,24.0,364.0,364.7903507495778,0.06579121391419583,1.5049575574922027,93.77228360937984
