sho_x(coord),sho_y(coord),hip_x(coord),hip_y(coord),c_x(coord),c_y(coord),a_sq(dis),b_sq(dis),c_sq(dis),a(dis),b(dis),c(dis),cos(rad)),theta(theta),degree(deg)
1031.0,532.0,1003.0,532.0,1031.0,532.0,784.0,43681.0,44465.0,28.0,209.0,210.86725682286476,0.13278495875498061,1.4376180318100018,82.36944577461723
1031.0,533.0,1003.0,533.0,1031.0,533.0,784.0,43681.0,44465.0,28.0,209.0,210.86725682286476,0.13278495875498061,1.4376180318100018,82.36944577461723
1034.0,531.0,1005.0,531.0,1034.0,531.0,841.0,43681.0,44522.0,29.0,209.0,211.00236965494014,0.13743921477007465,1.4329206982337825,82.10030838573478
1034.0,532.0,1005.0,532.0,1034.0,532.0,841.0,43264.0,44105.0,29.0,208.0,210.01190442448734,0.13808741023262966,1.4322662628342404,82.06281199937705
1033.0,534.0,1005.0,534.0,1033.0,534.0,784.0,42436.0,43220.0,28.0,206.0,207.8942038634074,0.1346838895922121,1.4357018883455415,82.25965884116208
1033.0,532.0,1005.0,532.0,1033.0,532.0,784.0,43264.0,44048.0,28.0,208.0,209.87615395751848,0.13341201214153917,1.436985349320306,82.33319573818584
1033.0,532.0,1005.0,532.0,1033.0,532.0,784.0,42849.0,43633.0,28.0,207.0,208.88513590009222,0.13404496150167494,1.4363466632757633,82.29660172339963
1033.0,533.0,1004.0,533.0,1033.0,533.0,841.0,42436.0,43277.0,29.0,206.0,208.03124765284662,0.13940213466581677,1.4309386983231187,81.98674815585844
1032.0,531.0,1004.0,531.0,1032.0,531.0,784.0,42849.0,43633.0,28.0,207.0,208.88513590009222,0.13404496150167494,1.4363466632757633,82.29660172339963
1032.0,531.0,1004.0,531.0,1032.0,531.0,784.0,42849.0,43633.0,28.0,207.0,208.88513590009222,0.13404496150167494,1.4363466632757633,82.29660172339963
1032.0,532.0,1004.0,532.0,1032.0,532.0,784.0,42849.0,43633.0,28.0,207.0,208.88513590009222,0.13404496150167494,1.4363466632757633,82.29660172339963
1032.0,532.0,1004.0,532.0,1032.0,532.0,784.0,42849.0,43633.0,28.0,207.0,208.88513590009222,0.13404496150167494,1.4363466632757633,82.29660172339963
1035.0,534.0,1005.0,534.0,1035.0,534.0,900.0,42849.0,43749.0,30.0,207.0,209.16261616264032,0.14342907231889207,1.4268708774066803,81.75367918553147
