sho_x(coord),sho_y(coord),hip_x(coord),hip_y(coord),c_x(coord),c_y(coord),a_sq(dis),b_sq(dis),c_sq(dis),a(dis),b(dis),c(dis),cos(rad)),theta(theta),degree(deg)
313.0,1307.0,374.0,1307.0,313.0,1307.0,3721.0,73441.0,77162.0,61.0,271.0,277.7804888756588,0.21959785673537735,1.3493940804259068,102.68541429165877
313.0,1307.0,374.0,1307.0,313.0,1307.0,3721.0,73441.0,77162.0,61.0,271.0,277.7804888756588,0.21959785673537735,1.3493940804259068,102.68541429165877
313.0,1307.0,375.0,1307.0,313.0,1307.0,3844.0,73441.0,77285.0,62.0,271.0,278.0017985553331,0.22302013987747496,1.3458847776595615,102.88648252920395
313.0,1307.0,374.0,1307.0,313.0,1307.0,3721.0,73441.0,77162.0,61.0,271.0,277.7804888756588,0.21959785673537735,1.3493940804259068,102.68541429165877
313.0,1307.0,374.0,1307.0,313.0,1307.0,3721.0,73441.0,77162.0,61.0,271.0,277.7804888756588,0.21959785673537735,1.3493940804259068,102.68541429165877
313.0,1307.0,374.0,1307.0,313.0,1307.0,3721.0,73441.0,77162.0,61.0,271.0,277.7804888756588,0.21959785673537735,1.3493940804259068,102.68541429165877
312.0,1308.0,374.0,1308.0,312.0,1308.0,3844.0,72900.0,76744.0,62.0,270.0,277.02707448911923,0.22380483970506343,1.345079729400727,102.93260839673951
313.0,1307.0,374.0,1307.0,313.0,1307.0,3721.0,72900.0,76621.0,61.0,270.0,276.80498550423545,0.2203717533803835,1.3486007497733892,102.7308687898064
312.0,1308.0,374.0,1308.0,312.0,1308.0,3844.0,72361.0,76205.0,62.0,269.0,276.05253123273474,0.2245949338813668,1.3442689965187533,102.97905996918908
312.0,1308.0,373.0,1308.0,312.0,1308.0,3721.0,72900.0,76621.0,61.0,270.0,276.80498550423545,0.2203717533803835,1.3486007497733892,102.7308687898064
312.0,1307.0,374.0,1307.0,312.0,1307.0,3844.0,73441.0,77285.0,62.0,271.0,278.0017985553331,0.22302013987747496,1.3458847776595615,102.88648252920395
312.0,1308.0,373.0,1308.0,312.0,1308.0,3721.0,72900.0,76621.0,61.0,270.0,276.80498550423545,0.2203717533803835,1.3486007497733892,102.7308687898064
312.0,1307.0,373.0,1307.0,312.0,1307.0,3721.0,73441.0,77162.0,61.0,271.0,277.7804888756588,0.21959785673537735,1.3493940804259068,102.68541429165877
312.0,1308.0,373.0,1308.0,312.0,1308.0,3721.0,72900.0,76621.0,61.0,270.0,276.80498550423545,0.2203717533803835,1.3486007497733892,102.7308687898064
312.0,1307.0,373.0,1307.0,312.0,1307.0,3721.0,73441.0,77162.0,61.0,271.0,277.7804888756588,0.21959785673537735,1.3493940804259068,102.68541429165877
312.0,1307.0,374.0,1307.0,312.0,1307.0,3844.0,72900.0,76744.0,62.0,270.0,277.02707448911923,0.22380483970506343,1.345079729400727,102.93260839673951
312.0,1307.0,374.0,1307.0,312.0,1307.0,3844.0,72900.0,76744.0,62.0,270.0,277.02707448911923,0.22380483970506343,1.345079729400727,102.93260839673951
312.0,1307.0,373.0,1307.0,312.0,1307.0,3721.0,73441.0,77162.0,61.0,271.0,277.7804888756588,0.21959785673537735,1.3493940804259068,102.68541429165877
313.0,1307.0,374.0,1307.0,313.0,1307.0,3721.0,72900.0,76621.0,61.0,270.0,276.80498550423545,0.2203717533803835,1.3486007497733892,102.7308687898064
313.0,1307.0,374.0,1307.0,313.0,1307.0,3721.0,72361.0,76082.0,61.0,269.0,275.82965757873103,0.22115098331146116,1.347801808213736,102.77664476925212
313.0,1307.0,374.0,1307.0,313.0,1307.0,3721.0,72900.0,76621.0,61.0,270.0,276.80498550423545,0.2203717533803835,1.3486007497733892,102.7308687898064
313.0,1307.0,374.0,1307.0,313.0,1307.0,3721.0,72361.0,76082.0,61.0,269.0,275.82965757873103,0.22115098331146116,1.347801808213736,102.77664476925212
312.0,1307.0,373.0,1307.0,312.0,1307.0,3721.0,72900.0,76621.0,61.0,270.0,276.80498550423545,0.2203717533803835,1.3486007497733892,102.7308687898064
312.0,1307.0,373.0,1307.0,312.0,1307.0,3721.0,72900.0,76621.0,61.0,270.0,276.80498550423545,0.2203717533803835,1.3486007497733892,102.7308687898064
317.0,1307.0,373.0,1307.0,317.0,1307.0,3136.0,72900.0,76036.0,56.0,270.0,275.74626017409554,0.20308525658568774,1.366288511336553,101.71743470320338
317.0,1307.0,373.0,1307.0,317.0,1307.0,3136.0,72900.0,76036.0,56.0,270.0,275.74626017409554,0.20308525658568774,1.366288511336553,101.71743470320338
313.0,1307.0,374.0,1307.0,313.0,1307.0,3721.0,72900.0,76621.0,61.0,270.0,276.80498550423545,0.2203717533803835,1.3486007497733892,102.7308687898064
317.0,1307.0,373.0,1307.0,317.0,1307.0,3136.0,72361.0,75497.0,56.0,269.0,274.7671741675122,0.2038089162931068,1.3655493936610457,101.75978302657347
313.0,1308.0,374.0,1308.0,313.0,1308.0,3721.0,71824.0,75545.0,61.0,268.0,274.85450696686786,0.22193560030417547,1.346997197041032,102.82274559359713
318.0,1307.0,374.0,1307.0,318.0,1307.0,3136.0,72361.0,75497.0,56.0,269.0,274.7671741675122,0.2038089162931068,1.3655493936610457,101.75978302657347
313.0,1308.0,374.0,1308.0,313.0,1308.0,3721.0,71824.0,75545.0,61.0,268.0,274.85450696686786,0.22193560030417547,1.346997197041032,102.82274559359713
317.0,1308.0,373.0,1308.0,317.0,1308.0,3136.0,71824.0,74960.0,56.0,268.0,273.7882393383616,0.2045376387799927,1.364804990119065,101.80243420778355
317.0,1307.0,373.0,1307.0,317.0,1307.0,3136.0,71824.0,74960.0,56.0,268.0,273.7882393383616,0.2045376387799927,1.364804990119065,101.80243420778355
317.0,1308.0,372.0,1308.0,317.0,1308.0,3025.0,71824.0,74849.0,55.0,268.0,273.5854528296415,0.20103408069086137,1.3683828879137292,101.59743576462013
317.0,1308.0,377.0,1308.0,317.0,1308.0,3600.0,71824.0,75424.0,60.0,268.0,274.63430230034993,0.2184723448507239,1.3505476034042077,102.61932229343077
316.0,1309.0,377.0,1309.0,316.0,1309.0,3721.0,71289.0,75010.0,61.0,267.0,273.87953556262653,0.2227256588364247,1.3461868567425597,102.86917467266896
315.0,1304.0,376.0,1304.0,315.0,1304.0,3721.0,74529.0,78250.0,61.0,273.0,279.7320146139873,0.21806585164796455,1.3509641398791283,102.59545651140456
316.0,1304.0,377.0,1304.0,316.0,1304.0,3721.0,74529.0,78250.0,61.0,273.0,279.7320146139873,0.21806585164796455,1.3509641398791283,102.59545651140456
315.0,1306.0,376.0,1306.0,315.0,1306.0,3721.0,74529.0,78250.0,61.0,273.0,279.7320146139873,0.21806585164796455,1.3509641398791283,102.59545651140456
315.0,1307.0,376.0,1307.0,315.0,1307.0,3721.0,73984.0,77705.0,61.0,272.0,278.7561658510893,0.21882924029234216,1.3501818580837692,102.64027795666856
