sho_x(coord),sho_y(coord),hip_x(coord),hip_y(coord),c_x(coord),c_y(coord),a_sq(dis),b_sq(dis),c_sq(dis),a(dis),b(dis),c(dis),cos(rad)),theta(theta),degree(deg)
300.0,1395.0,369.0,1395.0,300.0,1395.0,4761.0,127449.0,132210.0,69.0,357.0,363.60693062701654,0.18976535975542044,1.3798731684723113,100.93909118319215
296.0,1400.0,364.0,1400.0,296.0,1400.0,4624.0,122500.0,127124.0,68.0,350.0,356.5445273735105,0.19071951686069286,1.3789012615260543,100.99477734929212
296.0,1401.0,365.0,1401.0,296.0,1401.0,4761.0,122500.0,127261.0,69.0,350.0,356.7365975057788,0.19342002049252116,1.3761495230787302,101.15244034864769
295.0,1401.0,364.0,1401.0,295.0,1401.0,4761.0,122500.0,127261.0,69.0,350.0,356.7365975057788,0.19342002049252116,1.3761495230787302,101.15244034864769
295.0,1401.0,370.0,1401.0,295.0,1401.0,5625.0,127449.0,133074.0,75.0,357.0,364.7930920398576,0.20559599848948193,1.363723649677865,101.86439045128112
301.0,1396.0,370.0,1396.0,301.0,1396.0,4761.0,119716.0,124477.0,69.0,346.0,352.8129816205747,0.19557103506527035,1.3739566312568585,101.27808379496969
295.0,1401.0,364.0,1401.0,295.0,1401.0,4761.0,119716.0,124477.0,69.0,346.0,352.8129816205747,0.19557103506527035,1.3739566312568585,101.27808379496969
296.0,1399.0,371.0,1399.0,296.0,1399.0,5625.0,126736.0,132361.0,75.0,356.0,363.8145131794497,0.20614900528447752,1.3631585375067325,101.89676899363849
296.0,1400.0,365.0,1400.0,296.0,1400.0,4761.0,123201.0,127962.0,69.0,351.0,357.71776584340904,0.19288949721944967,1.3766902287645697,101.12146019489035
295.0,1399.0,364.0,1399.0,295.0,1399.0,4761.0,127449.0,132210.0,69.0,357.0,363.60693062701654,0.18976535975542044,1.3798731684723113,100.93909118319215
295.0,1401.0,370.0,1401.0,295.0,1401.0,5625.0,116281.0,121906.0,75.0,341.0,349.15039739344417,0.21480714488629205,1.354301965874693,102.40421316910964
294.0,1400.0,369.0,1400.0,294.0,1400.0,5625.0,120409.0,126034.0,75.0,347.0,355.0126758300329,0.21126006226298033,1.3579323875137475,102.19620533133886
300.0,1401.0,369.0,1401.0,300.0,1401.0,4761.0,120409.0,125170.0,69.0,347.0,353.79372521287036,0.19502889701756054,1.3745094139409144,101.24641168018536
295.0,1401.0,370.0,1401.0,295.0,1401.0,5625.0,120409.0,126034.0,75.0,347.0,355.0126758300329,0.21126006226298033,1.3579323875137475,102.19620533133886
294.0,1401.0,370.0,1401.0,294.0,1401.0,5776.0,120409.0,126185.0,76.0,347.0,355.225280631883,0.2139487366012054,1.3551808065459787,102.35385930778054
299.0,1396.0,369.0,1396.0,299.0,1396.0,4900.0,121801.0,126701.0,70.0,349.0,355.95083930228344,0.19665637012462284,1.3728498028134386,101.34150039342268
294.0,1401.0,364.0,1401.0,294.0,1401.0,4900.0,116964.0,121864.0,70.0,342.0,349.09024621149183,0.20052121409771903,1.368906415183555,101.5674398615991
300.0,1401.0,363.0,1401.0,300.0,1401.0,3969.0,112896.0,116865.0,63.0,336.0,341.8552325180938,0.18428853505018536,1.3854483767992019,100.61965527615513
300.0,1401.0,363.0,1401.0,300.0,1401.0,3969.0,116281.0,120250.0,63.0,341.0,346.77081768799405,0.1816761872294688,1.3881055893228673,100.4674082132798
299.0,1401.0,363.0,1401.0,299.0,1401.0,4096.0,116964.0,121060.0,64.0,342.0,347.936775865961,0.1839414641947919,1.3858014841291588,100.59942371643346
299.0,1401.0,363.0,1401.0,299.0,1401.0,4096.0,116964.0,121060.0,64.0,342.0,347.936775865961,0.1839414641947919,1.3858014841291588,100.59942371643346
298.0,1401.0,367.0,1401.0,298.0,1401.0,4761.0,117649.0,122410.0,69.0,343.0,349.87140494758927,0.19721531689717883,1.3722796911814923,101.37416538378451
298.0,1401.0,368.0,1401.0,298.0,1401.0,4900.0,118336.0,123236.0,70.0,344.0,351.04985400937,0.19940187754110733,1.3700488241914166,101.50198464697091
298.0,1401.0,368.0,1401.0,298.0,1401.0,4900.0,117649.0,122549.0,70.0,343.0,350.06999300139967,0.19996001199600139,1.3694792184202558,101.53462065364472
299.0,1401.0,369.0,1401.0,299.0,1401.0,4900.0,112896.0,117796.0,70.0,336.0,343.21421881967535,0.20395425411200105,1.3654009376051293,101.76828893202064
297.0,1400.0,367.0,1400.0,297.0,1400.0,4900.0,118336.0,123236.0,70.0,344.0,351.04985400937,0.19940187754110733,1.3700488241914166,101.50198464697091
298.0,1400.0,368.0,1400.0,298.0,1400.0,4900.0,117649.0,122549.0,70.0,343.0,350.06999300139967,0.19996001199600139,1.3694792184202558,101.53462065364472
298.0,1400.0,368.0,1400.0,298.0,1400.0,4900.0,116964.0,121864.0,70.0,342.0,349.09024621149183,0.20052121409771903,1.368906415183555,101.5674398615991
299.0,1396.0,368.0,1396.0,299.0,1396.0,4761.0,121104.0,125865.0,69.0,348.0,354.7745763157219,0.19448969742013122,1.3750591402174301,101.21491468465358
300.0,1398.0,369.0,1398.0,300.0,1398.0,4761.0,120409.0,125170.0,69.0,347.0,353.79372521287036,0.19502889701756054,1.3745094139409144,101.24641168018536
299.0,1392.0,369.0,1392.0,299.0,1392.0,4900.0,129600.0,134500.0,70.0,360.0,366.742416417845,0.19086965910222412,1.3787483095541666,101.00354085174949
301.0,1397.0,370.0,1397.0,301.0,1397.0,4761.0,120409.0,125170.0,69.0,347.0,353.79372521287036,0.19502889701756054,1.3745094139409144,101.24641168018536
302.0,1397.0,365.0,1397.0,302.0,1397.0,3969.0,119025.0,122994.0,63.0,345.0,350.7050042414565,0.17963815525319735,1.3901777162106292,100.34868408799545
303.0,1397.0,366.0,1397.0,303.0,1397.0,3969.0,118336.0,122305.0,63.0,344.0,349.72131762304684,0.18014343657456316,1.3896640553209423,100.37811468907546
302.0,1397.0,365.0,1397.0,302.0,1397.0,3969.0,119025.0,122994.0,63.0,345.0,350.7050042414565,0.17963815525319735,1.3901777162106292,100.34868408799545
302.0,1396.0,365.0,1396.0,302.0,1396.0,3969.0,119716.0,123685.0,63.0,346.0,351.6887828748594,0.17913565364527745,1.3906885035084102,100.31941813160371
302.0,1393.0,365.0,1393.0,302.0,1393.0,3969.0,118336.0,122305.0,63.0,344.0,349.72131762304684,0.18014343657456316,1.3896640553209423,100.37811468907546
301.0,1391.0,363.0,1391.0,301.0,1391.0,3844.0,126736.0,130580.0,62.0,356.0,361.3585477057378,0.17157474312877735,1.3983684330919517,99.87939057950912
298.0,1396.0,360.0,1396.0,298.0,1396.0,3844.0,115600.0,119444.0,62.0,340.0,345.60671289776764,0.1793946636052175,1.3904252287049559,100.33450266669378
302.0,1395.0,358.0,1395.0,302.0,1395.0,3136.0,112896.0,116032.0,56.0,336.0,340.6347016967003,0.1643989873053573,1.4056476493802699,99.46232220802561
302.0,1396.0,363.0,1396.0,302.0,1396.0,3721.0,116964.0,120685.0,61.0,342.0,347.3974668877135,0.17559137821726414,1.3942898793851866,100.11307449342421
