sho_x(coord),sho_y(coord),hip_x(coord),hip_y(coord),c_x(coord),c_y(coord),a_sq(dis),b_sq(dis),c_sq(dis),a(dis),b(dis),c(dis),cos(rad)),theta(theta),degree(deg)
316.0,1396.0,368.0,1396.0,316.0,1396.0,2704.0,121104.0,123808.0,52.0,348.0,351.86360993998795,0.1477845350613803,1.422468492673132,98.49855887949367
311.0,1396.0,369.0,1396.0,311.0,1396.0,3364.0,120409.0,123773.0,58.0,347.0,351.81387124444086,0.16485990104608897,1.405180359694656,99.48909593482128
311.0,1396.0,369.0,1396.0,311.0,1396.0,3364.0,120409.0,123773.0,58.0,347.0,351.81387124444086,0.16485990104608897,1.405180359694656,99.48909593482128
310.0,1396.0,368.0,1396.0,310.0,1396.0,3364.0,120409.0,123773.0,58.0,347.0,351.81387124444086,0.16485990104608897,1.405180359694656,99.48909593482128
310.0,1395.0,368.0,1395.0,310.0,1395.0,3364.0,121801.0,125165.0,58.0,349.0,353.78665887791755,0.16394060811663977,1.4061123333616932,99.43569777708272
311.0,1395.0,369.0,1395.0,311.0,1395.0,3364.0,116964.0,120328.0,58.0,342.0,346.88326566728466,0.16720322292984602,1.402804055149021,99.62524815612392
310.0,1396.0,368.0,1396.0,310.0,1396.0,3364.0,121801.0,125165.0,58.0,349.0,353.78665887791755,0.16394060811663977,1.4061123333616932,99.43569777708272
315.0,1398.0,368.0,1398.0,315.0,1398.0,2809.0,122500.0,125309.0,53.0,350.0,353.9901128562774,0.14972169581899705,1.4205095369593754,98.61079877414497
314.0,1398.0,367.0,1398.0,314.0,1398.0,2809.0,119025.0,121834.0,53.0,345.0,349.04727473509945,0.1518418960303386,1.4183648158651476,98.73368224107689
315.0,1397.0,367.0,1397.0,315.0,1397.0,2704.0,118336.0,121040.0,52.0,344.0,347.90803382503253,0.14946478650778003,1.4207693700107888,98.59591143692097
310.0,1397.0,368.0,1397.0,310.0,1397.0,3364.0,121801.0,125165.0,58.0,349.0,353.78665887791755,0.16394060811663977,1.4061123333616932,99.43569777708272
310.0,1397.0,362.0,1397.0,310.0,1397.0,2704.0,118336.0,121040.0,52.0,344.0,347.90803382503253,0.14946478650778003,1.4207693700107888,98.59591143692097
315.0,1397.0,368.0,1397.0,315.0,1397.0,2809.0,123201.0,126010.0,53.0,351.0,354.9788726107513,0.14930466033148018,1.4209313133292112,98.58663276825503
315.0,1397.0,367.0,1397.0,315.0,1397.0,2704.0,123201.0,125905.0,52.0,351.0,354.8309456628607,0.14654866108946235,1.423717971406494,98.42696902148067
314.0,1397.0,367.0,1397.0,314.0,1397.0,2809.0,123201.0,126010.0,53.0,351.0,354.9788726107513,0.14930466033148018,1.4209313133292112,98.58663276825503
315.0,1397.0,367.0,1397.0,315.0,1397.0,2704.0,119025.0,121729.0,52.0,345.0,348.89683288903615,0.14904119240468483,1.4211977625239618,98.57136635394116
