sho_x(coord),sho_y(coord),hip_x(coord),hip_y(coord),c_x(coord),c_y(coord),a_sq(dis),b_sq(dis),c_sq(dis),a(dis),b(dis),c(dis),cos(rad)),theta(theta),degree(deg)
285.0,1400.0,367.0,1400.0,285.0,1400.0,6724.0,123201.0,129925.0,82.0,351.0,360.4511062543712,0.22749271281784444,1.341294220613812,103.14950207353942
279.0,1406.0,367.0,1406.0,279.0,1406.0,7744.0,119025.0,126769.0,88.0,345.0,356.046345297912,0.2471588352532264,1.3210493074375123,104.30945015515019
280.0,1406.0,367.0,1406.0,280.0,1406.0,7569.0,118336.0,125905.0,87.0,344.0,354.8309456628607,0.24518718297660044,1.3230835624835375,104.19289592655976
281.0,1406.0,362.0,1406.0,281.0,1406.0,6561.0,114244.0,120805.0,81.0,338.0,347.57013680694723,0.23304648881555168,1.3355870667418144,103.47649790343664
281.0,1400.0,363.0,1400.0,281.0,1400.0,6724.0,118336.0,125060.0,82.0,344.0,353.63823322712153,0.2318753808142009,1.3367911600792253,103.40750843706317
281.0,1404.0,363.0,1404.0,281.0,1404.0,6724.0,117649.0,124373.0,82.0,343.0,352.6655639554279,0.23251490471682026,1.336133666347997,103.44518005291886
282.0,1405.0,363.0,1405.0,282.0,1405.0,6561.0,116964.0,123525.0,81.0,342.0,351.4612354157994,0.23046638387921276,1.3382393849899876,103.32453126189078
280.0,1400.0,368.0,1400.0,280.0,1400.0,7744.0,119025.0,126769.0,88.0,345.0,356.046345297912,0.2471588352532264,1.3210493074375123,104.30945015515019
281.0,1405.0,368.0,1405.0,281.0,1405.0,7569.0,118336.0,125905.0,87.0,344.0,354.8309456628607,0.24518718297660044,1.3230835624835375,104.19289592655976
281.0,1405.0,368.0,1405.0,281.0,1405.0,7569.0,117649.0,125218.0,87.0,343.0,353.86155484878543,0.24585886431538864,1.322390672286126,104.23259561053742
281.0,1404.0,363.0,1404.0,281.0,1404.0,6724.0,117649.0,124373.0,82.0,343.0,352.6655639554279,0.23251490471682026,1.336133666347997,103.44518005291886
281.0,1404.0,368.0,1404.0,281.0,1404.0,7569.0,121801.0,129370.0,87.0,349.0,359.6804137008297,0.2418813943879739,1.3264919723992772,103.99760842353733
281.0,1404.0,368.0,1404.0,281.0,1404.0,7569.0,126025.0,133594.0,87.0,355.0,365.5051299229602,0.23802675496876757,1.3304626203082508,103.7701070564207
280.0,1404.0,368.0,1404.0,280.0,1404.0,7744.0,126025.0,133769.0,88.0,355.0,365.7444463009657,0.240605157207462,1.327807050964012,103.9222599720499
281.0,1404.0,368.0,1404.0,281.0,1404.0,7569.0,116964.0,124533.0,87.0,342.0,352.89233485583105,0.24653411651897333,1.3216939757021515,104.27251338440034
281.0,1404.0,368.0,1404.0,281.0,1404.0,7569.0,116964.0,124533.0,87.0,342.0,352.89233485583105,0.24653411651897333,1.3216939757021515,104.27251338440034
282.0,1404.0,363.0,1404.0,282.0,1404.0,6561.0,116964.0,123525.0,81.0,342.0,351.4612354157994,0.23046638387921276,1.3382393849899876,103.32453126189078
282.0,1403.0,368.0,1403.0,282.0,1403.0,7396.0,123904.0,131300.0,86.0,352.0,362.3534186398688,0.23733734960417907,1.331172364832014,103.72944169067655
282.0,1403.0,363.0,1403.0,282.0,1403.0,6561.0,119716.0,126277.0,81.0,346.0,355.3547523250533,0.22794123188173082,1.3408335998232048,103.1758937007972
281.0,1404.0,368.0,1404.0,281.0,1404.0,7569.0,123201.0,130770.0,87.0,351.0,361.62134892729995,0.24058314106197973,1.3278297333873983,103.92096036492075
281.0,1403.0,368.0,1403.0,281.0,1403.0,7569.0,123904.0,131473.0,87.0,352.0,362.59205727649356,0.23993906720813354,1.3284932425677196,103.88294408922015
282.0,1403.0,368.0,1403.0,282.0,1403.0,7396.0,115600.0,122996.0,86.0,340.0,350.70785562915466,0.24521834518282956,1.3230514189950158,104.19473761279087
281.0,1403.0,368.0,1403.0,281.0,1403.0,7569.0,120409.0,127978.0,87.0,347.0,357.7401291440478,0.24319329287480784,1.3251396976702106,104.07508805825505
280.0,1404.0,367.0,1404.0,280.0,1404.0,7569.0,116281.0,123850.0,87.0,341.0,351.9232870953555,0.24721296711583307,1.3209934419616365,104.31265101113837
281.0,1403.0,368.0,1403.0,281.0,1403.0,7569.0,115600.0,123169.0,87.0,340.0,350.9544129940526,0.24789544390619853,1.320289039969792,104.35301027235167
282.0,1403.0,368.0,1403.0,282.0,1403.0,7396.0,119025.0,126421.0,86.0,345.0,355.557309023454,0.24187380716824777,1.3264997918023438,103.9971604047433
281.0,1404.0,367.0,1404.0,281.0,1404.0,7396.0,114921.0,122317.0,86.0,339.0,349.73847372000694,0.2458980251307717,1.322350271184006,104.23491042317657
280.0,1399.0,367.0,1399.0,280.0,1399.0,7569.0,120409.0,127978.0,87.0,347.0,357.7401291440478,0.24319329287480784,1.3251396976702106,104.07508805825505
285.0,1400.0,366.0,1400.0,285.0,1400.0,6561.0,119716.0,126277.0,81.0,346.0,355.3547523250533,0.22794123188173082,1.3408335998232048,103.1758937007972
281.0,1404.0,367.0,1404.0,281.0,1404.0,7396.0,119716.0,127112.0,86.0,346.0,356.527698783699,0.24121548001288715,1.3271782070462281,103.9582900745114
282.0,1404.0,368.0,1404.0,282.0,1404.0,7396.0,118336.0,125732.0,86.0,344.0,354.5870838031188,0.242535625036333,1.3258176636680323,104.03624346792648
282.0,1404.0,368.0,1404.0,282.0,1404.0,7396.0,114921.0,122317.0,86.0,339.0,349.73847372000694,0.2458980251307717,1.322350271184006,104.23491042317657
285.0,1403.0,366.0,1403.0,285.0,1403.0,6561.0,115600.0,122161.0,81.0,340.0,349.51537877466853,0.23174945916248352,1.3369206078220661,103.4000916277309
285.0,1402.0,366.0,1402.0,285.0,1402.0,6561.0,116964.0,123525.0,81.0,342.0,351.4612354157994,0.23046638387921276,1.3382393849899876,103.32453126189078
285.0,1402.0,366.0,1402.0,285.0,1402.0,6561.0,116964.0,123525.0,81.0,342.0,351.4612354157994,0.23046638387921276,1.3382393849899876,103.32453126189078
280.0,1402.0,367.0,1402.0,280.0,1402.0,7569.0,116281.0,123850.0,87.0,341.0,351.9232870953555,0.24721296711583307,1.3209934419616365,104.31265101113837
282.0,1399.0,362.0,1399.0,282.0,1399.0,6400.0,114244.0,120644.0,80.0,338.0,347.3384516577455,0.2303229015336,1.338386834118969,103.31608304910726
286.0,1403.0,365.0,1403.0,286.0,1403.0,6241.0,111556.0,117797.0,79.0,334.0,343.21567563268434,0.2301759669175112,1.3385378256287435,103.30743187285488
281.0,1402.0,365.0,1402.0,281.0,1402.0,7056.0,110889.0,117945.0,84.0,333.0,343.4312158205774,0.24459046274898044,1.3236990227701797,104.15763264967725
281.0,1402.0,360.0,1402.0,281.0,1402.0,6241.0,109561.0,115802.0,79.0,331.0,340.2969291662797,0.23215019951413704,1.3365086319585744,103.42369610597024
280.0,1403.0,365.0,1403.0,280.0,1403.0,7225.0,114244.0,121469.0,85.0,338.0,348.5240307353282,0.24388562194883384,1.3244258761185417,104.11598702049115
279.0,1404.0,369.0,1404.0,279.0,1404.0,8100.0,114921.0,123021.0,90.0,339.0,350.7434960195271,0.2565977730774212,1.3112958629762075,104.86828135849821
281.0,1398.0,365.0,1398.0,281.0,1398.0,7056.0,124609.0,131665.0,84.0,353.0,362.8567210346255,0.2314963321073067,1.337180810932323,103.385183087697
279.0,1399.0,362.0,1399.0,279.0,1399.0,6889.0,117649.0,124538.0,83.0,343.0,352.8994190984168,0.23519449312794963,1.3333776570950882,103.60308775140955
279.0,1399.0,360.0,1399.0,279.0,1399.0,6561.0,110224.0,116785.0,81.0,332.0,341.73820389298004,0.23702354339454024,1.3314953883207383,103.71093380808905
279.0,1403.0,359.0,1403.0,279.0,1403.0,6400.0,110224.0,116624.0,80.0,332.0,341.5025622158639,0.23425885733013027,1.3343401845949794,103.5479389880005
280.0,1405.0,360.0,1405.0,280.0,1405.0,6400.0,106929.0,113329.0,80.0,327.0,336.64372859151854,0.23763995347458713,1.3308608485776625,103.7472902573006
275.0,1406.0,361.0,1406.0,275.0,1406.0,7396.0,105625.0,113021.0,86.0,325.0,336.1859604445135,0.2558108015167815,1.3121100085793058,104.82163425153153
278.0,1401.0,356.0,1401.0,278.0,1401.0,6084.0,108900.0,114984.0,78.0,330.0,339.092907622675,0.23002545392896967,1.338692488719741,103.29857033049429
275.0,1400.0,358.0,1400.0,275.0,1400.0,6889.0,113569.0,120458.0,83.0,337.0,347.0705980056507,0.23914442904970207,1.329311709546944,103.83604938563977
272.0,1406.0,355.0,1406.0,272.0,1406.0,6889.0,111556.0,118445.0,83.0,334.0,344.15839376659113,0.24116802467497206,1.3272271060046414,103.95548837057173
268.0,1405.0,355.0,1405.0,268.0,1405.0,7569.0,109561.0,117130.0,87.0,331.0,342.24260401066374,0.2542056394512742,1.3137700538138464,104.72652066579155
270.0,1405.0,361.0,1405.0,270.0,1405.0,8281.0,106276.0,114557.0,91.0,326.0,338.46270104695435,0.2688627128440239,1.2985842549269428,105.5966028505456
271.0,1405.0,361.0,1405.0,271.0,1405.0,8100.0,108241.0,116341.0,90.0,329.0,341.08796519373124,0.2638615523971412,1.3037728712657424,105.29931703281976
271.0,1410.0,356.0,1410.0,271.0,1410.0,7225.0,104976.0,112201.0,85.0,324.0,334.96417718914364,0.25375847863278583,1.314232374631578,104.7000316341545
269.0,1405.0,354.0,1405.0,269.0,1405.0,7225.0,111556.0,118781.0,85.0,334.0,344.64619539463945,0.2466297354673252,1.3215953101540148,104.27816650389192
265.0,1405.0,359.0,1405.0,265.0,1405.0,8836.0,112896.0,121732.0,94.0,336.0,348.9011321277132,0.26941729717744756,1.2980084229980402,105.62959558978059
264.0,1406.0,357.0,1406.0,264.0,1406.0,8649.0,110889.0,119538.0,93.0,333.0,345.74267888127434,0.26898617289864746,1.2984560728064871,105.60394714505675
260.0,1410.0,354.0,1410.0,260.0,1410.0,8836.0,110889.0,119725.0,94.0,333.0,346.01300553591915,0.2716660891240459,1.2956725205503543,105.76343294138728
258.0,1409.0,357.0,1409.0,258.0,1409.0,9801.0,110889.0,120690.0,99.0,333.0,347.40466318113806,0.28497026808296194,1.2818209168023302,106.55707137563665
256.0,1407.0,354.0,1407.0,256.0,1407.0,9604.0,110224.0,119828.0,98.0,332.0,346.16181187415805,0.28310459628523793,1.2837667308411211,106.44558444349663
256.0,1406.0,354.0,1406.0,256.0,1406.0,9604.0,109561.0,119165.0,98.0,331.0,345.2028389222777,0.2838910604152496,1.282946619891558,106.49257333963905
251.0,1410.0,355.0,1410.0,251.0,1410.0,10816.0,110224.0,121040.0,104.0,332.0,347.90803382503253,0.29892957301556006,1.2672255874712326,107.39332214691204
252.0,1408.0,356.0,1408.0,252.0,1408.0,10816.0,110224.0,121040.0,104.0,332.0,347.90803382503253,0.29892957301556006,1.2672255874712326,107.39332214691204
248.0,1408.0,358.0,1408.0,248.0,1408.0,12100.0,110889.0,122989.0,110.0,333.0,350.69787567078305,0.3136602974557573,1.2517509055652978,108.27995610942956
248.0,1409.0,352.0,1409.0,248.0,1409.0,10816.0,108241.0,119057.0,104.0,329.0,345.04637369489916,0.3014087610494932,1.2646265463073418,107.54223623638374
247.0,1410.0,352.0,1410.0,247.0,1410.0,11025.0,108900.0,119925.0,105.0,330.0,346.30189141845585,0.303203657276947,1.2627435457711202,107.65012421993012
245.0,1409.0,349.0,1409.0,245.0,1409.0,10816.0,108900.0,119716.0,104.0,330.0,346.0,0.30057803468208094,1.2654976700043663,107.49232452511042
244.0,1411.0,354.0,1411.0,244.0,1411.0,12100.0,106929.0,119029.0,110.0,327.0,345.0057970527452,0.3188352223055051,1.246296008476353,108.5924986903043
243.0,1409.0,354.0,1409.0,243.0,1409.0,12321.0,106929.0,119250.0,111.0,327.0,345.3259329966401,0.3214354596446714,1.2435513221950378,108.74975763031112
241.0,1409.0,353.0,1409.0,241.0,1409.0,12544.0,109561.0,122105.0,112.0,331.0,349.4352586674676,0.3205171694095768,1.2445209164017985,108.69420397442339
240.0,1410.0,353.0,1410.0,240.0,1410.0,12769.0,106276.0,119045.0,113.0,326.0,345.028984289726,0.3275087170795837,1.2371306625985015,109.11763432688282
241.0,1413.0,356.0,1413.0,241.0,1413.0,13225.0,107584.0,120809.0,115.0,328.0,347.57589099360735,0.3308629941830893,1.2335783981608226,109.32116408687624
241.0,1410.0,357.0,1410.0,241.0,1410.0,13456.0,113569.0,127025.0,116.0,337.0,356.4056677439347,0.3254718162432311,1.2392856564163433,108.9941622762437
241.0,1409.0,357.0,1409.0,241.0,1409.0,13456.0,108900.0,122356.0,116.0,330.0,349.79422522391644,0.3316235421718127,1.2327723447081516,109.36734754777623
242.0,1411.0,354.0,1411.0,242.0,1411.0,12544.0,104976.0,117520.0,112.0,324.0,342.81190177705327,0.3267097770509697,1.2379761138681475,109.06919353734813
239.0,1409.0,342.0,1409.0,239.0,1409.0,10609.0,88209.0,98818.0,103.0,297.0,314.35330442036076,0.3276568070118517,1.2369739242329987,109.12661477371391
246.0,1409.0,335.0,1409.0,246.0,1409.0,7921.0,92416.0,100337.0,89.0,304.0,316.76016163652906,0.28096967604822826,1.2859919893660228,106.31808652169425
252.0,1413.0,348.0,1413.0,252.0,1413.0,9216.0,93025.0,102241.0,96.0,305.0,319.75146598569336,0.3002331817433961,1.265859222495075,107.47160909332035
253.0,1408.0,347.0,1408.0,253.0,1408.0,8836.0,103041.0,111877.0,94.0,321.0,334.48019373350047,0.28103308285839845,1.285925920465694,106.32187199084015
255.0,1408.0,350.0,1408.0,255.0,1408.0,9025.0,102400.0,111425.0,95.0,320.0,333.80383460949037,0.2845982884263099,1.2822089649008193,106.53483785734515
255.0,1410.0,352.0,1410.0,255.0,1410.0,9409.0,102400.0,111809.0,97.0,320.0,334.37852801877096,0.2900903971757263,1.2764750314150626,106.86336804608774
254.0,1412.0,353.0,1412.0,254.0,1412.0,9801.0,108241.0,118042.0,99.0,329.0,343.5724086710107,0.28814886615297997,1.2785031790132901,106.74716374847971
260.0,1412.0,357.0,1412.0,260.0,1412.0,9409.0,112225.0,121634.0,97.0,335.0,348.7606629194296,0.27812769705168516,1.288951979997137,106.14849155113315
264.0,1416.0,344.0,1416.0,264.0,1416.0,6400.0,96721.0,103121.0,80.0,311.0,321.1245864146811,0.24912449368387127,1.319020185282507,104.42571029074848
267.0,1420.0,342.0,1420.0,267.0,1420.0,5625.0,93636.0,99261.0,75.0,306.0,315.0571376750573,0.23805205796465176,1.330436568465089,103.77159971708241
269.0,1417.0,346.0,1417.0,269.0,1417.0,5929.0,97969.0,103898.0,77.0,313.0,322.33212685055145,0.2388840378784237,1.3295798731560766,103.82068474261747
274.0,1418.0,345.0,1418.0,274.0,1418.0,5041.0,96721.0,101762.0,71.0,311.0,319.0015673942685,0.22256943932895443,1.346347098477293,102.85999349756689
275.0,1425.0,346.0,1425.0,275.0,1425.0,5041.0,92416.0,97457.0,71.0,304.0,312.18103722039234,0.22743213563569428,1.3413564284590298,103.14593782655585
271.0,1430.0,343.0,1430.0,271.0,1430.0,5184.0,90601.0,95785.0,72.0,301.0,309.4915184621382,0.2326396547400318,1.3360053989661795,103.4525292325462
275.0,1428.0,340.0,1428.0,275.0,1428.0,4225.0,92416.0,96641.0,65.0,304.0,310.871356030111,0.2090897045969848,1.3601523307694985,102.0690119520258
276.0,1429.0,346.0,1429.0,276.0,1429.0,4900.0,103684.0,108584.0,70.0,322.0,329.520864286315,0.21242964433104367,1.356735643231075,102.2647737278924
282.0,1431.0,346.0,1431.0,282.0,1431.0,4096.0,106929.0,111025.0,64.0,327.0,333.2041416309227,0.192074443272948,1.3775208142623272,101.07387115134408
277.0,1429.0,329.0,1429.0,277.0,1429.0,2704.0,94249.0,96953.0,52.0,307.0,311.3727669530526,0.16700240200466965,1.4030077399902001,99.61357787437356
284.0,1437.0,341.0,1437.0,284.0,1437.0,3249.0,98596.0,101845.0,57.0,314.0,319.13163428278307,0.17860968289183204,1.3912230960533758,100.28878823501803
284.0,1445.0,326.0,1445.0,284.0,1445.0,1764.0,87025.0,88789.0,42.0,295.0,297.9748311518944,0.14095150196960848,1.4293738806031273,98.10290929520436
287.0,1446.0,323.0,1446.0,287.0,1446.0,1296.0,85849.0,87145.0,36.0,293.0,295.2033197645311,0.12194984808678777,1.4485421694935705,97.00464724129446
