sho_x(coord),sho_y(coord),hip_x(coord),hip_y(coord),c_x(coord),c_y(coord),a_sq(dis),b_sq(dis),c_sq(dis),a(dis),b(dis),c(dis),cos(rad)),theta(theta),degree(deg)
302.0,1392.0,358.0,1392.0,302.0,1392.0,3136.0,113569.0,116705.0,56.0,337.0,341.62113517755307,0.16392428404903797,1.4061288812969228,99.43474965023441
303.0,1397.0,359.0,1397.0,303.0,1397.0,3136.0,109561.0,112697.0,56.0,331.0,335.70373843613953,0.16681375149670194,1.403199074450072,99.60261521734749
303.0,1397.0,359.0,1397.0,303.0,1397.0,3136.0,109561.0,112697.0,56.0,331.0,335.70373843613953,0.16681375149670194,1.403199074450072,99.60261521734749
302.0,1398.0,358.0,1398.0,302.0,1398.0,3136.0,110889.0,114025.0,56.0,333.0,337.6758800980609,0.16583950261338665,1.4041870856671474,99.54600634449748
303.0,1397.0,359.0,1397.0,303.0,1397.0,3136.0,110224.0,113360.0,56.0,332.0,336.68976818430343,0.16632522069796218,1.403694526863791,99.57422788509182
302.0,1397.0,359.0,1397.0,302.0,1397.0,3249.0,110224.0,113473.0,57.0,332.0,336.857536653108,0.16921099811609067,1.4007672586502413,99.74194799923102
301.0,1398.0,357.0,1398.0,301.0,1398.0,3136.0,110889.0,114025.0,56.0,333.0,337.6758800980609,0.16583950261338665,1.4041870856671474,99.54600634449748
302.0,1398.0,358.0,1398.0,302.0,1398.0,3136.0,110224.0,113360.0,56.0,332.0,336.68976818430343,0.16632522069796218,1.403694526863791,99.57422788509182
301.0,1393.0,358.0,1393.0,301.0,1393.0,3249.0,114921.0,118170.0,57.0,339.0,343.7586362551492,0.16581401596465692,1.4042129301351334,99.54452556555813
302.0,1398.0,358.0,1398.0,302.0,1398.0,3136.0,109561.0,112697.0,56.0,331.0,335.70373843613953,0.16681375149670194,1.403199074450072,99.60261521734749
301.0,1393.0,357.0,1393.0,301.0,1393.0,3136.0,115600.0,118736.0,56.0,340.0,344.58090486850836,0.16251626021287954,1.4075560440100592,99.35297925009326
300.0,1398.0,356.0,1398.0,300.0,1398.0,3136.0,112225.0,115361.0,56.0,335.0,339.6483475596488,0.16487640938740417,1.4051636223125514,99.49005491617596
301.0,1398.0,357.0,1398.0,301.0,1398.0,3136.0,108241.0,111377.0,56.0,329.0,333.7319283496861,0.16779934804836205,1.402199387185467,99.65989307844234
301.0,1393.0,357.0,1393.0,301.0,1393.0,3136.0,112225.0,115361.0,56.0,335.0,339.6483475596488,0.16487640938740417,1.4051636223125514,99.49005491617596
300.0,1394.0,357.0,1394.0,300.0,1394.0,3249.0,116281.0,119530.0,57.0,341.0,345.73110938994193,0.16486800999938667,1.4051721382415967,99.48956698938304
300.0,1399.0,357.0,1399.0,300.0,1399.0,3249.0,112225.0,115474.0,57.0,335.0,339.8146553637733,0.16773849832633386,1.4022611117702908,99.65635652023973
301.0,1397.0,358.0,1397.0,301.0,1397.0,3249.0,107584.0,110833.0,57.0,328.0,332.91590529741893,0.17121440908351193,1.3987341792810262,99.85843486650217
300.0,1398.0,356.0,1398.0,300.0,1398.0,3136.0,112225.0,115361.0,56.0,335.0,339.6483475596488,0.16487640938740417,1.4051636223125514,99.49005491617596
299.0,1398.0,362.0,1398.0,299.0,1398.0,3969.0,112225.0,116194.0,63.0,335.0,340.87241014784405,0.18481988604673366,1.3849077388990918,100.65063154607626
300.0,1398.0,362.0,1398.0,300.0,1398.0,3844.0,111556.0,115400.0,62.0,334.0,339.70575502926056,0.1825108909169338,1.3872566930921442,100.5160463845448
300.0,1397.0,357.0,1397.0,300.0,1397.0,3249.0,110889.0,114138.0,57.0,333.0,337.843158877015,0.1687173426552932,1.4012681153369748,99.71325102494028
300.0,1397.0,356.0,1397.0,300.0,1397.0,3136.0,110889.0,114025.0,56.0,333.0,337.6758800980609,0.16583950261338665,1.4041870856671474,99.54600634449748
300.0,1398.0,356.0,1398.0,300.0,1398.0,3136.0,111556.0,114692.0,56.0,334.0,338.6620734596657,0.1653565733768814,1.404676775898909,99.51794916094876
300.0,1397.0,357.0,1397.0,300.0,1397.0,3249.0,111556.0,114805.0,57.0,334.0,338.82886535831034,0.16822651735920638,1.4017660580062012,99.68472101155413
300.0,1397.0,357.0,1397.0,300.0,1397.0,3249.0,111556.0,114805.0,57.0,334.0,338.82886535831034,0.16822651735920638,1.4017660580062012,99.68472101155413
300.0,1397.0,357.0,1397.0,300.0,1397.0,3249.0,110889.0,114138.0,57.0,333.0,337.843158877015,0.1687173426552932,1.4012681153369748,99.71325102494028
300.0,1397.0,356.0,1397.0,300.0,1397.0,3136.0,112225.0,115361.0,56.0,335.0,339.6483475596488,0.16487640938740417,1.4051636223125514,99.49005491617596
300.0,1397.0,357.0,1397.0,300.0,1397.0,3249.0,111556.0,114805.0,57.0,334.0,338.82886535831034,0.16822651735920638,1.4017660580062012,99.68472101155413
301.0,1397.0,352.0,1397.0,301.0,1397.0,2601.0,109561.0,112162.0,51.0,331.0,334.9059569491113,0.152281555289712,1.4179199836475722,98.75916924973541
301.0,1397.0,357.0,1397.0,301.0,1397.0,3136.0,110224.0,113360.0,56.0,332.0,336.68976818430343,0.16632522069796218,1.403694526863791,99.57422788509182
300.0,1398.0,356.0,1398.0,300.0,1398.0,3136.0,111556.0,114692.0,56.0,334.0,338.6620734596657,0.1653565733768814,1.404676775898909,99.51794916094876
300.0,1397.0,357.0,1397.0,300.0,1397.0,3249.0,114921.0,118170.0,57.0,339.0,343.7586362551492,0.16581401596465692,1.4042129301351334,99.54452556555813
305.0,1398.0,361.0,1398.0,305.0,1398.0,3136.0,111556.0,114692.0,56.0,334.0,338.6620734596657,0.1653565733768814,1.404676775898909,99.51794916094876
305.0,1392.0,356.0,1392.0,305.0,1392.0,2601.0,114921.0,117522.0,51.0,339.0,342.8148188162233,0.14876836472853924,1.4214736661011993,98.55555824341289
304.0,1393.0,361.0,1393.0,304.0,1393.0,3249.0,116281.0,119530.0,57.0,341.0,345.73110938994193,0.16486800999938667,1.4051721382415967,99.48956698938304
304.0,1393.0,361.0,1393.0,304.0,1393.0,3249.0,119716.0,122965.0,57.0,346.0,350.66365651433,0.1625489238508259,1.4075229401965121,99.35487595889528
304.0,1394.0,361.0,1394.0,304.0,1394.0,3249.0,115600.0,118849.0,57.0,340.0,344.7448331737548,0.1653396788437767,1.4046939062264392,99.5169676654796
