sho_x(coord),sho_y(coord),hip_x(coord),hip_y(coord),c_x(coord),c_y(coord),a_sq(dis),b_sq(dis),c_sq(dis),a(dis),b(dis),c(dis),cos(rad)),theta(theta),degree(deg)
268.0,1436.0,355.0,1436.0,268.0,1436.0,7569.0,106276.0,113845.0,87.0,326.0,337.40924705763473,0.25784711224923557,1.3100030224878285,104.94235566206595
271.0,1435.0,345.0,1435.0,271.0,1435.0,5476.0,92416.0,97892.0,74.0,304.0,312.87697262662203,0.23651468939617162,1.3320191345551853,103.68092535931937
267.0,1436.0,355.0,1436.0,267.0,1436.0,7744.0,103684.0,111428.0,88.0,322.0,333.8083282364297,0.26362433934743346,1.3040187916177206,105.28522683455503
267.0,1435.0,349.0,1435.0,267.0,1435.0,6724.0,103041.0,109765.0,82.0,321.0,331.30801378777426,0.24750382299091228,1.3206932575716652,104.32985030975942
270.0,1435.0,345.0,1435.0,270.0,1435.0,5625.0,92416.0,98041.0,75.0,304.0,313.1149948501349,0.23952861163962133,1.3289160271073692,103.85872031945485
269.0,1434.0,344.0,1434.0,269.0,1434.0,5625.0,102400.0,108025.0,75.0,320.0,328.6715685908959,0.22819132278932835,1.3405767395180528,103.19061071220685
270.0,1434.0,351.0,1434.0,270.0,1434.0,6561.0,102400.0,108961.0,81.0,320.0,330.09241130325915,0.24538582901739145,1.3228786567003783,104.2046361631326
268.0,1431.0,356.0,1431.0,268.0,1431.0,7744.0,106929.0,114673.0,88.0,327.0,338.6340207362515,0.25986756973995734,1.3079112682874792,105.06220434952473
272.0,1433.0,347.0,1433.0,272.0,1433.0,5625.0,104976.0,110601.0,75.0,324.0,332.5672864248677,0.2255182727268748,1.3433213463220688,103.03335632591384
269.0,1436.0,351.0,1436.0,269.0,1436.0,6724.0,101761.0,108485.0,82.0,319.0,329.3706119252293,0.2489596734836042,1.3191903674703525,104.41595956963664
269.0,1436.0,350.0,1436.0,269.0,1436.0,6561.0,102400.0,108961.0,81.0,320.0,330.09241130325915,0.24538582901739145,1.3228786567003783,104.2046361631326
269.0,1431.0,356.0,1431.0,269.0,1431.0,7569.0,106276.0,113845.0,87.0,326.0,337.40924705763473,0.25784711224923557,1.3100030224878285,104.94235566206595
268.0,1431.0,356.0,1431.0,268.0,1431.0,7744.0,106929.0,114673.0,88.0,327.0,338.6340207362515,0.25986756973995734,1.3079112682874792,105.06220434952473
268.0,1437.0,355.0,1437.0,268.0,1437.0,7569.0,103041.0,110610.0,87.0,321.0,332.58081724597406,0.26159055329897607,1.3061265548045191,105.16446089973844
268.0,1431.0,355.0,1431.0,268.0,1431.0,7569.0,106929.0,114498.0,87.0,327.0,338.3755310302446,0.2571107897048968,1.3107650372127646,104.8986954344003
267.0,1432.0,355.0,1432.0,267.0,1432.0,7744.0,106929.0,114673.0,88.0,327.0,338.6340207362515,0.25986756973995734,1.3079112682874792,105.06220434952473
267.0,1432.0,355.0,1432.0,267.0,1432.0,7744.0,106929.0,114673.0,88.0,327.0,338.6340207362515,0.25986756973995734,1.3079112682874792,105.06220434952473
272.0,1433.0,354.0,1433.0,272.0,1433.0,6724.0,107584.0,114308.0,82.0,328.0,338.09466130064817,0.24253562503633297,1.3258176636680326,104.03624346792647
267.0,1432.0,355.0,1432.0,267.0,1432.0,7744.0,106929.0,114673.0,88.0,327.0,338.6340207362515,0.25986756973995734,1.3079112682874792,105.06220434952473
268.0,1432.0,355.0,1432.0,268.0,1432.0,7569.0,106929.0,114498.0,87.0,327.0,338.3755310302446,0.2571107897048968,1.3107650372127646,104.8986954344003
267.0,1431.0,355.0,1431.0,267.0,1431.0,7744.0,106929.0,114673.0,88.0,327.0,338.6340207362515,0.25986756973995734,1.3079112682874792,105.06220434952473
