sho_x(coord),sho_y(coord),hip_x(coord),hip_y(coord),c_x(coord),c_y(coord),a_sq(dis),b_sq(dis),c_sq(dis),a(dis),b(dis),c(dis),cos(rad)),theta(theta),degree(deg)
259.0,1431.0,364.0,1431.0,259.0,1431.0,11025.0,81225.0,92250.0,105.0,285.0,303.7268509697488,0.34570535882735637,1.217805938967986,110.22485943116808
261.0,1434.0,361.0,1434.0,261.0,1434.0,10000.0,80089.0,90089.0,100.0,283.0,300.1482966801578,0.333168640655527,1.2311340949117406,109.46121234689875
263.0,1433.0,363.0,1433.0,263.0,1433.0,10000.0,80089.0,90089.0,100.0,283.0,300.1482966801578,0.333168640655527,1.2311340949117406,109.46121234689875
261.0,1430.0,356.0,1430.0,261.0,1430.0,9025.0,84681.0,93706.0,95.0,291.0,306.1143577161973,0.3103415361133625,1.2552440401283758,108.07981424169392
262.0,1433.0,362.0,1433.0,262.0,1433.0,10000.0,80656.0,90656.0,100.0,284.0,301.091348264941,0.3321251194239113,1.2322406318832124,109.39781244855823
262.0,1433.0,352.0,1433.0,262.0,1433.0,8100.0,81225.0,89325.0,90.0,285.0,298.8728826775691,0.3011313679370973,1.2649174553900444,107.52556837372288
258.0,1432.0,363.0,1432.0,258.0,1432.0,11025.0,82944.0,93969.0,105.0,288.0,306.54363474063524,0.3425287238106897,1.2211892030044948,110.03101268089773
259.0,1432.0,359.0,1432.0,259.0,1432.0,10000.0,79524.0,89524.0,100.0,282.0,299.20561492057595,0.3342183268403735,1.2300205840252765,109.52501182113501
259.0,1431.0,359.0,1431.0,259.0,1431.0,10000.0,82944.0,92944.0,100.0,288.0,304.86718419665965,0.3280116889704119,1.2365982825293933,109.1481374579396
260.0,1432.0,360.0,1432.0,260.0,1432.0,10000.0,78961.0,88961.0,100.0,281.0,298.2633064927699,0.3352742285864254,1.2289000358736695,109.58921450096328
258.0,1433.0,351.0,1433.0,258.0,1433.0,8649.0,78400.0,87049.0,93.0,280.0,295.0406751619173,0.31521077542600495,1.2501175833490301,108.37353857900666
262.0,1434.0,351.0,1434.0,262.0,1434.0,7921.0,79524.0,87445.0,89.0,282.0,295.71100757327247,0.30096951997279714,1.2650871770448981,107.51584403920778
258.0,1433.0,363.0,1433.0,258.0,1433.0,11025.0,81796.0,92821.0,105.0,286.0,304.6653902234384,0.34464039359047016,1.2189406442679864,110.15984560648694
258.0,1434.0,357.0,1434.0,258.0,1434.0,9801.0,82369.0,92170.0,99.0,287.0,303.5951251255527,0.3260921925510439,1.2386294824672848,109.03175827415119
260.0,1434.0,353.0,1434.0,260.0,1434.0,8649.0,77841.0,86490.0,93.0,279.0,294.0918223956593,0.31622776601683794,1.2490457723982544,108.43494882292201
262.0,1435.0,354.0,1435.0,262.0,1435.0,8464.0,80089.0,88553.0,92.0,283.0,297.578561055732,0.30916205681487174,1.256484529979824,108.00873940867713
263.0,1436.0,356.0,1436.0,263.0,1436.0,8649.0,80089.0,88738.0,93.0,283.0,297.88924116187883,0.31219657224700503,1.2532920313781029,108.19165610465717
263.0,1432.0,350.0,1432.0,263.0,1432.0,7569.0,80656.0,88225.0,87.0,284.0,297.0269348055829,0.29290272970343684,1.2735350183391996,107.03181838704796
258.0,1432.0,351.0,1432.0,258.0,1432.0,8649.0,83521.0,92170.0,93.0,289.0,303.5951251255527,0.3063290293661321,1.259462062329224,107.83813937169283
263.0,1432.0,351.0,1432.0,263.0,1432.0,7744.0,81225.0,88969.0,88.0,285.0,298.2767171604247,0.29502805595339243,1.271311445318683,107.15921973656273
262.0,1434.0,350.0,1434.0,262.0,1434.0,7744.0,81225.0,88969.0,88.0,285.0,298.2767171604247,0.29502805595339243,1.271311445318683,107.15921973656273
261.0,1435.0,349.0,1435.0,261.0,1435.0,7744.0,83521.0,91265.0,88.0,289.0,302.1009764962702,0.29129333185418044,1.2752178054994927,106.93540178494436
262.0,1434.0,350.0,1434.0,262.0,1434.0,7744.0,82369.0,90113.0,88.0,287.0,300.18827425467504,0.2931493584101229,1.2732770667052455,107.04659792699204
261.0,1433.0,355.0,1433.0,261.0,1433.0,8836.0,82369.0,91205.0,94.0,287.0,302.00165562460086,0.31125657177471056,1.254281326654662,108.1349736606181
261.0,1437.0,349.0,1437.0,261.0,1437.0,7744.0,83521.0,91265.0,88.0,289.0,302.1009764962702,0.29129333185418044,1.2752178054994927,106.93540178494436
265.0,1435.0,348.0,1435.0,265.0,1435.0,6889.0,87025.0,93914.0,83.0,295.0,306.45391170614874,0.2708400735951013,1.2965307113484696,105.7142622306383
264.0,1436.0,346.0,1436.0,264.0,1436.0,6724.0,85264.0,91988.0,82.0,292.0,303.29523570277195,0.2703636270777417,1.2970256223316674,105.6859059200664
262.0,1436.0,339.0,1436.0,262.0,1436.0,5929.0,85849.0,91778.0,77.0,293.0,302.9488405655318,0.25416832708869175,1.3138086333165375,104.72431022311164
269.0,1433.0,355.0,1433.0,269.0,1433.0,7396.0,106929.0,114325.0,86.0,327.0,338.11980125393427,0.25434771841538023,1.3136231462197807,104.73493785090994
266.0,1431.0,357.0,1431.0,266.0,1431.0,8281.0,104976.0,113257.0,91.0,324.0,336.53677362214074,0.2704013562041623,1.296986433539682,105.68815127245139
268.0,1434.0,360.0,1434.0,268.0,1434.0,8464.0,106929.0,115393.0,92.0,327.0,339.69545183884935,0.27083082655944585,1.2965403174041268,105.71371184419138
269.0,1435.0,360.0,1435.0,269.0,1435.0,8281.0,105625.0,113906.0,91.0,325.0,337.4996296294264,0.2696299255199709,1.297787623708186,105.64224645720873
268.0,1436.0,359.0,1436.0,268.0,1436.0,8281.0,104329.0,112610.0,91.0,323.0,335.574134879314,0.2711770382205627,1.296180646211755,105.73431948552671
260.0,1435.0,342.0,1435.0,260.0,1435.0,6724.0,94249.0,100973.0,82.0,307.0,317.7624899197512,0.25805437268794235,1.3097885022702567,104.95464676515304
259.0,1437.0,341.0,1437.0,259.0,1437.0,6724.0,91809.0,98533.0,82.0,303.0,313.8996654983882,0.26122996935917747,1.3065001287404152,105.14305668987551
265.0,1437.0,340.0,1437.0,265.0,1437.0,5625.0,91809.0,97434.0,75.0,303.0,312.14419744726956,0.2402735678361272,1.328148661777159,103.90268711422056
262.0,1434.0,344.0,1434.0,262.0,1434.0,6724.0,95481.0,102205.0,82.0,309.0,319.69516730785904,0.2564943370602656,1.3114028806604714,104.86214969685662
266.0,1445.0,350.0,1445.0,266.0,1445.0,7056.0,97969.0,105025.0,84.0,313.0,324.07560846197606,0.2591987727760627,1.3086037952627787,105.0225254766411
264.0,1446.0,359.0,1446.0,264.0,1446.0,9025.0,97344.0,106369.0,95.0,312.0,326.1426068455331,0.29128362258106827,1.2752279548986478,106.93482026720818
257.0,1447.0,357.0,1447.0,257.0,1447.0,10000.0,97344.0,107344.0,100.0,312.0,327.6339420756036,0.30521868206476716,1.2606282660069106,107.77132082290876
258.0,1445.0,358.0,1445.0,258.0,1445.0,10000.0,99225.0,109225.0,100.0,315.0,330.49205739321485,0.3025791324268389,1.263398853672075,107.61257784292383
253.0,1442.0,360.0,1442.0,253.0,1442.0,11449.0,102400.0,113849.0,107.0,320.0,337.4151745253909,0.31711673949017405,1.248108565549881,108.48864681986457
254.0,1444.0,356.0,1444.0,254.0,1444.0,10404.0,99856.0,110260.0,102.0,316.0,332.05421244128195,0.30717875629431124,1.2585692939918673,107.88929122950628
250.0,1449.0,359.0,1449.0,250.0,1449.0,11881.0,96100.0,107981.0,109.0,310.0,328.6046256521658,0.3317056166926225,1.2326853458219569,109.37233221677752
250.0,1447.0,355.0,1447.0,250.0,1447.0,11025.0,94864.0,105889.0,105.0,308.0,325.40590037674485,0.32267392778813864,1.2422431562434455,108.82471001824007
247.0,1449.0,353.0,1449.0,247.0,1449.0,11236.0,93636.0,104872.0,106.0,306.0,323.83946640272245,0.32732267372309654,1.2373275587958603,109.10635300577198
245.0,1445.0,342.0,1445.0,245.0,1445.0,9409.0,94864.0,104273.0,97.0,308.0,322.9133010577297,0.3003902276006232,1.2656945767754144,107.48104259817181
246.0,1449.0,327.0,1449.0,246.0,1449.0,6561.0,80656.0,87217.0,81.0,284.0,295.3252444339969,0.2742738777893501,1.292961784035315,105.91874670307104
243.0,1445.0,342.0,1445.0,243.0,1445.0,9801.0,97344.0,107145.0,99.0,312.0,327.3301086059759,0.30244697141249355,1.2635375114637544,107.60463333666401
240.0,1446.0,329.0,1446.0,240.0,1446.0,7921.0,81225.0,89146.0,89.0,285.0,298.573274088623,0.29808428189585007,1.2681112586170666,107.34257692821923
237.0,1451.0,330.0,1451.0,237.0,1451.0,8649.0,81225.0,89874.0,93.0,285.0,299.78992644850496,0.310217228116151,1.2553748018144564,108.07232214895949
240.0,1452.0,328.0,1452.0,240.0,1452.0,7744.0,84100.0,91844.0,88.0,290.0,303.05775027212223,0.2903736991414437,1.276178986582786,106.88033016552386
244.0,1451.0,334.0,1451.0,244.0,1451.0,8100.0,85264.0,93364.0,90.0,292.0,305.5552323230614,0.2945457661312232,1.2718161632920642,107.1303015268436
241.0,1446.0,333.0,1446.0,241.0,1446.0,8464.0,87616.0,96080.0,92.0,296.0,309.96774025695,0.2968050801794275,1.2694511030847926,107.26580949501458
239.0,1451.0,331.0,1451.0,239.0,1451.0,8464.0,82944.0,91408.0,92.0,288.0,302.3375596911505,0.30429563595731063,1.261597414467822,107.71579270637694
247.0,1447.0,333.0,1447.0,247.0,1447.0,7396.0,85849.0,93245.0,86.0,293.0,305.3604427557702,0.28163438336636,1.2852993111896855,106.35777405775919
247.0,1450.0,327.0,1450.0,247.0,1450.0,6400.0,80656.0,87056.0,80.0,284.0,295.05253769456044,0.2711381526323841,1.2962210453552712,105.7320047851073
242.0,1448.0,330.0,1448.0,242.0,1448.0,7744.0,84681.0,92425.0,88.0,291.0,304.0148022712052,0.2894595899363382,1.2771341168630295,106.82560523158075
248.0,1445.0,328.0,1445.0,248.0,1445.0,6400.0,85264.0,91664.0,80.0,292.0,302.76063152266016,0.26423514707860024,1.303385529611023,105.32151007486479
249.0,1443.0,330.0,1443.0,249.0,1443.0,6561.0,85264.0,91825.0,81.0,292.0,303.0264014900352,0.2673034415539652,1.3002027709127186,105.50386871548619
252.0,1440.0,325.0,1440.0,252.0,1440.0,5329.0,89401.0,94730.0,73.0,299.0,307.7823906593748,0.23718056073191554,1.3313337621729364,103.72019430421706
251.0,1439.0,330.0,1439.0,251.0,1439.0,6241.0,91204.0,97445.0,79.0,302.0,312.1618170116262,0.25307387289156413,1.3149400818286334,104.65948299863219
255.0,1438.0,326.0,1438.0,255.0,1438.0,5041.0,85849.0,90890.0,71.0,293.0,301.4796842243271,0.23550508944798357,1.333058084205749,103.62139792921548
257.0,1443.0,323.0,1443.0,257.0,1443.0,4356.0,85264.0,89620.0,66.0,292.0,299.3659967330959,0.22046592037920473,1.3485042083694943,102.73640020479783
259.0,1441.0,324.0,1441.0,259.0,1441.0,4225.0,94864.0,99089.0,65.0,308.0,314.78405296329737,0.20649076529800814,1.3628092627027766,101.91678096579543
265.0,1434.0,315.0,1434.0,265.0,1434.0,2500.0,93025.0,95525.0,50.0,305.0,309.0711892105118,0.16177502706648095,1.4083072175776932,99.30994017498604
269.0,1435.0,313.0,1435.0,269.0,1435.0,1936.0,90000.0,91936.0,44.0,300.0,303.2094985319556,0.14511418742827673,1.425167946224074,98.34389158403309
276.0,1436.0,312.0,1436.0,276.0,1436.0,1296.0,92416.0,93712.0,36.0,304.0,306.1241578183597,0.11759934353616344,1.4529242235976803,96.75357403553099
274.0,1438.0,311.0,1438.0,274.0,1438.0,1369.0,88209.0,89578.0,37.0,297.0,299.29584026511293,0.12362350230870503,1.4468557541058855,97.10127172551474
279.0,1434.0,315.0,1434.0,279.0,1434.0,1296.0,88804.0,90100.0,36.0,298.0,300.1666203960727,0.11993338883749852,1.4505735401335877,96.88825827699469
286.0,1435.0,322.0,1435.0,286.0,1435.0,1296.0,81796.0,83092.0,36.0,286.0,288.2568299277573,0.12488862799546603,1.4455807472626523,97.17432423648229
297.0,1436.0,319.0,1436.0,297.0,1436.0,484.0,78961.0,79445.0,22.0,281.0,281.8598942737331,0.07805296335857673,1.4926638921469229,94.47665874841061
303.0,1434.0,339.0,1434.0,303.0,1434.0,1296.0,73984.0,75280.0,36.0,272.0,274.37201023428025,0.131208719028083,1.439208185336976,97.5394451395093
309.0,1435.0,331.0,1435.0,309.0,1435.0,484.0,78961.0,79445.0,22.0,281.0,281.8598942737331,0.07805296335857673,1.4926638921469229,94.47665874841061
314.0,1438.0,343.0,1438.0,314.0,1438.0,841.0,79524.0,80365.0,29.0,282.0,283.4872131155125,0.10229738294468814,1.4683196788759516,95.87147942440363
312.0,1442.0,334.0,1442.0,312.0,1442.0,484.0,77841.0,78325.0,22.0,279.0,279.8660393831306,0.07860903755415094,1.4921061040881929,94.50861765003864
317.0,1436.0,332.0,1436.0,317.0,1436.0,225.0,82369.0,82594.0,15.0,287.0,287.39171873942365,0.05219357073263621,1.5185790296153394,92.991830745969
316.0,1437.0,316.0,1437.0,316.0,1437.0,0.0,87025.0,87025.0,0.0,295.0,295.0,nan,nan,nan
315.0,1437.0,330.0,1437.0,315.0,1437.0,225.0,81796.0,82021.0,15.0,286.0,286.3930865087354,0.05237556598469942,1.5183967850938052,93.00227258789229
320.0,1436.0,334.0,1436.0,320.0,1436.0,196.0,80656.0,80852.0,14.0,284.0,284.3448610402516,0.049235987416062964,1.521540424810573,92.8221552998118
