sho_x(coord),sho_y(coord),hip_x(coord),hip_y(coord),c_x(coord),c_y(coord),a_sq(dis),b_sq(dis),c_sq(dis),a(dis),b(dis),c(dis),cos(rad)),theta(theta),degree(deg)
279.0,1420.0,347.0,1420.0,279.0,1420.0,4624.0,100489.0,105113.0,68.0,317.0,324.211350819184,0.20973972634882945,1.3594875691894421,102.10709998494548
279.0,1425.0,335.0,1425.0,279.0,1425.0,3136.0,100489.0,103625.0,56.0,317.0,321.90837205639747,0.17396254605701575,1.3959441745764345,100.01829036089691
280.0,1424.0,336.0,1424.0,280.0,1424.0,3136.0,99856.0,102992.0,56.0,316.0,320.92366693654736,0.17449632348577224,1.395402106251474,100.04934858812487
279.0,1424.0,335.0,1424.0,279.0,1424.0,3136.0,100489.0,103625.0,56.0,317.0,321.90837205639747,0.17396254605701575,1.3959441745764345,100.01829036089691
278.0,1424.0,335.0,1424.0,278.0,1424.0,3249.0,101124.0,104373.0,57.0,318.0,323.0681042752441,0.1764333874056405,1.3934345161980017,100.16208319400076
279.0,1424.0,336.0,1424.0,279.0,1424.0,3249.0,99856.0,103105.0,57.0,316.0,321.0996729988992,0.17751497367671068,1.3923355837620415,100.2250473845513
279.0,1424.0,336.0,1424.0,279.0,1424.0,3249.0,100489.0,103738.0,57.0,317.0,322.0838400168503,0.1769725547143811,1.392886729024885,100.19346908709174
279.0,1424.0,336.0,1424.0,279.0,1424.0,3249.0,100489.0,103738.0,57.0,317.0,322.0838400168503,0.1769725547143811,1.392886729024885,100.19346908709174
277.0,1425.0,340.0,1425.0,277.0,1425.0,3969.0,98596.0,102565.0,63.0,314.0,320.2577087284551,0.19671657631641082,1.372788397150159,101.34501867876679
278.0,1422.0,329.0,1422.0,278.0,1422.0,2601.0,101124.0,103725.0,51.0,318.0,322.0636583037583,0.1583537871630916,1.4117731470386354,99.111357044784
279.0,1421.0,342.0,1421.0,279.0,1421.0,3969.0,104329.0,108298.0,63.0,323.0,329.0866147384302,0.1914389622017129,1.3781683112763414,101.03677230519374
280.0,1421.0,343.0,1421.0,280.0,1421.0,3969.0,103684.0,107653.0,63.0,322.0,328.105166067223,0.19201160638565623,1.3775848429470905,101.07020257793937
280.0,1422.0,343.0,1422.0,280.0,1422.0,3969.0,103684.0,107653.0,63.0,322.0,328.105166067223,0.19201160638565623,1.3775848429470905,101.07020257793937
281.0,1421.0,344.0,1421.0,281.0,1421.0,3969.0,103041.0,107010.0,63.0,321.0,327.1238297648155,0.192587620551195,1.3769978737325597,101.1038334366361
280.0,1422.0,337.0,1422.0,280.0,1422.0,3249.0,103684.0,106933.0,57.0,322.0,327.00611615075337,0.1743086663667244,1.3955926840811534,100.03842928281547
281.0,1422.0,344.0,1422.0,281.0,1422.0,3969.0,103684.0,107653.0,63.0,322.0,328.105166067223,0.19201160638565623,1.3775848429470905,101.07020257793937
281.0,1422.0,344.0,1422.0,281.0,1422.0,3969.0,102400.0,106369.0,63.0,320.0,326.1426068455331,0.1931670339221821,1.376407372437417,101.13766666864477
281.0,1422.0,344.0,1422.0,281.0,1422.0,3969.0,102400.0,106369.0,63.0,320.0,326.1426068455331,0.1931670339221821,1.376407372437417,101.13766666864477
280.0,1423.0,349.0,1423.0,280.0,1423.0,4761.0,103684.0,108445.0,69.0,322.0,329.3098844553561,0.20952908873087348,1.35970299357215,102.0947570770121
281.0,1422.0,344.0,1422.0,281.0,1422.0,3969.0,103041.0,107010.0,63.0,321.0,327.1238297648155,0.192587620551195,1.3769978737325597,101.1038334366361
277.0,1425.0,339.0,1425.0,277.0,1425.0,3844.0,98596.0,102440.0,62.0,314.0,320.0624938976762,0.19371216928598128,1.3758517424292616,101.1695019230829
279.0,1424.0,335.0,1424.0,279.0,1424.0,3136.0,100489.0,103625.0,56.0,317.0,321.90837205639747,0.17396254605701575,1.3959441745764345,100.01829036089691
277.0,1425.0,340.0,1425.0,277.0,1425.0,3969.0,98596.0,102565.0,63.0,314.0,320.2577087284551,0.19671657631641082,1.372788397150159,101.34501867876679
280.0,1422.0,343.0,1422.0,280.0,1422.0,3969.0,103684.0,107653.0,63.0,322.0,328.105166067223,0.19201160638565623,1.3775848429470905,101.07020257793937
278.0,1423.0,330.0,1423.0,278.0,1423.0,2704.0,101124.0,103828.0,52.0,318.0,322.2235249015813,0.1613786579235103,1.4087088643077772,99.28692751249699
278.0,1425.0,334.0,1425.0,278.0,1425.0,3136.0,101124.0,104260.0,56.0,318.0,322.893171188243,0.1734319737822905,1.3964829365261924,99.98742157501354
281.0,1421.0,344.0,1421.0,281.0,1421.0,3969.0,103041.0,107010.0,63.0,321.0,327.1238297648155,0.192587620551195,1.3769978737325597,101.1038334366361
281.0,1422.0,344.0,1422.0,281.0,1422.0,3969.0,102400.0,106369.0,63.0,320.0,326.1426068455331,0.1931670339221821,1.376407372437417,101.13766666864477
280.0,1422.0,343.0,1422.0,280.0,1422.0,3969.0,103041.0,107010.0,63.0,321.0,327.1238297648155,0.192587620551195,1.3769978737325597,101.1038334366361
276.0,1420.0,344.0,1420.0,276.0,1420.0,4624.0,102400.0,107024.0,68.0,320.0,327.1452276894774,0.20785875582004468,1.361410933841401,101.99689930792357
277.0,1423.0,334.0,1423.0,277.0,1423.0,3249.0,101124.0,104373.0,57.0,318.0,323.0681042752441,0.1764333874056405,1.3934345161980017,100.16208319400076
277.0,1424.0,340.0,1424.0,277.0,1424.0,3969.0,101124.0,105093.0,63.0,318.0,324.18050527445354,0.19433617683661683,1.37521564698507,101.20594750740257
279.0,1423.0,335.0,1423.0,279.0,1423.0,3136.0,100489.0,103625.0,56.0,317.0,321.90837205639747,0.17396254605701575,1.3959441745764345,100.01829036089691
281.0,1426.0,344.0,1426.0,281.0,1426.0,3969.0,99225.0,103194.0,63.0,315.0,321.23822935634547,0.19611613513818402,1.373400766945016,101.30993247402021
277.0,1423.0,339.0,1423.0,277.0,1423.0,3844.0,97969.0,101813.0,62.0,313.0,319.0814942926023,0.1943077273642987,1.3752446493052477,101.2042857968603
278.0,1423.0,335.0,1423.0,278.0,1423.0,3249.0,100489.0,103738.0,57.0,317.0,322.0838400168503,0.1769725547143811,1.392886729024885,100.19346908709174
279.0,1422.0,336.0,1422.0,279.0,1422.0,3249.0,100489.0,103738.0,57.0,317.0,322.0838400168503,0.1769725547143811,1.392886729024885,100.19346908709174
277.0,1425.0,345.0,1425.0,277.0,1425.0,4624.0,98596.0,103220.0,68.0,314.0,321.27869521647403,0.21165424602519115,1.357529083953226,102.21931292321935
277.0,1424.0,339.0,1424.0,277.0,1424.0,3844.0,97969.0,101813.0,62.0,313.0,319.0814942926023,0.1943077273642987,1.3752446493052477,101.2042857968603
278.0,1424.0,335.0,1424.0,278.0,1424.0,3249.0,101124.0,104373.0,57.0,318.0,323.0681042752441,0.1764333874056405,1.3934345161980017,100.16208319400076
278.0,1424.0,335.0,1424.0,278.0,1424.0,3249.0,101124.0,104373.0,57.0,318.0,323.0681042752441,0.1764333874056405,1.3934345161980017,100.16208319400076
277.0,1424.0,340.0,1424.0,277.0,1424.0,3969.0,97969.0,101938.0,63.0,313.0,319.27730893378566,0.1973206308033167,1.3721722663345384,101.38032037412981
279.0,1424.0,335.0,1424.0,279.0,1424.0,3136.0,100489.0,103625.0,56.0,317.0,321.90837205639747,0.17396254605701575,1.3959441745764345,100.01829036089691
277.0,1425.0,339.0,1425.0,277.0,1425.0,3844.0,97344.0,101188.0,62.0,312.0,318.10061301418455,0.19490688626002534,1.3746338119427963,101.23928419969768
277.0,1424.0,334.0,1424.0,277.0,1424.0,3249.0,97344.0,100593.0,57.0,312.0,317.16399543453855,0.17971775113346553,1.3900968035156038,100.35332004392944
278.0,1423.0,329.0,1423.0,278.0,1423.0,2601.0,101124.0,103725.0,51.0,318.0,322.0636583037583,0.1583537871630916,1.4117731470386354,99.111357044784
277.0,1424.0,334.0,1424.0,277.0,1424.0,3249.0,97344.0,100593.0,57.0,312.0,317.16399543453855,0.17971775113346553,1.3900968035156038,100.35332004392944
276.0,1425.0,339.0,1425.0,276.0,1425.0,3969.0,97969.0,101938.0,63.0,313.0,319.27730893378566,0.1973206308033167,1.3721722663345384,101.38032037412981
277.0,1424.0,340.0,1424.0,277.0,1424.0,3969.0,97344.0,101313.0,63.0,312.0,318.29703108888714,0.19792833060515327,1.3715523402146905,101.41583952440702
277.0,1425.0,339.0,1425.0,277.0,1425.0,3844.0,94864.0,98708.0,62.0,308.0,314.17829333039543,0.19734017695105277,1.3721523281429349,101.38146274835982
279.0,1420.0,329.0,1420.0,279.0,1420.0,2500.0,96100.0,98600.0,50.0,310.0,314.00636936215164,0.15923243882462051,1.4108832036366774,99.1623470457217
280.0,1422.0,343.0,1422.0,280.0,1422.0,3969.0,99856.0,103825.0,63.0,316.0,322.21886971436044,0.19551927562730279,1.374009409596579,101.27505981885399
280.0,1422.0,349.0,1422.0,280.0,1422.0,4761.0,99225.0,103986.0,69.0,315.0,322.4686031228467,0.2139743197687806,1.3551546168804267,102.35535986508353
281.0,1426.0,344.0,1426.0,281.0,1426.0,3969.0,98596.0,102565.0,63.0,314.0,320.2577087284551,0.19671657631641082,1.372788397150159,101.34501867876679
277.0,1425.0,345.0,1425.0,277.0,1425.0,4624.0,94249.0,98873.0,68.0,307.0,314.4407734375426,0.21625694167015158,1.3528172738780773,102.48927975439258
277.0,1425.0,345.0,1425.0,277.0,1425.0,4624.0,94249.0,98873.0,68.0,307.0,314.4407734375426,0.21625694167015158,1.3528172738780773,102.48927975439258
276.0,1425.0,345.0,1425.0,276.0,1425.0,4761.0,94249.0,99010.0,69.0,307.0,314.65854509293086,0.21928532078994273,1.3497144245560833,102.66705992500786
276.0,1421.0,344.0,1421.0,276.0,1421.0,4624.0,101761.0,106385.0,68.0,319.0,326.16713507035007,0.2084820715776078,1.3607736569746054,102.03341258277229
276.0,1422.0,332.0,1422.0,276.0,1422.0,3136.0,90000.0,93136.0,56.0,300.0,305.1819129633996,0.18349711310288583,1.3862535296042822,100.57352341856091
277.0,1423.0,334.0,1423.0,277.0,1423.0,3249.0,101124.0,104373.0,57.0,318.0,323.0681042752441,0.1764333874056405,1.3934345161980017,100.16208319400076
276.0,1424.0,345.0,1424.0,276.0,1424.0,4761.0,97969.0,102730.0,69.0,313.0,320.5152102475014,0.2152783948902715,1.353819426683493,102.43186062821506
276.0,1420.0,345.0,1420.0,276.0,1420.0,4761.0,101761.0,106522.0,69.0,319.0,326.377082528783,0.21141190265378065,1.357777038324539,102.20510618423128
277.0,1424.0,340.0,1424.0,277.0,1424.0,3969.0,97969.0,101938.0,63.0,313.0,319.27730893378566,0.1973206308033167,1.3721722663345384,101.38032037412981
281.0,1421.0,349.0,1421.0,281.0,1421.0,4624.0,103041.0,107665.0,68.0,321.0,328.12345237730267,0.20723907269453007,1.3620444111750576,101.96060373028786
276.0,1421.0,345.0,1421.0,276.0,1421.0,4761.0,101761.0,106522.0,69.0,319.0,326.377082528783,0.21141190265378065,1.357777038324539,102.20510618423128
278.0,1425.0,340.0,1425.0,278.0,1425.0,3844.0,101124.0,104968.0,62.0,318.0,323.9876540857691,0.19136531660427644,1.3782433441030624,101.03247324089769
279.0,1423.0,336.0,1423.0,279.0,1423.0,3249.0,100489.0,103738.0,57.0,317.0,322.0838400168503,0.1769725547143811,1.392886729024885,100.19346908709174
