sho_x(coord),sho_y(coord),hip_x(coord),hip_y(coord),c_x(coord),c_y(coord),a_sq(dis),b_sq(dis),c_sq(dis),a(dis),b(dis),c(dis),cos(rad)),theta(theta),degree(deg)
285.0,1424.0,348.0,1424.0,285.0,1424.0,3969.0,101124.0,105093.0,63.0,318.0,324.18050527445354,0.19433617683661683,1.37521564698507,101.20594750740257
279.0,1425.0,348.0,1425.0,279.0,1425.0,4761.0,97344.0,102105.0,69.0,312.0,319.53873004692247,0.21593626534682586,1.3531457105078537,102.4704617216689
282.0,1423.0,344.0,1423.0,282.0,1423.0,3844.0,99856.0,103700.0,62.0,316.0,322.02484376209236,0.19253172915380642,1.3770548310714512,101.1005700215053
283.0,1423.0,339.0,1423.0,283.0,1423.0,3136.0,99856.0,102992.0,56.0,316.0,320.92366693654736,0.17449632348577224,1.395402106251474,100.04934858812487
282.0,1423.0,344.0,1423.0,282.0,1423.0,3844.0,99856.0,103700.0,62.0,316.0,322.02484376209236,0.19253172915380642,1.3770548310714512,101.1005700215053
283.0,1422.0,339.0,1422.0,283.0,1422.0,3136.0,99856.0,102992.0,56.0,316.0,320.92366693654736,0.17449632348577224,1.395402106251474,100.04934858812487
282.0,1423.0,344.0,1423.0,282.0,1423.0,3844.0,100489.0,104333.0,62.0,317.0,323.0061918911153,0.19194678478764293,1.3776508931451452,101.06641818035483
280.0,1424.0,348.0,1424.0,280.0,1424.0,4624.0,97969.0,102593.0,68.0,313.0,320.30142054009065,0.2123000262856741,1.3568682868169797,102.25717381024059
280.0,1425.0,348.0,1425.0,280.0,1425.0,4624.0,97344.0,101968.0,68.0,312.0,319.3242865802725,0.21294966545836472,1.356203445303673,102.29526642299814
280.0,1424.0,348.0,1424.0,280.0,1424.0,4624.0,97344.0,101968.0,68.0,312.0,319.3242865802725,0.21294966545836472,1.356203445303673,102.29526642299814
280.0,1424.0,348.0,1424.0,280.0,1424.0,4624.0,97344.0,101968.0,68.0,312.0,319.3242865802725,0.21294966545836472,1.356203445303673,102.29526642299814
280.0,1424.0,349.0,1424.0,280.0,1424.0,4761.0,94249.0,99010.0,69.0,307.0,314.65854509293086,0.21928532078994273,1.3497144245560833,102.66705992500786
281.0,1424.0,344.0,1424.0,281.0,1424.0,3969.0,97969.0,101938.0,63.0,313.0,319.27730893378566,0.1973206308033167,1.3721722663345384,101.38032037412981
281.0,1422.0,349.0,1422.0,281.0,1422.0,4624.0,100489.0,105113.0,68.0,317.0,324.211350819184,0.20973972634882945,1.3594875691894421,102.10709998494548
281.0,1423.0,349.0,1423.0,281.0,1423.0,4624.0,100489.0,105113.0,68.0,317.0,324.211350819184,0.20973972634882945,1.3594875691894421,102.10709998494548
280.0,1423.0,348.0,1423.0,280.0,1423.0,4624.0,97344.0,101968.0,68.0,312.0,319.3242865802725,0.21294966545836472,1.356203445303673,102.29526642299814
280.0,1423.0,353.0,1423.0,280.0,1423.0,5329.0,97344.0,102673.0,73.0,312.0,320.42627857277876,0.227821514281387,1.3409565524419151,103.16884903466502
284.0,1425.0,346.0,1425.0,284.0,1425.0,3844.0,98596.0,102440.0,62.0,314.0,320.0624938976762,0.19371216928598128,1.3758517424292616,101.1695019230829
283.0,1426.0,345.0,1426.0,283.0,1426.0,3844.0,98596.0,102440.0,62.0,314.0,320.0624938976762,0.19371216928598128,1.3758517424292616,101.1695019230829
284.0,1425.0,347.0,1425.0,284.0,1425.0,3969.0,97969.0,101938.0,63.0,313.0,319.27730893378566,0.1973206308033167,1.3721722663345384,101.38032037412981
284.0,1425.0,346.0,1425.0,284.0,1425.0,3844.0,97969.0,101813.0,62.0,313.0,319.0814942926023,0.1943077273642987,1.3752446493052477,101.2042857968603
285.0,1424.0,347.0,1424.0,285.0,1424.0,3844.0,97344.0,101188.0,62.0,312.0,318.10061301418455,0.19490688626002534,1.3746338119427963,101.23928419969768
284.0,1424.0,341.0,1424.0,284.0,1424.0,3249.0,101761.0,105010.0,57.0,319.0,324.05246488801777,0.17589744308748706,1.3939789755533207,100.13088797082456
285.0,1424.0,348.0,1424.0,285.0,1424.0,3969.0,97344.0,101313.0,63.0,312.0,318.29703108888714,0.19792833060515327,1.3715523402146905,101.41583952440702
283.0,1421.0,334.0,1421.0,283.0,1421.0,2601.0,99225.0,101826.0,51.0,315.0,319.1018646137938,0.15982357251884083,1.4102844013130376,99.1966558916289
281.0,1426.0,343.0,1426.0,281.0,1426.0,3844.0,96721.0,100565.0,62.0,311.0,317.11985116040904,0.19550967803853592,1.3740191960560333,101.27449909603088
281.0,1421.0,349.0,1421.0,281.0,1421.0,4624.0,100489.0,105113.0,68.0,317.0,324.211350819184,0.20973972634882945,1.3594875691894421,102.10709998494548
283.0,1421.0,345.0,1421.0,283.0,1421.0,3844.0,99225.0,103069.0,62.0,315.0,321.04361074470864,0.19312018032746933,1.3764551251927148,101.13493063730608
281.0,1422.0,349.0,1422.0,281.0,1422.0,4624.0,99856.0,104480.0,68.0,316.0,323.2336616133908,0.21037412892142582,1.3588386895522773,102.144278049567
282.0,1425.0,333.0,1425.0,282.0,1425.0,2601.0,95481.0,98082.0,51.0,309.0,313.1804591605294,0.16284540911876794,1.4072224512280382,99.37209270857907
283.0,1424.0,333.0,1424.0,283.0,1424.0,2500.0,94249.0,96749.0,50.0,307.0,311.0450128196882,0.16074843813356632,1.4093474210824788,99.2503409043271
285.0,1424.0,335.0,1424.0,285.0,1424.0,2500.0,89401.0,91901.0,50.0,299.0,303.1517771678075,0.1649338838357621,1.4051053500841904,99.49339366892389
283.0,1426.0,333.0,1426.0,283.0,1426.0,2500.0,94249.0,96749.0,50.0,307.0,311.0450128196882,0.16074843813356632,1.4093474210824788,99.2503409043271
282.0,1421.0,338.0,1421.0,282.0,1421.0,3136.0,97969.0,101105.0,56.0,313.0,317.9701243827791,0.17611717487202044,1.3937557591050052,100.14367733123095
284.0,1425.0,357.0,1425.0,284.0,1425.0,5329.0,95481.0,100810.0,73.0,309.0,317.5059054568907,0.22991698341784564,1.338803946588205,103.29218426503778
282.0,1423.0,337.0,1423.0,282.0,1423.0,3025.0,97344.0,100369.0,55.0,312.0,316.8106690122667,0.17360526453062863,1.3963069765686749,99.9975033379426
282.0,1422.0,338.0,1422.0,282.0,1422.0,3136.0,95481.0,98617.0,56.0,309.0,314.03343771006297,0.17832495930482095,1.391512465220497,100.27220860302076
289.0,1426.0,339.0,1426.0,289.0,1426.0,2500.0,95481.0,97981.0,50.0,309.0,313.0191687421075,0.15973462647967848,1.4103745049319556,99.19149333454604
283.0,1422.0,343.0,1422.0,283.0,1422.0,3600.0,99225.0,102825.0,60.0,315.0,320.66337489647924,0.18711210788999522,1.382574821490126,100.7842978675626
289.0,1422.0,350.0,1422.0,289.0,1422.0,3721.0,99225.0,102946.0,61.0,315.0,320.8519907994962,0.1901188141236111,1.3795131602591049,100.95971813439893
287.0,1423.0,359.0,1423.0,287.0,1423.0,5184.0,99225.0,104409.0,72.0,315.0,323.12381527829234,0.2228248015021411,1.346085158380254,102.87500155961247
285.0,1424.0,358.0,1424.0,285.0,1424.0,5329.0,101124.0,106453.0,73.0,318.0,326.27135945405934,0.2237401410965058,1.3451461113624377,102.9288049904977
288.0,1423.0,355.0,1423.0,288.0,1423.0,4489.0,110224.0,114713.0,67.0,332.0,338.6930763980864,0.19781921943172778,1.3716636523055068,101.40946181139446
286.0,1422.0,339.0,1422.0,286.0,1422.0,2809.0,99856.0,102665.0,53.0,316.0,320.41379495895615,0.16541110537013273,1.4046214824751966,99.52111724076231
289.0,1422.0,341.0,1422.0,289.0,1422.0,2704.0,97344.0,100048.0,52.0,312.0,316.30365157550744,0.1643989873053573,1.4056476493802699,99.46232220802561
286.0,1422.0,343.0,1422.0,286.0,1422.0,3249.0,99225.0,102474.0,57.0,315.0,320.11560411826224,0.1780606732902097,1.3917810497734109,100.2568198416964
288.0,1424.0,339.0,1424.0,288.0,1424.0,2601.0,97344.0,99945.0,51.0,312.0,316.1407914205315,0.16132052991592483,1.4087677640603302,99.28355280526134
286.0,1421.0,338.0,1421.0,286.0,1421.0,2704.0,98596.0,101300.0,52.0,314.0,318.27660925679095,0.16337989813774068,1.4066807068640137,99.40313237421269
285.0,1426.0,336.0,1426.0,285.0,1426.0,2601.0,97344.0,99945.0,51.0,312.0,316.1407914205315,0.16132052991592483,1.4087677640603302,99.28355280526134
285.0,1423.0,342.0,1423.0,285.0,1423.0,3249.0,97344.0,100593.0,57.0,312.0,317.16399543453855,0.17971775113346553,1.3900968035156038,100.35332004392944
285.0,1427.0,336.0,1427.0,285.0,1427.0,2601.0,96100.0,98701.0,51.0,310.0,314.1671529616042,0.1623339662317688,1.407740791273698,99.34239401161017
