sho_x(coord),sho_y(coord),hip_x(coord),hip_y(coord),c_x(coord),c_y(coord),a_sq(dis),b_sq(dis),c_sq(dis),a(dis),b(dis),c(dis),cos(rad)),theta(theta),degree(deg)
378.0,1352.0,403.0,1352.0,378.0,1352.0,625.0,68121.0,68746.0,25.0,261.0,262.1945842308723,0.09534903275495024,1.475302223108838,95.47140910959584
378.0,1352.0,403.0,1352.0,378.0,1352.0,625.0,68121.0,68746.0,25.0,261.0,262.1945842308723,0.09534903275495024,1.475302223108838,95.47140910959584
379.0,1352.0,404.0,1352.0,379.0,1352.0,625.0,67600.0,68225.0,25.0,260.0,261.1991577321795,0.0957124066442578,1.4749371796848834,95.49232455712743
379.0,1352.0,404.0,1352.0,379.0,1352.0,625.0,67600.0,68225.0,25.0,260.0,261.1991577321795,0.0957124066442578,1.4749371796848834,95.49232455712743
379.0,1351.0,404.0,1351.0,379.0,1351.0,625.0,67081.0,67706.0,25.0,259.0,260.20376630633154,0.09607854780460061,1.474569343315098,95.51340002866756
379.0,1351.0,404.0,1351.0,379.0,1351.0,625.0,67081.0,67706.0,25.0,259.0,260.20376630633154,0.09607854780460061,1.474569343315098,95.51340002866756
380.0,1351.0,405.0,1351.0,380.0,1351.0,625.0,67081.0,67706.0,25.0,259.0,260.20376630633154,0.09607854780460061,1.474569343315098,95.51340002866756
379.0,1351.0,404.0,1351.0,379.0,1351.0,625.0,67600.0,68225.0,25.0,260.0,261.1991577321795,0.0957124066442578,1.4749371796848834,95.49232455712743
379.0,1351.0,404.0,1351.0,379.0,1351.0,625.0,67081.0,67706.0,25.0,259.0,260.20376630633154,0.09607854780460061,1.474569343315098,95.51340002866756
379.0,1351.0,404.0,1351.0,379.0,1351.0,625.0,67081.0,67706.0,25.0,259.0,260.20376630633154,0.09607854780460061,1.474569343315098,95.51340002866756
379.0,1351.0,404.0,1351.0,379.0,1351.0,625.0,66564.0,67189.0,25.0,258.0,259.20841035738016,0.0964474878169716,1.4741986819238562,95.53463736201415
379.0,1351.0,404.0,1351.0,379.0,1351.0,625.0,66564.0,67189.0,25.0,258.0,259.20841035738016,0.0964474878169716,1.4741986819238562,95.53463736201415
379.0,1351.0,404.0,1351.0,379.0,1351.0,625.0,67600.0,68225.0,25.0,260.0,261.1991577321795,0.0957124066442578,1.4749371796848834,95.49232455712743
379.0,1351.0,404.0,1351.0,379.0,1351.0,625.0,67081.0,67706.0,25.0,259.0,260.20376630633154,0.09607854780460061,1.474569343315098,95.51340002866756
379.0,1352.0,404.0,1352.0,379.0,1352.0,625.0,66564.0,67189.0,25.0,258.0,259.20841035738016,0.0964474878169716,1.4741986819238562,95.53463736201415
379.0,1352.0,404.0,1352.0,379.0,1352.0,625.0,66564.0,67189.0,25.0,258.0,259.20841035738016,0.0964474878169716,1.4741986819238562,95.53463736201415
379.0,1351.0,404.0,1351.0,379.0,1351.0,625.0,67600.0,68225.0,25.0,260.0,261.1991577321795,0.0957124066442578,1.4749371796848834,95.49232455712743
379.0,1351.0,408.0,1351.0,379.0,1351.0,841.0,67600.0,68441.0,29.0,260.0,261.6123085789352,0.11085105344441372,1.459716986608504,96.3643773837782
380.0,1351.0,409.0,1351.0,380.0,1351.0,841.0,66564.0,67405.0,29.0,258.0,259.6247291765559,0.11169968320035786,1.4588630535700904,96.4133041428661
380.0,1351.0,409.0,1351.0,380.0,1351.0,841.0,68644.0,69485.0,29.0,262.0,263.60007587252323,0.11001514284094657,1.4605580414992991,96.31618848819681
380.0,1351.0,409.0,1351.0,380.0,1351.0,841.0,66564.0,67405.0,29.0,258.0,259.6247291765559,0.11169968320035786,1.4588630535700904,96.4133041428661
380.0,1351.0,409.0,1351.0,380.0,1351.0,841.0,68644.0,69485.0,29.0,262.0,263.60007587252323,0.11001514284094657,1.4605580414992991,96.31618848819681
379.0,1351.0,408.0,1351.0,379.0,1351.0,841.0,68121.0,68962.0,29.0,261.0,262.60616900598507,0.11043152607484655,1.460139105621001,96.3401917459099
379.0,1347.0,408.0,1347.0,379.0,1347.0,841.0,70225.0,71066.0,29.0,265.0,266.58206991468876,0.10878451056097112,1.4617961049329882,96.24525267867696
381.0,1347.0,410.0,1347.0,381.0,1347.0,841.0,70225.0,71066.0,29.0,265.0,266.58206991468876,0.10878451056097112,1.4617961049329882,96.24525267867696
381.0,1347.0,410.0,1347.0,381.0,1347.0,841.0,70225.0,71066.0,29.0,265.0,266.58206991468876,0.10878451056097112,1.4617961049329882,96.24525267867696
380.0,1348.0,409.0,1348.0,380.0,1348.0,841.0,69696.0,70537.0,29.0,264.0,265.5880268385606,0.10919166931281822,1.4613865062214133,96.2687209561442
