sho_x(coord),sho_y(coord),hip_x(coord),hip_y(coord),c_x(coord),c_y(coord),a_sq(dis),b_sq(dis),c_sq(dis),a(dis),b(dis),c(dis),cos(rad)),theta(theta),degree(deg)
344.0,1361.0,386.0,1361.0,344.0,1361.0,1764.0,63504.0,65268.0,42.0,252.0,255.47602627252522,0.1643989873053573,1.4056476493802699,99.46232220802561
343.0,1358.0,385.0,1358.0,343.0,1358.0,1764.0,64009.0,65773.0,42.0,253.0,256.46247288833507,0.1637666498610383,1.4062886749334933,99.42559414926586
343.0,1359.0,386.0,1359.0,343.0,1359.0,1849.0,64009.0,65858.0,43.0,253.0,256.62813563598206,0.16755762143319305,1.402444585382433,99.64584425661197
347.0,1359.0,385.0,1359.0,347.0,1359.0,1444.0,62001.0,63445.0,38.0,249.0,251.88290930509754,0.15086374897302715,1.4193543627390102,98.67698538157421
343.0,1357.0,386.0,1357.0,343.0,1357.0,1849.0,63504.0,65353.0,43.0,252.0,255.64232826353307,0.16820375675687302,1.4017891476285662,99.68339807364207
347.0,1357.0,386.0,1357.0,347.0,1357.0,1521.0,63504.0,65025.0,39.0,252.0,255.0,0.15294117647058825,1.4172525442553405,98.79741070999106
344.0,1359.0,386.0,1359.0,344.0,1359.0,1764.0,63504.0,65268.0,42.0,252.0,255.47602627252522,0.1643989873053573,1.4056476493802699,99.46232220802561
344.0,1359.0,386.0,1359.0,344.0,1359.0,1764.0,63001.0,64765.0,42.0,251.0,254.48968544913564,0.1650361582469497,1.4050016546380883,99.49933498034025
344.0,1357.0,387.0,1357.0,344.0,1357.0,1849.0,63504.0,65353.0,43.0,252.0,255.64232826353307,0.16820375675687302,1.4017891476285662,99.68339807364207
344.0,1357.0,387.0,1357.0,344.0,1357.0,1849.0,63504.0,65353.0,43.0,252.0,255.64232826353307,0.16820375675687302,1.4017891476285662,99.68339807364207
344.0,1358.0,386.0,1358.0,344.0,1358.0,1764.0,63504.0,65268.0,42.0,252.0,255.47602627252522,0.1643989873053573,1.4056476493802699,99.46232220802561
344.0,1358.0,386.0,1358.0,344.0,1358.0,1764.0,63504.0,65268.0,42.0,252.0,255.47602627252522,0.1643989873053573,1.4056476493802699,99.46232220802561
344.0,1358.0,386.0,1358.0,344.0,1358.0,1764.0,63504.0,65268.0,42.0,252.0,255.47602627252522,0.1643989873053573,1.4056476493802699,99.46232220802561
344.0,1358.0,386.0,1358.0,344.0,1358.0,1764.0,63504.0,65268.0,42.0,252.0,255.47602627252522,0.1643989873053573,1.4056476493802699,99.46232220802561
344.0,1358.0,386.0,1358.0,344.0,1358.0,1764.0,63001.0,64765.0,42.0,251.0,254.48968544913564,0.1650361582469497,1.4050016546380883,99.49933498034025
348.0,1358.0,386.0,1358.0,348.0,1358.0,1444.0,63001.0,64445.0,38.0,251.0,253.86019774671254,0.1496886882516111,1.4205429207392972,98.60888602445125
348.0,1358.0,386.0,1358.0,348.0,1358.0,1444.0,63504.0,64948.0,38.0,252.0,254.8489748851268,0.14910791780554936,1.4211302831052868,98.57523263983524
348.0,1358.0,386.0,1358.0,348.0,1358.0,1444.0,63504.0,64948.0,38.0,252.0,254.8489748851268,0.14910791780554936,1.4211302831052868,98.57523263983524
349.0,1359.0,387.0,1359.0,349.0,1359.0,1444.0,63001.0,64445.0,38.0,251.0,253.86019774671254,0.1496886882516111,1.4205429207392972,98.60888602445125
349.0,1359.0,387.0,1359.0,349.0,1359.0,1444.0,63001.0,64445.0,38.0,251.0,253.86019774671254,0.1496886882516111,1.4205429207392972,98.60888602445125
348.0,1358.0,387.0,1358.0,348.0,1358.0,1521.0,63001.0,64522.0,39.0,251.0,254.01181074902797,0.153536167806517,1.4166504416001118,98.8319086509693
352.0,1354.0,387.0,1354.0,352.0,1354.0,1225.0,65025.0,66250.0,35.0,255.0,257.390753524675,0.135980020730017,1.4343937223939491,97.81529354676688
349.0,1354.0,384.0,1354.0,349.0,1354.0,1225.0,62001.0,63226.0,35.0,249.0,251.44780770569466,0.13919389601903193,1.4311489871804446,98.00120318013816
