sho_x(coord),sho_y(coord),hip_x(coord),hip_y(coord),c_x(coord),c_y(coord),a_sq(dis),b_sq(dis),c_sq(dis),a(dis),b(dis),c(dis),cos(rad)),theta(theta),degree(deg)
318.0,1386.0,434.0,1386.0,318.0,1386.0,13456.0,76176.0,89632.0,116.0,276.0,299.38603841862766,0.387459617732069,1.1729219691777273,112.7965214679426
319.0,1386.0,435.0,1386.0,319.0,1386.0,13456.0,75625.0,89081.0,116.0,275.0,298.46440323763903,0.3886560633082939,1.171623791832765,112.87090155086844
319.0,1389.0,435.0,1389.0,319.0,1389.0,13456.0,75625.0,89081.0,116.0,275.0,298.46440323763903,0.3886560633082939,1.171623791832765,112.87090155086844
319.0,1389.0,435.0,1389.0,319.0,1389.0,13456.0,75625.0,89081.0,116.0,275.0,298.46440323763903,0.3886560633082939,1.171623791832765,112.87090155086844
318.0,1389.0,434.0,1389.0,318.0,1389.0,13456.0,75625.0,89081.0,116.0,275.0,298.46440323763903,0.3886560633082939,1.171623791832765,112.87090155086844
319.0,1389.0,435.0,1389.0,319.0,1389.0,13456.0,76176.0,89632.0,116.0,276.0,299.38603841862766,0.387459617732069,1.1729219691777273,112.7965214679426
319.0,1386.0,435.0,1386.0,319.0,1386.0,13456.0,75625.0,89081.0,116.0,275.0,298.46440323763903,0.3886560633082939,1.171623791832765,112.87090155086844
315.0,1386.0,435.0,1386.0,315.0,1386.0,14400.0,77841.0,92241.0,120.0,279.0,303.71203466441693,0.39511111284277095,1.1646075243758967,113.27290406408198
319.0,1385.0,435.0,1385.0,319.0,1385.0,13456.0,76176.0,89632.0,116.0,276.0,299.38603841862766,0.387459617732069,1.1729219691777273,112.7965214679426
315.0,1385.0,435.0,1385.0,315.0,1385.0,14400.0,78400.0,92800.0,120.0,280.0,304.63092423455635,0.39391929857916763,1.1659045405098132,113.19859051364818
319.0,1389.0,435.0,1389.0,319.0,1389.0,13456.0,75076.0,88532.0,116.0,274.0,297.54327416360803,0.3898592577031867,1.1703175745273264,112.94574228959702
