sho_x(coord),sho_y(coord),hip_x(coord),hip_y(coord),c_x(coord),c_y(coord),a_sq(dis),b_sq(dis),c_sq(dis),a(dis),b(dis),c(dis),cos(rad)),theta(theta),degree(deg)
389.0,1381.0,437.0,1381.0,389.0,1381.0,2304.0,79524.0,81828.0,48.0,282.0,286.05593858544523,0.16779934804836202,1.402199387185467,99.65989307844234
389.0,1381.0,437.0,1381.0,389.0,1381.0,2304.0,79524.0,81828.0,48.0,282.0,286.05593858544523,0.16779934804836202,1.402199387185467,99.65989307844234
388.0,1381.0,437.0,1381.0,388.0,1381.0,2401.0,76729.0,79130.0,49.0,277.0,281.30055101261354,0.17419091368151224,1.3957122661954475,100.03157773236117
388.0,1381.0,437.0,1381.0,388.0,1381.0,2401.0,77284.0,79685.0,49.0,278.0,282.2853166567471,0.17358324046157508,1.396329340178605,99.99622199747893
388.0,1381.0,437.0,1381.0,388.0,1381.0,2401.0,77284.0,79685.0,49.0,278.0,282.2853166567471,0.17358324046157508,1.396329340178605,99.99622199747893
388.0,1381.0,437.0,1381.0,388.0,1381.0,2401.0,77284.0,79685.0,49.0,278.0,282.2853166567471,0.17358324046157508,1.396329340178605,99.99622199747893
388.0,1381.0,437.0,1381.0,388.0,1381.0,2401.0,77284.0,79685.0,49.0,278.0,282.2853166567471,0.17358324046157508,1.396329340178605,99.99622199747893
388.0,1382.0,437.0,1382.0,388.0,1382.0,2401.0,76729.0,79130.0,49.0,277.0,281.30055101261354,0.17419091368151224,1.3957122661954475,100.03157773236117
388.0,1382.0,437.0,1382.0,388.0,1382.0,2401.0,76729.0,79130.0,49.0,277.0,281.30055101261354,0.17419091368151224,1.3957122661954475,100.03157773236117
388.0,1382.0,437.0,1382.0,388.0,1382.0,2401.0,76729.0,79130.0,49.0,277.0,281.30055101261354,0.17419091368151224,1.3957122661954475,100.03157773236117
388.0,1382.0,437.0,1382.0,388.0,1382.0,2401.0,76729.0,79130.0,49.0,277.0,281.30055101261354,0.17419091368151224,1.3957122661954475,100.03157773236117
388.0,1382.0,437.0,1382.0,388.0,1382.0,2401.0,76729.0,79130.0,49.0,277.0,281.30055101261354,0.17419091368151224,1.3957122661954475,100.03157773236117
388.0,1382.0,437.0,1382.0,388.0,1382.0,2401.0,76729.0,79130.0,49.0,277.0,281.30055101261354,0.17419091368151224,1.3957122661954475,100.03157773236117
388.0,1382.0,437.0,1382.0,388.0,1382.0,2401.0,77284.0,79685.0,49.0,278.0,282.2853166567471,0.17358324046157508,1.396329340178605,99.99622199747893
388.0,1382.0,437.0,1382.0,388.0,1382.0,2401.0,76729.0,79130.0,49.0,277.0,281.30055101261354,0.17419091368151224,1.3957122661954475,100.03157773236117
388.0,1381.0,437.0,1381.0,388.0,1381.0,2401.0,80089.0,82490.0,49.0,283.0,287.2107240337658,0.17060644293434996,1.3993512242888388,99.82308079178488
389.0,1382.0,437.0,1382.0,389.0,1382.0,2304.0,76729.0,79033.0,48.0,277.0,281.12808468738945,0.1707406787670301,1.3992149895696442,99.83088646621789
389.0,1382.0,437.0,1382.0,389.0,1382.0,2304.0,76729.0,79033.0,48.0,277.0,281.12808468738945,0.1707406787670301,1.3992149895696442,99.83088646621789
388.0,1382.0,437.0,1382.0,388.0,1382.0,2401.0,76729.0,79130.0,49.0,277.0,281.30055101261354,0.17419091368151224,1.3957122661954475,100.03157773236117
388.0,1382.0,436.0,1382.0,388.0,1382.0,2304.0,76729.0,79033.0,48.0,277.0,281.12808468738945,0.1707406787670301,1.3992149895696442,99.83088646621789
390.0,1377.0,438.0,1377.0,390.0,1377.0,2304.0,78961.0,81265.0,48.0,281.0,285.07016680108774,0.1683795976921456,1.401610762428197,99.69361879275081
390.0,1377.0,438.0,1377.0,390.0,1377.0,2304.0,81796.0,84100.0,48.0,286.0,290.0,0.16551724137931034,1.404513863018014,99.52728338145236
388.0,1377.0,437.0,1377.0,388.0,1377.0,2401.0,79524.0,81925.0,49.0,282.0,286.2254356272342,0.17119373018900794,1.3987551680625194,99.85723229790548
388.0,1377.0,437.0,1377.0,388.0,1377.0,2401.0,80089.0,82490.0,49.0,283.0,287.2107240337658,0.17060644293434996,1.3993512242888388,99.82308079178488
388.0,1378.0,437.0,1378.0,388.0,1378.0,2401.0,78961.0,81362.0,49.0,281.0,285.2402496142506,0.17178501304169366,1.3981549942066274,99.89161972682219
388.0,1377.0,437.0,1377.0,388.0,1377.0,2401.0,81796.0,84197.0,49.0,286.0,290.1671931835162,0.16886815998185556,1.4011151025156945,99.72201801381104
389.0,1377.0,437.0,1377.0,389.0,1377.0,2304.0,81796.0,84100.0,48.0,286.0,290.0,0.16551724137931034,1.404513863018014,99.52728338145236
