sho_x(coord),sho_y(coord),hip_x(coord),hip_y(coord),c_x(coord),c_y(coord),a_sq(dis),b_sq(dis),c_sq(dis),a(dis),b(dis),c(dis),cos(rad)),theta(theta),degree(deg)
317.0,1387.0,438.0,1387.0,317.0,1387.0,14641.0,78400.0,93041.0,121.0,280.0,305.026228380446,0.3966871984827545,1.1628912048176598,113.3712419310647
317.0,1387.0,437.0,1387.0,317.0,1387.0,14400.0,78400.0,92800.0,120.0,280.0,304.63092423455635,0.39391929857916763,1.1659045405098132,113.19859051364818
317.0,1387.0,439.0,1387.0,317.0,1387.0,14884.0,76729.0,91613.0,122.0,277.0,302.67639485100256,0.4030707451106536,1.1559265636328382,113.77028647677798
317.0,1388.0,438.0,1388.0,317.0,1388.0,14641.0,76176.0,90817.0,121.0,276.0,301.3585903869342,0.401515018518769,1.1576258625431637,113.67292382108515
317.0,1391.0,438.0,1391.0,317.0,1391.0,14641.0,73984.0,88625.0,121.0,272.0,297.6995129320839,0.40645011074507365,1.1522309331088376,113.98203050844293
317.0,1387.0,438.0,1387.0,317.0,1387.0,14641.0,76176.0,90817.0,121.0,276.0,301.3585903869342,0.401515018518769,1.1576258625431637,113.67292382108515
316.0,1391.0,437.0,1391.0,316.0,1391.0,14641.0,75625.0,90266.0,121.0,275.0,300.4430062424486,0.40273861426601687,1.1562894522101106,113.74949449286676
316.0,1391.0,437.0,1391.0,316.0,1391.0,14641.0,75625.0,90266.0,121.0,275.0,300.4430062424486,0.40273861426601687,1.1562894522101106,113.74949449286676
315.0,1390.0,436.0,1390.0,315.0,1390.0,14641.0,76176.0,90817.0,121.0,276.0,301.3585903869342,0.401515018518769,1.1576258625431637,113.67292382108515
315.0,1390.0,436.0,1390.0,315.0,1390.0,14641.0,73441.0,88082.0,121.0,271.0,296.7861182737495,0.4077010094130887,1.1508614275532483,114.06049739679793
315.0,1389.0,436.0,1389.0,315.0,1389.0,14641.0,76176.0,90817.0,121.0,276.0,301.3585903869342,0.401515018518769,1.1576258625431637,113.67292382108515
315.0,1389.0,436.0,1389.0,315.0,1389.0,14641.0,76176.0,90817.0,121.0,276.0,301.3585903869342,0.401515018518769,1.1576258625431637,113.67292382108515
315.0,1389.0,436.0,1389.0,315.0,1389.0,14641.0,76176.0,90817.0,121.0,276.0,301.3585903869342,0.401515018518769,1.1576258625431637,113.67292382108515
315.0,1389.0,436.0,1389.0,315.0,1389.0,14641.0,76176.0,90817.0,121.0,276.0,301.3585903869342,0.401515018518769,1.1576258625431637,113.67292382108515
315.0,1389.0,436.0,1389.0,315.0,1389.0,14641.0,76176.0,90817.0,121.0,276.0,301.3585903869342,0.401515018518769,1.1576258625431637,113.67292382108515
315.0,1389.0,436.0,1389.0,315.0,1389.0,14641.0,76176.0,90817.0,121.0,276.0,301.3585903869342,0.401515018518769,1.1576258625431637,113.67292382108515
315.0,1388.0,436.0,1388.0,315.0,1388.0,14641.0,76176.0,90817.0,121.0,276.0,301.3585903869342,0.401515018518769,1.1576258625431637,113.67292382108515
315.0,1388.0,436.0,1388.0,315.0,1388.0,14641.0,76176.0,90817.0,121.0,276.0,301.3585903869342,0.401515018518769,1.1576258625431637,113.67292382108515
315.0,1389.0,436.0,1389.0,315.0,1389.0,14641.0,76176.0,90817.0,121.0,276.0,301.3585903869342,0.401515018518769,1.1576258625431637,113.67292382108515
315.0,1389.0,436.0,1389.0,315.0,1389.0,14641.0,75625.0,90266.0,121.0,275.0,300.4430062424486,0.40273861426601687,1.1562894522101106,113.74949449286676
315.0,1388.0,436.0,1388.0,315.0,1388.0,14641.0,76176.0,90817.0,121.0,276.0,301.3585903869342,0.401515018518769,1.1576258625431637,113.67292382108515
315.0,1388.0,436.0,1388.0,315.0,1388.0,14641.0,76176.0,90817.0,121.0,276.0,301.3585903869342,0.401515018518769,1.1576258625431637,113.67292382108515
315.0,1387.0,436.0,1387.0,315.0,1387.0,14641.0,76729.0,91370.0,121.0,277.0,302.27470949452584,0.4002981268341647,1.1589541745850915,113.59681714720628
315.0,1387.0,436.0,1387.0,315.0,1387.0,14641.0,76176.0,90817.0,121.0,276.0,301.3585903869342,0.401515018518769,1.1576258625431637,113.67292382108515
315.0,1389.0,436.0,1389.0,315.0,1389.0,14641.0,73441.0,88082.0,121.0,271.0,296.7861182737495,0.4077010094130887,1.1508614275532483,114.06049739679793
315.0,1389.0,436.0,1389.0,315.0,1389.0,14641.0,76176.0,90817.0,121.0,276.0,301.3585903869342,0.401515018518769,1.1576258625431637,113.67292382108515
315.0,1389.0,436.0,1389.0,315.0,1389.0,14641.0,75625.0,90266.0,121.0,275.0,300.4430062424486,0.40273861426601687,1.1562894522101106,113.74949449286676
315.0,1389.0,436.0,1389.0,315.0,1389.0,14641.0,76176.0,90817.0,121.0,276.0,301.3585903869342,0.401515018518769,1.1576258625431637,113.67292382108515
315.0,1389.0,436.0,1389.0,315.0,1389.0,14641.0,76729.0,91370.0,121.0,277.0,302.27470949452584,0.4002981268341647,1.1589541745850915,113.59681714720628
315.0,1389.0,436.0,1389.0,315.0,1389.0,14641.0,76176.0,90817.0,121.0,276.0,301.3585903869342,0.401515018518769,1.1576258625431637,113.67292382108515
317.0,1389.0,438.0,1389.0,317.0,1389.0,14641.0,76176.0,90817.0,121.0,276.0,301.3585903869342,0.401515018518769,1.1576258625431637,113.67292382108515
317.0,1389.0,438.0,1389.0,317.0,1389.0,14641.0,76176.0,90817.0,121.0,276.0,301.3585903869342,0.401515018518769,1.1576258625431637,113.67292382108515
318.0,1390.0,438.0,1390.0,318.0,1390.0,14400.0,75625.0,90025.0,120.0,275.0,300.04166377354994,0.39994445601584,1.1593400833811944,113.5747062019126
317.0,1390.0,438.0,1390.0,317.0,1390.0,14641.0,75625.0,90266.0,121.0,275.0,300.4430062424486,0.40273861426601687,1.1562894522101106,113.74949449286676
319.0,1386.0,439.0,1386.0,319.0,1386.0,14400.0,77284.0,91684.0,120.0,278.0,302.7936591145858,0.3963094879559171,1.163302638315449,113.34766852809108
319.0,1385.0,439.0,1385.0,319.0,1385.0,14400.0,77841.0,92241.0,120.0,279.0,303.71203466441693,0.39511111284277095,1.1646075243758967,113.27290406408198
319.0,1386.0,439.0,1386.0,319.0,1386.0,14400.0,77841.0,92241.0,120.0,279.0,303.71203466441693,0.39511111284277095,1.1646075243758967,113.27290406408198
