x_cog,y_cog
567.38,1249.68
565.53,1239.07
567.28,1249.65
568.89,1249.47
567.28,1247.94
566.38,1246.95
567.24,1249.63
566.14,1250.03
567.68,1247.82
567.22,1246.96
567.91,1247.08
567.2,1248.28
566.16,1246.55
567.57,1247.18
565.59,1246.31
565.54,1245.57
566.81,1246.01
567.49,1245.65
565.5,1245.6
568.05,1245.25
566.47,1245.12
566.06,1246.46
568.7,1246.37
568.14,1249.32
567.75,1245.79
566.72,1244.7
567.21,1249.05
567.8,1247.69
568.61,1248.2
566.96,1245.57
568.51,1245.21
567.79,1243.49
567.27,1246.02
564.47,1242.12
566.76,1241.79
567.75,1242.01
566.6,1244.84
565.86,1242.72
563.26,1241.36
563.14,1243.58
560.28,1244.61
556.33,1244.75
552.74,1243.78
546.23,1242.52
545.8,1246.75
541.66,1242.28
539.74,1244.38
535.5,1241.46
535.69,1246.19
534.76,1245.54
529.73,1244.6
528.0,1244.47
521.96,1247.95
516.06,1244.29
514.36,1243.95
512.47,1245.34
504.97,1246.37
503.86,1254.47
502.17,1249.75
489.94,1249.62
490.22,1252.7
484.11,1250.69
480.61,1250.77
476.02,1250.82
469.17,1253.4
464.43,1254.74
457.19,1255.83
451.91,1252.99
442.97,1246.81
436.63,1245.1
433.39,1244.02
427.12,1233.74
422.95,1228.52
425.45,1211.24
414.93,1213.6
411.51,1204.25
401.9,1197.31
398.79,1186.31
392.97,1173.33
390.59,1160.09
390.62,1148.82
389.12,1135.63
384.16,1124.0
379.92,1109.75
377.42,1096.02
374.65,1083.07
371.36,1071.34
366.96,1057.9
366.02,1046.93
364.02,1037.23
363.14,1029.87
361.95,1019.93
356.43,1013.82
354.72,1006.79
351.39,1002.73
348.9,1002.74
351.66,997.24
346.94,997.76
347.4,992.38
349.85,993.19
347.52,991.15
346.09,988.32
349.06,988.7
345.7,988.65
344.79,991.39
342.81,991.71
341.21,990.95
339.73,988.31
337.54,988.73
336.09,986.58
335.54,985.46
331.58,987.8
330.69,987.06
330.0,985.11
326.82,985.55
324.92,985.34
324.23,982.44
324.04,984.2
322.78,984.79
321.13,983.72
318.9,984.61
316.51,984.4
316.85,987.35
313.58,987.28
312.34,987.97
311.45,988.56
311.03,988.9
309.41,987.74
309.41,986.87
307.75,990.12
308.96,990.1
307.48,990.86
307.61,989.88
307.3,988.61
308.96,990.88
309.62,989.48
308.59,988.55
308.86,993.05
308.14,994.42
307.93,990.82
307.58,990.3
309.42,990.24
309.33,990.84
308.43,987.93
306.54,990.12
309.78,989.19
308.92,992.83
310.9,991.69
310.96,989.56
311.16,989.79
310.45,994.13
311.39,992.11
311.47,993.2
312.47,990.61
311.87,991.11
312.39,991.19
314.65,990.29
312.86,989.91
314.91,989.44
315.65,990.29
313.92,990.69
314.96,991.03
315.75,992.12
313.31,990.74
312.26,991.04
312.12,991.17
315.03,990.58
315.03,989.68
312.75,991.49
314.18,990.82
314.32,991.26
313.98,994.19
315.25,995.41
316.35,994.02
316.5,994.82
315.8,994.05
316.21,992.79
316.64,994.02
316.59,993.53
316.22,994.72
317.33,994.95
315.61,992.55
316.07,993.78
317.34,989.79
317.58,990.55
317.09,994.0
317.41,993.83
318.94,995.77
319.42,995.81
318.39,992.86
317.13,993.18
318.12,992.47
318.5,993.53
318.48,993.53
318.0,993.38
318.48,992.72
318.36,993.0
318.49,992.83
318.61,992.77
318.27,994.19
318.35,991.7
317.97,993.84
318.36,991.14
316.56,991.34
316.7,991.52
316.81,991.71
319.7,994.55
319.94,994.63
319.79,992.67
318.63,992.79
319.13,992.33
319.4,992.63
320.14,990.76
316.27,993.68
321.91,993.47
322.61,993.45
319.38,994.55
321.9,993.29
318.71,993.46
321.69,994.26
320.52,993.85
320.89,992.22
319.32,995.76
320.66,995.59
319.33,995.63
320.09,993.51
319.34,993.05
319.12,993.34
320.7,993.86
322.14,992.74
320.88,993.2
322.31,992.88
321.01,993.45
320.83,993.36
323.01,991.87
321.17,993.08
324.87,991.67
324.82,990.52
326.84,992.89
324.68,991.13
327.72,992.72
327.58,992.88
326.99,992.62
327.72,991.56
325.74,991.65
327.1,990.42
326.32,993.26
327.9,992.95
327.68,993.48
324.78,994.4
326.39,992.28
327.68,992.19
329.01,990.38
325.9,992.72
327.29,991.66
327.11,990.6
328.27,990.63
328.48,991.06
328.77,990.51
326.61,990.5
328.82,992.15
329.13,990.29
328.28,989.97
327.23,990.31
325.89,991.47
330.73,990.45
329.35,992.42
328.28,990.6
329.17,989.2
328.51,988.1
328.08,990.46
331.07,988.07
328.45,988.25
327.51,988.18
326.16,987.39
326.01,986.83
326.33,989.21
327.71,988.71
327.74,989.63
327.49,987.88
327.62,988.17
328.27,988.37
328.22,986.59
328.4,989.12
327.83,989.81
327.95,989.29
329.0,990.04
329.39,989.8
329.23,990.57
330.48,990.61
330.75,990.59
329.44,990.87
331.46,989.36
331.86,989.89
332.03,990.25
332.05,988.94
330.94,991.82
327.41,991.44
328.66,988.98
330.7,989.66
330.84,988.0
330.84,989.32
328.4,988.03
331.24,986.48
331.04,986.46
332.95,984.11
334.39,986.77
333.76,986.73
334.74,985.12
337.13,986.47
337.61,990.15
340.47,991.31
337.53,996.48
339.74,997.23
340.97,996.43
339.88,996.97
343.41,999.7
342.29,1004.49
345.24,1008.58
347.63,1011.49
352.76,1014.97
356.27,1020.29
357.06,1022.49
357.34,1027.55
354.4,1030.73
356.14,1037.05
359.93,1042.31
362.9,1047.94
363.57,1054.02
363.6,1059.43
365.16,1068.08
367.95,1072.06
372.84,1078.08
374.47,1082.44
376.34,1087.92
377.78,1094.45
383.71,1096.31
386.13,1100.38
388.94,1109.48
388.52,1114.5
386.43,1118.45
391.02,1119.94
391.28,1132.29
394.03,1136.59
395.55,1145.93
393.37,1149.48
410.38,1161.33
401.86,1161.38
401.09,1166.03
408.08,1172.74
411.01,1174.96
413.89,1180.38
418.6,1186.9
422.32,1190.82
424.35,1196.83
427.69,1199.78
429.56,1203.65
441.91,1215.82
433.71,1216.31
436.13,1217.87
440.5,1221.59
442.84,1224.32
448.92,1226.65
453.68,1229.03
458.16,1231.43
460.5,1230.06
466.92,1232.52
473.0,1232.16
478.4,1235.05
482.96,1232.3
485.91,1234.02
491.28,1231.58
496.45,1234.56
500.96,1228.39
500.93,1233.89
497.94,1233.93
502.66,1235.2
504.99,1235.56
504.43,1234.4
508.49,1233.4
512.57,1230.74
518.3,1229.27
530.15,1228.56
531.45,1228.99
533.72,1228.34
539.63,1230.23
542.82,1230.89
546.86,1226.94
547.57,1228.12
552.12,1228.51
554.12,1229.24
558.48,1218.98
560.49,1219.89
564.01,1221.38
564.87,1231.15
569.29,1230.55
567.87,1230.77
571.84,1224.07
569.33,1223.97
572.95,1224.53
571.15,1233.54
571.58,1235.53
573.53,1233.83
