x_cog,y_cog
560.92,1249.84
561.06,1249.0
559.54,1248.88
560.55,1248.7
561.75,1249.14
562.62,1251.21
559.74,1247.25
561.09,1247.33
563.06,1249.21
564.69,1248.3
563.4,1248.69
564.37,1247.82
564.39,1249.83
567.56,1249.68
565.14,1251.48
563.75,1251.06
568.31,1249.72
564.57,1251.08
565.45,1251.08
562.64,1251.13
562.48,1250.08
564.72,1251.57
563.9,1252.04
564.36,1250.23
564.58,1250.61
563.73,1250.93
565.6,1248.67
564.28,1248.28
561.39,1248.45
562.27,1248.18
561.14,1247.36
561.68,1247.52
565.72,1247.19
565.05,1244.35
565.85,1245.47
563.85,1244.79
559.1,1241.83
559.4,1242.45
552.88,1241.27
548.59,1238.64
545.4,1240.79
543.9,1238.3
538.09,1239.57
536.35,1241.9
530.4,1239.71
529.25,1242.86
524.92,1242.57
524.18,1241.08
520.78,1245.22
517.99,1244.83
515.54,1243.96
511.37,1245.64
509.1,1251.2
502.45,1244.53
495.81,1249.04
487.4,1243.01
488.59,1245.09
479.82,1240.39
475.18,1239.86
465.46,1239.13
458.66,1238.26
451.75,1232.66
445.95,1228.24
440.15,1218.42
434.12,1212.82
429.39,1206.29
423.33,1197.54
417.2,1186.69
412.51,1181.25
409.52,1168.01
408.64,1161.13
398.36,1147.62
393.8,1134.5
389.93,1121.74
386.0,1111.51
383.28,1098.38
384.26,1087.58
377.09,1074.41
375.76,1063.13
372.03,1051.87
370.16,1042.73
365.06,1034.32
361.73,1026.1
361.71,1019.32
360.2,1014.14
355.95,1010.33
353.12,1004.79
350.9,1001.9
348.62,998.7
347.46,995.51
341.25,993.58
342.22,989.24
343.41,987.65
343.85,988.8
339.69,987.08
340.53,987.58
335.56,985.04
330.15,984.36
330.2,982.17
331.77,983.52
331.69,983.27
330.73,981.85
334.49,981.86
325.59,983.18
330.41,982.17
326.41,984.83
326.44,982.3
325.79,986.32
324.01,983.18
323.05,983.45
321.56,984.58
321.93,983.65
322.2,982.04
319.58,985.69
318.93,985.88
318.98,986.81
317.65,986.53
317.46,989.91
315.14,990.9
315.36,991.6
317.97,990.08
315.02,986.6
315.61,990.99
315.1,986.59
316.81,992.7
316.76,991.01
315.47,991.84
315.5,992.83
313.07,992.69
315.41,992.39
315.09,992.22
315.1,992.12
314.9,991.97
313.46,989.95
312.63,991.01
312.43,990.92
312.64,989.8
312.63,991.39
313.6,991.76
312.22,991.29
313.92,993.11
311.9,990.87
311.97,992.04
312.31,995.54
312.25,993.64
312.49,993.46
312.66,992.86
312.5,993.31
312.67,992.18
312.86,993.31
312.33,991.85
312.51,991.97
312.32,991.62
313.67,992.93
313.81,992.19
313.78,992.07
314.41,993.23
314.44,995.06
315.83,994.75
314.51,994.75
314.28,995.52
313.52,994.53
315.19,993.08
314.99,993.19
315.66,991.74
315.12,991.75
317.1,993.3
314.67,993.15
316.01,994.09
317.46,995.46
317.46,993.89
317.83,993.42
318.66,994.28
319.06,994.92
318.26,992.79
319.45,993.54
319.45,993.63
319.15,992.51
318.41,991.77
319.53,992.95
321.31,992.4
319.42,991.09
320.32,992.95
321.67,991.85
322.8,991.7
321.15,991.55
321.54,990.14
320.56,993.1
320.56,990.62
320.79,992.71
320.71,992.1
320.06,992.07
320.74,992.61
323.07,989.08
321.71,991.33
321.66,991.36
322.67,993.02
322.16,990.03
322.99,991.51
323.04,990.4
323.5,990.26
323.79,990.16
323.44,990.49
322.65,990.81
323.43,989.42
324.38,990.03
324.49,990.93
324.62,991.07
324.74,991.48
324.32,991.68
326.34,991.68
324.26,991.15
326.17,991.76
324.83,991.68
324.71,990.64
326.17,990.54
327.29,989.19
325.21,991.78
326.37,989.28
327.44,992.22
325.39,992.56
326.28,992.15
325.72,992.02
326.4,992.1
327.61,990.39
324.72,990.62
327.81,992.67
326.27,990.68
327.65,989.63
325.95,988.37
326.48,991.92
327.84,991.01
326.23,991.43
326.01,990.75
324.65,990.4
325.83,989.31
324.26,991.72
325.21,990.12
325.97,991.97
325.78,992.17
325.99,990.77
323.16,989.86
323.43,990.43
323.55,989.95
321.67,989.62
322.0,989.42
323.37,990.71
322.32,990.59
323.21,989.72
323.7,989.2
322.11,990.55
323.6,989.92
322.0,990.78
321.97,991.23
321.78,991.73
324.91,990.63
322.21,990.04
324.91,990.63
326.31,991.25
322.18,990.89
