x_cog,y_cog
551.55,1244.45
550.65,1243.45
551.64,1245.16
549.28,1242.27
550.07,1240.97
550.48,1243.36
550.3,1243.33
550.55,1242.21
549.28,1242.68
551.47,1243.34
549.13,1241.25
550.84,1241.13
552.16,1242.17
550.8,1240.92
552.69,1240.41
553.76,1240.73
552.58,1241.3
553.22,1241.9
554.02,1242.73
552.74,1241.19
552.24,1240.96
552.89,1240.31
552.71,1240.93
552.54,1242.52
550.89,1239.45
548.3,1240.53
550.01,1240.22
550.25,1238.82
550.08,1240.6
547.45,1239.88
549.57,1240.03
546.74,1239.47
545.91,1238.25
539.7,1236.54
538.61,1237.17
536.07,1238.39
534.8,1240.63
531.46,1239.72
528.96,1237.9
526.66,1239.45
522.21,1237.28
521.29,1238.06
518.69,1237.66
516.18,1237.42
512.51,1235.66
505.24,1233.77
507.51,1235.77
504.21,1238.76
502.76,1238.01
500.15,1240.03
495.9,1240.63
492.76,1241.35
485.65,1241.96
482.62,1241.12
476.29,1243.77
478.18,1239.05
473.99,1239.77
468.37,1244.58
462.29,1240.95
460.35,1242.56
453.67,1241.97
451.56,1243.44
447.0,1242.74
444.24,1243.14
438.64,1237.86
432.62,1236.3
430.1,1230.42
424.75,1223.73
422.19,1219.78
420.67,1217.82
418.23,1206.45
413.62,1201.73
413.19,1198.08
408.77,1190.76
408.82,1185.31
401.56,1172.08
401.11,1165.01
399.62,1154.03
398.39,1144.42
396.28,1131.65
393.05,1122.19
391.46,1111.29
390.52,1101.52
387.39,1092.99
382.9,1082.76
383.76,1076.82
380.8,1066.67
379.66,1056.88
377.28,1048.41
375.79,1040.05
373.4,1037.24
371.96,1033.0
371.06,1029.21
366.09,1021.52
366.48,1020.69
360.78,1017.34
359.62,1015.21
355.31,1011.24
354.22,1008.68
352.63,1004.71
352.43,1001.05
352.59,997.15
352.0,996.85
348.77,994.24
345.53,993.58
347.08,994.77
345.0,993.17
347.28,989.55
347.49,989.77
348.47,987.28
347.29,983.95
346.5,985.96
345.72,984.09
343.65,983.56
342.3,986.18
339.52,984.27
338.89,984.46
337.35,985.27
338.87,983.28
337.79,982.41
335.84,980.81
334.23,980.46
334.52,981.24
331.98,983.46
330.62,981.87
329.29,983.4
328.81,980.34
328.35,982.67
324.41,982.22
327.7,981.97
327.17,981.59
326.4,983.84
327.11,983.1
325.15,985.49
326.1,984.67
324.18,983.09
322.84,985.79
322.04,986.1
321.7,983.89
320.51,985.35
320.35,983.15
321.79,984.58
322.51,985.25
319.92,984.01
321.58,984.01
321.71,984.0
319.84,984.07
321.75,984.58
321.29,984.52
320.57,984.01
319.44,986.19
321.75,984.16
319.34,984.28
320.12,983.89
320.09,985.08
321.38,983.1
321.19,984.46
321.38,985.6
321.21,985.87
321.85,983.9
322.12,985.72
321.47,985.75
320.47,984.12
321.91,983.84
320.96,984.23
322.76,985.39
322.63,984.31
321.52,984.0
322.62,983.84
321.93,985.53
322.08,985.31
322.41,985.63
322.71,988.24
322.77,984.8
322.0,985.45
321.31,985.71
324.73,985.9
324.91,983.03
326.58,985.5
325.87,983.47
325.32,984.0
326.2,984.55
327.71,981.92
329.11,982.51
327.3,981.12
329.24,980.35
329.71,982.57
329.18,981.2
329.96,982.45
329.47,981.55
330.65,981.89
329.57,982.08
331.25,982.36
331.29,980.64
329.47,982.63
331.81,981.01
330.99,981.83
332.73,983.63
332.49,981.67
331.39,980.59
331.37,979.89
331.31,979.02
331.31,980.41
331.21,983.47
331.91,982.79
333.34,981.89
330.83,980.03
333.06,982.58
333.2,981.47
332.3,982.21
332.63,981.77
333.01,979.37
333.66,982.5
333.1,981.42
333.23,981.14
333.99,980.32
333.07,981.04
331.62,982.57
333.66,981.8
333.15,981.43
333.01,982.49
331.39,981.82
332.78,983.55
332.79,983.31
332.49,981.43
333.9,983.13
332.3,983.71
332.98,981.04
333.23,980.44
333.27,981.78
333.88,984.04
333.88,983.0
334.66,983.48
334.82,981.57
334.91,981.83
333.24,983.56
333.22,983.47
334.86,981.8
332.97,981.55
333.22,981.31
333.32,983.72
333.17,981.36
333.1,981.6
333.09,981.65
334.65,983.12
335.26,984.2
335.2,982.83
334.37,983.97
335.5,983.31
335.52,983.31
335.52,983.88
335.59,983.75
335.58,982.57
335.59,982.9
334.23,983.59
335.59,982.06
335.14,981.21
334.44,984.05
335.15,982.9
334.35,983.15
335.01,983.0
334.41,983.78
335.09,981.27
334.72,983.83
335.28,982.07
334.94,983.53
334.69,981.42
336.21,983.12
335.61,982.58
334.54,982.54
336.45,981.99
335.03,983.42
334.87,983.93
336.03,982.98
336.91,983.94
335.03,984.01
336.61,983.68
335.93,983.59
337.06,984.48
337.07,982.03
336.88,983.5
336.03,981.95
337.32,983.79
337.38,983.65
338.04,980.83
339.58,981.62
338.45,983.07
341.42,981.79
341.63,981.24
341.22,985.78
345.2,988.49
343.74,988.86
346.89,988.6
344.86,990.98
344.49,991.62
342.26,991.04
343.04,990.46
343.53,995.54
344.76,1000.08
346.77,1002.32
349.48,1004.01
349.5,1003.44
353.71,1007.48
352.75,1013.95
352.42,1015.62
356.25,1018.43
359.95,1018.5
357.92,1019.45
360.0,1023.53
361.81,1026.81
362.7,1030.35
362.22,1037.23
363.87,1040.87
364.64,1043.85
364.65,1051.86
368.69,1056.28
369.23,1059.34
372.01,1059.14
373.1,1067.83
375.04,1069.65
375.7,1076.29
379.15,1080.17
379.81,1083.06
381.35,1090.61
380.96,1093.71
383.83,1097.82
388.07,1102.06
388.42,1103.89
390.31,1108.17
392.29,1111.79
393.28,1115.43
395.2,1118.62
397.0,1120.47
399.6,1124.29
402.16,1129.8
400.12,1139.49
402.38,1141.23
406.41,1146.02
413.56,1151.16
428.28,1161.11
431.53,1165.13
435.37,1171.31
424.15,1173.66
441.21,1185.18
444.03,1187.03
445.2,1189.16
449.08,1194.92
452.2,1198.93
454.93,1202.13
457.1,1205.51
444.88,1203.14
