x_cog,y_cog
563.81,1250.71
561.35,1244.9
561.06,1243.99
561.6,1245.54
561.76,1244.26
560.31,1248.02
561.29,1249.87
560.7,1246.73
556.27,1246.93
559.33,1249.41
560.7,1249.58
562.81,1244.88
560.6,1247.91
561.6,1249.74
563.29,1245.56
560.84,1249.53
561.35,1247.16
562.16,1245.08
561.35,1247.16
559.88,1248.33
563.27,1248.22
561.72,1246.76
561.52,1247.02
563.19,1247.86
561.16,1247.39
561.92,1245.21
562.44,1245.9
561.61,1247.59
561.61,1247.2
561.37,1244.67
557.69,1246.52
560.61,1244.63
559.6,1246.1
560.71,1244.42
561.42,1244.25
560.76,1244.36
557.89,1247.45
559.79,1244.92
559.37,1244.59
559.19,1244.4
557.66,1245.98
560.18,1244.97
558.2,1243.45
557.93,1247.28
556.71,1246.88
557.43,1247.82
554.97,1249.88
554.92,1247.43
554.8,1246.61
551.36,1250.04
547.9,1247.38
542.72,1247.08
543.22,1247.02
538.36,1246.53
537.75,1245.68
539.52,1244.94
536.69,1244.74
533.71,1244.39
529.0,1243.82
525.9,1243.05
522.93,1250.58
516.01,1245.82
512.72,1245.29
512.27,1250.47
508.46,1249.55
510.42,1249.68
510.68,1253.66
507.53,1251.03
502.85,1247.66
501.26,1247.7
496.23,1245.53
494.58,1246.01
482.52,1244.6
481.04,1245.85
476.15,1243.47
473.06,1246.0
467.08,1245.77
465.76,1247.84
459.7,1249.88
454.98,1250.94
449.76,1248.48
443.53,1246.87
438.52,1244.99
432.12,1243.93
426.49,1237.43
422.83,1237.83
417.44,1233.96
413.33,1230.72
414.95,1230.56
411.42,1225.74
408.66,1222.94
406.45,1218.9
402.57,1216.19
398.8,1211.23
396.52,1206.97
392.0,1201.88
394.2,1196.99
391.49,1191.35
385.51,1182.82
384.73,1175.64
382.75,1169.44
383.03,1166.62
378.78,1156.72
379.01,1148.73
377.74,1135.93
374.02,1131.19
373.57,1122.32
375.76,1114.88
372.15,1108.64
367.87,1100.93
366.23,1095.77
362.71,1085.66
364.29,1077.03
362.05,1074.18
360.55,1065.3
359.59,1060.46
356.83,1053.95
358.48,1044.77
357.26,1040.08
358.51,1035.78
353.81,1033.26
352.91,1028.57
348.22,1028.71
347.49,1022.03
343.39,1013.99
345.01,1009.05
345.23,1005.53
343.2,1005.18
341.27,999.64
343.6,998.15
341.06,997.23
341.02,994.3
340.97,995.6
342.62,989.94
340.99,987.22
339.69,989.03
343.47,983.11
342.07,989.53
341.01,983.24
341.05,983.96
341.31,978.66
339.75,980.19
338.25,978.58
335.83,979.81
334.85,981.14
335.78,979.72
331.43,981.23
330.29,978.34
330.54,978.87
329.01,977.13
330.91,980.23
326.96,980.12
324.76,980.3
324.16,983.37
324.84,981.5
324.06,981.61
322.21,982.79
320.0,985.28
319.81,985.17
320.07,986.06
319.0,985.13
317.65,986.71
318.43,987.29
318.06,986.51
317.07,986.01
316.84,983.38
317.71,983.61
315.62,986.03
315.51,986.35
314.42,985.87
314.06,987.16
310.91,988.61
315.04,990.28
312.89,987.44
314.17,989.78
312.45,988.2
311.75,989.48
313.29,988.71
312.61,987.49
311.52,988.31
312.05,985.66
312.24,988.23
311.85,986.66
313.16,984.53
313.44,985.28
311.44,989.82
312.78,989.05
312.26,990.15
311.56,988.44
311.36,989.12
312.47,988.55
313.34,988.46
314.13,988.65
311.23,989.08
313.39,990.56
313.27,989.58
313.31,989.38
313.01,991.18
313.6,988.97
310.35,992.14
310.57,989.32
314.31,992.05
313.45,992.13
314.29,992.99
312.08,992.27
311.29,991.63
309.83,987.9
310.22,991.25
310.51,987.33
310.54,989.46
312.65,987.28
312.88,985.92
311.78,986.92
311.75,987.09
313.8,987.86
313.1,986.86
313.17,986.18
313.83,989.48
313.62,990.77
312.55,989.4
313.64,989.91
313.33,991.15
313.36,990.79
313.61,990.53
313.6,991.51
313.59,992.03
313.54,990.84
313.88,991.66
314.08,991.14
313.13,990.77
313.19,990.15
313.21,989.73
312.38,990.32
311.87,991.61
311.96,991.67
312.16,990.17
312.64,988.39
312.65,990.0
312.37,989.2
311.77,988.54
313.16,987.35
312.83,987.65
