x_cog,y_cog
524.2,1241.44
524.15,1237.14
522.43,1239.68
523.17,1239.95
524.57,1238.16
524.23,1230.89
522.41,1239.7
523.91,1231.09
524.86,1240.2
525.18,1240.0
522.95,1240.74
526.19,1240.54
525.14,1240.54
525.1,1241.09
524.75,1240.7
525.44,1232.44
524.75,1230.83
523.61,1240.66
520.6,1230.64
521.83,1231.81
521.52,1231.82
520.66,1231.86
522.12,1230.21
520.51,1232.1
523.97,1231.39
523.83,1231.95
525.02,1239.3
526.46,1240.02
521.68,1240.41
525.29,1239.54
524.42,1239.43
523.45,1241.1
524.11,1241.06
520.63,1232.66
520.83,1230.53
522.82,1232.1
523.38,1231.11
522.93,1239.49
523.12,1240.57
526.64,1242.61
524.92,1231.17
523.09,1241.14
525.88,1241.02
526.67,1241.55
527.39,1240.38
528.12,1241.13
525.91,1240.68
526.4,1241.45
525.0,1241.64
525.96,1240.74
522.66,1230.0
519.59,1230.67
524.42,1239.06
523.48,1239.12
518.97,1237.56
518.47,1239.61
519.93,1238.46
514.13,1230.9
513.27,1240.45
515.66,1239.42
511.47,1239.9
512.96,1239.39
512.29,1232.42
512.85,1240.7
510.52,1242.78
504.74,1237.56
505.1,1237.75
497.08,1238.91
492.03,1240.22
487.93,1239.28
484.28,1238.44
478.81,1240.3
470.71,1238.24
466.37,1238.08
463.41,1238.44
457.39,1237.39
449.69,1237.72
446.35,1235.25
441.49,1224.91
435.32,1221.33
426.54,1210.26
426.87,1205.68
418.56,1199.14
413.57,1191.02
410.07,1185.48
406.58,1177.13
399.68,1170.44
398.76,1160.56
398.95,1150.79
397.96,1144.91
399.24,1136.01
396.03,1125.67
398.0,1114.49
394.09,1106.53
388.25,1098.8
386.99,1090.6
383.91,1082.44
381.78,1078.08
380.37,1069.11
380.15,1060.21
375.08,1053.2
375.33,1047.8
374.87,1043.03
370.77,1038.89
370.9,1035.75
367.95,1030.29
367.76,1027.22
366.23,1023.74
365.24,1022.02
363.31,1019.29
362.31,1021.35
362.72,1018.29
364.02,1017.71
365.18,1018.52
365.86,1020.5
366.73,1020.11
364.13,1019.44
364.02,1022.48
364.24,1021.56
363.0,1022.06
362.03,1023.24
359.69,1024.16
358.66,1022.54
357.33,1022.79
357.94,1023.46
357.24,1023.01
356.71,1021.8
356.76,1021.67
357.07,1020.56
355.98,1021.17
355.21,1021.3
353.26,1019.46
351.3,1020.03
352.82,1018.9
352.79,1019.27
349.94,1019.68
350.26,1018.39
350.66,1017.6
347.52,1020.51
347.58,1019.27
344.79,1020.69
344.23,1019.26
346.22,1020.03
345.6,1020.18
343.42,1017.5
345.73,1015.93
345.48,1015.58
345.2,1015.29
342.41,1017.48
342.41,1017.41
341.03,1018.22
339.63,1018.13
339.62,1014.13
337.95,1019.41
337.99,1016.22
339.42,1019.46
339.17,1020.13
338.25,1017.13
339.7,1015.49
341.08,1015.61
339.53,1015.48
337.99,1015.93
337.97,1016.87
337.77,1017.72
337.9,1016.87
337.97,1016.99
337.73,1016.4
337.85,1015.52
338.29,1017.22
337.69,1016.64
338.29,1017.95
338.63,1017.95
338.48,1017.3
338.98,1017.46
338.58,1016.35
338.67,1017.52
338.48,1017.05
339.6,1016.23
340.47,1017.78
339.83,1017.79
340.99,1018.42
340.4,1018.22
340.88,1019.02
341.09,1016.44
341.18,1018.73
341.01,1019.27
340.47,1017.66
340.67,1017.08
340.65,1017.55
341.14,1018.7
343.12,1019.31
342.42,1017.7
342.08,1017.55
345.21,1017.28
347.09,1018.61
343.13,1018.47
344.25,1019.94
345.73,1019.59
348.17,1017.61
347.87,1020.98
348.19,1020.23
346.16,1022.82
348.1,1020.15
350.17,1020.3
347.95,1019.49
348.28,1020.27
348.06,1019.72
348.28,1019.81
347.92,1020.81
348.99,1020.45
349.61,1020.11
349.8,1020.13
352.32,1019.36
351.6,1014.22
350.27,1017.94
350.06,1021.23
350.56,1019.66
350.82,1021.47
350.12,1019.11
349.92,1021.05
