x_cog,y_cog
503.64,1240.75
499.76,1239.62
500.93,1241.5
502.08,1239.69
501.46,1238.81
501.42,1239.61
500.91,1239.9
502.05,1238.42
501.01,1240.89
501.7,1240.31
501.78,1239.66
501.93,1240.21
502.52,1240.72
503.4,1239.96
501.44,1240.57
500.46,1239.0
497.98,1239.8
502.03,1238.7
502.3,1237.91
502.37,1238.69
502.18,1239.2
501.09,1240.05
502.63,1238.93
502.58,1239.27
502.84,1239.24
502.18,1239.63
502.89,1239.12
501.53,1242.08
503.18,1241.66
502.45,1239.98
503.11,1239.04
499.69,1239.04
501.08,1239.36
500.57,1239.2
503.83,1242.08
500.56,1240.51
501.88,1242.48
499.49,1240.47
500.47,1240.15
495.92,1239.28
495.42,1239.08
495.06,1240.26
497.0,1240.67
494.55,1240.89
491.94,1238.73
490.12,1240.61
488.41,1240.28
485.98,1241.98
485.55,1241.67
484.35,1243.1
476.29,1236.36
473.65,1245.26
467.12,1244.17
461.16,1245.16
455.74,1244.97
451.07,1244.38
446.56,1245.72
447.58,1244.27
444.67,1242.27
437.34,1238.08
431.84,1230.77
424.73,1222.22
418.05,1215.38
416.22,1201.76
411.85,1195.46
403.95,1186.72
399.53,1181.59
397.26,1170.06
394.51,1157.45
393.26,1148.31
391.31,1138.45
386.2,1127.86
382.02,1117.05
379.69,1106.05
374.67,1094.47
372.2,1084.7
370.59,1075.94
367.59,1067.63
367.82,1058.27
362.06,1049.13
361.38,1048.38
356.63,1040.08
352.62,1036.73
350.52,1030.38
348.44,1029.34
351.2,1025.75
347.32,1023.12
345.91,1021.57
343.93,1020.32
343.64,1020.0
344.46,1019.66
344.69,1018.55
343.86,1015.6
343.86,1015.33
344.28,1014.69
340.78,1014.38
340.56,1014.66
339.93,1014.22
337.9,1013.21
337.77,1013.93
335.21,1014.23
336.23,1016.7
334.33,1013.25
333.85,1016.16
333.23,1014.36
332.34,1016.41
331.35,1014.81
331.16,1017.45
329.86,1017.67
329.51,1019.05
327.13,1019.46
327.02,1019.77
325.0,1019.21
326.39,1020.9
323.68,1021.7
322.8,1021.41
321.06,1020.49
322.22,1020.66
323.38,1021.08
321.97,1020.85
324.3,1019.68
324.98,1019.48
321.41,1022.14
321.73,1020.74
319.98,1021.76
321.16,1023.1
318.28,1021.64
319.3,1022.14
322.67,1021.3
320.17,1020.35
318.99,1022.42
321.97,1021.83
325.11,1021.25
324.23,1021.55
325.92,1022.34
325.65,1021.96
325.83,1022.62
326.44,1021.3
328.12,1019.75
323.54,1021.84
327.08,1019.92
324.66,1020.67
327.85,1021.09
324.74,1021.92
325.66,1023.06
325.16,1021.67
325.5,1022.33
326.03,1019.88
327.0,1020.1
328.07,1021.68
328.04,1019.55
328.89,1020.86
327.51,1021.09
330.77,1020.16
328.9,1021.24
330.99,1019.69
330.44,1019.31
330.2,1022.06
330.43,1022.01
330.85,1022.0
330.73,1021.93
333.84,1021.6
331.03,1021.88
331.28,1021.82
332.86,1020.58
333.05,1021.64
332.5,1020.77
334.44,1020.9
334.94,1020.64
333.83,1021.36
333.91,1020.9
334.16,1022.76
334.02,1021.55
333.83,1021.79
334.22,1019.3
338.37,1018.52
336.61,1020.66
338.4,1018.0
337.64,1020.96
336.1,1021.16
336.7,1021.01
338.29,1020.52
340.36,1019.24
336.9,1021.96
336.68,1021.98
337.46,1021.14
337.35,1021.23
336.99,1024.15
338.24,1022.63
338.21,1022.97
338.45,1022.22
338.89,1021.7
337.68,1024.07
338.94,1022.24
339.65,1019.11
339.64,1020.62
339.15,1021.17
340.32,1021.04
343.91,1017.37
344.08,1019.54
342.01,1018.84
342.44,1021.33
339.46,1023.14
344.0,1020.78
344.19,1017.27
343.26,1020.07
342.99,1022.03
342.98,1021.99
342.14,1019.91
343.75,1020.04
343.93,1019.17
342.09,1020.97
343.38,1021.05
341.73,1021.83
343.25,1019.98
345.86,1018.47
343.82,1021.12
344.42,1019.72
342.43,1021.56
344.94,1020.24
342.96,1020.3
346.5,1019.45
344.7,1020.59
343.4,1020.1
344.77,1021.07
349.12,1019.95
349.12,1018.5
346.73,1020.38
345.93,1018.25
345.86,1018.06
346.04,1018.19
