x_cog,y_cog
549.11,1232.34
549.51,1230.66
550.0,1232.41
554.26,1232.75
548.55,1231.9
548.87,1237.39
548.87,1230.56
549.87,1238.57
547.23,1236.71
546.84,1231.7
547.78,1239.59
545.97,1236.67
543.68,1237.83
547.46,1241.08
544.28,1237.59
549.29,1247.54
548.19,1245.42
546.55,1238.32
546.68,1229.72
545.24,1230.97
546.89,1228.99
545.86,1230.62
544.92,1228.91
547.23,1230.78
546.24,1230.56
547.85,1231.1
547.28,1231.78
547.25,1231.21
545.97,1231.1
541.75,1237.21
544.43,1243.54
544.07,1245.1
541.52,1230.66
538.69,1241.68
539.5,1245.84
537.15,1244.95
537.61,1244.5
534.11,1243.92
532.0,1246.0
531.02,1245.53
527.75,1243.98
523.42,1241.62
527.27,1243.79
521.7,1242.81
517.66,1243.02
514.05,1242.13
515.28,1240.66
509.6,1240.25
516.9,1234.24
508.32,1244.1
503.28,1245.86
498.68,1246.63
495.49,1249.03
488.92,1249.41
482.83,1249.39
478.11,1247.78
471.68,1248.09
466.02,1246.02
477.25,1236.5
469.74,1239.86
454.51,1242.74
459.18,1234.26
442.26,1242.68
434.23,1242.31
428.96,1238.88
434.06,1231.33
420.61,1231.39
414.11,1226.65
411.89,1219.15
412.2,1207.96
411.25,1202.86
399.27,1200.8
395.42,1193.01
390.64,1189.56
388.83,1185.51
382.4,1183.61
382.16,1176.98
380.79,1168.72
380.41,1160.16
375.82,1157.67
373.36,1152.1
372.33,1144.29
369.31,1139.65
368.55,1134.29
365.02,1127.18
362.51,1119.38
358.55,1114.28
358.86,1106.66
355.66,1100.94
354.47,1097.33
351.05,1090.28
350.88,1088.88
347.75,1083.23
348.13,1076.3
345.54,1072.72
344.15,1068.9
342.98,1064.88
342.06,1059.81
340.55,1056.41
339.12,1051.34
338.59,1049.21
338.66,1043.42
338.37,1042.5
338.52,1037.57
338.26,1034.96
337.74,1034.37
333.6,1030.19
332.11,1030.98
336.64,1027.38
334.77,1024.03
336.74,1024.7
336.17,1022.55
333.95,1022.84
335.5,1021.45
336.1,1019.67
337.57,1019.56
339.03,1015.2
336.87,1014.53
336.37,1017.65
338.11,1016.29
338.9,1014.35
341.74,1014.85
341.82,1014.71
341.81,1015.84
