x_cog,y_cog
542.45,1250.5
540.54,1250.1
538.59,1250.32
539.45,1251.02
539.19,1251.3
540.35,1249.52
540.48,1250.4
544.51,1250.53
544.33,1248.49
541.95,1250.36
543.24,1250.26
544.79,1250.47
540.79,1248.34
539.22,1249.87
539.93,1249.69
539.75,1250.13
538.53,1249.45
542.29,1249.1
542.51,1251.49
540.2,1249.37
543.06,1249.99
538.06,1239.74
541.0,1239.46
536.67,1238.9
535.08,1240.2
536.31,1248.82
536.3,1245.93
534.07,1240.38
530.31,1238.98
530.34,1236.74
530.46,1237.21
528.34,1239.06
527.61,1239.51
526.57,1240.0
529.51,1240.29
528.87,1248.71
523.68,1242.55
523.29,1237.58
521.46,1238.2
520.06,1251.15
519.78,1250.38
522.64,1251.56
520.98,1253.89
509.66,1248.2
506.53,1249.54
503.56,1248.95
499.45,1250.72
494.81,1252.63
495.39,1254.42
490.83,1254.78
489.13,1256.07
487.38,1258.36
483.0,1261.91
481.65,1260.69
476.54,1261.52
473.26,1260.2
466.73,1261.62
461.23,1254.91
455.67,1268.67
448.93,1266.25
448.04,1268.77
446.0,1268.53
438.18,1262.02
435.74,1260.92
429.24,1255.5
426.1,1252.83
421.91,1246.64
425.99,1240.4
411.05,1230.04
407.6,1220.74
398.92,1208.82
397.77,1200.95
393.13,1194.7
387.56,1191.17
385.25,1184.95
382.09,1178.07
381.77,1171.52
378.34,1165.55
375.03,1158.87
373.25,1148.93
369.88,1144.99
367.18,1139.07
364.44,1134.06
363.36,1130.33
357.85,1123.08
357.96,1119.07
356.06,1112.48
355.36,1105.52
353.52,1101.66
352.47,1095.47
350.32,1091.41
349.58,1083.52
346.84,1077.68
347.08,1073.97
343.81,1067.21
342.76,1064.37
343.75,1059.62
340.98,1053.84
341.5,1049.56
338.89,1046.57
338.11,1044.8
341.22,1042.59
337.56,1040.76
335.97,1036.25
334.86,1036.36
332.21,1033.63
330.88,1031.15
330.86,1028.4
332.63,1026.38
331.7,1023.8
331.56,1023.03
