x_cog,y_cog
594.34,1225.31
594.62,1224.71
594.44,1223.76
590.13,1225.36
588.27,1224.55
587.14,1224.48
588.64,1222.97
587.86,1223.4
586.73,1224.61
585.73,1224.16
591.18,1223.83
586.74,1223.83
586.97,1223.19
586.97,1223.19
587.87,1224.37
587.13,1223.28
593.87,1223.17
594.81,1222.89
594.42,1224.62
593.63,1222.6
594.87,1222.49
592.74,1223.01
585.65,1222.07
584.73,1221.55
586.25,1221.92
586.27,1221.56
585.23,1222.79
582.93,1222.22
591.38,1222.92
588.71,1223.83
588.14,1222.42
587.14,1222.19
585.25,1220.76
582.38,1218.98
585.55,1219.47
581.41,1219.35
579.74,1221.88
574.96,1221.14
574.7,1220.72
569.39,1221.84
568.6,1220.43
559.5,1219.27
560.47,1219.57
551.18,1218.93
550.25,1217.49
543.32,1217.25
542.89,1218.39
542.79,1218.67
540.04,1218.68
537.61,1216.62
535.64,1219.2
529.38,1213.05
531.06,1215.08
523.16,1208.65
521.9,1209.82
516.15,1201.96
513.95,1203.22
506.93,1196.02
508.97,1193.78
503.5,1186.33
503.1,1186.17
497.93,1179.45
498.15,1179.5
494.16,1171.19
494.21,1172.28
488.74,1164.05
489.48,1162.13
487.11,1154.54
486.57,1154.49
484.69,1147.44
484.93,1145.49
483.36,1136.16
485.37,1135.49
484.18,1125.91
484.82,1124.09
483.35,1115.87
482.82,1115.05
481.08,1106.55
481.52,1104.66
481.62,1097.68
481.95,1095.85
480.52,1087.72
480.09,1087.85
480.38,1080.54
479.71,1081.22
478.94,1078.1
478.46,1077.97
479.93,1071.69
478.88,1074.03
475.99,1070.76
479.67,1071.39
476.32,1069.91
477.56,1069.75
475.71,1068.17
478.45,1068.88
478.72,1068.11
476.92,1070.49
476.35,1072.05
475.08,1071.62
476.1,1072.62
476.47,1071.56
476.8,1071.18
475.4,1070.7
473.9,1072.13
475.66,1071.74
475.57,1072.03
475.74,1072.8
473.94,1073.47
476.37,1073.28
476.72,1073.11
476.23,1075.54
477.44,1078.21
477.39,1076.34
480.02,1077.43
476.78,1078.86
480.79,1079.58
480.28,1080.81
482.38,1080.99
479.29,1082.35
483.46,1081.99
483.69,1082.81
485.52,1087.29
484.33,1084.25
486.55,1089.33
483.32,1088.54
482.6,1098.15
482.08,1098.25
482.26,1106.32
482.84,1104.29
483.03,1112.92
483.6,1114.7
486.67,1120.93
483.51,1121.57
486.17,1126.83
489.44,1130.59
489.77,1137.3
491.58,1137.47
493.64,1146.62
494.49,1144.86
495.94,1154.68
495.09,1155.79
496.79,1161.77
498.41,1162.0
501.37,1169.65
499.26,1171.02
503.04,1176.7
504.05,1178.83
508.52,1183.66
509.54,1188.23
512.87,1195.37
515.58,1196.15
519.52,1202.31
519.48,1203.12
526.89,1206.08
528.53,1206.79
531.68,1210.05
529.34,1209.61
535.91,1213.03
535.75,1212.27
537.72,1211.6
538.5,1209.77
539.99,1211.35
542.49,1211.01
546.08,1211.88
544.77,1211.04
550.48,1212.33
551.86,1212.02
555.31,1214.18
555.54,1213.7
557.43,1212.62
559.32,1213.77
559.31,1213.36
559.86,1213.16
562.68,1213.75
562.18,1213.04
564.55,1213.42
563.2,1214.5
560.29,1217.1
562.17,1215.31
563.61,1214.87
563.73,1214.71
563.52,1215.37
563.41,1216.56
562.45,1215.77
563.16,1216.81
561.25,1216.41
562.6,1217.4
559.23,1216.32
560.54,1217.72
558.37,1216.65
560.23,1213.77
556.72,1214.18
556.83,1214.23
555.91,1214.31
554.64,1216.53
555.08,1216.02
551.34,1215.24
548.9,1218.95
548.64,1217.11
545.9,1218.25
543.76,1218.09
538.72,1217.5
539.54,1219.87
535.52,1217.64
534.29,1216.59
530.54,1215.37
531.62,1219.25
529.62,1220.75
529.36,1220.37
523.65,1217.48
521.25,1219.21
516.89,1215.79
514.95,1216.29
508.04,1213.32
506.68,1213.82
501.19,1209.46
501.16,1209.78
496.08,1204.88
495.49,1205.5
491.14,1198.1
491.95,1198.72
488.35,1190.5
489.19,1191.06
483.54,1183.82
482.22,1184.71
479.59,1180.14
479.02,1176.96
476.4,1171.7
474.73,1169.81
473.29,1165.01
472.91,1163.4
470.47,1157.59
470.59,1158.31
468.77,1148.76
468.32,1149.11
467.76,1140.24
466.54,1140.52
465.15,1133.65
464.48,1132.59
463.97,1126.11
463.7,1123.81
461.63,1115.28
461.97,1116.02
459.54,1110.33
462.96,1108.59
459.37,1100.94
459.52,1099.95
458.34,1092.59
459.99,1093.56
458.5,1086.1
458.85,1084.89
458.09,1079.38
458.83,1080.21
459.25,1075.35
459.7,1076.29
461.7,1073.51
459.53,1073.19
459.66,1068.94
459.63,1068.95
458.94,1068.61
458.25,1067.19
458.52,1066.75
458.4,1068.62
459.09,1067.92
459.51,1066.41
458.53,1065.71
457.97,1065.94
457.83,1065.58
457.6,1065.14
457.84,1064.88
455.94,1065.72
456.55,1064.78
457.34,1065.16
457.6,1065.72
455.51,1066.97
455.7,1066.96
454.62,1067.81
456.28,1068.42
456.61,1066.76
455.85,1068.57
454.52,1068.23
454.49,1072.68
456.22,1070.38
455.29,1076.1
456.25,1073.98
458.33,1076.8
456.77,1076.97
459.19,1078.54
460.6,1078.44
459.58,1083.01
461.5,1081.56
460.6,1086.39
460.19,1087.0
460.24,1089.37
459.46,1089.12
459.31,1094.25
459.04,1096.46
459.64,1099.65
458.45,1099.34
461.58,1105.27
459.14,1106.88
461.35,1110.15
462.91,1111.21
464.37,1117.03
463.83,1116.27
466.06,1122.7
465.53,1120.91
471.57,1128.39
469.81,1130.03
471.69,1137.05
473.0,1136.63
476.08,1143.56
475.55,1144.56
479.47,1150.34
478.26,1148.98
480.51,1153.78
481.72,1155.65
485.97,1160.75
486.07,1160.26
490.07,1165.01
489.46,1166.7
493.55,1171.94
493.33,1172.78
500.08,1180.68
500.69,1181.01
504.1,1190.02
504.8,1190.64
508.86,1196.44
510.75,1197.75
515.1,1200.34
515.65,1202.59
522.91,1208.84
522.72,1206.56
528.3,1211.4
529.91,1209.78
534.52,1214.25
533.68,1213.91
536.32,1215.81
535.84,1214.18
537.21,1212.79
537.42,1213.76
538.62,1211.37
540.98,1211.9
544.73,1211.37
546.92,1212.52
550.08,1213.34
549.29,1214.12
555.2,1213.59
552.66,1213.88
556.57,1213.51
558.37,1213.44
560.54,1212.34
559.35,1212.72
561.77,1212.44
561.65,1213.52
561.84,1213.98
563.07,1214.26
564.5,1214.26
562.82,1214.36
564.1,1214.1
560.85,1213.67
564.26,1214.41
563.05,1214.31
563.56,1214.73
564.06,1214.71
564.53,1216.35
564.38,1214.82
564.38,1215.03
561.87,1215.37
561.74,1216.24
563.9,1213.6
560.79,1217.11
561.39,1215.76
561.58,1216.3
561.06,1215.41
557.21,1216.95
557.41,1217.24
558.38,1217.74
558.8,1217.44
556.49,1218.17
557.65,1217.63
554.45,1218.81
553.08,1218.13
549.47,1218.38
548.89,1218.68
543.56,1219.35
544.65,1218.31
540.83,1217.94
536.64,1218.25
532.54,1216.39
530.99,1216.99
530.36,1216.66
530.63,1221.68
524.55,1218.39
525.94,1219.94
519.73,1216.45
519.99,1216.94
511.42,1212.95
511.01,1213.34
503.17,1208.43
503.66,1209.67
496.97,1203.78
495.05,1202.81
492.78,1199.21
492.76,1198.8
488.08,1193.07
488.34,1191.45
483.53,1184.28
483.33,1183.18
478.73,1176.16
479.66,1176.63
475.97,1170.06
475.6,1167.35
472.96,1160.77
473.73,1161.4
471.26,1155.97
471.06,1155.08
468.0,1147.18
468.95,1146.52
465.0,1138.13
465.67,1137.57
463.54,1128.26
463.83,1127.66
464.41,1117.69
466.97,1116.45
467.47,1107.46
465.9,1107.76
466.88,1099.59
467.27,1100.49
465.99,1094.73
466.08,1093.54
467.42,1085.89
465.76,1087.99
465.11,1081.69
464.45,1082.39
464.46,1078.74
462.09,1079.5
463.05,1076.46
463.2,1077.04
463.89,1073.35
463.95,1073.27
466.18,1069.98
464.31,1071.09
462.85,1070.35
462.83,1069.47
462.4,1069.2
464.77,1066.69
463.91,1066.17
465.54,1064.18
465.8,1063.54
465.91,1063.51
467.0,1063.8
466.81,1061.51
465.42,1061.23
466.18,1061.98
467.04,1060.81
465.34,1062.7
465.35,1062.03
464.66,1061.44
465.03,1060.51
464.29,1062.21
464.5,1062.86
463.61,1063.3
463.54,1062.97
465.14,1062.58
463.56,1063.14
465.35,1063.13
465.57,1063.6
464.91,1066.84
465.05,1063.34
463.25,1068.3
465.24,1065.27
463.9,1066.84
463.95,1065.93
463.99,1064.78
464.43,1064.97
464.43,1065.07
464.43,1065.85
464.12,1066.21
465.29,1066.3
466.61,1065.82
466.81,1066.49
467.44,1065.35
468.6,1066.74
468.1,1066.2
470.57,1067.52
470.26,1069.76
472.64,1070.41
471.05,1072.12
473.93,1072.56
473.42,1071.58
475.57,1074.35
474.28,1074.16
476.51,1076.55
475.68,1078.01
476.61,1083.32
476.57,1079.75
476.87,1085.87
475.57,1085.95
476.95,1093.58
476.2,1091.45
475.09,1099.07
475.01,1097.12
476.31,1106.31
476.93,1107.71
480.67,1114.14
478.42,1112.72
479.2,1123.93
479.91,1122.78
480.14,1133.74
483.78,1133.87
484.55,1141.94
486.19,1142.67
489.75,1149.72
489.59,1149.83
492.69,1156.87
493.42,1156.66
496.63,1163.67
498.67,1166.33
504.32,1170.94
502.06,1175.34
506.24,1180.67
507.72,1185.72
511.11,1192.25
513.24,1194.35
517.76,1200.01
519.55,1201.11
524.36,1204.03
526.22,1204.45
533.64,1209.52
529.98,1209.02
535.84,1212.28
536.73,1211.22
539.64,1211.95
541.7,1211.87
542.85,1212.75
546.48,1212.25
548.7,1211.4
551.04,1210.99
553.36,1211.01
556.34,1210.93
561.09,1211.54
559.53,1210.47
566.1,1211.0
564.55,1211.73
563.67,1212.8
567.73,1213.42
565.57,1214.76
571.49,1213.53
572.63,1213.91
572.87,1214.58
571.37,1213.88
570.4,1214.7
571.58,1214.65
571.38,1214.22
571.69,1214.64
570.5,1213.42
569.66,1213.54
571.17,1213.91
570.44,1213.42
571.88,1214.85
571.23,1215.69
570.43,1217.03
569.54,1215.93
569.55,1215.96
569.07,1215.82
569.28,1213.12
568.96,1213.71
569.13,1214.91
569.89,1215.11
569.74,1215.39
567.5,1215.29
565.82,1215.59
565.22,1216.41
565.29,1216.73
563.48,1215.92
562.78,1216.43
558.04,1217.4
559.2,1218.31
551.89,1218.37
554.86,1217.91
548.75,1216.76
550.17,1217.16
544.9,1215.68
542.9,1215.91
540.64,1217.66
537.62,1216.73
534.54,1216.8
534.55,1219.94
531.54,1216.77
528.83,1219.54
523.81,1216.68
523.27,1216.56
515.95,1212.53
516.23,1212.29
509.15,1208.5
508.34,1207.93
503.59,1203.89
502.25,1202.33
497.23,1196.99
498.67,1195.32
493.34,1190.74
490.34,1188.7
486.83,1183.0
491.14,1179.55
486.8,1174.59
484.74,1175.01
480.85,1167.58
479.44,1167.05
477.46,1159.52
476.39,1157.14
474.54,1150.94
473.66,1149.2
470.53,1141.05
468.16,1139.55
468.43,1132.38
468.0,1132.44
466.56,1124.69
466.82,1124.3
463.97,1116.16
464.67,1116.02
467.86,1107.0
465.26,1106.36
465.3,1096.85
466.99,1095.64
463.99,1090.28
463.47,1089.45
465.17,1083.09
466.84,1084.75
465.71,1080.03
467.74,1081.95
465.02,1077.0
464.49,1077.99
463.48,1077.5
465.77,1077.25
465.74,1072.87
462.8,1075.11
462.38,1072.86
462.33,1074.02
462.83,1071.41
462.02,1070.23
461.91,1067.07
462.6,1067.91
462.13,1065.25
461.25,1068.12
460.33,1064.15
463.0,1062.44
463.15,1063.02
463.29,1062.42
462.18,1061.37
464.47,1063.5
463.15,1063.33
462.8,1062.07
463.09,1061.51
462.45,1063.17
462.1,1062.5
462.94,1064.19
461.78,1062.78
462.68,1062.39
462.29,1063.38
462.41,1063.18
461.43,1063.89
462.28,1063.51
462.29,1063.39
461.25,1063.57
461.32,1062.72
461.31,1061.71
462.11,1062.26
462.19,1061.14
462.19,1061.27
461.51,1064.62
461.32,1062.25
462.93,1062.09
462.99,1061.9
461.6,1066.66
461.6,1065.0
461.04,1064.84
461.86,1065.48
462.01,1062.53
462.33,1066.89
462.83,1065.91
462.5,1067.94
461.45,1066.86
463.13,1069.09
463.5,1067.93
464.78,1073.52
466.62,1069.73
468.6,1073.7
467.49,1073.5
469.59,1076.55
469.34,1077.37
