x_cog,y_cog
600.54,1219.16
601.48,1217.26
600.6,1218.07
600.19,1217.83
600.84,1217.86
600.81,1217.55
599.65,1218.31
600.87,1218.13
600.06,1217.68
603.72,1217.83
602.07,1216.3
602.15,1216.23
599.94,1218.29
600.18,1218.13
601.02,1218.49
600.43,1218.24
600.94,1218.4
602.14,1219.14
600.92,1218.7
599.94,1218.32
600.92,1218.61
601.25,1218.49
600.59,1218.35
600.59,1217.57
600.77,1218.79
599.64,1217.64
601.51,1217.03
598.73,1217.85
599.27,1217.1
597.21,1217.56
599.69,1216.77
599.26,1217.45
598.32,1217.24
597.59,1217.28
597.76,1215.43
594.11,1216.99
596.5,1216.98
594.33,1218.69
591.4,1218.8
589.87,1218.13
590.19,1217.61
591.57,1217.31
593.84,1217.8
590.27,1218.06
585.19,1219.21
583.47,1219.72
581.89,1218.29
583.28,1220.22
580.12,1220.51
577.42,1220.06
577.26,1218.97
576.69,1219.33
571.46,1219.15
570.92,1218.95
570.14,1219.31
568.71,1217.53
564.36,1220.99
565.49,1218.91
559.56,1219.62
557.27,1219.19
558.11,1220.02
553.76,1219.72
550.72,1219.58
546.31,1218.68
544.39,1220.82
540.24,1220.32
538.24,1222.33
530.41,1221.64
528.84,1225.28
522.15,1224.31
521.22,1225.96
516.27,1226.65
513.86,1227.91
508.98,1226.19
509.92,1228.27
503.06,1226.94
506.18,1227.26
499.21,1225.1
498.18,1222.83
493.02,1220.96
492.63,1220.22
485.64,1215.15
484.26,1216.73
478.97,1215.19
481.32,1216.76
472.89,1210.98
474.01,1212.96
465.88,1207.26
467.34,1207.97
463.13,1204.75
462.78,1205.25
459.02,1199.39
458.82,1199.83
454.64,1195.14
453.37,1197.26
451.61,1190.32
450.48,1191.83
448.24,1187.25
447.74,1187.57
445.49,1183.89
445.39,1183.32
443.04,1177.2
441.79,1179.21
438.41,1172.73
439.74,1173.11
435.41,1167.11
436.16,1167.56
436.75,1162.58
437.73,1162.72
435.49,1158.8
435.55,1158.27
436.61,1151.45
435.54,1152.47
436.12,1143.83
435.11,1145.81
435.51,1139.41
434.91,1140.22
436.25,1134.53
436.11,1135.37
435.51,1129.08
436.62,1130.31
435.33,1126.54
434.42,1124.13
434.78,1120.39
435.57,1121.48
434.1,1116.66
435.81,1117.27
435.84,1112.3
435.8,1114.17
435.8,1108.38
437.27,1110.46
434.2,1105.89
434.74,1105.1
434.67,1100.51
435.51,1102.95
436.83,1097.13
436.17,1100.02
436.66,1094.34
435.78,1094.41
436.03,1090.46
436.0,1091.15
436.39,1087.7
435.65,1089.72
436.81,1083.91
435.65,1084.14
437.1,1080.16
437.3,1080.35
439.26,1077.63
439.46,1075.75
440.16,1074.49
441.63,1073.78
441.0,1071.66
442.76,1071.51
443.64,1067.94
443.44,1069.76
443.71,1066.59
444.01,1067.81
442.88,1065.09
444.59,1064.16
444.67,1061.8
445.41,1061.36
444.51,1060.84
444.32,1060.63
444.89,1060.28
444.57,1059.63
445.92,1060.56
444.37,1059.94
446.29,1057.84
445.49,1059.19
445.36,1056.11
446.0,1056.44
446.01,1056.11
446.1,1057.93
445.95,1058.94
445.07,1060.38
444.85,1061.39
445.75,1061.07
445.77,1061.07
445.63,1060.03
445.03,1061.86
444.43,1060.85
445.15,1060.41
445.29,1060.83
444.17,1059.65
444.16,1060.63
443.84,1059.93
445.39,1060.01
443.62,1060.6
444.77,1060.0
444.34,1060.11
442.62,1060.14
443.5,1060.14
444.26,1057.33
441.85,1058.77
441.87,1056.66
441.72,1056.43
443.17,1055.84
441.35,1056.48
443.76,1056.7
442.07,1056.12
442.02,1055.6
442.42,1055.8
442.2,1056.6
441.54,1056.99
441.81,1055.96
441.46,1057.74
441.28,1056.9
440.12,1056.87
441.28,1057.38
439.92,1058.53
439.86,1056.28
439.86,1058.44
440.72,1057.76
440.68,1056.71
440.41,1056.67
440.44,1055.0
440.38,1056.44
440.9,1056.48
440.54,1056.92
440.39,1056.97
440.39,1056.6
440.69,1056.48
440.82,1055.65
441.03,1055.66
440.26,1055.51
440.57,1056.37
439.26,1056.62
440.66,1056.62
440.66,1056.62
439.48,1056.28
440.11,1056.81
440.05,1056.68
441.02,1055.46
440.8,1055.35
440.24,1055.51
441.57,1055.58
440.8,1058.62
441.6,1056.22
439.96,1058.51
441.96,1058.37
442.02,1056.83
443.88,1056.35
443.77,1056.23
443.88,1056.28
443.69,1056.66
443.49,1056.81
443.68,1056.8
444.24,1056.81
444.32,1056.84
443.36,1057.17
444.24,1056.26
444.31,1056.06
444.5,1056.46
444.5,1056.61
444.5,1057.11
444.31,1057.72
445.32,1056.3
444.41,1056.51
444.8,1056.94
445.76,1057.13
444.62,1057.56
445.54,1057.92
444.62,1058.06
445.73,1057.94
444.82,1058.1
445.68,1057.58
446.23,1058.58
445.99,1058.61
446.38,1058.76
446.23,1057.53
446.38,1058.89
446.38,1057.57
446.42,1058.26
447.93,1058.13
446.16,1057.03
446.69,1056.97
447.6,1056.4
449.09,1056.91
