x_cog,y_cog
518.68,1257.6
518.8,1259.71
527.17,1264.54
518.32,1258.74
526.02,1264.11
517.65,1258.8
518.05,1259.22
515.61,1258.26
515.51,1257.94
515.51,1258.07
515.07,1257.36
516.62,1258.14
516.28,1257.41
515.58,1257.41
516.17,1257.73
516.17,1257.87
515.52,1257.75
515.52,1257.75
515.78,1257.75
515.88,1257.76
516.17,1257.58
516.27,1257.58
516.49,1256.79
515.43,1257.97
516.78,1256.05
516.21,1258.56
516.11,1257.68
513.46,1258.3
523.45,1262.01
520.67,1263.02
521.15,1264.42
518.54,1266.24
518.22,1264.14
516.43,1266.79
514.5,1262.02
512.78,1264.32
511.0,1261.89
507.47,1264.5
504.66,1261.6
500.11,1262.08
498.4,1261.07
496.9,1263.7
496.22,1263.06
494.99,1265.02
495.76,1267.38
491.05,1266.2
489.76,1267.27
486.3,1263.07
481.16,1259.88
477.16,1255.85
473.06,1258.12
472.77,1257.65
463.21,1259.73
462.62,1257.37
456.49,1256.87
455.19,1255.3
453.41,1257.0
449.46,1255.14
446.02,1257.76
439.67,1253.49
435.44,1250.49
433.01,1246.08
436.21,1252.06
435.89,1248.33
437.64,1247.6
432.13,1241.66
426.62,1240.22
419.91,1229.21
427.55,1233.77
425.61,1226.2
422.98,1226.63
414.4,1215.79
414.16,1216.61
406.41,1208.65
405.15,1206.32
400.13,1196.96
400.31,1197.66
399.95,1187.84
397.86,1187.47
398.67,1182.28
401.04,1183.97
396.1,1173.0
399.81,1173.16
395.56,1160.88
396.16,1163.09
393.94,1152.27
394.46,1153.16
392.75,1144.74
393.14,1140.96
391.24,1138.28
390.81,1139.17
390.27,1136.61
391.57,1132.41
386.88,1134.87
384.71,1136.02
381.67,1130.43
373.07,1143.69
373.9,1138.37
373.34,1138.98
374.59,1135.39
372.87,1136.43
372.94,1137.49
371.53,1138.49
371.96,1139.01
372.69,1137.48
370.25,1137.76
369.37,1138.34
370.16,1137.09
368.27,1138.24
367.59,1139.39
370.48,1138.13
368.89,1138.94
369.68,1138.35
370.5,1140.23
370.26,1139.18
370.29,1141.36
369.87,1140.76
370.02,1142.12
369.35,1142.83
368.88,1143.92
368.78,1144.04
370.18,1142.86
371.34,1143.68
371.24,1142.57
370.9,1144.3
371.35,1144.12
371.26,1145.47
370.66,1144.16
371.28,1144.32
373.01,1141.36
373.0,1141.81
373.0,1142.03
373.77,1143.85
373.34,1144.61
388.87,1126.78
389.62,1126.49
389.71,1127.26
392.18,1124.8
387.38,1128.74
386.91,1129.64
388.71,1128.53
390.46,1123.67
390.75,1124.18
391.74,1124.54
390.64,1124.01
390.06,1125.6
390.54,1124.8
390.67,1126.55
390.06,1128.23
385.4,1129.53
380.86,1135.92
382.98,1132.42
384.2,1131.36
383.85,1130.28
382.3,1130.22
381.96,1130.38
386.11,1130.92
385.29,1129.56
387.48,1128.89
386.12,1127.48
386.06,1129.33
385.55,1128.61
386.17,1123.74
386.17,1124.64
386.91,1123.66
386.56,1124.04
388.46,1124.84
387.32,1126.65
387.69,1125.62
387.89,1127.89
387.92,1125.41
388.64,1128.95
388.38,1127.65
388.78,1128.69
387.61,1127.29
387.87,1127.03
388.88,1128.8
389.61,1130.03
389.52,1126.79
389.0,1128.9
389.39,1126.7
390.8,1128.51
389.4,1128.12
389.37,1129.38
390.94,1130.13
390.17,1131.95
390.24,1133.3
390.34,1133.99
389.21,1133.91
389.85,1135.36
391.06,1132.74
392.74,1137.05
390.32,1136.51
389.65,1142.37
387.79,1143.34
385.15,1150.07
390.08,1149.29
387.63,1155.54
389.05,1155.11
389.35,1161.87
390.94,1160.57
391.67,1170.32
392.42,1165.17
394.87,1172.14
394.34,1171.47
397.68,1178.38
396.33,1177.06
398.54,1185.6
399.8,1182.95
403.61,1191.38
403.44,1190.55
408.08,1196.3
408.95,1196.14
412.01,1202.3
413.27,1202.67
412.17,1206.29
412.07,1204.82
416.84,1212.37
418.03,1211.63
423.68,1219.13
422.62,1218.02
426.44,1224.82
427.45,1222.3
430.89,1229.56
431.78,1228.24
436.18,1236.2
437.75,1235.87
442.25,1242.9
441.52,1241.11
446.93,1246.87
447.18,1245.13
454.47,1250.7
454.45,1248.2
462.35,1254.49
463.22,1252.71
467.91,1257.12
469.04,1256.3
472.07,1259.17
473.16,1258.46
477.57,1261.08
480.3,1262.2
484.84,1261.13
487.39,1262.92
494.41,1264.14
495.71,1262.77
500.86,1262.08
499.19,1262.02
498.86,1262.86
504.65,1263.54
502.67,1262.23
503.7,1263.74
