x_cog,y_cog
529.26,1240.78
529.11,1240.63
529.79,1240.73
529.56,1240.73
530.62,1240.44
529.92,1240.56
529.13,1241.04
530.53,1241.07
528.93,1240.07
528.92,1240.19
528.28,1240.33
527.19,1240.19
528.96,1240.31
528.73,1240.31
529.13,1240.82
529.13,1240.88
528.91,1240.96
528.98,1241.0
529.22,1240.28
527.35,1239.51
528.8,1239.21
529.86,1240.07
528.83,1240.87
529.08,1240.15
529.95,1240.33
529.1,1240.27
528.95,1240.12
528.4,1241.04
528.43,1239.85
528.13,1241.07
527.43,1240.59
528.04,1240.46
527.64,1240.62
528.04,1240.62
527.3,1241.06
528.44,1241.09
528.29,1240.46
528.44,1241.18
528.61,1241.18
529.58,1241.18
528.36,1241.1
526.86,1241.87
529.58,1241.87
529.55,1241.87
528.33,1241.69
528.78,1239.78
527.86,1240.12
526.77,1240.58
527.5,1240.41
527.0,1240.56
526.83,1239.85
527.39,1241.56
527.0,1240.4
527.36,1240.93
525.04,1241.24
525.16,1241.05
526.19,1242.43
526.33,1242.17
526.75,1242.33
526.08,1242.36
525.26,1242.34
526.62,1243.05
527.49,1243.96
528.11,1243.68
529.11,1243.96
526.53,1243.61
525.41,1243.38
527.56,1242.14
531.33,1242.21
529.93,1242.35
528.75,1243.03
523.2,1242.23
520.22,1241.36
519.32,1241.96
523.76,1240.94
517.94,1237.9
517.6,1237.21
509.25,1233.22
507.35,1231.84
496.24,1226.85
500.12,1227.24
488.49,1221.49
486.57,1220.59
484.65,1212.24
482.71,1211.57
481.75,1200.48
478.99,1201.93
481.33,1189.72
478.87,1188.46
478.87,1175.62
474.85,1171.73
473.38,1159.98
472.08,1152.37
471.21,1139.9
469.0,1139.22
468.77,1124.58
466.21,1118.98
462.79,1104.3
461.13,1097.28
459.54,1082.5
456.99,1079.1
457.96,1067.2
455.23,1062.65
453.74,1053.83
452.35,1049.87
451.56,1043.97
452.04,1038.86
450.98,1033.22
449.21,1034.2
447.27,1032.97
447.68,1034.34
445.95,1035.39
445.17,1033.75
442.94,1035.89
443.63,1035.15
440.25,1035.36
441.27,1032.15
437.82,1033.67
439.21,1032.02
437.19,1032.29
435.27,1032.2
433.76,1030.6
432.82,1031.04
431.57,1030.93
429.86,1032.3
429.18,1033.86
427.96,1031.36
426.9,1032.36
425.71,1030.88
424.79,1031.14
424.43,1033.78
423.11,1032.18
422.91,1032.13
421.33,1030.99
422.48,1032.87
420.35,1032.52
420.58,1032.06
419.48,1033.97
418.45,1038.61
418.32,1035.36
417.75,1036.01
418.0,1035.82
417.68,1035.04
417.37,1036.86
417.43,1036.71
417.57,1036.5
417.82,1036.65
415.27,1036.67
415.94,1037.57
415.36,1035.72
414.26,1034.0
415.96,1036.8
414.12,1033.45
414.34,1033.13
414.52,1036.79
414.34,1034.27
414.34,1036.35
414.45,1036.02
413.91,1035.71
415.15,1036.85
414.98,1036.7
416.18,1036.85
416.44,1036.6
417.57,1036.74
418.06,1036.48
418.1,1038.11
419.21,1038.1
417.63,1038.1
417.9,1040.17
417.47,1039.45
418.07,1040.52
417.55,1040.39
418.23,1039.31
419.48,1039.23
418.37,1039.04
419.54,1039.16
419.04,1036.14
419.44,1038.47
418.73,1036.84
417.5,1037.1
419.15,1036.52
420.28,1033.56
420.18,1034.49
420.18,1034.32
418.92,1033.01
421.04,1032.94
421.11,1032.19
424.12,1033.4
422.28,1032.16
423.52,1036.15
423.41,1034.67
424.07,1034.37
423.73,1034.02
424.32,1033.7
424.75,1034.69
425.64,1035.41
425.78,1035.18
425.93,1037.24
426.78,1035.02
428.68,1036.78
429.43,1037.14
428.6,1036.31
428.73,1036.15
428.73,1037.61
429.52,1037.97
429.5,1037.02
430.31,1035.63
431.54,1034.2
431.44,1034.43
431.05,1034.88
431.08,1035.82
431.8,1037.34
431.73,1035.53
432.39,1035.41
432.43,1036.55
432.18,1035.68
431.18,1035.42
432.21,1034.09
431.91,1036.05
432.48,1035.13
432.33,1033.17
432.66,1034.49
432.73,1035.13
432.35,1034.64
432.26,1033.87
432.54,1034.19
433.39,1035.63
433.46,1035.63
433.64,1033.35
433.58,1035.56
433.88,1035.25
434.45,1035.65
434.36,1034.48
433.67,1034.97
434.06,1033.55
433.87,1035.01
433.66,1034.0
435.22,1034.07
434.69,1035.02
434.63,1031.99
434.85,1033.93
434.79,1033.82
436.4,1032.56
434.36,1034.6
436.02,1032.73
434.08,1034.01
434.66,1033.12
435.0,1032.11
434.48,1034.46
433.57,1034.53
435.33,1032.13
433.66,1033.79
434.71,1034.35
435.83,1034.49
435.96,1034.77
436.17,1033.75
435.84,1032.59
434.69,1034.5
435.51,1033.3
435.81,1033.86
434.9,1033.39
434.9,1034.34
434.69,1033.49
434.69,1033.7
435.29,1033.37
434.4,1033.89
434.4,1033.7
434.05,1033.45
434.4,1033.47
434.4,1033.49
434.67,1033.01
434.96,1035.64
435.66,1033.5
435.59,1033.37
434.54,1033.58
435.25,1032.84
435.28,1034.49
435.53,1034.89
434.27,1032.81
435.01,1035.1
435.05,1033.62
435.08,1033.76
435.23,1034.76
435.26,1034.5
435.24,1031.65
435.3,1032.61
435.39,1032.24
436.12,1031.25
435.64,1032.21
434.27,1031.58
435.64,1031.11
