x_cog,y_cog
535.71,1243.07
535.39,1245.28
535.43,1243.9
534.82,1245.44
535.97,1244.48
534.1,1245.34
534.99,1245.83
533.98,1244.94
533.37,1244.07
533.41,1244.55
533.51,1244.92
541.43,1245.79
535.34,1243.5
539.72,1244.35
540.49,1245.32
536.03,1245.2
539.15,1244.65
535.08,1245.33
532.33,1243.57
532.35,1243.57
531.19,1244.09
539.0,1244.82
536.67,1245.53
539.64,1245.41
539.43,1245.1
539.43,1245.04
539.63,1244.25
539.72,1244.24
535.9,1244.85
539.46,1243.32
540.49,1244.89
539.08,1244.86
539.63,1243.98
541.47,1245.16
542.25,1244.24
541.32,1243.94
541.97,1244.05
538.69,1242.65
539.03,1242.77
537.33,1241.95
535.99,1241.61
535.21,1242.27
534.54,1241.19
536.82,1242.68
534.4,1241.78
538.87,1241.96
533.35,1241.69
536.94,1242.45
534.07,1242.99
532.2,1242.57
529.78,1242.5
524.59,1241.6
525.58,1242.63
519.19,1238.97
518.14,1238.16
511.68,1235.2
511.11,1236.16
506.06,1233.96
505.82,1231.21
499.09,1228.63
498.86,1228.62
493.38,1224.67
495.99,1224.78
491.56,1218.62
490.39,1218.34
485.8,1211.71
484.52,1212.56
481.35,1204.07
480.95,1204.96
479.64,1200.9
479.33,1202.1
474.32,1195.27
475.46,1194.42
471.5,1185.1
474.25,1181.96
470.21,1171.82
469.08,1171.58
463.24,1163.03
463.1,1159.29
460.25,1151.18
458.7,1150.15
454.99,1142.2
454.98,1140.24
450.6,1131.03
450.26,1130.39
447.32,1120.39
445.76,1117.79
440.88,1107.45
441.22,1106.71
435.23,1101.17
435.96,1100.1
427.56,1091.91
428.51,1090.38
422.51,1082.41
423.58,1079.99
420.14,1072.57
421.23,1073.74
419.77,1063.16
420.27,1065.38
416.87,1055.89
416.82,1057.65
415.95,1049.74
414.89,1051.52
414.95,1047.65
415.39,1047.74
413.3,1044.96
411.47,1041.84
410.6,1039.24
409.94,1037.61
407.02,1034.98
408.5,1037.55
404.9,1034.77
406.58,1033.23
403.87,1033.31
401.57,1032.65
397.73,1031.71
398.81,1031.08
396.86,1028.49
396.94,1028.78
395.96,1027.35
395.59,1027.46
395.25,1027.1
394.41,1026.62
394.2,1026.12
394.35,1025.15
394.62,1024.94
394.19,1026.0
392.98,1024.95
391.71,1024.57
392.22,1026.19
393.07,1027.03
391.99,1027.35
391.63,1027.18
391.26,1026.94
391.93,1026.33
391.13,1026.01
391.37,1026.33
392.13,1027.37
393.44,1026.48
394.77,1026.24
394.96,1026.15
394.72,1027.07
394.77,1024.41
394.86,1025.12
395.94,1027.18
396.8,1024.37
395.59,1025.66
397.25,1024.11
396.2,1026.37
397.52,1025.55
396.87,1026.71
397.05,1028.18
397.85,1027.96
400.19,1027.56
399.74,1026.65
399.53,1026.65
399.82,1027.0
399.97,1027.26
400.53,1028.14
399.97,1025.95
401.04,1026.46
402.34,1026.95
399.95,1026.37
402.39,1026.43
402.21,1026.88
403.12,1026.85
403.53,1026.3
402.02,1026.36
404.75,1026.52
403.54,1025.81
404.0,1026.53
404.62,1026.5
405.11,1027.78
405.24,1026.13
406.16,1025.06
406.27,1026.55
407.2,1024.88
407.49,1026.96
407.89,1026.12
406.47,1026.63
406.55,1026.79
406.04,1026.67
406.32,1026.19
406.28,1026.99
408.06,1026.46
408.53,1026.53
407.81,1026.77
407.31,1027.85
409.03,1026.88
407.1,1025.37
408.22,1028.2
408.93,1026.71
409.14,1026.96
409.71,1026.05
409.41,1026.73
409.61,1025.09
409.92,1025.71
410.07,1025.26
410.33,1025.41
410.26,1024.13
413.75,1024.26
413.18,1024.45
413.35,1025.06
412.35,1024.85
413.94,1025.59
413.54,1024.34
415.43,1026.85
414.29,1027.12
412.64,1026.55
414.53,1026.93
415.77,1026.95
415.38,1027.13
415.14,1027.4
414.98,1027.23
415.22,1027.76
415.67,1026.95
416.46,1027.6
417.58,1027.56
417.58,1027.43
417.68,1028.17
417.57,1026.69
419.31,1027.1
419.47,1025.79
422.17,1028.04
422.19,1028.37
422.29,1027.5
421.65,1029.84
423.63,1030.33
423.7,1026.98
422.63,1029.15
424.27,1028.06
423.2,1029.87
424.15,1029.54
423.11,1030.64
423.91,1028.15
423.81,1030.59
423.9,1031.03
425.66,1031.43
426.25,1032.35
426.44,1032.91
426.72,1032.05
426.83,1034.76
427.45,1032.18
428.63,1034.61
428.22,1035.18
428.55,1037.09
429.59,1036.22
430.31,1034.51
430.71,1035.1
430.56,1036.0
430.22,1036.97
429.88,1036.54
432.87,1037.21
432.04,1037.38
433.5,1036.83
433.5,1037.68
433.5,1038.23
434.48,1038.52
435.21,1038.64
435.78,1039.33
437.1,1038.28
436.81,1041.98
437.85,1040.01
437.97,1043.2
439.49,1043.35
439.92,1043.82
440.02,1041.47
441.0,1043.76
442.43,1044.08
442.88,1043.5
442.75,1043.41
442.24,1042.96
440.47,1043.4
440.81,1045.12
442.25,1043.2
441.26,1044.35
441.93,1042.84
441.89,1043.37
441.96,1044.37
443.31,1042.12
444.61,1042.88
444.21,1043.3
444.16,1043.89
445.18,1043.83
445.25,1043.41
445.25,1045.94
446.2,1046.4
445.99,1048.66
445.84,1047.59
447.51,1050.18
448.52,1051.57
448.55,1056.09
448.86,1053.38
449.04,1058.34
449.29,1058.53
450.72,1063.33
450.99,1062.92
452.4,1067.23
451.23,1067.02
452.09,1072.56
452.71,1069.1
452.91,1076.89
451.31,1075.19
453.32,1078.43
451.96,1078.74
451.72,1083.52
453.28,1083.89
450.93,1086.88
452.47,1087.48
453.16,1093.97
453.01,1092.25
452.89,1099.87
453.64,1099.54
455.25,1108.73
454.65,1108.46
457.44,1114.71
456.73,1113.71
458.29,1119.01
458.03,1119.98
457.78,1124.29
