sho_x(coord),sho_y(coord),hip_x(coord),hip_y(coord),c_x(coord),c_y(coord),a_sq(dis),b_sq(dis),c_sq(dis),a(dis),b(dis),c(dis),cos(rad)),theta(theta),degree(deg)
483.0,735.0,451.0,735.0,483.0,735.0,1024.0,34596.0,35620.0,32.0,186.0,188.73261509341728,0.16955204051065,1.4004212161322807,80.23822522495776
484.0,734.0,452.0,734.0,484.0,734.0,1024.0,34969.0,35993.0,32.0,187.0,189.71821209362056,0.16867120792920454,1.4013149208599924,80.28943073398653
485.0,735.0,452.0,735.0,485.0,735.0,1089.0,35344.0,36433.0,33.0,188.0,190.87430418995638,0.1728886459602163,1.3970345979447887,80.04418629599222
485.0,735.0,448.0,735.0,485.0,735.0,1369.0,34225.0,35594.0,37.0,185.0,188.66372200293304,0.19611613513818404,1.373400766945016,78.69006752597979
485.0,734.0,448.0,734.0,485.0,734.0,1369.0,35721.0,37090.0,37.0,189.0,192.5876423865249,0.1921203226827021,1.377474064172757,78.92345026583169
485.0,730.0,449.0,730.0,485.0,730.0,1296.0,37249.0,38545.0,36.0,193.0,196.32880583347927,0.18336585834752248,1.3863870498651882,79.43412672886849
486.0,732.0,449.0,732.0,486.0,732.0,1369.0,36481.0,37850.0,37.0,191.0,194.5507645834372,0.19018172495606805,1.3794490802873878,79.03661035367037
486.0,730.0,449.0,730.0,486.0,730.0,1369.0,38416.0,39785.0,37.0,196.0,199.46177578674065,0.18549920080707313,1.3842164710472633,79.3097617235009
487.0,729.0,450.0,729.0,487.0,729.0,1369.0,38416.0,39785.0,37.0,196.0,199.46177578674065,0.18549920080707313,1.3842164710472633,79.3097617235009
488.0,727.0,447.0,727.0,488.0,727.0,1681.0,40401.0,42082.0,41.0,201.0,205.1389772812568,0.1998645042662309,1.3695766938074119,78.47096427464572
488.0,726.0,447.0,726.0,488.0,726.0,1681.0,42025.0,43706.0,41.0,205.0,209.0598000573042,0.19611613513818404,1.373400766945016,78.69006752597979
489.0,729.0,448.0,729.0,489.0,729.0,1681.0,40804.0,42485.0,41.0,202.0,206.11889772653063,0.19891431815435462,1.3705463503395912,78.5265215015169
493.0,729.0,448.0,729.0,493.0,729.0,2025.0,40401.0,42426.0,45.0,201.0,205.97572672526246,0.21847234485072387,1.3505476034042077,77.38067770656923
493.0,731.0,448.0,731.0,493.0,731.0,2025.0,39601.0,41626.0,45.0,199.0,204.0245083317198,0.2205617372538171,1.3484059733260958,77.25797134181515
494.0,730.0,448.0,730.0,494.0,730.0,2116.0,40000.0,42116.0,46.0,200.0,205.22183119736556,0.2241476929214269,1.3447279388010127,77.04723548662449
498.0,733.0,448.0,733.0,498.0,733.0,2500.0,40401.0,42901.0,50.0,201.0,207.12556578076016,0.24139946129549444,1.3269886233202,76.03084757812283
