sho_x(coord),sho_y(coord),hip_x(coord),hip_y(coord),c_x(coord),c_y(coord),a_sq(dis),b_sq(dis),c_sq(dis),a(dis),b(dis),c(dis),cos(rad)),theta(theta),degree(deg)
662.0,964.0,626.0,964.0,662.0,964.0,1296.0,165649.0,166945.0,36.0,407.0,408.58903558465687,0.08810809117402527,1.482573837825185,84.94522372389606
661.0,965.0,626.0,965.0,661.0,965.0,1225.0,164836.0,166061.0,35.0,406.0,407.50582817918075,0.08588834215301201,1.484802035600656,85.07289005235099
662.0,964.0,621.0,964.0,662.0,964.0,1681.0,160801.0,162482.0,41.0,401.0,403.09056054440174,0.10171411591635056,1.4689060042981699,84.1621145477107
661.0,965.0,620.0,965.0,661.0,965.0,1681.0,164836.0,166517.0,41.0,406.0,408.06494581132546,0.10047420250343415,1.4701523027525194,84.2335221891586
661.0,966.0,620.0,966.0,661.0,966.0,1681.0,158404.0,160085.0,41.0,398.0,400.10623589241897,0.10247278428078317,1.4681433509077548,84.11841772720857
662.0,966.0,620.0,966.0,662.0,966.0,1764.0,164025.0,165789.0,42.0,405.0,407.1719538475115,0.10315052302381629,1.4674620015730022,84.0793792859532
661.0,966.0,620.0,966.0,661.0,966.0,1681.0,164025.0,165706.0,41.0,405.0,407.0700185471782,0.1007197733361152,1.4699054798499578,84.21938027855465
661.0,960.0,620.0,960.0,661.0,960.0,1681.0,168921.0,170602.0,41.0,411.0,413.0399496416781,0.09926400590443725,1.4713685801049041,84.30320974816759
661.0,960.0,620.0,960.0,661.0,960.0,1681.0,168921.0,170602.0,41.0,411.0,413.0399496416781,0.09926400590443725,1.4713685801049041,84.30320974816759
661.0,964.0,620.0,964.0,661.0,964.0,1681.0,164836.0,166517.0,41.0,406.0,408.06494581132546,0.10047420250343415,1.4701523027525194,84.2335221891586
661.0,965.0,620.0,965.0,661.0,965.0,1681.0,164836.0,166517.0,41.0,406.0,408.06494581132546,0.10047420250343415,1.4701523027525194,84.2335221891586
661.0,965.0,620.0,965.0,661.0,965.0,1681.0,164025.0,165706.0,41.0,405.0,407.0700185471782,0.1007197733361152,1.4699054798499578,84.21938027855465
660.0,965.0,625.0,965.0,660.0,965.0,1225.0,159201.0,160426.0,35.0,399.0,400.53214602575906,0.08738374771484404,1.4833009859925053,84.9868862449642
660.0,966.0,625.0,966.0,660.0,966.0,1225.0,163216.0,164441.0,35.0,404.0,405.51325502380314,0.08631037226624205,1.4843784324574412,85.04861938005631
660.0,965.0,625.0,965.0,660.0,965.0,1225.0,163216.0,164441.0,35.0,404.0,405.51325502380314,0.08631037226624205,1.4843784324574412,85.04861938005631
660.0,965.0,625.0,965.0,660.0,965.0,1225.0,159201.0,160426.0,35.0,399.0,400.53214602575906,0.08738374771484404,1.4833009859925053,84.9868862449642
660.0,965.0,625.0,965.0,660.0,965.0,1225.0,164025.0,165250.0,35.0,405.0,406.5095324835569,0.08609884197836304,1.4845907531191178,85.06078445787381
661.0,965.0,626.0,965.0,661.0,965.0,1225.0,164025.0,165250.0,35.0,405.0,406.5095324835569,0.08609884197836304,1.4845907531191178,85.06078445787381
660.0,966.0,625.0,966.0,660.0,966.0,1225.0,163216.0,164441.0,35.0,404.0,405.51325502380314,0.08631037226624205,1.4843784324574412,85.04861938005631
660.0,966.0,625.0,966.0,660.0,966.0,1225.0,163216.0,164441.0,35.0,404.0,405.51325502380314,0.08631037226624205,1.4843784324574412,85.04861938005631
