sho_x(coord),sho_y(coord),hip_x(coord),hip_y(coord),c_x(coord),c_y(coord),a_sq(dis),b_sq(dis),c_sq(dis),a(dis),b(dis),c(dis),cos(rad)),theta(theta),degree(deg)
666.0,963.0,625.0,963.0,666.0,963.0,1681.0,156816.0,158497.0,41.0,396.0,398.11681702736445,0.1029848482818094,1.4676285633658877,84.08892257371367
667.0,961.0,626.0,961.0,667.0,961.0,1681.0,157609.0,159290.0,41.0,397.0,399.1115132390946,0.10272818157324928,1.4678865986417653,84.10370690598695
667.0,961.0,626.0,961.0,667.0,961.0,1681.0,158404.0,160085.0,41.0,398.0,400.10623589241897,0.10247278428078317,1.4681433509077548,84.11841772720857
668.0,960.0,627.0,960.0,668.0,960.0,1681.0,160000.0,161681.0,41.0,400.0,402.09575973889605,0.10196576066015633,1.4686530443637824,84.14762101108438
668.0,960.0,621.0,960.0,668.0,960.0,2209.0,160000.0,162209.0,47.0,400.0,402.75178460188107,0.11669718619983115,1.453832635896873,83.29847415527053
668.0,960.0,627.0,960.0,668.0,960.0,1681.0,164025.0,165706.0,41.0,405.0,407.0700185471782,0.1007197733361152,1.4699054798499578,84.21938027855465
667.0,961.0,626.0,961.0,667.0,961.0,1681.0,158404.0,160085.0,41.0,398.0,400.10623589241897,0.10247278428078317,1.4681433509077548,84.11841772720857
667.0,961.0,626.0,961.0,667.0,961.0,1681.0,158404.0,160085.0,41.0,398.0,400.10623589241897,0.10247278428078317,1.4681433509077548,84.11841772720857
667.0,961.0,626.0,961.0,667.0,961.0,1681.0,158404.0,160085.0,41.0,398.0,400.10623589241897,0.10247278428078317,1.4681433509077548,84.11841772720857
667.0,960.0,626.0,960.0,667.0,960.0,1681.0,158404.0,160085.0,41.0,398.0,400.10623589241897,0.10247278428078317,1.4681433509077548,84.11841772720857
666.0,961.0,631.0,961.0,666.0,961.0,1225.0,157609.0,158834.0,35.0,397.0,398.5398348973412,0.08782058137053114,1.482862466462642,84.96176092666896
667.0,966.0,626.0,966.0,667.0,966.0,1681.0,152881.0,154562.0,41.0,391.0,393.14373961694974,0.10428755660702464,1.4663188022359406,84.01387878879741
668.0,965.0,627.0,965.0,668.0,965.0,1681.0,154449.0,156130.0,41.0,393.0,395.1328890386119,0.1037625597296041,1.4668466629346733,84.04412297900562
667.0,961.0,626.0,961.0,667.0,961.0,1681.0,157609.0,159290.0,41.0,397.0,399.1115132390946,0.10272818157324928,1.4678865986417653,84.10370690598695
667.0,961.0,626.0,961.0,667.0,961.0,1681.0,157609.0,159290.0,41.0,397.0,399.1115132390946,0.10272818157324928,1.4678865986417653,84.10370690598695
673.0,961.0,626.0,961.0,673.0,961.0,2209.0,158404.0,160613.0,47.0,398.0,400.7655174787372,0.11727555877482301,1.4532502644716543,83.26510673049648
667.0,962.0,626.0,962.0,667.0,962.0,1681.0,157609.0,159290.0,41.0,397.0,399.1115132390946,0.10272818157324928,1.4678865986417653,84.10370690598695
673.0,961.0,626.0,961.0,673.0,961.0,2209.0,158404.0,160613.0,47.0,398.0,400.7655174787372,0.11727555877482301,1.4532502644716543,83.26510673049648
666.0,962.0,625.0,962.0,666.0,962.0,1681.0,156816.0,158497.0,41.0,396.0,398.11681702736445,0.1029848482818094,1.4676285633658877,84.08892257371367
666.0,962.0,626.0,962.0,666.0,962.0,1600.0,156816.0,158416.0,40.0,396.0,398.01507509138395,0.10049870596186848,1.4701276746370677,84.23211110208587
666.0,962.0,625.0,962.0,666.0,962.0,1681.0,156816.0,158497.0,41.0,396.0,398.11681702736445,0.1029848482818094,1.4676285633658877,84.08892257371367
