sho_x(coord),sho_y(coord),hip_x(coord),hip_y(coord),c_x(coord),c_y(coord),a_sq(dis),b_sq(dis),c_sq(dis),a(dis),b(dis),c(dis),cos(rad)),theta(theta),degree(deg)
665.0,970.0,613.0,970.0,665.0,970.0,2704.0,160000.0,162704.0,52.0,400.0,403.3658389105354,0.12891523025462093,1.4415213227467536,82.59308787150478
665.0,966.0,612.0,966.0,665.0,966.0,2809.0,159201.0,162010.0,53.0,399.0,402.5046583581363,0.13167549467922487,1.438737324420635,82.43357651724669
665.0,965.0,613.0,965.0,665.0,965.0,2704.0,164836.0,167540.0,52.0,406.0,409.31650345423407,0.12704105395499685,1.4434110384932723,82.70136060825972
665.0,964.0,613.0,964.0,665.0,964.0,2704.0,165649.0,168353.0,52.0,407.0,410.3084205813963,0.12673393328442384,1.4437206618146872,82.7191007178156
666.0,963.0,613.0,963.0,666.0,963.0,2809.0,167281.0,170090.0,53.0,409.0,412.4196891517184,0.12850986845223747,1.441930084656229,82.61650820374344
665.0,965.0,613.0,965.0,665.0,965.0,2704.0,165649.0,168353.0,52.0,407.0,410.3084205813963,0.12673393328442384,1.4437206618146872,82.7191007178156
665.0,965.0,613.0,965.0,665.0,965.0,2704.0,165649.0,168353.0,52.0,407.0,410.3084205813963,0.12673393328442384,1.4437206618146872,82.7191007178156
665.0,964.0,612.0,964.0,665.0,964.0,2809.0,165649.0,168458.0,53.0,407.0,410.43635316574967,0.1291308618040386,1.4413038736695072,82.58062895711954
665.0,965.0,612.0,965.0,665.0,965.0,2809.0,165649.0,168458.0,53.0,407.0,410.43635316574967,0.1291308618040386,1.4413038736695072,82.58062895711954
665.0,969.0,612.0,969.0,665.0,969.0,2809.0,156816.0,159625.0,53.0,396.0,399.53097501945956,0.13265554691327397,1.4377485987069905,82.3769267067588
664.0,969.0,612.0,969.0,664.0,969.0,2704.0,161604.0,164308.0,52.0,402.0,405.3492321443326,0.12828444185009427,1.4421573927265363,82.6295319968213
665.0,968.0,612.0,968.0,665.0,968.0,2809.0,158404.0,161213.0,53.0,398.0,401.5133870744536,0.13200058007075138,1.4384093764585535,82.41478648311951
665.0,964.0,612.0,964.0,665.0,964.0,2809.0,165649.0,168458.0,53.0,407.0,410.43635316574967,0.1291308618040386,1.4413038736695072,82.58062895711954
664.0,970.0,612.0,970.0,664.0,970.0,2704.0,160801.0,163505.0,52.0,401.0,404.357515077932,0.12859906904408097,1.441840137725161,82.61135462421308
665.0,970.0,618.0,970.0,665.0,970.0,2209.0,160801.0,163010.0,47.0,401.0,403.74496900890296,0.11641011927745806,1.454121672781001,83.31503474885467
