sho_x(coord),sho_y(coord),hip_x(coord),hip_y(coord),c_x(coord),c_y(coord),a_sq(dis),b_sq(dis),c_sq(dis),a(dis),b(dis),c(dis),cos(rad)),theta(theta),degree(deg)
679.0,969.0,617.0,969.0,679.0,969.0,3844.0,164836.0,168680.0,62.0,406.0,410.7067080046295,0.15095930694976897,1.4192576976837288,81.31747611873178
679.0,970.0,617.0,970.0,679.0,970.0,3844.0,163216.0,167060.0,62.0,404.0,408.72973955903916,0.15168947595271418,1.4185190221919923,81.27515313062553
679.0,970.0,623.0,970.0,679.0,970.0,3136.0,163216.0,166352.0,56.0,404.0,407.8627220033721,0.13730109906817375,1.433060135834552,82.1082975717643
680.0,968.0,618.0,968.0,680.0,968.0,3844.0,160801.0,164645.0,62.0,401.0,405.7647101461634,0.15279791083277433,1.4173975138107182,81.21089543368997
679.0,970.0,618.0,970.0,679.0,970.0,3721.0,164025.0,167746.0,61.0,405.0,409.56806516133554,0.1489373932901021,1.4213027332367472,81.43464802487392
679.0,970.0,623.0,970.0,679.0,970.0,3136.0,163216.0,166352.0,56.0,404.0,407.8627220033721,0.13730109906817375,1.433060135834552,82.1082975717643
679.0,969.0,623.0,969.0,679.0,969.0,3136.0,165649.0,168785.0,56.0,407.0,410.8345165635429,0.13630792385317655,1.4340627374894912,82.16574241512514
679.0,970.0,623.0,970.0,679.0,970.0,3136.0,164025.0,167161.0,56.0,405.0,408.8532744151623,0.1369684517755283,1.4333959558224079,82.12753863974457
680.0,969.0,618.0,969.0,680.0,969.0,3844.0,165649.0,169493.0,62.0,407.0,411.6952756590729,0.15059682164374055,1.4196243749794324,81.33848518021885
679.0,971.0,622.0,971.0,679.0,971.0,3249.0,163216.0,166465.0,57.0,404.0,408.0012254883556,0.1397054627269172,1.4306323727085617,81.96919699098757
680.0,969.0,618.0,969.0,680.0,969.0,3844.0,165649.0,169493.0,62.0,407.0,411.6952756590729,0.15059682164374055,1.4196243749794324,81.33848518021885
680.0,967.0,617.0,967.0,680.0,967.0,3969.0,167281.0,171250.0,63.0,409.0,413.82363393117123,0.15223876751920457,1.4179632761896832,81.24331123021194
680.0,973.0,618.0,973.0,680.0,973.0,3844.0,161604.0,165448.0,62.0,402.0,406.7529963011951,0.15242665834989902,1.417773166641345,81.23241875544701
680.0,974.0,618.0,974.0,680.0,974.0,3844.0,161604.0,165448.0,62.0,402.0,406.7529963011951,0.15242665834989902,1.417773166641345,81.23241875544701
681.0,967.0,618.0,967.0,681.0,967.0,3969.0,167281.0,171250.0,63.0,409.0,413.82363393117123,0.15223876751920457,1.4179632761896832,81.24331123021194
681.0,972.0,619.0,972.0,681.0,972.0,3844.0,163216.0,167060.0,62.0,404.0,408.72973955903916,0.15168947595271418,1.4185190221919923,81.27515313062553
680.0,967.0,618.0,967.0,680.0,967.0,3844.0,165649.0,169493.0,62.0,407.0,411.6952756590729,0.15059682164374055,1.4196243749794324,81.33848518021885
680.0,967.0,617.0,967.0,680.0,967.0,3969.0,166464.0,170433.0,63.0,408.0,412.8353182565658,0.15260322267497287,1.417594512268,81.2221826138628
680.0,967.0,617.0,967.0,680.0,967.0,3969.0,167281.0,171250.0,63.0,409.0,413.82363393117123,0.15223876751920457,1.4179632761896832,81.24331123021194
679.0,967.0,617.0,967.0,679.0,967.0,3844.0,166464.0,170308.0,62.0,408.0,412.68389840167015,0.15023605292119893,1.4199892955047289,81.35939358617604
685.0,967.0,617.0,967.0,685.0,967.0,4624.0,165649.0,170273.0,68.0,407.0,412.6414908852477,0.16479195985386322,1.405249243026847,80.51485078939207
684.0,967.0,616.0,967.0,684.0,967.0,4624.0,165649.0,170273.0,68.0,407.0,412.6414908852477,0.16479195985386322,1.405249243026847,80.51485078939207
679.0,967.0,617.0,967.0,679.0,967.0,3844.0,166464.0,170308.0,62.0,408.0,412.68389840167015,0.15023605292119893,1.4199892955047289,81.35939358617604
685.0,967.0,617.0,967.0,685.0,967.0,4624.0,165649.0,170273.0,68.0,407.0,412.6414908852477,0.16479195985386322,1.405249243026847,80.51485078939207
685.0,967.0,617.0,967.0,685.0,967.0,4624.0,166464.0,171088.0,68.0,408.0,413.62785206027894,0.1643989873053573,1.4056476493802699,80.53767779197439
684.0,967.0,616.0,967.0,684.0,967.0,4624.0,165649.0,170273.0,68.0,407.0,412.6414908852477,0.16479195985386322,1.405249243026847,80.51485078939207
679.0,967.0,617.0,967.0,679.0,967.0,3844.0,166464.0,170308.0,62.0,408.0,412.68389840167015,0.15023605292119893,1.4199892955047289,81.35939358617604
679.0,967.0,617.0,967.0,679.0,967.0,3844.0,166464.0,170308.0,62.0,408.0,412.68389840167015,0.15023605292119893,1.4199892955047289,81.35939358617604
678.0,969.0,622.0,969.0,678.0,969.0,3136.0,164025.0,167161.0,56.0,405.0,408.8532744151623,0.1369684517755283,1.4333959558224079,82.12753863974457
678.0,970.0,621.0,970.0,678.0,970.0,3249.0,163216.0,166465.0,57.0,404.0,408.0012254883556,0.1397054627269172,1.4306323727085617,81.96919699098757
679.0,969.0,622.0,969.0,679.0,969.0,3249.0,165649.0,168898.0,57.0,407.0,410.9720185122097,0.13869557398664253,1.431652190219123,82.02762823021627
673.0,968.0,616.0,968.0,673.0,968.0,3249.0,164836.0,168085.0,57.0,406.0,409.98170690897905,0.1390305934129268,1.4313138932310019,82.00824524057494
672.0,968.0,621.0,968.0,672.0,968.0,2601.0,161604.0,164205.0,51.0,402.0,405.2221612893352,0.12585688758415456,1.444604787021872,82.76975736074841
672.0,969.0,622.0,969.0,672.0,969.0,2500.0,160801.0,163301.0,50.0,401.0,404.1051843270512,0.12373016219344987,1.4467482690095215,82.89256983210305
673.0,968.0,622.0,968.0,673.0,968.0,2601.0,166464.0,169065.0,51.0,408.0,411.17514516322603,0.12403473458920845,1.446441332248135,82.8749836510982
672.0,968.0,621.0,968.0,672.0,968.0,2601.0,161604.0,164205.0,51.0,402.0,405.2221612893352,0.12585688758415456,1.444604787021872,82.76975736074841
667.0,969.0,616.0,969.0,667.0,969.0,2601.0,161604.0,164205.0,51.0,402.0,405.2221612893352,0.12585688758415456,1.444604787021872,82.76975736074841
667.0,967.0,616.0,967.0,667.0,967.0,2601.0,163216.0,165817.0,51.0,404.0,407.2063359035564,0.1252436308163902,1.445222935044152,82.80517463353942
667.0,967.0,616.0,967.0,667.0,967.0,2601.0,163216.0,165817.0,51.0,404.0,407.2063359035564,0.1252436308163902,1.445222935044152,82.80517463353942
662.0,969.0,617.0,969.0,662.0,969.0,2025.0,161604.0,163629.0,45.0,402.0,404.5108156774056,0.11124548035790263,1.4593201049851183,83.61288297423549
663.0,966.0,611.0,966.0,663.0,966.0,2704.0,168100.0,170804.0,52.0,410.0,413.2844057062884,0.125821345499678,1.4446406139063508,82.77181009002216
656.0,965.0,616.0,965.0,656.0,965.0,1600.0,164025.0,165625.0,40.0,405.0,406.97051490249265,0.0982872186934322,1.4723501675822634,84.35945056784317
657.0,964.0,611.0,964.0,657.0,964.0,2116.0,165649.0,167765.0,46.0,407.0,409.59125967237145,0.11230708398610606,1.4582518067024504,83.55167399137754
651.0,964.0,616.0,964.0,651.0,964.0,1225.0,161604.0,162829.0,35.0,402.0,403.52075535218756,0.08673655452853339,1.483950645912368,85.02410901649112
645.0,966.0,616.0,966.0,645.0,966.0,841.0,160801.0,161642.0,29.0,401.0,402.0472609034913,0.07213082346296908,1.4986028087238512,85.86361610632765
640.0,966.0,623.0,966.0,640.0,966.0,289.0,157609.0,157898.0,17.0,397.0,397.3638131486057,0.0427819530553034,1.5280013123762166,87.54802628960813
635.0,964.0,623.0,964.0,635.0,964.0,144.0,159201.0,159345.0,12.0,399.0,399.18041034098854,0.030061595431873374,1.5407302017458524,88.27733792837721
628.0,967.0,617.0,967.0,628.0,967.0,121.0,151321.0,151442.0,11.0,389.0,389.15549591390845,0.0282663359903659,1.5425262253839291,88.38024250274474
627.0,969.0,615.0,969.0,627.0,969.0,144.0,155236.0,155380.0,12.0,394.0,394.1826987578222,0.030442736420992832,1.5403488862257255,88.25549015841109
620.0,975.0,620.0,975.0,620.0,975.0,0.0,146689.0,146689.0,0.0,383.0,383.0,nan,nan,nan
615.0,972.0,626.0,972.0,615.0,972.0,121.0,146689.0,146810.0,11.0,383.0,383.15793088490284,0.028708788500333298,1.5420835932267698,91.64511845173728
610.0,971.0,622.0,971.0,610.0,971.0,144.0,152881.0,153025.0,12.0,391.0,391.184099881373,0.030676093439480315,1.5401154201668537,91.75788646142182
598.0,971.0,621.0,971.0,598.0,971.0,529.0,149769.0,150298.0,23.0,387.0,387.68286008024654,0.05932684255176828,1.5114346271463428,93.40117485458535
594.0,968.0,623.0,968.0,594.0,968.0,841.0,149769.0,150610.0,29.0,387.0,388.0850422265718,0.07472588954631552,1.4960007175371794,94.28547273657682
