sho_x(coord),sho_y(coord),hip_x(coord),hip_y(coord),c_x(coord),c_y(coord),a_sq(dis),b_sq(dis),c_sq(dis),a(dis),b(dis),c(dis),cos(rad)),theta(theta),degree(deg)
624.0,967.0,624.0,967.0,624.0,967.0,0.0,151321.0,151321.0,0.0,389.0,389.0,nan,nan,nan
624.0,968.0,624.0,968.0,624.0,968.0,0.0,150544.0,150544.0,0.0,388.0,388.0,nan,nan,nan
624.0,968.0,618.0,968.0,624.0,968.0,36.0,156025.0,156061.0,6.0,395.0,395.0455669919611,0.015188121324044868,1.5556076214800474,89.12975128919122
624.0,968.0,624.0,968.0,624.0,968.0,0.0,150544.0,150544.0,0.0,388.0,388.0,nan,nan,nan
624.0,968.0,624.0,968.0,624.0,968.0,0.0,156025.0,156025.0,0.0,395.0,395.0,nan,nan,nan
619.0,967.0,631.0,967.0,619.0,967.0,144.0,156816.0,156960.0,12.0,396.0,396.18177646126026,0.030289126640769132,1.5405025668761214,91.73570458892839
624.0,968.0,624.0,968.0,624.0,968.0,0.0,155236.0,155236.0,0.0,394.0,394.0,nan,nan,nan
624.0,967.0,618.0,967.0,624.0,967.0,36.0,150544.0,150580.0,6.0,388.0,388.0463889794621,0.015462068892793017,1.5553336417353112,89.11405340614576
624.0,967.0,624.0,967.0,624.0,967.0,0.0,151321.0,151321.0,0.0,389.0,389.0,nan,nan,nan
624.0,968.0,624.0,968.0,624.0,968.0,0.0,156025.0,156025.0,0.0,395.0,395.0,nan,nan,nan
624.0,968.0,624.0,968.0,624.0,968.0,0.0,151321.0,151321.0,0.0,389.0,389.0,nan,nan,nan
624.0,968.0,624.0,968.0,624.0,968.0,0.0,151321.0,151321.0,0.0,389.0,389.0,nan,nan,nan
625.0,968.0,625.0,968.0,625.0,968.0,0.0,150544.0,150544.0,0.0,388.0,388.0,nan,nan,nan
624.0,967.0,630.0,967.0,624.0,967.0,36.0,156816.0,156852.0,6.0,396.0,396.045451937022,0.015149776296267384,1.555645970920127,90.86805144974554
624.0,967.0,629.0,967.0,624.0,967.0,25.0,151321.0,151346.0,5.0,389.0,389.0321323489873,0.012852408796697216,1.5579435641356303,90.7364090554593
624.0,966.0,629.0,966.0,624.0,966.0,25.0,152881.0,152906.0,5.0,391.0,391.0319680026174,0.012786678351491028,1.5580092999826078,90.73264266886477
624.0,966.0,630.0,966.0,624.0,966.0,36.0,157609.0,157645.0,6.0,397.0,397.04533746160524,0.015111624376095858,1.5556841272082647,90.86586525547335
624.0,970.0,630.0,970.0,624.0,970.0,36.0,154449.0,154485.0,6.0,393.0,393.04579885809744,0.015265396596100494,1.5555303372481168,90.87467677112132
624.0,971.0,630.0,971.0,624.0,971.0,36.0,152881.0,152917.0,6.0,391.0,391.0460330958492,0.015343462130273908,1.5554522625698455,90.8791501206731
624.0,971.0,629.0,971.0,624.0,971.0,25.0,153664.0,153689.0,5.0,392.0,392.03188645823184,0.012754064586868022,1.5580419164069228,90.73077388540871
624.0,971.0,629.0,971.0,624.0,971.0,25.0,152881.0,152906.0,5.0,391.0,391.0319680026174,0.012786678351491028,1.5580092999826078,90.73264266886477
624.0,965.0,630.0,965.0,624.0,965.0,36.0,157609.0,157645.0,6.0,397.0,397.04533746160524,0.015111624376095858,1.5556841272082647,90.86586525547335
624.0,965.0,630.0,965.0,624.0,965.0,36.0,157609.0,157645.0,6.0,397.0,397.04533746160524,0.015111624376095858,1.5556841272082647,90.86586525547335
624.0,967.0,624.0,967.0,624.0,967.0,0.0,156025.0,156025.0,0.0,395.0,395.0,nan,nan,nan
619.0,966.0,624.0,966.0,619.0,966.0,25.0,156816.0,156841.0,5.0,396.0,396.0315643985969,0.012625256291358666,1.5581707350746117,90.72339311942764
618.0,968.0,624.0,968.0,618.0,968.0,36.0,154449.0,154485.0,6.0,393.0,393.04579885809744,0.015265396596100494,1.5555303372481168,90.87467677112132
619.0,967.0,630.0,967.0,619.0,967.0,121.0,163216.0,163337.0,11.0,404.0,404.149724730823,0.02721763575943634,1.5435753294453363,91.5596482622666
618.0,967.0,630.0,967.0,618.0,967.0,144.0,157609.0,157753.0,12.0,397.0,397.1813187953331,0.030212901342884107,1.5405788270757754,91.7313352013434
617.0,965.0,629.0,965.0,617.0,965.0,144.0,154449.0,154593.0,12.0,393.0,393.1831634238679,0.030520126791552107,1.5402714598776939,91.74894604455423
612.0,961.0,624.0,961.0,612.0,961.0,144.0,157609.0,157753.0,12.0,397.0,397.1813187953331,0.030212901342884107,1.5405788270757754,91.7313352013434
608.0,961.0,631.0,961.0,608.0,961.0,529.0,162409.0,162938.0,23.0,403.0,403.655793963124,0.05697923910414914,1.5137862107725155,93.26643903763359
608.0,960.0,631.0,960.0,608.0,960.0,529.0,164025.0,164554.0,23.0,405.0,405.652560696959,0.05669876694598768,1.5140671370891432,93.25034314533666
602.0,960.0,626.0,960.0,602.0,960.0,576.0,165649.0,166225.0,24.0,407.0,407.7070026379238,0.058865802757167525,1.5118964741219385,93.37471297210284
597.0,960.0,620.0,960.0,597.0,960.0,529.0,160801.0,161330.0,23.0,401.0,401.6590594023742,0.05726249529693552,1.5135024913416462,93.28269496358826
596.0,958.0,619.0,958.0,596.0,958.0,529.0,163216.0,163745.0,23.0,404.0,404.6541733381728,0.05683865758818879,1.5139270204886799,93.25837123518293
590.0,960.0,624.0,960.0,590.0,960.0,1156.0,161604.0,162760.0,34.0,402.0,403.43524883182926,0.08427622548711106,1.4864200193714252,94.83440630626326
583.0,959.0,630.0,959.0,583.0,959.0,2209.0,164836.0,167045.0,47.0,406.0,408.71138961374686,0.11499557192281183,1.4555457847776831,96.60336964418148
583.0,960.0,630.0,960.0,583.0,960.0,2209.0,160000.0,162209.0,47.0,400.0,402.75178460188107,0.11669718619983115,1.453832635896873,96.70152584472947
572.0,954.0,630.0,954.0,572.0,954.0,3364.0,164836.0,168200.0,58.0,406.0,410.1219330881976,0.1414213562373095,1.4288992721907328,98.13010235415597
564.0,956.0,628.0,956.0,564.0,956.0,4096.0,168921.0,173017.0,64.0,411.0,415.9531223587581,0.15386349220574003,1.4163191810237203,98.8508884839156
556.0,955.0,631.0,955.0,556.0,955.0,5625.0,168100.0,173725.0,75.0,410.0,416.80331092734855,0.17994098903180972,1.3898698660407751,100.36632260345048
549.0,953.0,624.0,953.0,549.0,953.0,5625.0,167281.0,172906.0,75.0,409.0,415.81967245429837,0.18036664681429437,1.3894371279897209,100.39111666741061
