sho_x(coord),sho_y(coord),hip_x(coord),hip_y(coord),c_x(coord),c_y(coord),a_sq(dis),b_sq(dis),c_sq(dis),a(dis),b(dis),c(dis),cos(rad)),theta(theta),degree(deg)
587.0,952.0,610.0,952.0,587.0,952.0,529.0,165649.0,166178.0,23.0,407.0,407.64935913110423,0.05642103804363632,1.5143453112915906,93.234404937567
588.0,947.0,616.0,947.0,588.0,947.0,784.0,168921.0,169705.0,28.0,411.0,411.9526671839861,0.06796897369642385,1.5027749103686336,93.89734007772671
588.0,946.0,610.0,946.0,588.0,946.0,484.0,170569.0,171053.0,22.0,413.0,413.5855413333498,0.0531933488996609,1.51757786051664,93.0491935099034
587.0,952.0,615.0,952.0,587.0,952.0,784.0,165649.0,166433.0,28.0,407.0,407.962008035062,0.06863384199636932,1.5021084857762568,93.93552339423364
587.0,952.0,615.0,952.0,587.0,952.0,784.0,169744.0,170528.0,28.0,412.0,412.95036021294374,0.06780475983980594,1.5029395039385927,93.88790956083308
587.0,952.0,615.0,952.0,587.0,952.0,784.0,164836.0,165620.0,28.0,406.0,406.96437190496175,0.06880209161537815,1.501939837493852,93.94518622903756
587.0,951.0,615.0,951.0,587.0,951.0,784.0,164836.0,165620.0,28.0,406.0,406.96437190496175,0.06880209161537815,1.501939837493852,93.94518622903756
587.0,953.0,615.0,953.0,587.0,953.0,784.0,164025.0,164809.0,28.0,405.0,405.96674740673035,0.06897116618260199,1.5017703603325223,93.9548965551056
587.0,947.0,615.0,947.0,587.0,947.0,784.0,164025.0,164809.0,28.0,405.0,405.96674740673035,0.06897116618260199,1.5017703603325223,93.9548965551056
582.0,947.0,615.0,947.0,582.0,947.0,1089.0,168100.0,169189.0,33.0,410.0,411.32590484918404,0.08022835326187325,1.490481657134572,94.60169160452399
582.0,947.0,616.0,947.0,582.0,947.0,1156.0,168100.0,169256.0,34.0,410.0,411.40734072206345,0.08264315347491467,1.4880588090548896,94.74051057389117
587.0,951.0,615.0,951.0,587.0,951.0,784.0,164836.0,165620.0,28.0,406.0,406.96437190496175,0.06880209161537815,1.501939837493852,93.94518622903756
586.0,951.0,615.0,951.0,586.0,951.0,841.0,165649.0,166490.0,29.0,407.0,408.0318615010352,0.07107288115520465,1.4996634734972678,94.07561227867737
586.0,951.0,614.0,951.0,586.0,951.0,784.0,165649.0,166433.0,28.0,407.0,407.962008035062,0.06863384199636932,1.5021084857762568,93.93552339423364
587.0,946.0,616.0,946.0,587.0,946.0,841.0,169744.0,170585.0,29.0,412.0,413.0193700058146,0.07021462455766113,1.5005238797528315,94.02631463156692
587.0,947.0,615.0,947.0,587.0,947.0,784.0,168921.0,169705.0,28.0,411.0,411.9526671839861,0.06796897369642385,1.5027749103686336,93.89734007772671
582.0,947.0,616.0,947.0,582.0,947.0,1156.0,165649.0,166805.0,34.0,407.0,408.4176783637065,0.08324811045451887,1.4874517602203599,94.77529191006806
583.0,951.0,611.0,951.0,583.0,951.0,784.0,162409.0,163193.0,28.0,403.0,403.9715336505779,0.06931181449091678,1.501428894849053,93.97446108615779
583.0,950.0,617.0,950.0,583.0,950.0,1156.0,167281.0,168437.0,34.0,409.0,410.41076983919413,0.08284382988614497,1.4878574421315367,94.75204804873283
583.0,949.0,617.0,949.0,583.0,949.0,1156.0,164025.0,165181.0,34.0,405.0,406.424654763955,0.08365634220627353,1.4870420994785363,94.79876374160676
583.0,954.0,617.0,954.0,583.0,954.0,1156.0,163216.0,164372.0,34.0,404.0,405.4281687302943,0.0838619578567518,1.4868357587522323,94.81058619436564
583.0,954.0,618.0,954.0,583.0,954.0,1225.0,159201.0,160426.0,35.0,399.0,400.53214602575906,0.08738374771484404,1.4833009859925053,95.0131137550358
583.0,950.0,617.0,950.0,583.0,950.0,1156.0,161604.0,162760.0,34.0,402.0,403.43524883182926,0.08427622548711106,1.4864200193714252,94.83440630626326
583.0,950.0,617.0,950.0,583.0,950.0,1156.0,166464.0,167620.0,34.0,408.0,409.41421567893804,0.08304547985373996,1.4876550949064553,94.76364169072617
583.0,952.0,617.0,952.0,583.0,952.0,1156.0,160801.0,161957.0,34.0,401.0,402.4388152253706,0.08448489239528148,1.486210605609843,94.84640483097388
583.0,951.0,617.0,951.0,583.0,951.0,1156.0,165649.0,166805.0,34.0,407.0,408.4176783637065,0.08324811045451887,1.4874517602203599,94.77529191006806
583.0,952.0,617.0,952.0,583.0,952.0,1156.0,164836.0,165992.0,34.0,406.0,407.42115801710645,0.08345172883380896,1.4872474308442445,94.78699912095001
583.0,950.0,617.0,950.0,583.0,950.0,1156.0,162409.0,163565.0,34.0,403.0,404.4317000434066,0.08406858314111103,1.486628401222027,94.82246690569666
583.0,948.0,617.0,948.0,583.0,948.0,1156.0,168100.0,169256.0,34.0,410.0,411.40734072206345,0.08264315347491467,1.4880588090548896,94.74051057389117
583.0,951.0,617.0,951.0,583.0,951.0,1156.0,164836.0,165992.0,34.0,406.0,407.42115801710645,0.08345172883380896,1.4872474308442445,94.78699912095001
583.0,950.0,611.0,950.0,583.0,950.0,784.0,166464.0,167248.0,28.0,408.0,408.95965571190516,0.06846641131692663,1.5022763112362012,93.92590770368398
578.0,946.0,612.0,946.0,578.0,946.0,1156.0,168921.0,170077.0,34.0,411.0,412.4039282063157,0.08244344361092172,1.4882592027669173,94.72902885995103
578.0,951.0,612.0,951.0,578.0,951.0,1156.0,164025.0,165181.0,34.0,405.0,406.424654763955,0.08365634220627353,1.4870420994785363,94.79876374160676
