sho_x(coord),sho_y(coord),hip_x(coord),hip_y(coord),c_x(coord),c_y(coord),a_sq(dis),b_sq(dis),c_sq(dis),a(dis),b(dis),c(dis),cos(rad)),theta(theta),degree(deg)
590.0,968.0,607.0,968.0,590.0,968.0,289.0,156816.0,157105.0,17.0,396.0,396.36473102434326,0.042889789805632135,1.5278933765540061,92.4581579774628
595.0,967.0,607.0,967.0,595.0,967.0,144.0,156816.0,156960.0,12.0,396.0,396.18177646126026,0.030289126640769132,1.5405025668761214,91.73570458892839
595.0,967.0,607.0,967.0,595.0,967.0,144.0,156025.0,156169.0,12.0,395.0,395.1822364428847,0.03036573735705944,1.5404259209040174,91.74009607964663
595.0,972.0,607.0,972.0,595.0,972.0,144.0,152100.0,152244.0,12.0,390.0,390.1845717093386,0.030754675786973953,1.5400368007244274,91.76239102366051
595.0,971.0,607.0,971.0,595.0,971.0,144.0,157609.0,157753.0,12.0,397.0,397.1813187953331,0.030212901342884107,1.5405788270757754,91.7313352013434
596.0,971.0,613.0,971.0,596.0,971.0,289.0,152100.0,152389.0,17.0,390.0,390.3703369878403,0.04354839082081571,1.527234159566727,92.49592832861723
591.0,965.0,608.0,965.0,591.0,965.0,289.0,157609.0,157898.0,17.0,397.0,397.3638131486057,0.0427819530553034,1.5280013123762166,92.45197371039187
591.0,965.0,608.0,965.0,591.0,965.0,289.0,156816.0,157105.0,17.0,396.0,396.36473102434326,0.042889789805632135,1.5278933765540061,92.4581579774628
591.0,970.0,608.0,970.0,591.0,970.0,289.0,154449.0,154738.0,17.0,393.0,393.3675126392621,0.04321658361144292,1.5275662794563123,92.47689926065163
590.0,969.0,613.0,969.0,590.0,969.0,529.0,157609.0,158138.0,23.0,397.0,397.665688738669,0.0578375269763712,1.5129265050286724,93.31569654837895
595.0,966.0,607.0,966.0,595.0,966.0,144.0,153664.0,153808.0,12.0,392.0,392.1836304589981,0.0305979114578434,1.5401936388661779,91.75340486007153
590.0,968.0,607.0,968.0,590.0,968.0,289.0,156816.0,157105.0,17.0,396.0,396.36473102434326,0.042889789805632135,1.5278933765540061,92.4581579774628
590.0,968.0,607.0,968.0,590.0,968.0,289.0,152881.0,153170.0,17.0,391.0,391.3693907295255,0.04343722427630694,1.5273454314033659,92.48955292199915
590.0,969.0,607.0,969.0,590.0,969.0,289.0,156025.0,156314.0,17.0,395.0,395.3656535411239,0.042998171054410395,1.5277848952291728,92.46437349953173
590.0,967.0,608.0,967.0,590.0,967.0,324.0,162409.0,162733.0,18.0,403.0,403.40178482500545,0.04462052642580237,1.5261609805736096,92.55741695558496
591.0,968.0,608.0,968.0,591.0,968.0,289.0,157609.0,157898.0,17.0,397.0,397.3638131486057,0.0427819530553034,1.5280013123762166,92.45197371039187
595.0,970.0,613.0,970.0,595.0,970.0,324.0,155236.0,155560.0,18.0,394.0,394.4109531947611,0.045637677793171114,1.5251427917936908,92.61575487542187
596.0,971.0,613.0,971.0,596.0,971.0,289.0,155236.0,155525.0,17.0,394.0,394.3665807342199,0.043107100932208584,1.5276758642583954,92.4706205139935
596.0,970.0,613.0,970.0,596.0,970.0,289.0,160801.0,161090.0,17.0,401.0,401.3601873629222,0.04235596986262137,1.528427682063082,92.42754452682216
590.0,969.0,608.0,969.0,590.0,969.0,324.0,156816.0,157140.0,18.0,396.0,396.40887981981433,0.04540766091864998,1.5253730473733196,92.60256220249981
596.0,969.0,613.0,969.0,596.0,969.0,289.0,155236.0,155525.0,17.0,394.0,394.3665807342199,0.043107100932208584,1.5276758642583954,92.4706205139935
596.0,970.0,607.0,970.0,596.0,970.0,121.0,148996.0,149117.0,11.0,386.0,386.15670394284234,0.028485844963158233,1.542306627982701,91.63233950153769
590.0,969.0,613.0,969.0,590.0,969.0,529.0,155236.0,155765.0,23.0,394.0,394.6707488527621,0.058276424252004806,1.5124868661980195,93.34088599788542
596.0,969.0,613.0,969.0,596.0,969.0,289.0,156816.0,157105.0,17.0,396.0,396.36473102434326,0.042889789805632135,1.5278933765540061,92.4581579774628
596.0,969.0,608.0,969.0,596.0,969.0,144.0,148996.0,149140.0,12.0,386.0,386.186483450677,0.031073070949497943,1.5397182533114542,91.78064244599868
596.0,970.0,608.0,970.0,596.0,970.0,144.0,153664.0,153808.0,12.0,392.0,392.1836304589981,0.0305979114578434,1.5401936388661779,91.75340486007153
596.0,969.0,613.0,969.0,596.0,969.0,289.0,152100.0,152389.0,17.0,390.0,390.3703369878403,0.04354839082081571,1.527234159566727,92.49592832861723
596.0,970.0,613.0,970.0,596.0,970.0,289.0,156025.0,156314.0,17.0,395.0,395.3656535411239,0.042998171054410395,1.5277848952291728,92.46437349953173
595.0,969.0,612.0,969.0,595.0,969.0,289.0,152100.0,152389.0,17.0,390.0,390.3703369878403,0.04354839082081571,1.527234159566727,92.49592832861723
595.0,969.0,613.0,969.0,595.0,969.0,324.0,155236.0,155560.0,18.0,394.0,394.4109531947611,0.045637677793171114,1.5251427917936908,92.61575487542187
596.0,968.0,613.0,968.0,596.0,968.0,289.0,154449.0,154738.0,17.0,393.0,393.3675126392621,0.04321658361144292,1.5275662794563123,92.47689926065163
596.0,969.0,613.0,969.0,596.0,969.0,289.0,153664.0,153953.0,17.0,392.0,392.36844929224367,0.04332662330690628,1.527456136594987,92.48320998174907
591.0,969.0,613.0,969.0,591.0,969.0,484.0,152881.0,153365.0,22.0,391.0,391.61843674679056,0.05617713043021154,1.5145896063701356,93.22040786061056
596.0,968.0,613.0,968.0,596.0,968.0,289.0,160801.0,161090.0,17.0,401.0,401.3601873629222,0.04235596986262137,1.528427682063082,92.42754452682216
595.0,968.0,612.0,968.0,595.0,968.0,289.0,154449.0,154738.0,17.0,393.0,393.3675126392621,0.04321658361144292,1.5275662794563123,92.47689926065163
595.0,970.0,612.0,970.0,595.0,970.0,289.0,156816.0,157105.0,17.0,396.0,396.36473102434326,0.042889789805632135,1.5278933765540061,92.4581579774628
596.0,969.0,607.0,969.0,596.0,969.0,121.0,152881.0,153002.0,11.0,391.0,391.15470085376705,0.028121865788626542,1.5426707530402608,91.61147667252455
596.0,970.0,613.0,970.0,596.0,970.0,289.0,154449.0,154738.0,17.0,393.0,393.3675126392621,0.04321658361144292,1.5275662794563123,92.47689926065163
596.0,968.0,613.0,968.0,596.0,968.0,289.0,154449.0,154738.0,17.0,393.0,393.3675126392621,0.04321658361144292,1.5275662794563123,92.47689926065163
596.0,970.0,613.0,970.0,596.0,970.0,289.0,152881.0,153170.0,17.0,391.0,391.3693907295255,0.04343722427630694,1.5273454314033659,92.48955292199915
596.0,970.0,613.0,970.0,596.0,970.0,289.0,153664.0,153953.0,17.0,392.0,392.36844929224367,0.04332662330690628,1.527456136594987,92.48320998174907
596.0,968.0,613.0,968.0,596.0,968.0,289.0,154449.0,154738.0,17.0,393.0,393.3675126392621,0.04321658361144292,1.5275662794563123,92.47689926065163
596.0,971.0,613.0,971.0,596.0,971.0,289.0,148225.0,148514.0,17.0,385.0,385.3751419072071,0.04411286082404703,1.5266691465650792,92.52830118898166
595.0,970.0,612.0,970.0,595.0,970.0,289.0,153664.0,153953.0,17.0,392.0,392.36844929224367,0.04332662330690628,1.527456136594987,92.48320998174907
595.0,971.0,606.0,971.0,595.0,971.0,121.0,152881.0,153002.0,11.0,391.0,391.15470085376705,0.028121865788626542,1.5426707530402608,91.61147667252455
595.0,970.0,612.0,970.0,595.0,970.0,289.0,152881.0,153170.0,17.0,391.0,391.3693907295255,0.04343722427630694,1.5273454314033659,92.48955292199915
595.0,969.0,606.0,969.0,595.0,969.0,121.0,153664.0,153785.0,11.0,392.0,392.1543063642168,0.02805018285272546,1.5427424642655523,91.60736792197163
595.0,970.0,607.0,970.0,595.0,970.0,144.0,154449.0,154593.0,12.0,393.0,393.1831634238679,0.030520126791552107,1.5402714598776939,91.74894604455423
595.0,969.0,612.0,969.0,595.0,969.0,289.0,153664.0,153953.0,17.0,392.0,392.36844929224367,0.04332662330690628,1.527456136594987,92.48320998174907
596.0,969.0,613.0,969.0,596.0,969.0,289.0,154449.0,154738.0,17.0,393.0,393.3675126392621,0.04321658361144292,1.5275662794563123,92.47689926065163
594.0,970.0,617.0,970.0,594.0,970.0,529.0,150544.0,151073.0,23.0,388.0,388.6811032195931,0.059174474419986633,1.5115872634394136,93.39242943919187
596.0,968.0,607.0,968.0,596.0,968.0,121.0,152100.0,152221.0,11.0,390.0,390.1550973651376,0.028193915892133898,1.5425986743566735,91.61560647688695
595.0,969.0,607.0,969.0,595.0,969.0,144.0,152100.0,152244.0,12.0,390.0,390.1845717093386,0.030754675786973953,1.5400368007244274,91.76239102366051
