sho_x(coord),sho_y(coord),hip_x(coord),hip_y(coord),c_x(coord),c_y(coord),a_sq(dis),b_sq(dis),c_sq(dis),a(dis),b(dis),c(dis),cos(rad)),theta(theta),degree(deg)
649.0,1005.0,654.0,1005.0,649.0,1005.0,25.0,87025.0,87050.0,5.0,295.0,295.0423698386386,0.01694671854328769,1.5538487969884918,90.97102193107916
648.0,1005.0,648.0,1005.0,648.0,1005.0,0.0,87025.0,87025.0,0.0,295.0,295.0,nan,nan,nan
649.0,1005.0,649.0,1005.0,649.0,1005.0,0.0,86436.0,86436.0,0.0,294.0,294.0,nan,nan,nan
649.0,1005.0,649.0,1005.0,649.0,1005.0,0.0,86436.0,86436.0,0.0,294.0,294.0,nan,nan,nan
648.0,1004.0,648.0,1004.0,648.0,1004.0,0.0,86436.0,86436.0,0.0,294.0,294.0,nan,nan,nan
648.0,1004.0,648.0,1004.0,648.0,1004.0,0.0,86436.0,86436.0,0.0,294.0,294.0,nan,nan,nan
649.0,1005.0,649.0,1005.0,649.0,1005.0,0.0,86436.0,86436.0,0.0,294.0,294.0,nan,nan,nan
648.0,1005.0,648.0,1005.0,648.0,1005.0,0.0,85849.0,85849.0,0.0,293.0,293.0,nan,nan,nan
649.0,1006.0,649.0,1006.0,649.0,1006.0,0.0,86436.0,86436.0,0.0,294.0,294.0,nan,nan,nan
649.0,1006.0,649.0,1006.0,649.0,1006.0,0.0,86436.0,86436.0,0.0,294.0,294.0,nan,nan,nan
650.0,1005.0,650.0,1005.0,650.0,1005.0,0.0,86436.0,86436.0,0.0,294.0,294.0,nan,nan,nan
650.0,1005.0,650.0,1005.0,650.0,1005.0,0.0,86436.0,86436.0,0.0,294.0,294.0,nan,nan,nan
649.0,1005.0,649.0,1005.0,649.0,1005.0,0.0,86436.0,86436.0,0.0,294.0,294.0,nan,nan,nan
650.0,1005.0,650.0,1005.0,650.0,1005.0,0.0,87025.0,87025.0,0.0,295.0,295.0,nan,nan,nan
650.0,1005.0,650.0,1005.0,650.0,1005.0,0.0,87025.0,87025.0,0.0,295.0,295.0,nan,nan,nan
650.0,1005.0,650.0,1005.0,650.0,1005.0,0.0,87025.0,87025.0,0.0,295.0,295.0,nan,nan,nan
650.0,1005.0,650.0,1005.0,650.0,1005.0,0.0,86436.0,86436.0,0.0,294.0,294.0,nan,nan,nan
650.0,1005.0,650.0,1005.0,650.0,1005.0,0.0,86436.0,86436.0,0.0,294.0,294.0,nan,nan,nan
649.0,1006.0,649.0,1006.0,649.0,1006.0,0.0,85849.0,85849.0,0.0,293.0,293.0,nan,nan,nan
649.0,1006.0,649.0,1006.0,649.0,1006.0,0.0,85849.0,85849.0,0.0,293.0,293.0,nan,nan,nan
650.0,1005.0,650.0,1005.0,650.0,1005.0,0.0,86436.0,86436.0,0.0,294.0,294.0,nan,nan,nan
649.0,1006.0,649.0,1006.0,649.0,1006.0,0.0,85849.0,85849.0,0.0,293.0,293.0,nan,nan,nan
648.0,1002.0,652.0,1002.0,648.0,1002.0,16.0,88804.0,88820.0,4.0,298.0,298.0268444284843,0.013421609746835593,1.5573743140548055,90.76902468257803
647.0,1002.0,652.0,1002.0,647.0,1002.0,25.0,88804.0,88829.0,5.0,298.0,298.04194335697116,0.016776162253147684,1.5540193775292834,90.96124838602474
648.0,1006.0,648.0,1006.0,648.0,1006.0,0.0,85849.0,85849.0,0.0,293.0,293.0,nan,nan,nan
