sho_x(coord),sho_y(coord),hip_x(coord),hip_y(coord),c_x(coord),c_y(coord),a_sq(dis),b_sq(dis),c_sq(dis),a(dis),b(dis),c(dis),cos(rad)),theta(theta),degree(deg)
652.0,1104.0,601.0,1104.0,652.0,1104.0,2601.0,40804.0,43405.0,51.0,202.0,208.33866659840174,0.24479373336063792,1.323489379167381,75.83035565668047
651.0,1104.0,597.0,1104.0,651.0,1104.0,2916.0,40804.0,43720.0,54.0,202.0,209.093280618962,0.2582579403802367,1.3095777921803615,75.03328043599514
651.0,1104.0,597.0,1104.0,651.0,1104.0,2916.0,42436.0,45352.0,54.0,206.0,212.96009015775704,0.253568637954641,1.3144286344770968,75.31121322668162
651.0,1104.0,597.0,1104.0,651.0,1104.0,2916.0,40804.0,43720.0,54.0,202.0,209.093280618962,0.2582579403802367,1.3095777921803615,75.03328043599514
651.0,1105.0,592.0,1105.0,651.0,1105.0,3481.0,40000.0,43481.0,59.0,200.0,208.5209821576716,0.282945147243684,1.2839329772722183,73.56394077536436
651.0,1105.0,592.0,1105.0,651.0,1105.0,3481.0,40000.0,43481.0,59.0,200.0,208.5209821576716,0.282945147243684,1.2839329772722183,73.56394077536436
651.0,1105.0,592.0,1105.0,651.0,1105.0,3481.0,40000.0,43481.0,59.0,200.0,208.5209821576716,0.282945147243684,1.2839329772722183,73.56394077536436
651.0,1104.0,593.0,1104.0,651.0,1104.0,3364.0,40401.0,43765.0,58.0,201.0,209.2008604188807,0.2772455136363551,1.289870278556188,73.90412308063343
654.0,1105.0,592.0,1105.0,654.0,1105.0,3844.0,40000.0,43844.0,62.0,200.0,209.3895890439637,0.29609877111408056,1.2701906567525012,72.77656380886854
655.0,1105.0,592.0,1105.0,655.0,1105.0,3969.0,40000.0,43969.0,63.0,200.0,209.68786326347075,0.3004465733948613,1.2656355021790364,72.51557267677929
654.0,1106.0,591.0,1106.0,654.0,1106.0,3969.0,39601.0,43570.0,63.0,199.0,208.73428084528905,0.3018191345708792,1.2641961282730243,72.43310262682354
