sho_x(coord),sho_y(coord),hip_x(coord),hip_y(coord),c_x(coord),c_y(coord),a_sq(dis),b_sq(dis),c_sq(dis),a(dis),b(dis),c(dis),cos(rad)),theta(theta),degree(deg)
555.0,1113.0,619.0,1113.0,555.0,1113.0,4096.0,57121.0,61217.0,64.0,239.0,247.42069436488129,0.25866874298564785,1.3091525399540918,104.99108472179866
555.0,1113.0,619.0,1113.0,555.0,1113.0,4096.0,57121.0,61217.0,64.0,239.0,247.42069436488129,0.25866874298564785,1.3091525399540918,104.99108472179866
555.0,1115.0,619.0,1115.0,555.0,1115.0,4096.0,55696.0,59792.0,64.0,236.0,244.5240274492468,0.26173297024270464,1.3059789968891078,105.17291534552525
555.0,1115.0,619.0,1115.0,555.0,1115.0,4096.0,55696.0,59792.0,64.0,236.0,244.5240274492468,0.26173297024270464,1.3059789968891078,105.17291534552525
554.0,1115.0,623.0,1115.0,554.0,1115.0,4761.0,55696.0,60457.0,69.0,236.0,245.88005205790893,0.28062463555908684,1.286351493748044,106.29748843788798
551.0,1115.0,619.0,1115.0,551.0,1115.0,4624.0,53824.0,58448.0,68.0,232.0,241.76021178018522,0.28127043527670054,1.2856785916223006,106.33604288971846
551.0,1112.0,619.0,1112.0,551.0,1112.0,4624.0,53824.0,58448.0,68.0,232.0,241.76021178018522,0.28127043527670054,1.2856785916223006,106.33604288971846
550.0,1112.0,619.0,1112.0,550.0,1112.0,4761.0,53361.0,58122.0,69.0,231.0,241.0850472343733,0.28620605380358133,1.2805314268658525,106.63095370672141
550.0,1114.0,618.0,1114.0,550.0,1114.0,4624.0,52900.0,57524.0,68.0,230.0,239.841614404173,0.2835204398074502,1.2833331213096146,106.4704284396086
550.0,1113.0,615.0,1113.0,550.0,1113.0,4225.0,51529.0,55754.0,65.0,227.0,236.1228493814184,0.27528043207289515,1.2919149342893808,105.9787267752974
550.0,1114.0,618.0,1114.0,550.0,1114.0,4624.0,52900.0,57524.0,68.0,230.0,239.841614404173,0.2835204398074502,1.2833331213096146,106.4704284396086
550.0,1114.0,618.0,1114.0,550.0,1114.0,4624.0,52900.0,57524.0,68.0,230.0,239.841614404173,0.2835204398074502,1.2833331213096146,106.4704284396086
550.0,1115.0,618.0,1115.0,550.0,1115.0,4624.0,52441.0,57065.0,68.0,229.0,238.88281646028875,0.2846583986559123,1.2821462611135925,106.53843051971273
550.0,1115.0,618.0,1115.0,550.0,1115.0,4624.0,52441.0,57065.0,68.0,229.0,238.88281646028875,0.2846583986559123,1.2821462611135925,106.53843051971273
550.0,1114.0,618.0,1114.0,550.0,1114.0,4624.0,52441.0,57065.0,68.0,229.0,238.88281646028875,0.2846583986559123,1.2821462611135925,106.53843051971273
546.0,1114.0,618.0,1114.0,546.0,1114.0,5184.0,52441.0,57625.0,72.0,229.0,240.05207768315609,0.29993491701843356,1.2661718975503518,107.45369413229399
549.0,1114.0,617.0,1114.0,549.0,1114.0,4624.0,52900.0,57524.0,68.0,230.0,239.841614404173,0.2835204398074502,1.2833331213096146,106.4704284396086
546.0,1114.0,617.0,1114.0,546.0,1114.0,5041.0,52900.0,57941.0,71.0,230.0,240.7093683262037,0.2949615151820035,1.2713810851414065,107.15522966863463
546.0,1115.0,617.0,1115.0,546.0,1115.0,5041.0,52441.0,57482.0,71.0,229.0,239.75404063331237,0.29613682343977554,1.2701508177022853,107.22571880056864
546.0,1115.0,617.0,1115.0,546.0,1115.0,5041.0,52441.0,57482.0,71.0,229.0,239.75404063331237,0.29613682343977554,1.2701508177022853,107.22571880056864
