sho_x(coord),sho_y(coord),hip_x(coord),hip_y(coord),c_x(coord),c_y(coord),a_sq(dis),b_sq(dis),c_sq(dis),a(dis),b(dis),c(dis),cos(rad)),theta(theta),degree(deg)
598.0,1112.0,627.0,1112.0,598.0,1112.0,841.0,65025.0,65866.0,29.0,255.0,256.64372191814863,0.11299711437807533,1.457557355763372,96.48811511651054
597.0,1112.0,627.0,1112.0,597.0,1112.0,900.0,63001.0,63901.0,30.0,251.0,252.7864711569826,0.11867723720613885,1.4518387283143195,96.81576833394892
597.0,1112.0,626.0,1112.0,597.0,1112.0,841.0,63001.0,63842.0,29.0,251.0,252.6697449240807,0.11477432728921931,1.4557685040798911,96.59060876814887
595.0,1108.0,629.0,1108.0,595.0,1108.0,1156.0,66049.0,67205.0,34.0,257.0,259.2392717163046,0.13115296835584192,1.4392644219807138,97.53622301716915
598.0,1111.0,627.0,1111.0,598.0,1111.0,841.0,63504.0,64345.0,29.0,252.0,253.6631624812716,0.11432483816857374,1.456220971557166,96.5646842913341
598.0,1112.0,627.0,1112.0,598.0,1112.0,841.0,63001.0,63842.0,29.0,251.0,252.6697449240807,0.11477432728921931,1.4557685040798911,96.59060876814887
597.0,1111.0,626.0,1111.0,597.0,1111.0,841.0,64516.0,65357.0,29.0,254.0,255.6501515743732,0.1134362714882388,1.4571153567371191,96.51343979526374
596.0,1111.0,626.0,1111.0,596.0,1111.0,900.0,64516.0,65416.0,30.0,254.0,255.76551761330143,0.11729493592391833,1.4532307526572532,96.73601121411934
598.0,1112.0,627.0,1112.0,598.0,1112.0,841.0,63001.0,63842.0,29.0,251.0,252.6697449240807,0.11477432728921931,1.4557685040798911,96.59060876814887
596.0,1108.0,625.0,1108.0,596.0,1108.0,841.0,65536.0,66377.0,29.0,256.0,257.6373420139247,0.11256132272328992,1.4579959455932372,96.46298577032191
598.0,1108.0,627.0,1108.0,598.0,1108.0,841.0,64516.0,65357.0,29.0,254.0,255.6501515743732,0.1134362714882388,1.4571153567371191,96.51343979526374
