sho_x(coord),sho_y(coord),hip_x(coord),hip_y(coord),c_x(coord),c_y(coord),a_sq(dis),b_sq(dis),c_sq(dis),a(dis),b(dis),c(dis),cos(rad)),theta(theta),degree(deg)
620.0,1251.0,313.0,1251.0,620.0,1251.0,94249.0,3136.0,97385.0,307.0,56.0,312.06569821112987,0.9837672059435939,0.180426729881597,10.337690133562443
620.0,1246.0,313.0,1246.0,620.0,1246.0,94249.0,3721.0,97970.0,307.0,61.0,313.0015974400131,0.980825665143248,0.19614242767374943,11.238133289155844
620.0,1246.0,313.0,1246.0,620.0,1246.0,94249.0,3721.0,97970.0,307.0,61.0,313.0015974400131,0.980825665143248,0.19614242767374943,11.238133289155844
619.0,1246.0,313.0,1246.0,619.0,1246.0,93636.0,3721.0,97357.0,306.0,61.0,312.0208326378224,0.9807037479295138,0.19676702442039312,11.27392004663613
619.0,1246.0,313.0,1246.0,619.0,1246.0,93636.0,3721.0,97357.0,306.0,61.0,312.0208326378224,0.9807037479295138,0.19676702442039312,11.27392004663613
619.0,1246.0,313.0,1246.0,619.0,1246.0,93636.0,3721.0,97357.0,306.0,61.0,312.0208326378224,0.9807037479295138,0.19676702442039312,11.27392004663613
619.0,1246.0,312.0,1246.0,619.0,1246.0,94249.0,3844.0,98093.0,307.0,62.0,313.1980204279714,0.9802105376671855,0.19927407986939344,11.417563742869124
619.0,1246.0,313.0,1246.0,619.0,1246.0,93636.0,3721.0,97357.0,306.0,61.0,312.0208326378224,0.9807037479295138,0.19676702442039312,11.27392004663613
618.0,1246.0,312.0,1246.0,618.0,1246.0,93636.0,3844.0,97480.0,306.0,62.0,312.2178726466504,0.9800848279634286,0.19990811737672518,11.453891416092226
618.0,1247.0,312.0,1247.0,618.0,1247.0,93636.0,3721.0,97357.0,306.0,61.0,312.0208326378224,0.9807037479295138,0.19676702442039312,11.27392004663613
619.0,1246.0,312.0,1246.0,619.0,1246.0,94249.0,3721.0,97970.0,307.0,61.0,313.0015974400131,0.980825665143248,0.19614242767374943,11.238133289155844
618.0,1246.0,312.0,1246.0,618.0,1246.0,93636.0,3844.0,97480.0,306.0,62.0,312.2178726466504,0.9800848279634286,0.19990811737672518,11.453891416092226
618.0,1246.0,312.0,1246.0,618.0,1246.0,93636.0,3721.0,97357.0,306.0,61.0,312.0208326378224,0.9807037479295138,0.19676702442039312,11.27392004663613
618.0,1246.0,312.0,1246.0,618.0,1246.0,93636.0,3844.0,97480.0,306.0,62.0,312.2178726466504,0.9800848279634286,0.19990811737672518,11.453891416092226
618.0,1246.0,312.0,1246.0,618.0,1246.0,93636.0,3721.0,97357.0,306.0,61.0,312.0208326378224,0.9807037479295138,0.19676702442039312,11.27392004663613
618.0,1246.0,312.0,1246.0,618.0,1246.0,93636.0,3721.0,97357.0,306.0,61.0,312.0208326378224,0.9807037479295138,0.19676702442039312,11.27392004663613
618.0,1246.0,312.0,1246.0,618.0,1246.0,93636.0,3721.0,97357.0,306.0,61.0,312.0208326378224,0.9807037479295138,0.19676702442039312,11.27392004663613
618.0,1246.0,312.0,1246.0,618.0,1246.0,93636.0,3721.0,97357.0,306.0,61.0,312.0208326378224,0.9807037479295138,0.19676702442039312,11.27392004663613
618.0,1246.0,313.0,1246.0,618.0,1246.0,93025.0,3721.0,96746.0,305.0,61.0,311.0401903291599,0.9805806756909201,0.197395559849881,11.309932474020227
623.0,1246.0,313.0,1246.0,623.0,1246.0,96100.0,3721.0,99821.0,310.0,61.0,315.94461539959815,0.981184628223274,0.1942919074938533,11.132106292944005
618.0,1246.0,313.0,1246.0,618.0,1246.0,93025.0,3721.0,96746.0,305.0,61.0,311.0401903291599,0.9805806756909201,0.197395559849881,11.309932474020227
623.0,1246.0,313.0,1246.0,623.0,1246.0,96100.0,3721.0,99821.0,310.0,61.0,315.94461539959815,0.981184628223274,0.1942919074938533,11.132106292944005
623.0,1246.0,312.0,1246.0,623.0,1246.0,96721.0,3721.0,100442.0,311.0,61.0,316.92585883767833,0.9813020658541044,0.1936827056237659,11.097201596916522
623.0,1246.0,312.0,1246.0,623.0,1246.0,96721.0,3721.0,100442.0,311.0,61.0,316.92585883767833,0.9813020658541044,0.1936827056237659,11.097201596916522
623.0,1246.0,317.0,1246.0,623.0,1246.0,93636.0,3721.0,97357.0,306.0,61.0,312.0208326378224,0.9807037479295138,0.19676702442039312,11.27392004663613
623.0,1246.0,317.0,1246.0,623.0,1246.0,93636.0,3721.0,97357.0,306.0,61.0,312.0208326378224,0.9807037479295138,0.19676702442039312,11.27392004663613
622.0,1246.0,313.0,1246.0,622.0,1246.0,95481.0,3721.0,99202.0,309.0,61.0,314.9634899476446,0.9810660913471722,0.19490490497513124,11.167228461473382
622.0,1246.0,317.0,1246.0,622.0,1246.0,93025.0,3721.0,96746.0,305.0,61.0,311.0401903291599,0.9805806756909201,0.197395559849881,11.309932474020227
622.0,1247.0,313.0,1247.0,622.0,1247.0,95481.0,3721.0,99202.0,309.0,61.0,314.9634899476446,0.9810660913471722,0.19490490497513124,11.167228461473382
