sho_x(coord),sho_y(coord),hip_x(coord),hip_y(coord),c_x(coord),c_y(coord),a_sq(dis),b_sq(dis),c_sq(dis),a(dis),b(dis),c(dis),cos(rad)),theta(theta),degree(deg)
626.0,1371.0,308.0,1371.0,626.0,1371.0,101124.0,576.0,101700.0,318.0,24.0,318.90437438203946,0.9971641204866132,0.07532889082833943,4.316027519865585
626.0,1371.0,308.0,1371.0,626.0,1371.0,101124.0,841.0,101965.0,318.0,29.0,319.3195891266303,0.9958674971045794,0.09094341426998319,5.210673812179861
621.0,1365.0,308.0,1365.0,621.0,1365.0,97969.0,1296.0,99265.0,313.0,36.0,315.06348566598444,0.9934505718375374,0.11451279267524898,6.561099720548374
620.0,1371.0,309.0,1371.0,620.0,1371.0,96721.0,841.0,97562.0,311.0,29.0,312.3491635974074,0.9956805916114237,0.09297872362431575,5.327288448186613
620.0,1364.0,309.0,1364.0,620.0,1364.0,96721.0,1296.0,98017.0,311.0,36.0,313.07666792656397,0.9933669029368516,0.11524272695289628,6.602921873979494
620.0,1371.0,304.0,1371.0,620.0,1371.0,99856.0,841.0,100697.0,316.0,29.0,317.3279061160553,0.9958153503349004,0.09151580710585273,5.243469505898711
620.0,1371.0,309.0,1371.0,620.0,1371.0,96721.0,841.0,97562.0,311.0,29.0,312.3491635974074,0.9956805916114237,0.09297872362431575,5.327288448186613
620.0,1371.0,303.0,1371.0,620.0,1371.0,100489.0,841.0,101330.0,317.0,29.0,318.3237345847777,0.9958415460710011,0.09122871535327284,5.227020360142869
620.0,1371.0,309.0,1371.0,620.0,1371.0,96721.0,841.0,97562.0,311.0,29.0,312.3491635974074,0.9956805916114237,0.09297872362431575,5.327288448186613
620.0,1370.0,308.0,1370.0,620.0,1370.0,97344.0,900.0,98244.0,312.0,30.0,313.43898927861545,0.9954090291002811,0.09585914711001343,5.492324557127453
620.0,1371.0,309.0,1371.0,620.0,1371.0,96721.0,841.0,97562.0,311.0,29.0,312.3491635974074,0.9956805916114237,0.09297872362431575,5.327288448186613
620.0,1370.0,308.0,1370.0,620.0,1370.0,97344.0,900.0,98244.0,312.0,30.0,313.43898927861545,0.9954090291002811,0.09585914711001343,5.492324557127453
625.0,1364.0,308.0,1364.0,625.0,1364.0,100489.0,1225.0,101714.0,317.0,35.0,318.9263237802737,0.9939599724555792,0.10996470050897918,6.300513234584602
625.0,1370.0,309.0,1370.0,625.0,1370.0,99856.0,841.0,100697.0,316.0,29.0,317.3279061160553,0.9958153503349004,0.09151580710585273,5.243469505898711
625.0,1369.0,303.0,1369.0,625.0,1369.0,103684.0,900.0,104584.0,322.0,30.0,323.39449593337235,0.9956879416597749,0.09289952511341464,5.322750707768259
625.0,1364.0,308.0,1364.0,625.0,1364.0,100489.0,1296.0,101785.0,317.0,36.0,319.03761533712606,0.993613244209549,0.11308020016365,6.479018215871706
625.0,1370.0,308.0,1370.0,625.0,1370.0,100489.0,841.0,101330.0,317.0,29.0,318.3237345847777,0.9958415460710011,0.09122871535327284,5.227020360142869
626.0,1370.0,309.0,1370.0,626.0,1370.0,100489.0,841.0,101330.0,317.0,29.0,318.3237345847777,0.9958415460710011,0.09122871535327284,5.227020360142869
625.0,1370.0,309.0,1370.0,625.0,1370.0,99856.0,900.0,100756.0,316.0,30.0,317.42085627759246,0.9955237463150503,0.09465302056908285,5.423218596773417
625.0,1370.0,309.0,1370.0,625.0,1370.0,99856.0,841.0,100697.0,316.0,29.0,317.3279061160553,0.9958153503349004,0.09151580710585273,5.243469505898711
625.0,1376.0,309.0,1376.0,625.0,1376.0,99856.0,529.0,100385.0,316.0,23.0,316.8359196808342,0.9973616637858603,0.07265668816266763,4.1629215851189825
631.0,1370.0,307.0,1370.0,631.0,1370.0,104976.0,900.0,105876.0,324.0,30.0,325.38592471094995,0.9957406740559503,0.09232933473159798,5.290081205371211
