sho_x(coord),sho_y(coord),hip_x(coord),hip_y(coord),c_x(coord),c_y(coord),a_sq(dis),b_sq(dis),c_sq(dis),a(dis),b(dis),c(dis),cos(rad)),theta(theta),degree(deg)
625.0,1359.0,311.0,1359.0,625.0,1359.0,98596.0,1225.0,99821.0,314.0,35.0,315.94461539959815,0.9938450750390582,0.1110067492966765,6.360218232166384
626.0,1358.0,311.0,1358.0,626.0,1358.0,99225.0,1225.0,100450.0,315.0,35.0,316.9384798348096,0.9938837346736189,0.11065722117389562,6.340191745909908
626.0,1359.0,310.0,1359.0,626.0,1359.0,99856.0,1225.0,101081.0,316.0,35.0,317.9323827482819,0.9939220323152429,0.11030987836049401,6.320290468657796
627.0,1360.0,309.0,1360.0,627.0,1360.0,101124.0,1296.0,102420.0,318.0,36.0,320.0312484742701,0.9936529683149568,0.11272761159037904,6.458816378718741
621.0,1360.0,309.0,1360.0,621.0,1360.0,97344.0,1225.0,98569.0,312.0,35.0,313.95700342562833,0.9937666514705034,0.11171244413784318,6.400651568189389
627.0,1365.0,309.0,1365.0,627.0,1365.0,101124.0,900.0,102024.0,318.0,30.0,319.41195970094793,0.9955795027140815,0.09406123462798655,5.389311759973421
626.0,1359.0,310.0,1359.0,626.0,1359.0,99856.0,1225.0,101081.0,316.0,35.0,317.9323827482819,0.9939220323152429,0.11030987836049401,6.320290468657796
626.0,1359.0,310.0,1359.0,626.0,1359.0,99856.0,1225.0,101081.0,316.0,35.0,317.9323827482819,0.9939220323152429,0.11030987836049401,6.320290468657796
626.0,1359.0,310.0,1359.0,626.0,1359.0,99856.0,1225.0,101081.0,316.0,35.0,317.9323827482819,0.9939220323152429,0.11030987836049401,6.320290468657796
626.0,1358.0,310.0,1358.0,626.0,1358.0,99856.0,1225.0,101081.0,316.0,35.0,317.9323827482819,0.9939220323152429,0.11030987836049401,6.320290468657796
631.0,1358.0,310.0,1358.0,631.0,1358.0,103041.0,1225.0,104266.0,321.0,35.0,322.9024620531717,0.9941082454402022,0.10860524046980972,6.222621911923503
626.0,1357.0,316.0,1357.0,626.0,1357.0,96100.0,1681.0,97781.0,310.0,41.0,312.69953629642623,0.991366996163796,0.13149489701789097,7.534102626632547
627.0,1358.0,310.0,1358.0,627.0,1358.0,100489.0,1225.0,101714.0,317.0,35.0,318.9263237802737,0.9939599724555792,0.10996470050897918,6.300513234584602
626.0,1358.0,311.0,1358.0,626.0,1358.0,99225.0,1225.0,100450.0,315.0,35.0,316.9384798348096,0.9938837346736189,0.11065722117389562,6.340191745909908
626.0,1358.0,311.0,1358.0,626.0,1358.0,99225.0,1225.0,100450.0,315.0,35.0,316.9384798348096,0.9938837346736189,0.11065722117389562,6.340191745909908
626.0,1359.0,310.0,1359.0,626.0,1359.0,99856.0,1225.0,101081.0,316.0,35.0,317.9323827482819,0.9939220323152429,0.11030987836049401,6.320290468657796
626.0,1359.0,311.0,1359.0,626.0,1359.0,99225.0,1225.0,100450.0,315.0,35.0,316.9384798348096,0.9938837346736189,0.11065722117389562,6.340191745909908
626.0,1359.0,316.0,1359.0,626.0,1359.0,96100.0,1225.0,97325.0,310.0,35.0,311.96954979612997,0.9936867242414618,0.11242713083019164,6.44160009933512
625.0,1358.0,311.0,1358.0,625.0,1358.0,98596.0,1225.0,99821.0,314.0,35.0,315.94461539959815,0.9938450750390582,0.1110067492966765,6.360218232166384
626.0,1358.0,316.0,1358.0,626.0,1358.0,96100.0,1225.0,97325.0,310.0,35.0,311.96954979612997,0.9936867242414618,0.11242713083019164,6.44160009933512
625.0,1358.0,316.0,1358.0,625.0,1358.0,95481.0,1225.0,96706.0,309.0,35.0,310.975883309301,0.9936461847514529,0.11278789976779333,6.462270636839115
626.0,1359.0,312.0,1359.0,626.0,1359.0,98596.0,1225.0,99821.0,314.0,35.0,315.94461539959815,0.9938450750390582,0.1110067492966765,6.360218232166384
630.0,1356.0,313.0,1356.0,630.0,1356.0,100489.0,1225.0,101714.0,317.0,35.0,318.9263237802737,0.9939599724555792,0.10996470050897918,6.300513234584602
630.0,1357.0,313.0,1357.0,630.0,1357.0,100489.0,1225.0,101714.0,317.0,35.0,318.9263237802737,0.9939599724555792,0.10996470050897918,6.300513234584602
626.0,1357.0,318.0,1357.0,626.0,1357.0,94864.0,1225.0,96089.0,308.0,35.0,309.9822575567834,0.9936052547897188,0.11315098159048396,6.483073692897206
626.0,1358.0,317.0,1358.0,626.0,1358.0,95481.0,1225.0,96706.0,309.0,35.0,310.975883309301,0.9936461847514529,0.11278789976779333,6.462270636839115
626.0,1359.0,312.0,1359.0,626.0,1359.0,98596.0,1225.0,99821.0,314.0,35.0,315.94461539959815,0.9938450750390582,0.1110067492966765,6.360218232166384
624.0,1365.0,312.0,1365.0,624.0,1365.0,97344.0,841.0,98185.0,312.0,29.0,313.3448579440869,0.9957080580389581,0.09268242128198319,5.310311574511117
624.0,1360.0,311.0,1360.0,624.0,1360.0,97969.0,1225.0,99194.0,313.0,35.0,314.95078980691574,0.993806048849372,0.11135848333103382,6.380371107846167
624.0,1366.0,311.0,1366.0,624.0,1366.0,97969.0,841.0,98810.0,313.0,29.0,314.3405796266209,0.995735263871393,0.09238799607956978,5.293442253030544
624.0,1366.0,311.0,1366.0,624.0,1366.0,97969.0,841.0,98810.0,313.0,29.0,314.3405796266209,0.995735263871393,0.09238799607956978,5.293442253030544
630.0,1361.0,315.0,1361.0,630.0,1361.0,99225.0,1225.0,100450.0,315.0,35.0,316.9384798348096,0.9938837346736189,0.11065722117389562,6.340191745909908
630.0,1356.0,311.0,1356.0,630.0,1356.0,101761.0,1225.0,102986.0,319.0,35.0,320.9143187830671,0.9940347978540617,0.10928075955180216,6.261326304302222
636.0,1356.0,311.0,1356.0,636.0,1356.0,105625.0,1225.0,106850.0,325.0,35.0,326.87918257362304,0.9942511402566917,0.10727885564840166,6.146625659646608
634.0,1356.0,312.0,1356.0,634.0,1356.0,103684.0,1225.0,104909.0,322.0,35.0,323.8965884352597,0.9941444630694567,0.1082705908604549,6.20344790169177
639.0,1358.0,311.0,1358.0,639.0,1358.0,107584.0,1156.0,108740.0,328.0,34.0,329.75748664738455,0.9946703661977389,0.10328963847601386,5.918060352107674
640.0,1346.0,314.0,1346.0,640.0,1346.0,106276.0,2116.0,108392.0,326.0,46.0,329.2294033041399,0.9901910240345192,0.14017884323661006,8.031656094483742
642.0,1347.0,311.0,1347.0,642.0,1347.0,109561.0,2116.0,111677.0,331.0,46.0,334.18108863309425,0.9904809435922723,0.1380883552891464,7.911879957971107
638.0,1348.0,311.0,1348.0,638.0,1348.0,106929.0,1681.0,108610.0,327.0,41.0,329.56031314465037,0.992231124190228,0.12473135884965361,7.146580435016903
643.0,1344.0,315.0,1344.0,643.0,1344.0,107584.0,2209.0,109793.0,328.0,47.0,331.3502678435616,0.989889044408006,0.14232385782195298,8.154556377217896
647.0,1345.0,311.0,1345.0,647.0,1345.0,112896.0,2116.0,115012.0,336.0,46.0,339.1341917294686,0.9907582549742763,0.13605892243487097,7.795602020615937
649.0,1344.0,312.0,1344.0,649.0,1344.0,113569.0,2116.0,115685.0,337.0,46.0,340.1249770305027,0.9908122683085917,0.1356601292389631,7.772752853591881
647.0,1346.0,310.0,1346.0,647.0,1346.0,113569.0,2025.0,115594.0,337.0,45.0,339.9911763560931,0.991202194162356,0.1327458957538958,7.605779574381825
642.0,1349.0,310.0,1349.0,642.0,1349.0,110224.0,1936.0,112160.0,332.0,44.0,334.90297102295165,0.9913319042405487,0.13176226647792685,7.549421768263295
642.0,1367.0,310.0,1367.0,642.0,1367.0,110224.0,484.0,110708.0,332.0,22.0,332.7281172368816,0.997811675060923,0.06616832373315831,3.791165687365291
644.0,1358.0,311.0,1358.0,644.0,1358.0,110889.0,1521.0,112410.0,333.0,39.0,335.2760057027642,0.993211546117076,0.11658600546131435,6.679886063222479
646.0,1355.0,310.0,1355.0,646.0,1355.0,112896.0,1936.0,114832.0,336.0,44.0,338.86870613852795,0.9915344613221523,0.13021144296439607,7.460566126168332
