sho_x(coord),sho_y(coord),hip_x(coord),hip_y(coord),c_x(coord),c_y(coord),a_sq(dis),b_sq(dis),c_sq(dis),a(dis),b(dis),c(dis),cos(rad)),theta(theta),degree(deg)
607.0,1359.0,285.0,1359.0,607.0,1359.0,103684.0,1681.0,105365.0,322.0,41.0,324.59975354272837,0.9919908948963939,0.12664769209627247,7.256378242188766
607.0,1359.0,279.0,1359.0,607.0,1359.0,107584.0,2209.0,109793.0,328.0,47.0,331.3502678435616,0.989889044408006,0.14232385782195298,8.154556377217896
607.0,1359.0,280.0,1359.0,607.0,1359.0,106929.0,2209.0,109138.0,327.0,47.0,330.3604092502611,0.9898280509523298,0.14275321877853153,8.179156947917546
601.0,1359.0,281.0,1359.0,601.0,1359.0,102400.0,2209.0,104609.0,320.0,47.0,323.43314610596116,0.9893852991033998,0.145832320691176,8.355576492202733
602.0,1359.0,281.0,1359.0,602.0,1359.0,103041.0,1681.0,104722.0,321.0,41.0,323.60778729814274,0.9919415187133919,0.127038008423091,7.278741720390516
607.0,1364.0,281.0,1364.0,607.0,1364.0,106276.0,1600.0,107876.0,326.0,40.0,328.4448203275552,0.9925563742332213,0.12208913739729844,6.995192297258025
607.0,1364.0,282.0,1364.0,607.0,1364.0,105625.0,1681.0,107306.0,325.0,41.0,327.5759453928203,0.9921363414223493,0.12549092741675555,7.190100508162644
607.0,1359.0,280.0,1359.0,607.0,1359.0,106929.0,1681.0,108610.0,327.0,41.0,329.56031314465037,0.992231124190228,0.12473135884965361,7.146580435016903
607.0,1359.0,281.0,1359.0,607.0,1359.0,106276.0,2116.0,108392.0,326.0,46.0,329.2294033041399,0.9901910240345192,0.14017884323661006,8.031656094483742
613.0,1364.0,281.0,1364.0,613.0,1364.0,110224.0,1681.0,111905.0,332.0,41.0,334.5220471060166,0.99246074473167,0.12287186623118493,7.040039355942917
612.0,1358.0,281.0,1358.0,612.0,1358.0,109561.0,2116.0,111677.0,331.0,46.0,334.18108863309425,0.9904809435922723,0.1380883552891464,7.911879957971107
612.0,1358.0,281.0,1358.0,612.0,1358.0,109561.0,2116.0,111677.0,331.0,46.0,334.18108863309425,0.9904809435922723,0.1380883552891464,7.911879957971107
