sho_x(coord),sho_y(coord),hip_x(coord),hip_y(coord),c_x(coord),c_y(coord),a_sq(dis),b_sq(dis),c_sq(dis),a(dis),b(dis),c(dis),cos(rad)),theta(theta),degree(deg)
611.0,1374.0,293.0,1374.0,611.0,1374.0,101124.0,324.0,101448.0,318.0,18.0,318.5090265596879,0.9984018457335854,0.05654343694481696,3.239700296102106
612.0,1368.0,293.0,1368.0,612.0,1368.0,101761.0,841.0,102602.0,319.0,29.0,320.31546949843056,0.9958932064677039,0.090659887200745,5.1944289077348
611.0,1368.0,294.0,1368.0,611.0,1368.0,100489.0,841.0,101330.0,317.0,29.0,318.3237345847777,0.9958415460710011,0.09122871535327284,5.227020360142869
612.0,1374.0,293.0,1374.0,612.0,1374.0,101761.0,576.0,102337.0,319.0,24.0,319.9015473548073,0.9971817974553047,0.07509363823019899,4.30254853887265
612.0,1368.0,293.0,1368.0,612.0,1368.0,101761.0,841.0,102602.0,319.0,29.0,320.31546949843056,0.9958932064677039,0.090659887200745,5.1944289077348
606.0,1375.0,292.0,1375.0,606.0,1375.0,98596.0,529.0,99125.0,314.0,23.0,314.8412298286233,0.9973280823827261,0.0731178271433419,4.1893429024805835
612.0,1375.0,292.0,1375.0,612.0,1375.0,102400.0,529.0,102929.0,320.0,23.0,320.8254977398149,0.9974269571912754,0.0717516131016318,4.111064603979085
606.0,1369.0,292.0,1369.0,606.0,1369.0,98596.0,841.0,99437.0,314.0,29.0,315.3363283860583,0.9957622123879672,0.09209543028583345,5.276679467819557
607.0,1370.0,291.0,1370.0,607.0,1370.0,99856.0,841.0,100697.0,316.0,29.0,317.3279061160553,0.9958153503349004,0.09151580710585273,5.243469505898711
606.0,1376.0,291.0,1376.0,606.0,1376.0,99225.0,529.0,99754.0,315.0,23.0,315.83856635946154,0.9973449526157386,0.0728865295680465,4.176090527604548
606.0,1375.0,292.0,1375.0,606.0,1375.0,98596.0,576.0,99172.0,314.0,24.0,314.91586177898375,0.9970917254729249,0.07628479924789952,4.3707970379073995
612.0,1369.0,292.0,1369.0,612.0,1369.0,102400.0,841.0,103241.0,320.0,29.0,321.3113754600045,0.9959186771457217,0.09037811769566291,5.178284704298106
612.0,1370.0,290.0,1370.0,612.0,1370.0,103684.0,841.0,104525.0,322.0,29.0,323.3032632065442,0.9959689141593612,0.0898197865862875,5.1462946881600375
612.0,1375.0,291.0,1375.0,612.0,1375.0,103041.0,529.0,103570.0,321.0,23.0,321.822932681933,0.9974429022970022,0.07152885065725315,4.09830125608217
612.0,1369.0,291.0,1369.0,612.0,1369.0,103041.0,841.0,103882.0,321.0,29.0,322.3073067741406,0.9959439120781189,0.0900980895070394,5.1622402709452855
612.0,1375.0,291.0,1375.0,612.0,1375.0,103041.0,529.0,103570.0,321.0,23.0,321.822932681933,0.9974429022970022,0.07152885065725315,4.09830125608217
612.0,1369.0,291.0,1369.0,612.0,1369.0,103041.0,841.0,103882.0,321.0,29.0,322.3073067741406,0.9959439120781189,0.0900980895070394,5.1622402709452855
612.0,1369.0,291.0,1369.0,612.0,1369.0,103041.0,841.0,103882.0,321.0,29.0,322.3073067741406,0.9959439120781189,0.0900980895070394,5.1622402709452855
612.0,1369.0,291.0,1369.0,612.0,1369.0,103041.0,841.0,103882.0,321.0,29.0,322.3073067741406,0.9959439120781189,0.0900980895070394,5.1622402709452855
606.0,1369.0,291.0,1369.0,606.0,1369.0,99225.0,841.0,100066.0,315.0,29.0,316.3321039667014,0.9957889068166105,0.09180470639150659,5.260022215671021
612.0,1375.0,292.0,1375.0,612.0,1375.0,102400.0,529.0,102929.0,320.0,23.0,320.8254977398149,0.9974269571912754,0.0717516131016318,4.111064603979085
612.0,1375.0,291.0,1375.0,612.0,1375.0,103041.0,529.0,103570.0,321.0,23.0,321.822932681933,0.9974429022970022,0.07152885065725315,4.09830125608217
613.0,1376.0,292.0,1376.0,613.0,1376.0,103041.0,529.0,103570.0,321.0,23.0,321.822932681933,0.9974429022970022,0.07152885065725315,4.09830125608217
613.0,1369.0,293.0,1369.0,613.0,1369.0,102400.0,841.0,103241.0,320.0,29.0,321.3113754600045,0.9959186771457217,0.09037811769566291,5.178284704298106
612.0,1375.0,288.0,1375.0,612.0,1375.0,104976.0,529.0,105505.0,324.0,23.0,324.81533215043896,0.9974898594070635,0.07086877211766585,4.060481541616658
612.0,1369.0,293.0,1369.0,612.0,1369.0,101761.0,841.0,102602.0,319.0,29.0,320.31546949843056,0.9958932064677039,0.090659887200745,5.1944289077348
606.0,1369.0,293.0,1369.0,606.0,1369.0,97969.0,841.0,98810.0,313.0,29.0,314.3405796266209,0.995735263871393,0.09238799607956978,5.293442253030544
613.0,1376.0,292.0,1376.0,613.0,1376.0,103041.0,529.0,103570.0,321.0,23.0,321.822932681933,0.9974429022970022,0.07152885065725315,4.09830125608217
613.0,1376.0,292.0,1376.0,613.0,1376.0,103041.0,529.0,103570.0,321.0,23.0,321.822932681933,0.9974429022970022,0.07152885065725315,4.09830125608217
613.0,1370.0,291.0,1370.0,613.0,1370.0,103684.0,900.0,104584.0,322.0,30.0,323.39449593337235,0.9956879416597749,0.09289952511341464,5.322750707768259
613.0,1369.0,291.0,1369.0,613.0,1369.0,103684.0,900.0,104584.0,322.0,30.0,323.39449593337235,0.9956879416597749,0.09289952511341464,5.322750707768259
612.0,1370.0,291.0,1370.0,612.0,1370.0,103041.0,841.0,103882.0,321.0,29.0,322.3073067741406,0.9959439120781189,0.0900980895070394,5.1622402709452855
612.0,1370.0,291.0,1370.0,612.0,1370.0,103041.0,841.0,103882.0,321.0,29.0,322.3073067741406,0.9959439120781189,0.0900980895070394,5.1622402709452855
612.0,1369.0,292.0,1369.0,612.0,1369.0,102400.0,841.0,103241.0,320.0,29.0,321.3113754600045,0.9959186771457217,0.09037811769566291,5.178284704298106
612.0,1370.0,291.0,1370.0,612.0,1370.0,103041.0,841.0,103882.0,321.0,29.0,322.3073067741406,0.9959439120781189,0.0900980895070394,5.1622402709452855
612.0,1369.0,291.0,1369.0,612.0,1369.0,103041.0,900.0,103941.0,321.0,30.0,322.3988213377958,0.9956612082761612,0.09318726176887805,5.339236803737522
612.0,1376.0,291.0,1376.0,612.0,1376.0,103041.0,529.0,103570.0,321.0,23.0,321.822932681933,0.9974429022970022,0.07152885065725315,4.09830125608217
613.0,1371.0,291.0,1371.0,613.0,1371.0,103684.0,529.0,104213.0,322.0,23.0,322.8203834952186,0.997458699830735,0.07130746478529053,4.085616779974888
612.0,1372.0,290.0,1372.0,612.0,1372.0,103684.0,529.0,104213.0,322.0,23.0,322.8203834952186,0.997458699830735,0.07130746478529053,4.085616779974888
612.0,1371.0,290.0,1371.0,612.0,1371.0,103684.0,529.0,104213.0,322.0,23.0,322.8203834952186,0.997458699830735,0.07130746478529053,4.085616779974888
612.0,1375.0,291.0,1375.0,612.0,1375.0,103041.0,576.0,103617.0,321.0,24.0,321.895945920417,0.9972166598188891,0.07462750570751468,4.275841112629054
607.0,1370.0,295.0,1370.0,607.0,1370.0,97344.0,576.0,97920.0,312.0,24.0,312.9217154497271,0.9970544855015817,0.07677189126977618,4.398705354995426
613.0,1370.0,290.0,1370.0,613.0,1370.0,104329.0,529.0,104858.0,323.0,23.0,323.81785003300854,0.9974743516056167,0.07108744278664017,4.07301044805219
613.0,1375.0,292.0,1375.0,613.0,1375.0,103041.0,529.0,103570.0,321.0,23.0,321.822932681933,0.9974429022970022,0.07152885065725315,4.09830125608217
612.0,1369.0,293.0,1369.0,612.0,1369.0,101761.0,841.0,102602.0,319.0,29.0,320.31546949843056,0.9958932064677039,0.090659887200745,5.1944289077348
613.0,1368.0,289.0,1368.0,613.0,1368.0,104976.0,841.0,105817.0,324.0,29.0,325.2952505032928,0.9960182311260654,0.08926829333143174,5.1146964522268705
612.0,1368.0,290.0,1368.0,612.0,1368.0,103684.0,841.0,104525.0,322.0,29.0,323.3032632065442,0.9959689141593612,0.0898197865862875,5.1462946881600375
616.0,1368.0,295.0,1368.0,616.0,1368.0,103041.0,841.0,103882.0,321.0,29.0,322.3073067741406,0.9959439120781189,0.0900980895070394,5.1622402709452855
610.0,1369.0,293.0,1369.0,610.0,1369.0,100489.0,841.0,101330.0,317.0,29.0,318.3237345847777,0.9958415460710011,0.09122871535327284,5.227020360142869
616.0,1369.0,291.0,1369.0,616.0,1369.0,105625.0,841.0,106466.0,325.0,29.0,326.29128091323554,0.9960425515826796,0.08899507186867424,5.099042015538474
617.0,1365.0,291.0,1365.0,617.0,1365.0,106276.0,1156.0,107432.0,326.0,34.0,327.76821078316914,0.9946053011701648,0.10391877869129136,5.954107431165028
617.0,1363.0,293.0,1363.0,617.0,1363.0,104976.0,1225.0,106201.0,324.0,35.0,325.8849490234245,0.9942159064753585,0.10760741700714968,6.165450838813953
622.0,1362.0,288.0,1362.0,622.0,1362.0,111556.0,1225.0,112781.0,334.0,35.0,335.828825445345,0.9945542928218869,0.10440935771692868,5.982215538851686
624.0,1363.0,288.0,1363.0,624.0,1363.0,112896.0,1156.0,114052.0,336.0,34.0,337.7158568974812,0.9949192291021085,0.10084720232853034,5.778119069126676
624.0,1361.0,292.0,1361.0,624.0,1361.0,110224.0,1225.0,111449.0,332.0,35.0,333.83978193139296,0.9944890272790465,0.10503372769100644,6.017989303221034
629.0,1363.0,290.0,1363.0,629.0,1363.0,114921.0,900.0,115821.0,339.0,30.0,340.3248448174185,0.9961071169572434,0.08826563798480765,5.057248532559083
628.0,1360.0,290.0,1360.0,628.0,1360.0,114244.0,1156.0,115400.0,338.0,34.0,339.70575502926056,0.9949787279019938,0.10025447550557456,5.744158323767112
