sho_x(coord),sho_y(coord),hip_x(coord),hip_y(coord),c_x(coord),c_y(coord),a_sq(dis),b_sq(dis),c_sq(dis),a(dis),b(dis),c(dis),cos(rad)),theta(theta),degree(deg)
624.0,1356.0,287.0,1356.0,624.0,1356.0,113569.0,4096.0,117665.0,337.0,64.0,343.02332282222443,0.9824404860501392,0.18767602601890293,10.753044206670564
624.0,1356.0,288.0,1356.0,624.0,1356.0,112896.0,3969.0,116865.0,336.0,63.0,341.8552325180938,0.9828721869343219,0.18534794999569484,10.61965527615514
618.0,1363.0,287.0,1363.0,618.0,1363.0,109561.0,3364.0,112925.0,331.0,58.0,336.04315199093105,0.9849925464600239,0.17346551109194136,9.938841676648009
624.0,1356.0,288.0,1356.0,624.0,1356.0,112896.0,4096.0,116992.0,336.0,64.0,342.0409332229112,0.9823385664224747,0.1882215053047707,10.784297867562596
624.0,1363.0,287.0,1363.0,624.0,1363.0,113569.0,3364.0,116933.0,337.0,58.0,341.9546753591768,0.9855107249112105,0.17043708965165957,9.765325909532931
631.0,1363.0,287.0,1363.0,631.0,1363.0,118336.0,3364.0,121700.0,344.0,58.0,348.85527085024813,0.9860822775060425,0.16703368931957738,9.570325434511199
624.0,1362.0,289.0,1362.0,624.0,1362.0,112225.0,3249.0,115474.0,335.0,57.0,339.8146553637733,0.9858315252512604,0.16853521502460597,9.656356520239743
618.0,1355.0,283.0,1355.0,618.0,1355.0,112225.0,4761.0,116986.0,335.0,69.0,342.0321622303961,0.9794400556236019,0.20312944196479635,11.638459719430424
624.0,1356.0,288.0,1356.0,624.0,1356.0,112896.0,4096.0,116992.0,336.0,64.0,342.0409332229112,0.9823385664224747,0.1882215053047707,10.784297867562596
624.0,1363.0,287.0,1363.0,624.0,1363.0,113569.0,3364.0,116933.0,337.0,58.0,341.9546753591768,0.9855107249112105,0.17043708965165957,9.765325909532931
624.0,1357.0,287.0,1357.0,624.0,1357.0,113569.0,3969.0,117538.0,337.0,63.0,342.83815423607683,0.9829711070254546,0.18481041197185447,10.588856616061284
624.0,1357.0,287.0,1357.0,624.0,1357.0,113569.0,3969.0,117538.0,337.0,63.0,342.83815423607683,0.9829711070254546,0.18481041197185447,10.588856616061284
625.0,1356.0,288.0,1356.0,625.0,1356.0,113569.0,4096.0,117665.0,337.0,64.0,343.02332282222443,0.9824404860501392,0.18767602601890293,10.753044206670564
630.0,1363.0,286.0,1363.0,630.0,1363.0,118336.0,3364.0,121700.0,344.0,58.0,348.85527085024813,0.9860822775060425,0.16703368931957738,9.570325434511199
629.0,1356.0,287.0,1356.0,629.0,1356.0,116964.0,4096.0,121060.0,342.0,64.0,347.936775865961,0.9829371992909192,0.1849948426657376,10.599423716433456
629.0,1357.0,285.0,1357.0,629.0,1357.0,118336.0,4225.0,122561.0,344.0,65.0,350.08713201144656,0.9826125228411778,0.18675170411839487,10.700084462859941
630.0,1363.0,286.0,1363.0,630.0,1363.0,118336.0,3364.0,121700.0,344.0,58.0,348.85527085024813,0.9860822775060425,0.16703368931957738,9.570325434511199
630.0,1363.0,285.0,1363.0,630.0,1363.0,119025.0,3364.0,122389.0,345.0,58.0,349.84139263386203,0.9861611783631077,0.16655845091675991,9.543096279767221
630.0,1362.0,285.0,1362.0,630.0,1362.0,119025.0,3364.0,122389.0,345.0,58.0,349.84139263386203,0.9861611783631077,0.16655845091675991,9.543096279767221
629.0,1363.0,284.0,1363.0,629.0,1363.0,119025.0,3364.0,122389.0,345.0,58.0,349.84139263386203,0.9861611783631077,0.16655845091675991,9.543096279767221
629.0,1362.0,284.0,1362.0,629.0,1362.0,119025.0,3481.0,122506.0,345.0,59.0,350.00857132361773,0.985690146659332,0.16937598901136033,9.704529321205156
630.0,1362.0,285.0,1362.0,630.0,1362.0,119025.0,3481.0,122506.0,345.0,59.0,350.00857132361773,0.985690146659332,0.16937598901136033,9.704529321205156
630.0,1362.0,285.0,1362.0,630.0,1362.0,119025.0,3481.0,122506.0,345.0,59.0,350.00857132361773,0.985690146659332,0.16937598901136033,9.704529321205156
624.0,1362.0,287.0,1362.0,624.0,1362.0,113569.0,3364.0,116933.0,337.0,58.0,341.9546753591768,0.9855107249112105,0.17043708965165957,9.765325909532931
624.0,1362.0,287.0,1362.0,624.0,1362.0,113569.0,3364.0,116933.0,337.0,58.0,341.9546753591768,0.9855107249112105,0.17043708965165957,9.765325909532931
624.0,1361.0,288.0,1361.0,624.0,1361.0,112896.0,3364.0,116260.0,336.0,58.0,340.96920682079195,0.9854262299310691,0.1709345337768092,9.793827358447583
630.0,1371.0,285.0,1371.0,630.0,1371.0,119025.0,2209.0,121234.0,345.0,47.0,348.18673151055026,0.9908476365635038,0.13539836461356716,7.757754845330872
