sho_x(coord),sho_y(coord),hip_x(coord),hip_y(coord),c_x(coord),c_y(coord),a_sq(dis),b_sq(dis),c_sq(dis),a(dis),b(dis),c(dis),cos(rad)),theta(theta),degree(deg)
618.0,1357.0,271.0,1357.0,618.0,1357.0,120409.0,5625.0,126034.0,347.0,75.0,355.0126758300329,0.9774298880700556,0.2128639392811498,12.196205331338902
617.0,1352.0,269.0,1352.0,617.0,1352.0,121104.0,6561.0,127665.0,348.0,81.0,357.30239293909017,0.9739649296424501,0.22868682567222404,13.102789941262442
623.0,1348.0,269.0,1348.0,623.0,1348.0,125316.0,7569.0,132885.0,354.0,87.0,364.5339490363003,0.9711029684226987,0.24098666836444096,13.8075190162013
623.0,1348.0,269.0,1348.0,623.0,1348.0,125316.0,7569.0,132885.0,354.0,87.0,364.5339490363003,0.9711029684226987,0.24098666836444096,13.8075190162013
616.0,1354.0,269.0,1354.0,616.0,1354.0,120409.0,6561.0,126970.0,347.0,81.0,356.32850012313077,0.9738205051801715,0.22932303284857533,13.139241927363306
623.0,1352.0,269.0,1352.0,623.0,1352.0,125316.0,6561.0,131877.0,354.0,81.0,363.1487298614715,0.9748072095282795,0.22494126505117082,12.888185125765693
617.0,1357.0,269.0,1357.0,617.0,1357.0,121104.0,5776.0,126880.0,348.0,76.0,356.20218977429096,0.9769732191161197,0.21501488174750633,12.319445256636591
617.0,1352.0,270.0,1352.0,617.0,1352.0,120409.0,6561.0,126970.0,347.0,81.0,356.32850012313077,0.9738205051801715,0.22932303284857533,13.139241927363306
622.0,1353.0,269.0,1353.0,622.0,1353.0,124609.0,6561.0,131170.0,353.0,81.0,362.17399133565624,0.9746696572500316,0.2255571268377733,12.923471406901403
622.0,1353.0,269.0,1353.0,622.0,1353.0,124609.0,6561.0,131170.0,353.0,81.0,362.17399133565624,0.9746696572500316,0.2255571268377733,12.923471406901403
622.0,1352.0,270.0,1352.0,622.0,1352.0,123904.0,6561.0,130465.0,352.0,81.0,361.19939091864484,0.9745309899464452,0.22617631233849936,12.9589481228287
