sho_x(coord),sho_y(coord),hip_x(coord),hip_y(coord),c_x(coord),c_y(coord),a_sq(dis),b_sq(dis),c_sq(dis),a(dis),b(dis),c(dis),cos(rad)),theta(theta),degree(deg)
637.0,1369.0,282.0,1369.0,637.0,1369.0,126025.0,2209.0,128234.0,355.0,47.0,358.09775201751825,0.991349423446348,0.1316288530973552,7.541777744625967
645.0,1366.0,282.0,1366.0,645.0,1366.0,131769.0,2304.0,134073.0,363.0,48.0,366.1598011797581,0.9913704312445624,0.1314686956868684,7.532601400947328
641.0,1369.0,285.0,1369.0,641.0,1369.0,126736.0,2304.0,129040.0,356.0,48.0,359.2213802100315,0.9910323260599132,0.1340232015800639,7.678963807368727
655.0,1370.0,282.0,1370.0,655.0,1370.0,139129.0,1849.0,140978.0,373.0,43.0,375.4703716673261,0.9934205949290856,0.11477484496136367,6.5761142105545005
646.0,1368.0,282.0,1368.0,646.0,1368.0,132496.0,2304.0,134800.0,364.0,48.0,367.1511950137164,0.9914171734791749,0.13111164848254594,7.512144103052707
647.0,1367.0,283.0,1367.0,647.0,1367.0,132496.0,2304.0,134800.0,364.0,48.0,367.1511950137164,0.9914171734791749,0.13111164848254594,7.512144103052707
646.0,1368.0,286.0,1368.0,646.0,1368.0,129600.0,2304.0,131904.0,360.0,48.0,363.18590281011734,0.9912279006826347,0.13255153229667405,7.594643368591447
647.0,1371.0,283.0,1371.0,647.0,1371.0,132496.0,1849.0,134345.0,364.0,43.0,366.5310355208683,0.9930946215311032,0.11758690838123434,6.737233576236215
641.0,1365.0,283.0,1365.0,641.0,1365.0,128164.0,2304.0,130468.0,358.0,48.0,361.20354372569494,0.991130918338587,0.13328332872659868,7.636572215488869
636.0,1372.0,283.0,1372.0,636.0,1372.0,124609.0,1849.0,126458.0,353.0,43.0,355.60933621039817,0.9926623517869217,0.12121583499426332,6.945155755325479
647.0,1373.0,282.0,1373.0,647.0,1373.0,133225.0,1849.0,135074.0,365.0,43.0,367.52414886643845,0.9931320190136519,0.11726770180602862,6.718944386684101
641.0,1366.0,284.0,1366.0,641.0,1366.0,127449.0,2916.0,130365.0,357.0,54.0,361.06093668520833,0.9887527664374591,0.15012248601576247,8.60138485871491
634.0,1367.0,280.0,1367.0,634.0,1367.0,125316.0,2401.0,127717.0,354.0,49.0,357.37515302550065,0.9905557143608699,0.13754409436556203,7.880696104095831
651.0,1375.0,282.0,1375.0,651.0,1375.0,136161.0,1936.0,138097.0,369.0,44.0,371.61404709725383,0.992965693526193,0.11868082313342493,6.7999102746838345
639.0,1365.0,281.0,1365.0,639.0,1365.0,128164.0,2916.0,131080.0,358.0,54.0,362.04972034238614,0.9888144635533584,0.1497093956642654,8.577716525016552
654.0,1372.0,282.0,1372.0,654.0,1372.0,138384.0,1849.0,140233.0,372.0,43.0,374.4769685841841,0.9933855249001055,0.11508066622418778,6.593636478199683
648.0,1365.0,281.0,1365.0,648.0,1365.0,134689.0,2916.0,137605.0,367.0,54.0,370.95147930693037,0.9893477192372623,0.14609070138855282,8.370380615670072
646.0,1372.0,280.0,1372.0,646.0,1372.0,133956.0,1849.0,135805.0,366.0,43.0,368.517299458248,0.9931691145518851,0.11695021571594132,6.700753773667989
641.0,1367.0,281.0,1367.0,641.0,1367.0,129600.0,2304.0,131904.0,360.0,48.0,363.18590281011734,0.9912279006826347,0.13255153229667405,7.594643368591447
635.0,1363.0,281.0,1363.0,635.0,1363.0,125316.0,2809.0,128125.0,354.0,53.0,357.94552658190884,0.9889772988097227,0.14861366636220996,8.51493586051996
639.0,1364.0,284.0,1364.0,639.0,1364.0,126025.0,2916.0,128941.0,355.0,54.0,359.08355573598743,0.9886278397583046,0.15095549135331923,8.649112548868784
639.0,1369.0,283.0,1369.0,639.0,1369.0,126736.0,2401.0,129137.0,356.0,49.0,359.3563690822802,0.9906600539991773,0.1367810032152559,7.8369742017995065
638.0,1363.0,283.0,1363.0,638.0,1363.0,126025.0,2809.0,128834.0,355.0,53.0,358.9345344209721,0.9890382951662223,0.14820114760822223,8.491300276946468
644.0,1367.0,284.0,1367.0,644.0,1367.0,129600.0,2304.0,131904.0,360.0,48.0,363.18590281011734,0.9912279006826347,0.13255153229667405,7.594643368591447
634.0,1363.0,285.0,1363.0,634.0,1363.0,121801.0,2916.0,124717.0,349.0,54.0,353.1529413724314,0.9882403885515092,0.15351046919424233,8.795501995903125
645.0,1363.0,281.0,1363.0,645.0,1363.0,132496.0,2916.0,135412.0,364.0,54.0,367.98369529097346,0.9891742614089913,0.1472774792408087,8.438377977823935
645.0,1368.0,282.0,1368.0,645.0,1368.0,131769.0,2304.0,134073.0,363.0,48.0,366.1598011797581,0.9913704312445624,0.1314686956868684,7.532601400947328
646.0,1368.0,282.0,1368.0,646.0,1368.0,132496.0,2304.0,134800.0,364.0,48.0,367.1511950137164,0.9914171734791749,0.13111164848254594,7.512144103052707
642.0,1368.0,282.0,1368.0,642.0,1368.0,129600.0,1849.0,131449.0,360.0,43.0,362.5589607222527,0.9929419460019551,0.1188812209575392,6.811392224229187
641.0,1372.0,281.0,1372.0,641.0,1372.0,129600.0,1849.0,131449.0,360.0,43.0,362.5589607222527,0.9929419460019551,0.1188812209575392,6.811392224229187
643.0,1368.0,283.0,1368.0,643.0,1368.0,129600.0,1849.0,131449.0,360.0,43.0,362.5589607222527,0.9929419460019551,0.1188812209575392,6.811392224229187
643.0,1366.0,281.0,1366.0,643.0,1366.0,131044.0,1849.0,132893.0,362.0,43.0,364.5449217860537,0.9930189075914565,0.11823053896809545,6.774110892428884
641.0,1372.0,282.0,1372.0,641.0,1372.0,128881.0,1764.0,130645.0,359.0,42.0,361.4484748895754,0.9932259365866092,0.11646222776668862,6.672794123722565
641.0,1362.0,286.0,1362.0,641.0,1362.0,126025.0,2304.0,128329.0,355.0,48.0,358.23037280498704,0.9909824150875516,0.13439620830796897,7.700335518607673
644.0,1370.0,285.0,1370.0,644.0,1370.0,128881.0,1849.0,130730.0,359.0,43.0,361.56603822815,0.9929029887853272,0.11920924236633693,6.830186466543233
648.0,1368.0,284.0,1368.0,648.0,1368.0,132496.0,1849.0,134345.0,364.0,43.0,366.5310355208683,0.9930946215311032,0.11758690838123434,6.737233576236215
656.0,1367.0,283.0,1367.0,656.0,1367.0,139129.0,1849.0,140978.0,373.0,43.0,375.4703716673261,0.9934205949290856,0.11477484496136367,6.5761142105545005
650.0,1365.0,283.0,1365.0,650.0,1365.0,134689.0,1849.0,136538.0,367.0,43.0,369.51048699597146,0.993205911376478,0.116634436302036,6.682660945994099
644.0,1369.0,281.0,1369.0,644.0,1369.0,131769.0,1849.0,133618.0,363.0,43.0,365.5379597251153,0.9930569188299244,0.11790784939916751,6.755622142036418
643.0,1367.0,283.0,1367.0,643.0,1367.0,129600.0,1849.0,131449.0,360.0,43.0,362.5589607222527,0.9929419460019551,0.1188812209575392,6.811392224229187
647.0,1366.0,284.0,1366.0,647.0,1366.0,131769.0,1849.0,133618.0,363.0,43.0,365.5379597251153,0.9930569188299244,0.11790784939916751,6.755622142036418
630.0,1354.0,283.0,1354.0,630.0,1354.0,120409.0,3025.0,123434.0,347.0,55.0,351.33175205210244,0.9876704794633534,0.15719376800493381,9.006539472441302
649.0,1364.0,286.0,1364.0,649.0,1364.0,131769.0,2209.0,133978.0,363.0,47.0,366.0300534109187,0.9917218452892528,0.1287602523935712,7.377419031190886
639.0,1361.0,282.0,1361.0,639.0,1361.0,127449.0,2601.0,130050.0,357.0,51.0,360.62445840513925,0.9899494936611665,0.14189705460416438,8.130102354156005
635.0,1360.0,286.0,1360.0,635.0,1360.0,121801.0,2601.0,124402.0,349.0,51.0,352.706676999458,0.9894907660070645,0.1451047420788863,8.313889308454549
635.0,1362.0,284.0,1362.0,635.0,1362.0,123201.0,2116.0,125317.0,351.0,46.0,354.0014124265608,0.9915214676518177,0.13031147630851114,7.466297614596705
644.0,1360.0,282.0,1360.0,644.0,1360.0,131044.0,2500.0,133544.0,362.0,50.0,365.4367250291082,0.9905955674574458,0.1372531251399412,7.864024795499567
634.0,1360.0,288.0,1360.0,634.0,1360.0,119716.0,2916.0,122632.0,346.0,54.0,350.18852065708836,0.9880392405518345,0.154820406182514,8.87055585675917
633.0,1354.0,285.0,1354.0,633.0,1354.0,121104.0,3844.0,124948.0,348.0,62.0,353.4798438383722,0.9844974361794789,0.17631100448967504,10.10187643897049
639.0,1362.0,285.0,1362.0,639.0,1362.0,125316.0,2916.0,128232.0,354.0,54.0,358.0949594730426,0.9885645989570236,0.15137544373402692,8.673174047879806
635.0,1363.0,282.0,1363.0,635.0,1363.0,124609.0,2916.0,127525.0,353.0,54.0,357.1064267133819,0.9885008322275931,0.15179772119215254,8.697368764013916
633.0,1363.0,283.0,1363.0,633.0,1363.0,122500.0,3025.0,125525.0,350.0,55.0,354.29507476113747,0.9878771254044861,0.1558682013983224,8.93059010041899
631.0,1365.0,285.0,1365.0,631.0,1365.0,119716.0,2809.0,122525.0,346.0,53.0,350.03571246374275,0.98847056937323,0.15199772118948549,8.70882791976372
632.0,1364.0,282.0,1364.0,632.0,1364.0,122500.0,3481.0,125981.0,350.0,59.0,354.9380227589036,0.9860876478644897,0.16700138488257465,9.568474526611396
629.0,1363.0,283.0,1363.0,629.0,1363.0,119716.0,3364.0,123080.0,346.0,58.0,350.8275929855005,0.9862394147951185,0.16608588426299994,9.516020204968154
628.0,1354.0,282.0,1354.0,628.0,1354.0,119716.0,5184.0,124900.0,346.0,72.0,353.41194094144583,0.9790274745055265,0.20516454893532649,11.755062759699454
624.0,1356.0,280.0,1356.0,624.0,1356.0,118336.0,4624.0,122960.0,344.0,68.0,350.65652710308984,0.9810169593645325,0.19515842711667017,11.181754210196681
626.0,1353.0,277.0,1353.0,626.0,1353.0,121801.0,5625.0,127426.0,349.0,75.0,356.9677856613955,0.9776792585173123,0.21168030243727712,12.128387935708812
620.0,1349.0,271.0,1349.0,620.0,1349.0,121801.0,7056.0,128857.0,349.0,84.0,358.96657225986934,0.9722353750179998,0.23619510523648532,13.532982671698939
605.0,1348.0,269.0,1348.0,605.0,1348.0,112896.0,7056.0,119952.0,336.0,84.0,346.3408725518835,0.9701425001453319,0.24497866312686423,14.036243467926484
604.0,1350.0,270.0,1350.0,604.0,1350.0,111556.0,6561.0,118117.0,334.0,81.0,343.68153863715173,0.9718299136009945,0.23792161726015468,13.631904523933784
599.0,1345.0,266.0,1345.0,599.0,1345.0,110889.0,7056.0,117945.0,333.0,84.0,343.4312158205774,0.9696264773263154,0.24709730402471697,14.157632649677252
602.0,1345.0,263.0,1345.0,602.0,1345.0,114921.0,7396.0,122317.0,339.0,86.0,349.73847372000694,0.9692957037131581,0.2484460556108907,14.234910423176583
586.0,1341.0,263.0,1341.0,586.0,1341.0,104329.0,8281.0,112610.0,323.0,91.0,335.574134879314,0.962529487310349,0.27461568058314173,15.734319485526731
576.0,1331.0,261.0,1331.0,576.0,1331.0,99225.0,10609.0,109834.0,315.0,103.0,331.41213013406735,0.9504781851906624,0.3160254261087903,18.10692313485714
559.0,1330.0,255.0,1330.0,559.0,1330.0,92416.0,11664.0,104080.0,304.0,108.0,322.6143208228674,0.9423016288446548,0.3413558852538471,19.558251536997453
566.0,1325.0,254.0,1325.0,566.0,1325.0,97344.0,12544.0,109888.0,312.0,112.0,331.49358968161056,0.9411946707617075,0.3446473156180259,19.746836605426108
557.0,1314.0,252.0,1314.0,557.0,1314.0,93025.0,14884.0,107909.0,305.0,122.0,328.49505323520475,0.9284766908852593,0.3805063771123649,21.80140948635181
552.0,1304.0,254.0,1304.0,552.0,1304.0,88804.0,17161.0,105965.0,298.0,131.0,325.5226566615602,0.9154508723176987,0.4141694547348085,23.730161759539115
