sho_x(coord),sho_y(coord),hip_x(coord),hip_y(coord),c_x(coord),c_y(coord),a_sq(dis),b_sq(dis),c_sq(dis),a(dis),b(dis),c(dis),cos(rad)),theta(theta),degree(deg)
623.0,1370.0,286.0,1370.0,623.0,1370.0,113569.0,3025.0,116594.0,337.0,55.0,341.45863585506225,0.9869423836831739,0.16177844462845187,9.269222093401176
625.0,1368.0,283.0,1368.0,625.0,1368.0,116964.0,3025.0,119989.0,342.0,55.0,346.39428401750513,0.987314213252771,0.15945343761553185,9.13600900422254
623.0,1366.0,284.0,1366.0,623.0,1366.0,114921.0,3721.0,118642.0,339.0,61.0,344.4444802867365,0.9841934459736321,0.1780357921086245,10.200699490092711
622.0,1368.0,287.0,1368.0,622.0,1368.0,112225.0,3136.0,115361.0,335.0,56.0,339.6483475596488,0.9863142347282214,0.1656327044823451,9.490054916175968
616.0,1363.0,286.0,1363.0,616.0,1363.0,108900.0,3721.0,112621.0,330.0,61.0,335.59052430007614,0.9833412331538979,0.1827852611155482,10.47282401911763
617.0,1362.0,287.0,1362.0,617.0,1362.0,108900.0,3844.0,112744.0,330.0,62.0,335.77373333838966,0.9828046902865658,0.18571384825964424,10.640619702410604
616.0,1364.0,286.0,1364.0,616.0,1364.0,108900.0,3844.0,112744.0,330.0,62.0,335.77373333838966,0.9828046902865658,0.18571384825964424,10.640619702410604
620.0,1360.0,287.0,1360.0,620.0,1360.0,110889.0,3721.0,114610.0,333.0,61.0,338.54098717880527,0.9836327434826121,0.18117450298708365,10.38053437654022
623.0,1361.0,286.0,1361.0,623.0,1361.0,113569.0,4489.0,118058.0,337.0,67.0,343.5956926388921,0.9808039134942709,0.1962540078343333,11.244526361434692
629.0,1359.0,287.0,1359.0,629.0,1359.0,116964.0,4489.0,121453.0,342.0,67.0,348.501076038511,0.9813456069851774,0.19345635681505743,11.084232765479712
624.0,1362.0,286.0,1362.0,624.0,1362.0,114244.0,3844.0,118088.0,338.0,62.0,343.63934582640564,0.9835893476841432,0.1814151851444504,10.394324448361438
625.0,1359.0,283.0,1359.0,625.0,1359.0,116964.0,4489.0,121453.0,342.0,67.0,348.501076038511,0.9813456069851774,0.19345635681505743,11.084232765479712
624.0,1359.0,288.0,1359.0,624.0,1359.0,112896.0,4624.0,117520.0,336.0,68.0,342.81190177705327,0.9801293311529091,0.19968388537510195,11.441043868767446
623.0,1364.0,288.0,1364.0,623.0,1364.0,112225.0,3969.0,116194.0,335.0,63.0,340.87241014784405,0.9827724099310441,0.1858885878958054,10.650631546076289
623.0,1364.0,283.0,1364.0,623.0,1364.0,115600.0,3844.0,119444.0,340.0,62.0,345.60671289776764,0.983777187512483,0.1803710980899399,10.33450266669374
623.0,1365.0,288.0,1365.0,623.0,1365.0,112225.0,3969.0,116194.0,335.0,63.0,340.87241014784405,0.9827724099310441,0.1858885878958054,10.650631546076289
630.0,1363.0,284.0,1363.0,630.0,1363.0,119716.0,3969.0,123685.0,346.0,63.0,351.6887828748594,0.9838243835121587,0.18010782328648642,10.31941813160372
