sho_x(coord),sho_y(coord),hip_x(coord),hip_y(coord),c_x(coord),c_y(coord),a_sq(dis),b_sq(dis),c_sq(dis),a(dis),b(dis),c(dis),cos(rad)),theta(theta),degree(deg)
662.0,1311.0,370.0,1311.0,662.0,1311.0,85264.0,2304.0,87568.0,292.0,48.0,295.9189078109069,0.9867568184814636,0.16292645885037307,9.334998463138255
667.0,1311.0,370.0,1311.0,667.0,1311.0,88209.0,2304.0,90513.0,297.0,48.0,300.8537850850476,0.9871905049027115,0.16023068427806225,9.180541957626161
663.0,1310.0,371.0,1310.0,663.0,1310.0,85264.0,2401.0,87665.0,292.0,49.0,296.08275870100914,0.9862107516191715,0.16625917112804656,9.525948810980378
658.0,1315.0,371.0,1315.0,658.0,1315.0,82369.0,2304.0,84673.0,287.0,48.0,290.98625397087056,0.9863008856381593,0.16571364910592723,9.494692701481497
660.0,1315.0,373.0,1315.0,660.0,1315.0,82369.0,2304.0,84673.0,287.0,48.0,290.98625397087056,0.9863008856381593,0.16571364910592723,9.494692701481497
660.0,1315.0,373.0,1315.0,660.0,1315.0,82369.0,2401.0,84770.0,287.0,49.0,291.1528808031959,0.9857364255104072,0.16910122600137747,9.688786560366827
662.0,1312.0,370.0,1312.0,662.0,1312.0,85264.0,2304.0,87568.0,292.0,48.0,295.9189078109069,0.9867568184814636,0.16292645885037307,9.334998463138255
661.0,1312.0,369.0,1312.0,661.0,1312.0,85264.0,2401.0,87665.0,292.0,49.0,296.08275870100914,0.9862107516191715,0.16625917112804656,9.525948810980378
661.0,1315.0,369.0,1315.0,661.0,1315.0,85264.0,2304.0,87568.0,292.0,48.0,295.9189078109069,0.9867568184814636,0.16292645885037307,9.334998463138255
660.0,1315.0,368.0,1315.0,660.0,1315.0,85264.0,1936.0,87200.0,292.0,44.0,295.296461204668,0.9888367737587508,0.14955973987370247,8.569141879837604
658.0,1312.0,372.0,1312.0,658.0,1312.0,81796.0,2304.0,84100.0,286.0,48.0,290.0,0.9862068965517241,0.16628246377688263,9.527283381452365
659.0,1312.0,372.0,1312.0,659.0,1312.0,82369.0,2304.0,84673.0,287.0,48.0,290.98625397087056,0.9863008856381593,0.16571364910592723,9.494692701481497
660.0,1311.0,368.0,1311.0,660.0,1311.0,85264.0,2401.0,87665.0,292.0,49.0,296.08275870100914,0.9862107516191715,0.16625917112804656,9.525948810980378
660.0,1311.0,368.0,1311.0,660.0,1311.0,85264.0,2401.0,87665.0,292.0,49.0,296.08275870100914,0.9862107516191715,0.16625917112804656,9.525948810980378
662.0,1315.0,371.0,1315.0,662.0,1315.0,84681.0,1936.0,86617.0,291.0,44.0,294.3076621496627,0.9887612095264423,0.15006602233608352,8.598149728173528
658.0,1310.0,371.0,1310.0,658.0,1310.0,82369.0,2401.0,84770.0,287.0,49.0,291.1528808031959,0.9857364255104072,0.16910122600137747,9.688786560366827
661.0,1312.0,369.0,1312.0,661.0,1312.0,85264.0,2401.0,87665.0,292.0,49.0,296.08275870100914,0.9862107516191715,0.16625917112804656,9.525948810980378
662.0,1312.0,370.0,1312.0,662.0,1312.0,85264.0,2304.0,87568.0,292.0,48.0,295.9189078109069,0.9867568184814636,0.16292645885037307,9.334998463138255
665.0,1315.0,369.0,1315.0,665.0,1315.0,87616.0,1936.0,89552.0,296.0,44.0,299.2524018282894,0.9891315765273102,0.14756807131399372,8.455027677177393
661.0,1311.0,370.0,1311.0,661.0,1311.0,84681.0,2304.0,86985.0,291.0,48.0,294.93219559756443,0.9866674589744352,0.1634764381706942,9.36650995701213
662.0,1311.0,371.0,1311.0,662.0,1311.0,84681.0,2304.0,86985.0,291.0,48.0,294.93219559756443,0.9866674589744352,0.1634764381706942,9.36650995701213
662.0,1311.0,371.0,1311.0,662.0,1311.0,84681.0,2304.0,86985.0,291.0,48.0,294.93219559756443,0.9866674589744352,0.1634764381706942,9.36650995701213
659.0,1311.0,373.0,1311.0,659.0,1311.0,81796.0,2401.0,84197.0,286.0,49.0,290.1671931835162,0.985638648057361,0.16968122427920238,9.72201801381105
659.0,1311.0,373.0,1311.0,659.0,1311.0,81796.0,2401.0,84197.0,286.0,49.0,290.1671931835162,0.985638648057361,0.16968122427920238,9.72201801381105
660.0,1312.0,373.0,1312.0,660.0,1312.0,82369.0,2304.0,84673.0,287.0,48.0,290.98625397087056,0.9863008856381593,0.16571364910592723,9.494692701481497
660.0,1311.0,373.0,1311.0,660.0,1311.0,82369.0,2401.0,84770.0,287.0,49.0,291.1528808031959,0.9857364255104072,0.16910122600137747,9.688786560366827
