sho_x(coord),sho_y(coord),hip_x(coord),hip_y(coord),c_x(coord),c_y(coord),a_sq(dis),b_sq(dis),c_sq(dis),a(dis),b(dis),c(dis),cos(rad)),theta(theta),degree(deg)
670.0,1314.0,386.0,1314.0,670.0,1314.0,80656.0,1936.0,82592.0,284.0,44.0,287.3882391469769,0.9882102372837739,0.15370752905847854,8.80679269443528
675.0,1309.0,387.0,1309.0,675.0,1309.0,82944.0,2401.0,85345.0,288.0,49.0,292.138665705175,0.9858332148701202,0.16852514179220626,9.655779366537185
675.0,1309.0,386.0,1309.0,675.0,1309.0,83521.0,2401.0,85922.0,289.0,49.0,293.1245469079654,0.985929029310328,0.1679529325428271,9.62299419154941
675.0,1309.0,386.0,1309.0,675.0,1309.0,83521.0,2401.0,85922.0,289.0,49.0,293.1245469079654,0.985929029310328,0.1679529325428271,9.62299419154941
672.0,1312.0,389.0,1312.0,672.0,1312.0,80089.0,1936.0,82025.0,283.0,44.0,286.40006983239374,0.9881282506865884,0.1542421064483893,8.837421722700286
672.0,1317.0,389.0,1317.0,672.0,1317.0,80089.0,1521.0,81610.0,283.0,39.0,285.674640106538,0.990637460484625,0.1369465999953209,7.8464621983981875
672.0,1314.0,389.0,1314.0,672.0,1314.0,80089.0,1936.0,82025.0,283.0,44.0,286.40006983239374,0.9881282506865884,0.1542421064483893,8.837421722700286
671.0,1314.0,389.0,1314.0,671.0,1314.0,79524.0,1936.0,81460.0,282.0,44.0,285.41198292993937,0.9880454110759009,0.1547803853717141,8.868262833207643
673.0,1315.0,386.0,1315.0,673.0,1315.0,82369.0,1849.0,84218.0,287.0,43.0,290.20337696174386,0.9889616137645216,0.14871956083316024,8.521003166779183
673.0,1315.0,386.0,1315.0,673.0,1315.0,82369.0,1849.0,84218.0,287.0,43.0,290.20337696174386,0.9889616137645216,0.14871956083316024,8.521003166779183
671.0,1318.0,384.0,1318.0,671.0,1318.0,82369.0,1521.0,83890.0,287.0,39.0,289.6377047278203,0.9908930892464468,0.13506122358239236,7.738438087143868
671.0,1318.0,389.0,1318.0,671.0,1318.0,79524.0,1521.0,81045.0,282.0,39.0,284.6840353795766,0.9905718795365609,0.13742614549694435,7.873938131725694
673.0,1315.0,385.0,1315.0,673.0,1315.0,82944.0,1936.0,84880.0,288.0,44.0,291.3417237540823,0.9885298826717211,0.1516054874382736,8.686354581236696
673.0,1310.0,385.0,1310.0,673.0,1310.0,82944.0,2401.0,85345.0,288.0,49.0,292.138665705175,0.9858332148701202,0.16852514179220626,9.655779366537185
672.0,1312.0,385.0,1312.0,672.0,1312.0,82369.0,2304.0,84673.0,287.0,48.0,290.98625397087056,0.9863008856381593,0.16571364910592723,9.494692701481497
672.0,1312.0,385.0,1312.0,672.0,1312.0,82369.0,2304.0,84673.0,287.0,48.0,290.98625397087056,0.9863008856381593,0.16571364910592723,9.494692701481497
673.0,1312.0,385.0,1312.0,673.0,1312.0,82944.0,1936.0,84880.0,288.0,44.0,291.3417237540823,0.9885298826717211,0.1516054874382736,8.686354581236696
673.0,1312.0,385.0,1312.0,673.0,1312.0,82944.0,1936.0,84880.0,288.0,44.0,291.3417237540823,0.9885298826717211,0.1516054874382736,8.686354581236696
673.0,1313.0,385.0,1313.0,673.0,1313.0,82944.0,1936.0,84880.0,288.0,44.0,291.3417237540823,0.9885298826717211,0.1516054874382736,8.686354581236696
673.0,1313.0,385.0,1313.0,673.0,1313.0,82944.0,1936.0,84880.0,288.0,44.0,291.3417237540823,0.9885298826717211,0.1516054874382736,8.686354581236696
674.0,1309.0,385.0,1309.0,674.0,1309.0,83521.0,2401.0,85922.0,289.0,49.0,293.1245469079654,0.985929029310328,0.1679529325428271,9.62299419154941
673.0,1313.0,383.0,1313.0,673.0,1313.0,84100.0,2025.0,86125.0,290.0,45.0,293.47061181658376,0.9881739033591791,0.15394466445834953,8.820379552021036
672.0,1316.0,385.0,1316.0,672.0,1316.0,82369.0,1936.0,84305.0,287.0,44.0,290.3532331488665,0.9884511940421644,0.15212563114018252,8.716156620096388
672.0,1315.0,389.0,1315.0,672.0,1315.0,80089.0,1936.0,82025.0,283.0,44.0,286.40006983239374,0.9881282506865884,0.1542421064483893,8.837421722700286
672.0,1315.0,385.0,1315.0,672.0,1315.0,82369.0,1936.0,84305.0,287.0,44.0,290.3532331488665,0.9884511940421644,0.15212563114018252,8.716156620096388
676.0,1310.0,390.0,1310.0,676.0,1310.0,81796.0,2401.0,84197.0,286.0,49.0,290.1671931835162,0.985638648057361,0.16968122427920238,9.72201801381105
673.0,1314.0,386.0,1314.0,673.0,1314.0,82369.0,1936.0,84305.0,287.0,44.0,290.3532331488665,0.9884511940421644,0.15212563114018252,8.716156620096388
673.0,1314.0,386.0,1314.0,673.0,1314.0,82369.0,1936.0,84305.0,287.0,44.0,290.3532331488665,0.9884511940421644,0.15212563114018252,8.716156620096388
674.0,1311.0,386.0,1311.0,674.0,1311.0,82944.0,2304.0,85248.0,288.0,48.0,291.97260145431454,0.9863939238321439,0.16514867741462608,9.462322208025574
