sho_x(coord),sho_y(coord),hip_x(coord),hip_y(coord),c_x(coord),c_y(coord),a_sq(dis),b_sq(dis),c_sq(dis),a(dis),b(dis),c(dis),cos(rad)),theta(theta),degree(deg)
645.0,1299.0,354.0,1299.0,645.0,1299.0,84681.0,3844.0,88525.0,291.0,62.0,297.5315109362368,0.9780476665624953,0.2099196248415232,12.027508540388872
649.0,1294.0,353.0,1294.0,649.0,1294.0,87616.0,5184.0,92800.0,296.0,72.0,304.63092423455635,0.9716676031619469,0.23860932250820108,13.67130713219584
648.0,1294.0,353.0,1294.0,648.0,1294.0,87025.0,5041.0,92066.0,295.0,71.0,303.4237960345233,0.9722375234091236,0.23618592410188105,13.532456631434973
647.0,1294.0,353.0,1294.0,647.0,1294.0,86436.0,5184.0,91620.0,294.0,72.0,302.6879581351065,0.9712973116319725,0.24017100786017287,13.760785111791225
646.0,1299.0,352.0,1299.0,646.0,1299.0,86436.0,4356.0,90792.0,294.0,66.0,301.3171087077533,0.9757162520935705,0.22082876972934878,12.652556500557996
646.0,1299.0,356.0,1299.0,646.0,1299.0,84100.0,4356.0,88456.0,290.0,66.0,297.4155342277871,0.9750667555175259,0.2237746637249504,12.8213437933989
646.0,1299.0,356.0,1299.0,646.0,1299.0,84100.0,4489.0,88589.0,290.0,67.0,297.6390431378249,0.9743345393894188,0.2270506737851529,13.0090453434909
645.0,1300.0,356.0,1300.0,645.0,1300.0,83521.0,4356.0,87877.0,289.0,66.0,296.4405505324803,0.9749003619136611,0.22452325147614263,12.864234712137403
648.0,1296.0,353.0,1296.0,648.0,1296.0,87025.0,4489.0,91514.0,295.0,67.0,302.51280964613716,0.9751653172805302,0.22333008099516186,12.79587107933761
648.0,1296.0,353.0,1296.0,648.0,1296.0,87025.0,4489.0,91514.0,295.0,67.0,302.51280964613716,0.9751653172805302,0.22333008099516186,12.79587107933761
646.0,1296.0,356.0,1296.0,646.0,1296.0,84100.0,4489.0,88589.0,290.0,67.0,297.6390431378249,0.9743345393894188,0.2270506737851529,13.0090453434909
646.0,1296.0,356.0,1296.0,646.0,1296.0,84100.0,4489.0,88589.0,290.0,67.0,297.6390431378249,0.9743345393894188,0.2270506737851529,13.0090453434909
647.0,1295.0,353.0,1295.0,647.0,1295.0,86436.0,4489.0,90925.0,294.0,67.0,301.53772566629203,0.9750023793883955,0.22406457696586388,12.837954598528201
647.0,1295.0,353.0,1295.0,647.0,1295.0,86436.0,4489.0,90925.0,294.0,67.0,301.53772566629203,0.9750023793883955,0.22406457696586388,12.837954598528201
649.0,1295.0,354.0,1295.0,649.0,1295.0,87025.0,4489.0,91514.0,295.0,67.0,302.51280964613716,0.9751653172805302,0.22333008099516186,12.79587107933761
645.0,1295.0,354.0,1295.0,645.0,1295.0,84681.0,4489.0,89170.0,291.0,67.0,298.6134625230417,0.9745039541797141,0.22629684006392856,12.965853852810104
649.0,1295.0,353.0,1295.0,649.0,1295.0,87616.0,4356.0,91972.0,296.0,66.0,303.2688576164721,0.9760316384821002,0.21938425333420367,12.569791807678728
649.0,1294.0,353.0,1294.0,649.0,1294.0,87616.0,4489.0,92105.0,296.0,67.0,303.48805577814755,0.975326687045564,0.22260030517682255,12.754058004956063
647.0,1294.0,352.0,1294.0,647.0,1294.0,87025.0,5184.0,92209.0,295.0,72.0,303.65934861288235,0.9714833458859795,0.23938766707125037,13.71590299066552
647.0,1294.0,352.0,1294.0,647.0,1294.0,87025.0,5184.0,92209.0,295.0,72.0,303.65934861288235,0.9714833458859795,0.23938766707125037,13.71590299066552
648.0,1295.0,352.0,1295.0,648.0,1295.0,87616.0,5041.0,92657.0,296.0,71.0,304.39612349699854,0.9724171142505323,0.2354172015240121,13.488412072106666
648.0,1294.0,353.0,1294.0,648.0,1294.0,87025.0,5184.0,92209.0,295.0,72.0,303.65934861288235,0.9714833458859795,0.23938766707125037,13.71590299066552
647.0,1294.0,356.0,1294.0,647.0,1294.0,84681.0,5184.0,89865.0,291.0,72.0,299.7749155616594,0.9707283194618913,0.24255148342719124,13.89717631501539
648.0,1295.0,356.0,1295.0,648.0,1295.0,85264.0,5041.0,90305.0,292.0,71.0,300.50790339024365,0.9716882541382109,0.23852193283788264,13.666300072913554
648.0,1294.0,352.0,1294.0,648.0,1294.0,87616.0,5041.0,92657.0,296.0,71.0,304.39612349699854,0.9724171142505323,0.2354172015240121,13.488412072106666
648.0,1294.0,353.0,1294.0,648.0,1294.0,87025.0,5041.0,92066.0,295.0,71.0,303.4237960345233,0.9722375234091236,0.23618592410188105,13.532456631434973
646.0,1294.0,356.0,1294.0,646.0,1294.0,84100.0,5184.0,89284.0,290.0,72.0,298.80428377116687,0.9705349479597506,0.24335528792954192,13.943230920553697
646.0,1294.0,355.0,1294.0,646.0,1294.0,84681.0,5184.0,89865.0,291.0,72.0,299.7749155616594,0.9707283194618913,0.24255148342719124,13.89717631501539
645.0,1296.0,354.0,1296.0,645.0,1296.0,84681.0,4489.0,89170.0,291.0,67.0,298.6134625230417,0.9745039541797141,0.22629684006392856,12.965853852810104
646.0,1296.0,355.0,1296.0,646.0,1296.0,84681.0,4489.0,89170.0,291.0,67.0,298.6134625230417,0.9745039541797141,0.22629684006392856,12.965853852810104
644.0,1298.0,355.0,1298.0,644.0,1298.0,83521.0,4356.0,87877.0,289.0,66.0,296.4405505324803,0.9749003619136611,0.22452325147614263,12.864234712137403
643.0,1297.0,354.0,1297.0,643.0,1297.0,83521.0,4489.0,88010.0,289.0,67.0,296.66479400158016,0.9741634526355718,0.22780945912973719,13.05252054129196
645.0,1296.0,355.0,1296.0,645.0,1296.0,84100.0,4356.0,88456.0,290.0,66.0,297.4155342277871,0.9750667555175259,0.2237746637249504,12.8213437933989
645.0,1300.0,355.0,1300.0,645.0,1300.0,84100.0,3844.0,87944.0,290.0,62.0,296.5535364820322,0.977901000406956,0.2106223016984678,12.067768958653316
643.0,1298.0,354.0,1298.0,643.0,1298.0,83521.0,4356.0,87877.0,289.0,66.0,296.4405505324803,0.9749003619136611,0.22452325147614263,12.864234712137403
642.0,1298.0,354.0,1298.0,642.0,1298.0,82944.0,4356.0,87300.0,288.0,66.0,295.4657340538831,0.9747323185282742,0.22527677921405545,12.907408671265848
638.0,1299.0,353.0,1299.0,638.0,1299.0,81225.0,3844.0,85069.0,285.0,62.0,291.6659047609096,0.9771454096893022,0.21420634998668014,12.27311979913897
642.0,1299.0,352.0,1299.0,642.0,1299.0,84100.0,3844.0,87944.0,290.0,62.0,296.5535364820322,0.977901000406956,0.2106223016984678,12.067768958653316
641.0,1299.0,354.0,1299.0,641.0,1299.0,82369.0,3844.0,86213.0,287.0,62.0,293.62050337127346,0.9774521762095678,0.21275841255929728,12.190159095550902
636.0,1300.0,354.0,1300.0,636.0,1300.0,79524.0,3249.0,82773.0,282.0,57.0,287.70297183032363,0.9801775706589259,0.19944054677423462,11.427101593945128
637.0,1298.0,354.0,1298.0,637.0,1298.0,80089.0,3364.0,83453.0,283.0,58.0,288.88232898535,0.9796376295981458,0.20214773045813636,11.582211793399377
637.0,1298.0,353.0,1298.0,637.0,1298.0,80656.0,3364.0,84020.0,284.0,58.0,289.8620361482338,0.9797764611532778,0.20145507746868818,11.542525700436876
635.0,1298.0,354.0,1298.0,635.0,1298.0,78961.0,3481.0,82442.0,281.0,59.0,287.1271495348359,0.9786605009496236,0.20695810989521557,11.857826233000532
635.0,1298.0,354.0,1298.0,635.0,1298.0,78961.0,3481.0,82442.0,281.0,59.0,287.1271495348359,0.9786605009496236,0.20695810989521557,11.857826233000532
636.0,1294.0,355.0,1294.0,636.0,1294.0,78961.0,4225.0,83186.0,281.0,65.0,288.41983288255335,0.9742741932536423,0.22731859852683464,13.024396300416397
636.0,1295.0,355.0,1295.0,636.0,1295.0,78961.0,4096.0,83057.0,281.0,64.0,288.19611378365255,0.9750304968058846,0.22393799760127822,12.830702135163994
633.0,1296.0,354.0,1296.0,633.0,1296.0,77841.0,3481.0,81322.0,279.0,59.0,285.1701246624548,0.9783633553137513,0.20839924226343773,11.940397035419355
627.0,1296.0,353.0,1296.0,627.0,1296.0,75076.0,3481.0,78557.0,274.0,59.0,280.28021692584724,0.9775930781175728,0.21209009342092458,12.151867229554327
624.0,1295.0,352.0,1295.0,624.0,1295.0,73984.0,3969.0,77953.0,272.0,63.0,279.20064469839605,0.9742097848442489,0.2276042170072764,13.04076103389665
619.0,1295.0,352.0,1295.0,619.0,1295.0,71289.0,3969.0,75258.0,267.0,63.0,274.33191575170395,0.9732735590329926,0.2317168411904506,13.27639704231597
622.0,1295.0,350.0,1295.0,622.0,1295.0,73984.0,3844.0,77828.0,272.0,62.0,278.9767015361677,0.9749918129444111,0.22411212695275146,12.840679012092762
612.0,1290.0,349.0,1290.0,612.0,1290.0,69169.0,4489.0,73658.0,263.0,67.0,271.4000736919576,0.9690491104969567,0.24944690863588342,14.292255077421567
610.0,1296.0,347.0,1296.0,610.0,1296.0,69169.0,3721.0,72890.0,263.0,61.0,269.9814808463721,0.97414088986961,0.22790934176730546,13.058243394871257
600.0,1291.0,347.0,1291.0,600.0,1291.0,64009.0,4356.0,68365.0,253.0,66.0,261.4670151281037,0.9676172723968438,0.25518239062081866,14.620873988631672
602.0,1293.0,346.0,1293.0,602.0,1293.0,65536.0,4761.0,70297.0,256.0,69.0,265.13581425375185,0.9655428887286864,0.2632748829552825,15.084539645138422
593.0,1283.0,346.0,1283.0,593.0,1283.0,61009.0,6400.0,67409.0,247.0,80.0,259.6324324887012,0.9513449365026807,0.3132245734177252,17.946446096621248
595.0,1288.0,345.0,1288.0,595.0,1288.0,62500.0,5476.0,67976.0,250.0,74.0,260.72207424765554,0.9588754643096663,0.2877830417182194,16.48875370589127
595.0,1283.0,345.0,1283.0,595.0,1283.0,62500.0,6241.0,68741.0,250.0,79.0,262.1850491542186,0.9535250038340238,0.3060702955985327,17.53653617211746
593.0,1285.0,340.0,1285.0,593.0,1285.0,64009.0,6400.0,70409.0,253.0,80.0,265.34694269955327,0.953468683023292,0.30625715774958473,17.547242584723477
588.0,1276.0,340.0,1276.0,588.0,1276.0,61504.0,7056.0,68560.0,248.0,84.0,261.83964558485025,0.9471445756278133,0.32658143469061796,18.71173787509974
586.0,1274.0,335.0,1274.0,586.0,1274.0,63001.0,8100.0,71101.0,251.0,90.0,266.6477076593759,0.9413169241291031,0.34428529192128865,19.726094175519336
576.0,1269.0,335.0,1269.0,576.0,1269.0,58081.0,9025.0,67106.0,241.0,95.0,259.04825805243314,0.930328587468131,0.3754884980810781,21.513906195751886
574.0,1274.0,339.0,1274.0,574.0,1274.0,55225.0,8836.0,64061.0,235.0,94.0,253.10274593532168,0.9284766908852593,0.3805063771123649,21.80140948635181
569.0,1269.0,353.0,1269.0,569.0,1269.0,46656.0,11664.0,58320.0,216.0,108.0,241.49534156997728,0.8944271909999159,0.46364760900080615,26.565051177077994
569.0,1271.0,366.0,1271.0,569.0,1271.0,41209.0,12769.0,53978.0,203.0,113.0,232.3316594870359,0.8737509147406033,0.5079346245988318,29.102510258074904
564.0,1266.0,371.0,1266.0,564.0,1266.0,37249.0,13924.0,51173.0,193.0,118.0,226.2144999773445,0.8531725420754596,0.5487589581892879,31.4415722742422
564.0,1267.0,371.0,1267.0,564.0,1267.0,37249.0,14884.0,52133.0,193.0,122.0,228.32652057962954,0.8452806949891336,0.5637060490380041,32.29797749587226
559.0,1262.0,366.0,1262.0,559.0,1262.0,37249.0,16129.0,53378.0,193.0,127.0,231.03679360655957,0.8353647788614409,0.5820002746720944,33.34615941416567
560.0,1260.0,360.0,1260.0,560.0,1260.0,40000.0,16129.0,56129.0,200.0,127.0,236.9155967850154,0.8441824966951679,0.5657580297420903,32.415547329858676
547.0,1251.0,360.0,1251.0,547.0,1251.0,34969.0,18496.0,53465.0,187.0,136.0,231.22499864850255,0.8087360843031886,0.628796286415433,36.02737338510361
544.0,1252.0,356.0,1252.0,544.0,1252.0,35344.0,17689.0,53033.0,188.0,133.0,230.28894893155424,0.8163657043563856,0.6157063572196424,35.277375688059735
