sho_x(coord),sho_y(coord),hip_x(coord),hip_y(coord),c_x(coord),c_y(coord),a_sq(dis),b_sq(dis),c_sq(dis),a(dis),b(dis),c(dis),cos(rad)),theta(theta),degree(deg)
594.0,1308.0,363.0,1308.0,594.0,1308.0,53361.0,2601.0,55962.0,231.0,51.0,236.56288804459587,0.976484527684887,0.21729343092302097,12.449996507806594
594.0,1309.0,362.0,1309.0,594.0,1309.0,53824.0,2500.0,56324.0,232.0,50.0,237.32677893571133,0.977555086873891,0.21227049571609036,12.1622035196818
595.0,1304.0,359.0,1304.0,595.0,1304.0,55696.0,3025.0,58721.0,236.0,55.0,242.32416305436814,0.9739020534532942,0.2289640163376585,13.11867179651226
590.0,1308.0,359.0,1308.0,590.0,1308.0,53361.0,2601.0,55962.0,231.0,51.0,236.56288804459587,0.976484527684887,0.21729343092302097,12.449996507806594
594.0,1308.0,363.0,1308.0,594.0,1308.0,53361.0,2500.0,55861.0,231.0,50.0,236.34931774811622,0.9773668999805739,0.21316188819197018,12.21327654643943
594.0,1308.0,359.0,1308.0,594.0,1308.0,55225.0,2500.0,57725.0,235.0,50.0,240.26027553467927,0.9781059289848354,0.2096398458742129,12.011478386365463
594.0,1308.0,363.0,1308.0,594.0,1308.0,53361.0,2601.0,55962.0,231.0,51.0,236.56288804459587,0.976484527684887,0.21729343092302097,12.449996507806594
589.0,1308.0,363.0,1308.0,589.0,1308.0,51076.0,2601.0,53677.0,226.0,51.0,231.68297304722245,0.9754709076265863,0.22194608770014923,12.716574104658983
593.0,1308.0,363.0,1308.0,593.0,1308.0,52900.0,2601.0,55501.0,230.0,51.0,235.58650216003463,0.9762868326121685,0.21820854074993523,12.502428438679729
593.0,1304.0,363.0,1304.0,593.0,1304.0,52900.0,3025.0,55925.0,230.0,55.0,236.48467180770933,0.9725788916544149,0.23472261248519677,13.448615051686499
593.0,1308.0,359.0,1308.0,593.0,1308.0,54756.0,2500.0,57256.0,234.0,50.0,239.28226010300054,0.9779245644841086,0.21050956212735641,12.061309457044517
593.0,1308.0,359.0,1308.0,593.0,1308.0,54756.0,2500.0,57256.0,234.0,50.0,239.28226010300054,0.9779245644841086,0.21050956212735641,12.061309457044517
588.0,1308.0,363.0,1308.0,588.0,1308.0,50625.0,2500.0,53125.0,225.0,50.0,230.4886114323222,0.9761870601839527,0.21866894587394214,12.528807709151522
592.0,1308.0,359.0,1308.0,592.0,1308.0,54289.0,2500.0,56789.0,233.0,50.0,238.30442715149042,0.9777409626212341,0.21138641644999387,12.111549508979447
592.0,1308.0,362.0,1308.0,592.0,1308.0,52900.0,2500.0,55400.0,230.0,50.0,235.3720459187964,0.9771763639228009,0.21406068356382146,12.2647737278924
592.0,1308.0,363.0,1308.0,592.0,1308.0,52441.0,2500.0,54941.0,229.0,50.0,234.39496581624786,0.9769834399068229,0.21496697296586365,12.316700285646851
592.0,1308.0,359.0,1308.0,592.0,1308.0,54289.0,2500.0,56789.0,233.0,50.0,238.30442715149042,0.9777409626212341,0.21138641644999387,12.111549508979447
592.0,1308.0,363.0,1308.0,592.0,1308.0,52441.0,2500.0,54941.0,229.0,50.0,234.39496581624786,0.9769834399068229,0.21496697296586365,12.316700285646851
593.0,1308.0,363.0,1308.0,593.0,1308.0,52900.0,2500.0,55400.0,230.0,50.0,235.3720459187964,0.9771763639228009,0.21406068356382146,12.2647737278924
593.0,1308.0,363.0,1308.0,593.0,1308.0,52900.0,2500.0,55400.0,230.0,50.0,235.3720459187964,0.9771763639228009,0.21406068356382146,12.2647737278924
593.0,1304.0,363.0,1304.0,593.0,1304.0,52900.0,3025.0,55925.0,230.0,55.0,236.48467180770933,0.9725788916544149,0.23472261248519677,13.448615051686499
593.0,1304.0,363.0,1304.0,593.0,1304.0,52900.0,2916.0,55816.0,230.0,54.0,236.25410049351524,0.973528076420892,0.23060593625955245,13.212746878335233
592.0,1304.0,363.0,1304.0,592.0,1304.0,52441.0,3025.0,55466.0,229.0,55.0,235.51220775153035,0.9723487465312166,0.23571013348567013,13.505195837194158
592.0,1304.0,363.0,1304.0,592.0,1304.0,52441.0,3025.0,55466.0,229.0,55.0,235.51220775153035,0.9723487465312166,0.23571013348567013,13.505195837194158
593.0,1304.0,363.0,1304.0,593.0,1304.0,52900.0,3025.0,55925.0,230.0,55.0,236.48467180770933,0.9725788916544149,0.23472261248519677,13.448615051686499
593.0,1304.0,363.0,1304.0,593.0,1304.0,52900.0,3025.0,55925.0,230.0,55.0,236.48467180770933,0.9725788916544149,0.23472261248519677,13.448615051686499
593.0,1304.0,363.0,1304.0,593.0,1304.0,52900.0,3025.0,55925.0,230.0,55.0,236.48467180770933,0.9725788916544149,0.23472261248519677,13.448615051686499
589.0,1304.0,359.0,1304.0,589.0,1304.0,52900.0,3025.0,55925.0,230.0,55.0,236.48467180770933,0.9725788916544149,0.23472261248519677,13.448615051686499
589.0,1304.0,360.0,1304.0,589.0,1304.0,52441.0,2916.0,55357.0,229.0,54.0,235.28068344001383,0.9733055712513895,0.23157740358968104,13.268407856286444
589.0,1304.0,360.0,1304.0,589.0,1304.0,52441.0,2916.0,55357.0,229.0,54.0,235.28068344001383,0.9733055712513895,0.23157740358968104,13.268407856286444
589.0,1304.0,360.0,1304.0,589.0,1304.0,52441.0,2916.0,55357.0,229.0,54.0,235.28068344001383,0.9733055712513895,0.23157740358968104,13.268407856286444
589.0,1308.0,360.0,1308.0,589.0,1308.0,52441.0,2500.0,54941.0,229.0,50.0,234.39496581624786,0.9769834399068229,0.21496697296586365,12.316700285646851
589.0,1308.0,360.0,1308.0,589.0,1308.0,52441.0,2500.0,54941.0,229.0,50.0,234.39496581624786,0.9769834399068229,0.21496697296586365,12.316700285646851
589.0,1308.0,359.0,1308.0,589.0,1308.0,52900.0,2500.0,55400.0,230.0,50.0,235.3720459187964,0.9771763639228009,0.21406068356382146,12.2647737278924
588.0,1308.0,360.0,1308.0,588.0,1308.0,51984.0,2500.0,54484.0,228.0,50.0,233.4180798481557,0.9767880883448261,0.21588084900915389,12.369061525925497
588.0,1304.0,360.0,1304.0,588.0,1304.0,51984.0,2916.0,54900.0,228.0,54.0,234.30749027719963,0.9730802874900094,0.232556941804909,13.324531261890783
588.0,1301.0,360.0,1301.0,588.0,1301.0,51984.0,2916.0,54900.0,228.0,54.0,234.30749027719963,0.9730802874900094,0.232556941804909,13.324531261890783
588.0,1297.0,360.0,1297.0,588.0,1297.0,51984.0,3364.0,55348.0,228.0,58.0,235.26155657055403,0.9691341132125159,0.2491023510927445,14.27251338440031
587.0,1298.0,359.0,1298.0,587.0,1298.0,51984.0,3364.0,55348.0,228.0,58.0,235.26155657055403,0.9691341132125159,0.2491023510927445,14.27251338440031
587.0,1298.0,359.0,1298.0,587.0,1298.0,51984.0,3364.0,55348.0,228.0,58.0,235.26155657055403,0.9691341132125159,0.2491023510927445,14.27251338440031
586.0,1294.0,361.0,1294.0,586.0,1294.0,50625.0,3364.0,53989.0,225.0,58.0,232.35533133543547,0.9683444692524955,0.2522854224440346,14.454889938718239
582.0,1298.0,361.0,1298.0,582.0,1298.0,48841.0,2916.0,51757.0,221.0,54.0,227.50164834567684,0.9714215330176512,0.2396482232079654,13.730831757625523
581.0,1296.0,358.0,1296.0,581.0,1296.0,49729.0,3364.0,53093.0,223.0,58.0,230.41918322917473,0.9678013647770133,0.2544520639294124,14.57902935154834
581.0,1300.0,358.0,1300.0,581.0,1300.0,49729.0,2916.0,52645.0,223.0,54.0,229.44498251214821,0.9719105537127752,0.23757922100692216,13.612286663702468
578.0,1302.0,357.0,1302.0,578.0,1302.0,48841.0,2809.0,51650.0,221.0,53.0,227.26636354727023,0.9724272283435957,0.2353738357627535,13.485927397011176
578.0,1306.0,357.0,1306.0,578.0,1306.0,48841.0,2401.0,51242.0,221.0,49.0,226.36695871968595,0.9762908917889737,0.21818978922637675,12.501354055520387
578.0,1308.0,357.0,1308.0,578.0,1308.0,48841.0,1936.0,50777.0,221.0,44.0,225.33752461585266,0.980750988441685,0.1965252380504783,11.260066708096222
578.0,1308.0,357.0,1308.0,578.0,1308.0,48841.0,1936.0,50777.0,221.0,44.0,225.33752461585266,0.980750988441685,0.1965252380504783,11.260066708096222
583.0,1309.0,356.0,1309.0,583.0,1309.0,51529.0,1936.0,53465.0,227.0,44.0,231.22499864850255,0.9817277600899668,0.19145839466754933,10.969757966800602
598.0,1317.0,356.0,1317.0,598.0,1317.0,58564.0,1296.0,59860.0,242.0,36.0,244.6630335788388,0.9891155049461909,0.14767733704782557,8.461288142571357
582.0,1314.0,356.0,1314.0,582.0,1314.0,51076.0,1600.0,52676.0,226.0,40.0,229.5125268912353,0.9846957072940081,0.17517699452316196,10.036902453963517
598.0,1322.0,356.0,1322.0,598.0,1322.0,58564.0,1024.0,59588.0,242.0,32.0,244.10653411983876,0.9913704312445623,0.13146869568686925,7.532601400947378
603.0,1330.0,353.0,1330.0,603.0,1330.0,62500.0,576.0,63076.0,250.0,24.0,251.14935795259362,0.9954236078405163,0.0957067080868034,5.48359044446442
607.0,1334.0,353.0,1334.0,607.0,1334.0,64516.0,400.0,64916.0,254.0,20.0,254.78618486880328,0.9969143347815028,0.07857803018480512,4.502189492040921
604.0,1334.0,352.0,1334.0,604.0,1334.0,63504.0,400.0,63904.0,252.0,20.0,252.79240494919938,0.996865392576337,0.07919907096945206,4.537772507906684
608.0,1338.0,349.0,1338.0,608.0,1338.0,67081.0,400.0,67481.0,259.0,20.0,259.77105304479176,0.997031797670471,0.07706713779205324,4.415621734637816
619.0,1345.0,350.0,1345.0,619.0,1345.0,72361.0,144.0,72505.0,269.0,12.0,269.2675249635574,0.9990064714874415,0.04458010930098319,2.554252113178243
618.0,1341.0,346.0,1341.0,618.0,1341.0,73984.0,256.0,74240.0,272.0,16.0,272.47018185482244,0.9982743731749958,0.05875582271572511,3.36646066342994
617.0,1342.0,343.0,1342.0,617.0,1342.0,75076.0,225.0,75301.0,274.0,15.0,274.4102767754881,0.9985048782417729,0.05468993457090813,3.133502432759651
617.0,1318.0,343.0,1318.0,617.0,1318.0,75076.0,1521.0,76597.0,274.0,39.0,276.76163028859327,0.9900216287723352,0.1413860684452654,8.100825003861493
611.0,1323.0,339.0,1323.0,611.0,1323.0,73984.0,1156.0,75140.0,272.0,34.0,274.11676344215067,0.9922778767136676,0.1243549945467616,7.1250163489018075
607.0,1312.0,335.0,1312.0,607.0,1312.0,73984.0,2025.0,76009.0,272.0,45.0,275.6972977742074,0.9865892854081021,0.1639560721362747,9.393990958951015
609.0,1308.0,335.0,1308.0,609.0,1308.0,75076.0,2401.0,77477.0,274.0,49.0,278.3469058567025,0.9843831357013886,0.17696147700693884,10.139145768898954
609.0,1293.0,332.0,1293.0,609.0,1293.0,76729.0,4624.0,81353.0,277.0,68.0,285.2244730032821,0.9711649112129748,0.24072698806558696,13.79264043105427
604.0,1291.0,329.0,1291.0,604.0,1291.0,75625.0,4356.0,79981.0,275.0,66.0,282.8091229080137,0.9723873019805175,0.2355449807208633,13.495733280795811
597.0,1277.0,325.0,1277.0,597.0,1277.0,73984.0,6400.0,80384.0,272.0,80.0,283.5207223467096,0.9593655015712707,0.2860514417173179,16.389540334034763
596.0,1277.0,325.0,1277.0,596.0,1277.0,73441.0,6889.0,80330.0,271.0,83.0,283.425475213503,0.9561596387757912,0.29720191545226277,17.028415418618582
588.0,1266.0,318.0,1266.0,588.0,1266.0,72900.0,8836.0,81736.0,270.0,94.0,285.8950856520622,0.9444023823781051,0.3350241110808168,19.19546760005288
589.0,1274.0,320.0,1274.0,589.0,1274.0,72361.0,7569.0,79930.0,269.0,87.0,282.71894170713074,0.9514749820995644,0.3128022473798661,17.92224859707344
