sho_x(coord),sho_y(coord),hip_x(coord),hip_y(coord),c_x(coord),c_y(coord),a_sq(dis),b_sq(dis),c_sq(dis),a(dis),b(dis),c(dis),cos(rad)),theta(theta),degree(deg)
471.0,761.0,558.0,761.0,471.0,761.0,7569.0,16129.0,23698.0,87.0,127.0,153.9415473483361,0.5651495746183323,0.9701817793672727,124.41267868176286
471.0,755.0,558.0,755.0,471.0,755.0,7569.0,16384.0,23953.0,87.0,128.0,154.76756766196203,0.5621332771089508,0.9738333895794951,124.20345682817566
472.0,755.0,559.0,755.0,472.0,755.0,7569.0,16384.0,23953.0,87.0,128.0,154.76756766196203,0.5621332771089508,0.9738333895794951,124.20345682817566
471.0,756.0,558.0,756.0,471.0,756.0,7569.0,16129.0,23698.0,87.0,127.0,153.9415473483361,0.5651495746183323,0.9701817793672727,124.41267868176286
466.0,756.0,558.0,756.0,466.0,756.0,8464.0,16129.0,24593.0,92.0,127.0,156.82155464093577,0.5866540489963034,0.943875331195706,125.91992713597327
466.0,760.0,558.0,760.0,466.0,760.0,8464.0,15129.0,23593.0,92.0,123.0,153.60013020827813,0.5989578255907088,0.9285973005990864,126.79529380843132
471.0,756.0,557.0,756.0,471.0,756.0,7396.0,16384.0,23780.0,86.0,128.0,154.20765220960988,0.5576895748539298,0.9791966164597852,123.89616656336392
471.0,757.0,557.0,757.0,471.0,757.0,7396.0,16129.0,23525.0,86.0,127.0,153.37861650177967,0.5607039753093752,0.9755605763361699,124.1044963165873
475.0,758.0,557.0,758.0,475.0,758.0,6724.0,16129.0,22853.0,82.0,127.0,151.17208737065187,0.5424281785495757,0.9974715681783326,122.84908895908579
470.0,757.0,557.0,757.0,470.0,757.0,7569.0,16384.0,23953.0,87.0,128.0,154.76756766196203,0.5621332771089508,0.9738333895794951,124.20345682817566
471.0,756.0,557.0,756.0,471.0,756.0,7396.0,16129.0,23525.0,86.0,127.0,153.37861650177967,0.5607039753093752,0.9755605763361699,124.1044963165873
470.0,756.0,557.0,756.0,470.0,756.0,7569.0,16384.0,23953.0,87.0,128.0,154.76756766196203,0.5621332771089508,0.9738333895794951,124.20345682817566
470.0,756.0,557.0,756.0,470.0,756.0,7569.0,16384.0,23953.0,87.0,128.0,154.76756766196203,0.5621332771089508,0.9738333895794951,124.20345682817566
470.0,756.0,557.0,756.0,470.0,756.0,7569.0,16384.0,23953.0,87.0,128.0,154.76756766196203,0.5621332771089508,0.9738333895794951,124.20345682817566
470.0,756.0,557.0,756.0,470.0,756.0,7569.0,16384.0,23953.0,87.0,128.0,154.76756766196203,0.5621332771089508,0.9738333895794951,124.20345682817566
470.0,756.0,557.0,756.0,470.0,756.0,7569.0,16384.0,23953.0,87.0,128.0,154.76756766196203,0.5621332771089508,0.9738333895794951,124.20345682817566
470.0,757.0,557.0,757.0,470.0,757.0,7569.0,16129.0,23698.0,87.0,127.0,153.9415473483361,0.5651495746183323,0.9701817793672727,124.41267868176286
470.0,757.0,557.0,757.0,470.0,757.0,7569.0,16129.0,23698.0,87.0,127.0,153.9415473483361,0.5651495746183323,0.9701817793672727,124.41267868176286
