sho_x(coord),sho_y(coord),hip_x(coord),hip_y(coord),c_x(coord),c_y(coord),a_sq(dis),b_sq(dis),c_sq(dis),a(dis),b(dis),c(dis),cos(rad)),theta(theta),degree(deg)
565.0,819.0,669.0,819.0,565.0,819.0,10816.0,22500.0,33316.0,104.0,150.0,182.5267103741258,0.5697796217705932,0.9645586626078637,124.73485953978627
565.0,814.0,669.0,814.0,565.0,814.0,10816.0,24025.0,34841.0,104.0,155.0,186.65744024817226,0.5571703965388455,0.9798219637935,123.8603368004123
566.0,814.0,669.0,814.0,566.0,814.0,10609.0,24336.0,34945.0,103.0,156.0,186.93581786270923,0.55099125024636,0.9872447324290666,123.43504348529225
565.0,814.0,663.0,814.0,565.0,814.0,9604.0,24336.0,33940.0,98.0,156.0,184.22811946062956,0.5319491958497848,1.0098955195425248,122.13724898104178
566.0,813.0,664.0,813.0,566.0,813.0,9604.0,24336.0,33940.0,98.0,156.0,184.22811946062956,0.5319491958497848,1.0098955195425248,122.13724898104178
566.0,814.0,664.0,814.0,566.0,814.0,9604.0,24025.0,33629.0,98.0,155.0,183.38211472223784,0.534403260363951,1.0069947462437252,122.30345104838725
566.0,812.0,664.0,812.0,566.0,812.0,9604.0,24336.0,33940.0,98.0,156.0,184.22811946062956,0.5319491958497848,1.0098955195425248,122.13724898104178
566.0,808.0,664.0,808.0,566.0,808.0,9604.0,25921.0,35525.0,98.0,161.0,188.48076824970764,0.5199469468957453,1.0240074859056492,121.32869286780416
572.0,807.0,664.0,807.0,572.0,807.0,8464.0,26244.0,34708.0,92.0,162.0,186.30083198955393,0.49382495514114794,1.0543133220981686,119.59229635935799
571.0,807.0,663.0,807.0,571.0,807.0,8464.0,25921.0,34385.0,92.0,161.0,185.43192821086663,0.49613893835683387,1.0516502125483735,119.74488129694222
566.0,806.0,664.0,806.0,566.0,806.0,9604.0,26244.0,35848.0,98.0,162.0,189.33568073662187,0.5175992164748087,1.0267536539728521,121.17134902771984
566.0,811.0,664.0,811.0,566.0,811.0,9604.0,26244.0,35848.0,98.0,162.0,189.33568073662187,0.5175992164748087,1.0267536539728521,121.17134902771984
566.0,811.0,664.0,811.0,566.0,811.0,9604.0,26244.0,35848.0,98.0,162.0,189.33568073662187,0.5175992164748087,1.0267536539728521,121.17134902771984
566.0,812.0,665.0,812.0,566.0,812.0,9801.0,24336.0,34137.0,99.0,156.0,184.76200908195386,0.535824439731477,1.0053124386400722,122.39984017391932
566.0,811.0,664.0,811.0,566.0,811.0,9604.0,24649.0,34253.0,98.0,157.0,185.0756602041446,0.5295131725690063,1.012769749074849,121.97256775948773
566.0,809.0,665.0,809.0,566.0,809.0,9801.0,26569.0,36370.0,99.0,163.0,190.70920271449933,0.5191149592723519,1.0249811954323904,121.27290342145022
561.0,811.0,665.0,811.0,561.0,811.0,10816.0,24336.0,35152.0,104.0,156.0,187.48866632412745,0.554700196225229,0.9827937232473292,123.69006752597977
