sho_x(coord),sho_y(coord),hip_x(coord),hip_y(coord),c_x(coord),c_y(coord),a_sq(dis),b_sq(dis),c_sq(dis),a(dis),b(dis),c(dis),cos(rad)),theta(theta),degree(deg)
577.0,811.0,670.0,811.0,577.0,811.0,8649.0,24336.0,32985.0,93.0,156.0,181.61773041198373,0.5120645423166436,1.03320968013615,120.80144597613683
583.0,805.0,669.0,805.0,583.0,805.0,7396.0,24649.0,32045.0,86.0,157.0,179.0111728356641,0.48041694067302576,1.0696662811024291,118.71263660537647
577.0,805.0,670.0,805.0,577.0,805.0,8649.0,26244.0,34893.0,93.0,162.0,186.79668091269716,0.49786751855331546,1.0496581833107783,119.8590161649231
583.0,805.0,670.0,805.0,583.0,805.0,7569.0,24336.0,31905.0,87.0,156.0,178.61970775925036,0.4870683145292205,1.0620665024793434,119.14807184571305
583.0,809.0,676.0,809.0,583.0,809.0,8649.0,22801.0,31450.0,93.0,151.0,177.341478509682,0.5244120032241789,1.0187719316492416,121.62866803010809
583.0,805.0,670.0,805.0,583.0,805.0,7569.0,26244.0,33813.0,87.0,162.0,183.88311504866346,0.47312663795681303,1.0779599298012958,118.23744553816726
583.0,809.0,676.0,809.0,583.0,809.0,8649.0,22801.0,31450.0,93.0,151.0,177.341478509682,0.5244120032241789,1.0187719316492416,121.62866803010809
578.0,808.0,677.0,808.0,578.0,808.0,9801.0,22801.0,32602.0,99.0,151.0,180.5602392554906,0.5482934693053667,0.9904740637801948,123.25001642822332
583.0,807.0,677.0,807.0,583.0,807.0,8836.0,24964.0,33800.0,94.0,158.0,183.84776310850236,0.5112925956271959,1.0341081524909712,120.74996730219641
583.0,807.0,677.0,807.0,583.0,807.0,8836.0,23104.0,31940.0,94.0,152.0,178.71765441612084,0.5259693022891472,1.0169419343230988,121.7335191534163
578.0,808.0,677.0,808.0,578.0,808.0,9801.0,22801.0,32602.0,99.0,151.0,180.5602392554906,0.5482934693053667,0.9904740637801948,123.25001642822332
584.0,809.0,677.0,809.0,584.0,809.0,8649.0,22801.0,31450.0,93.0,151.0,177.341478509682,0.5244120032241789,1.0187719316492416,121.62866803010809
584.0,807.0,677.0,807.0,584.0,807.0,8649.0,23104.0,31753.0,93.0,152.0,178.1937148162078,0.5219039296415244,1.021714867996596,121.46005019802902
583.0,807.0,677.0,807.0,583.0,807.0,8836.0,24649.0,33485.0,94.0,157.0,182.98907071188705,0.5136918813473909,1.0313140333726858,120.91005853513097
584.0,806.0,677.0,806.0,584.0,806.0,8649.0,24964.0,33613.0,93.0,158.0,183.33848477611022,0.5072584739290826,1.0387957108705745,120.48138999082394
584.0,806.0,677.0,806.0,584.0,806.0,8649.0,24964.0,33613.0,93.0,158.0,183.33848477611022,0.5072584739290826,1.0387957108705745,120.48138999082394
583.0,808.0,676.0,808.0,583.0,808.0,8649.0,22801.0,31450.0,93.0,151.0,177.341478509682,0.5244120032241789,1.0187719316492416,121.62866803010809
583.0,807.0,677.0,807.0,583.0,807.0,8836.0,23104.0,31940.0,94.0,152.0,178.71765441612084,0.5259693022891472,1.0169419343230988,121.7335191534163
583.0,807.0,677.0,807.0,583.0,807.0,8836.0,23104.0,31940.0,94.0,152.0,178.71765441612084,0.5259693022891472,1.0169419343230988,121.7335191534163
583.0,808.0,671.0,808.0,583.0,808.0,7744.0,23104.0,30848.0,88.0,152.0,175.6359872008012,0.5010362705417046,1.0460005551447893,120.06858282186244
578.0,804.0,671.0,804.0,578.0,804.0,8649.0,24649.0,33298.0,93.0,157.0,182.47739586041882,0.5096521657462596,1.0360158644964617,120.64066345575536
577.0,810.0,670.0,810.0,577.0,810.0,8649.0,22500.0,31149.0,93.0,150.0,176.49079296099274,0.5269396688616753,1.0158005994563097,121.79891282429443
577.0,806.0,670.0,806.0,577.0,806.0,8649.0,24336.0,32985.0,93.0,156.0,181.61773041198373,0.5120645423166436,1.03320968013615,120.80144597613683
576.0,805.0,669.0,805.0,576.0,805.0,8649.0,24336.0,32985.0,93.0,156.0,181.61773041198373,0.5120645423166436,1.03320968013615,120.80144597613683
571.0,805.0,669.0,805.0,571.0,805.0,9604.0,24336.0,33940.0,98.0,156.0,184.22811946062956,0.5319491958497848,1.0098955195425248,122.13724898104178
571.0,806.0,663.0,806.0,571.0,806.0,8464.0,24336.0,32800.0,92.0,156.0,181.10770276274835,0.5079850199442941,1.037952439175508,120.5297058999341
565.0,807.0,663.0,807.0,565.0,807.0,9604.0,24336.0,33940.0,98.0,156.0,184.22811946062956,0.5319491958497848,1.0098955195425248,122.13724898104178
559.0,808.0,663.0,808.0,559.0,808.0,10816.0,24336.0,35152.0,104.0,156.0,187.48866632412745,0.554700196225229,0.9827937232473292,123.69006752597977
560.0,811.0,658.0,811.0,560.0,811.0,9604.0,22801.0,32405.0,98.0,151.0,180.01388835309348,0.5444024397038469,0.9951197553681026,122.98383790731677
554.0,809.0,652.0,809.0,554.0,809.0,9604.0,24025.0,33629.0,98.0,155.0,183.38211472223784,0.534403260363951,1.0069947462437252,122.30345104838725
547.0,810.0,651.0,810.0,547.0,810.0,10816.0,24025.0,34841.0,104.0,155.0,186.65744024817226,0.5571703965388455,0.9798219637935,123.8603368004123
542.0,812.0,645.0,812.0,542.0,812.0,10609.0,22201.0,32810.0,103.0,149.0,181.13530854032848,0.5686356836224882,0.9659499870987588,124.6551425185248
537.0,816.0,641.0,816.0,537.0,816.0,10816.0,22500.0,33316.0,104.0,150.0,182.5267103741258,0.5697796217705932,0.9645586626078637,124.73485953978627
531.0,810.0,641.0,810.0,531.0,810.0,12100.0,24336.0,36436.0,110.0,156.0,190.8821626030049,0.5762717610695614,0.9566368995028861,125.18874313200394
520.0,819.0,629.0,819.0,520.0,819.0,11881.0,22201.0,34082.0,109.0,149.0,184.6131089603336,0.5904239445066709,0.9392123136304887,126.1870983622556
513.0,815.0,626.0,815.0,513.0,815.0,12769.0,23104.0,35873.0,113.0,152.0,189.40168953839878,0.5966155860351535,0.9315190577188341,126.62788945670746
501.0,825.0,619.0,825.0,501.0,825.0,13924.0,21316.0,35240.0,118.0,146.0,187.72320048411703,0.6285850640501082,0.891063745497304,128.94580810588516
497.0,823.0,614.0,823.0,497.0,823.0,13689.0,22500.0,36189.0,117.0,150.0,190.23406634985227,0.6150317986938771,0.9083700329617453,127.95423087513251
486.0,829.0,603.0,829.0,486.0,829.0,13689.0,21025.0,34714.0,117.0,145.0,186.31693428134759,0.6279622432136219,0.8918642942741357,128.89994003967834
476.0,830.0,593.0,830.0,476.0,830.0,13689.0,21316.0,35005.0,117.0,146.0,187.09623192357455,0.6253466400530845,0.8952206602243113,128.70763443623187
