sho_x(coord),sho_y(coord),hip_x(coord),hip_y(coord),c_x(coord),c_y(coord),a_sq(dis),b_sq(dis),c_sq(dis),a(dis),b(dis),c(dis),cos(rad)),theta(theta),degree(deg)
525.0,816.0,624.0,816.0,525.0,816.0,9801.0,23104.0,32905.0,99.0,152.0,181.39735389470266,0.5457631981636701,0.9934966784568726,123.07683336415539
525.0,810.0,624.0,810.0,525.0,810.0,9801.0,24964.0,34765.0,99.0,158.0,186.45374761586316,0.5309627790585489,1.0110600022767235,122.07052903505634
525.0,811.0,624.0,811.0,525.0,811.0,9801.0,24964.0,34765.0,99.0,158.0,186.45374761586316,0.5309627790585489,1.0110600022767235,122.07052903505634
525.0,817.0,624.0,817.0,525.0,817.0,9801.0,23104.0,32905.0,99.0,152.0,181.39735389470266,0.5457631981636701,0.9934966784568726,123.07683336415539
526.0,818.0,625.0,818.0,526.0,818.0,9801.0,22801.0,32602.0,99.0,151.0,180.5602392554906,0.5482934693053667,0.9904740637801948,123.25001642822332
525.0,811.0,624.0,811.0,525.0,811.0,9801.0,24649.0,34450.0,99.0,157.0,185.60711193270586,0.5333847338559617,1.0081993171568426,122.23443421894139
525.0,819.0,624.0,819.0,525.0,819.0,9801.0,21025.0,30826.0,99.0,145.0,175.5733464965568,0.5638669079075821,0.971735722174497,124.3236443173042
526.0,817.0,625.0,817.0,526.0,817.0,9801.0,22801.0,32602.0,99.0,151.0,180.5602392554906,0.5482934693053667,0.9904740637801948,123.25001642822332
525.0,811.0,624.0,811.0,525.0,811.0,9801.0,24964.0,34765.0,99.0,158.0,186.45374761586316,0.5309627790585489,1.0110600022767235,122.07052903505634
525.0,811.0,624.0,811.0,525.0,811.0,9801.0,22801.0,32602.0,99.0,151.0,180.5602392554906,0.5482934693053667,0.9904740637801948,123.25001642822332
525.0,813.0,624.0,813.0,525.0,813.0,9801.0,22500.0,32301.0,99.0,150.0,179.7247896090019,0.5508422083307387,0.9874233198010406,123.4248111826038
525.0,812.0,623.0,812.0,525.0,812.0,9604.0,22801.0,32405.0,98.0,151.0,180.01388835309348,0.5444024397038469,0.9951197553681026,122.98383790731677
525.0,811.0,624.0,811.0,525.0,811.0,9801.0,22801.0,32602.0,99.0,151.0,180.5602392554906,0.5482934693053667,0.9904740637801948,123.25001642822332
525.0,805.0,624.0,805.0,525.0,805.0,9801.0,24649.0,34450.0,99.0,157.0,185.60711193270586,0.5333847338559617,1.0081993171568426,122.23443421894139
524.0,806.0,623.0,806.0,524.0,806.0,9801.0,24649.0,34450.0,99.0,157.0,185.60711193270586,0.5333847338559617,1.0081993171568426,122.23443421894139
524.0,812.0,623.0,812.0,524.0,812.0,9801.0,22801.0,32602.0,99.0,151.0,180.5602392554906,0.5482934693053667,0.9904740637801948,123.25001642822332
525.0,808.0,623.0,808.0,525.0,808.0,9604.0,24649.0,34253.0,98.0,157.0,185.0756602041446,0.5295131725690063,1.012769749074849,121.97256775948773
518.0,809.0,622.0,809.0,518.0,809.0,10816.0,24025.0,34841.0,104.0,155.0,186.65744024817226,0.5571703965388455,0.9798219637935,123.8603368004123
518.0,811.0,622.0,811.0,518.0,811.0,10816.0,24025.0,34841.0,104.0,155.0,186.65744024817226,0.5571703965388455,0.9798219637935,123.8603368004123
518.0,809.0,622.0,809.0,518.0,809.0,10816.0,24336.0,35152.0,104.0,156.0,187.48866632412745,0.554700196225229,0.9827937232473292,123.69006752597977
518.0,813.0,622.0,813.0,518.0,813.0,10816.0,22500.0,33316.0,104.0,150.0,182.5267103741258,0.5697796217705932,0.9645586626078637,124.73485953978627
524.0,815.0,622.0,815.0,524.0,815.0,9604.0,22201.0,31805.0,98.0,149.0,178.33956375409244,0.5495135119604169,0.9890144828161224,123.3336442573223
518.0,815.0,622.0,815.0,518.0,815.0,10816.0,22500.0,33316.0,104.0,150.0,182.5267103741258,0.5697796217705932,0.9645586626078637,124.73485953978627
518.0,819.0,622.0,819.0,518.0,819.0,10816.0,21025.0,31841.0,104.0,145.0,178.44046626256053,0.5828274391918059,0.9485924459063165,125.64965637157621
518.0,820.0,616.0,820.0,518.0,820.0,9604.0,20736.0,30340.0,98.0,144.0,174.18381095842403,0.5626240433067091,0.973239873809732,124.23746277685754
512.0,817.0,615.0,817.0,512.0,817.0,10609.0,22201.0,32810.0,103.0,149.0,181.13530854032848,0.5686356836224882,0.9659499870987588,124.6551425185248
511.0,816.0,615.0,816.0,511.0,816.0,10816.0,22500.0,33316.0,104.0,150.0,182.5267103741258,0.5697796217705932,0.9645586626078637,124.73485953978627
506.0,815.0,616.0,815.0,506.0,815.0,12100.0,22500.0,34600.0,110.0,150.0,186.01075237738274,0.5913636636275175,0.9380474917927134,126.2538377374448
