sho_x(coord),sho_y(coord),hip_x(coord),hip_y(coord),c_x(coord),c_y(coord),a_sq(dis),b_sq(dis),c_sq(dis),a(dis),b(dis),c(dis),cos(rad)),theta(theta),degree(deg)
555.0,806.0,657.0,806.0,555.0,806.0,10404.0,22201.0,32605.0,102.0,149.0,180.56854654119581,0.5648824335900007,0.9705055553030034,124.3941276871376
555.0,806.0,656.0,806.0,555.0,806.0,10201.0,22201.0,32402.0,101.0,149.0,180.00555546982432,0.5610937936686704,0.9750897154198288,124.1314746598313
561.0,802.0,656.0,802.0,561.0,802.0,9025.0,23716.0,32741.0,95.0,154.0,180.9447429465692,0.5250221612022868,1.0180551752510576,121.66973514666302
561.0,803.0,656.0,803.0,561.0,803.0,9025.0,21904.0,30929.0,95.0,148.0,175.86642658563346,0.5401826934474175,1.0001421403294761,122.6960764459401
561.0,803.0,655.0,803.0,561.0,803.0,8836.0,21904.0,30740.0,94.0,148.0,175.32826355154492,0.5361371754666632,1.004941999686837,122.42106476250694
561.0,800.0,656.0,800.0,561.0,800.0,9025.0,24025.0,33050.0,95.0,155.0,181.79658962697843,0.5225620579292874,1.0209431441183117,121.50426671920418
562.0,799.0,657.0,799.0,562.0,799.0,9025.0,24336.0,33361.0,95.0,156.0,182.64993840677855,0.5201206243411158,1.0238041512195535,121.34034308714607
562.0,803.0,658.0,803.0,562.0,803.0,9216.0,22500.0,31716.0,96.0,150.0,178.08986495586996,0.5390536964233673,1.0014831356942346,122.61924307119283
562.0,803.0,658.0,803.0,562.0,803.0,9216.0,22500.0,31716.0,96.0,150.0,178.08986495586996,0.5390536964233673,1.0014831356942346,122.61924307119283
562.0,803.0,658.0,803.0,562.0,803.0,9216.0,22500.0,31716.0,96.0,150.0,178.08986495586996,0.5390536964233673,1.0014831356942346,122.61924307119283
556.0,804.0,658.0,804.0,556.0,804.0,10404.0,22500.0,32904.0,102.0,150.0,181.3945974939717,0.5623100214072791,0.973619668702219,124.2157021324374
556.0,805.0,658.0,805.0,556.0,805.0,10404.0,22201.0,32605.0,102.0,149.0,180.56854654119581,0.5648824335900007,0.9705055553030034,124.3941276871376
556.0,805.0,658.0,805.0,556.0,805.0,10404.0,22500.0,32904.0,102.0,150.0,181.3945974939717,0.5623100214072791,0.973619668702219,124.2157021324374
562.0,798.0,658.0,798.0,562.0,798.0,9216.0,24336.0,33552.0,96.0,156.0,183.17205026968497,0.5240974256643347,1.0191413442663497,121.6075022462489
562.0,803.0,658.0,803.0,562.0,803.0,9216.0,22500.0,31716.0,96.0,150.0,178.08986495586996,0.5390536964233673,1.0014831356942346,122.61924307119283
562.0,798.0,657.0,798.0,562.0,798.0,9025.0,24336.0,33361.0,95.0,156.0,182.64993840677855,0.5201206243411158,1.0238041512195535,121.34034308714607
562.0,804.0,658.0,804.0,562.0,804.0,9216.0,22500.0,31716.0,96.0,150.0,178.08986495586996,0.5390536964233673,1.0014831356942346,122.61924307119283
556.0,805.0,658.0,805.0,556.0,805.0,10404.0,22500.0,32904.0,102.0,150.0,181.3945974939717,0.5623100214072791,0.973619668702219,124.2157021324374
562.0,803.0,658.0,803.0,562.0,803.0,9216.0,22500.0,31716.0,96.0,150.0,178.08986495586996,0.5390536964233673,1.0014831356942346,122.61924307119283
556.0,805.0,658.0,805.0,556.0,805.0,10404.0,22201.0,32605.0,102.0,149.0,180.56854654119581,0.5648824335900007,0.9705055553030034,124.3941276871376
562.0,802.0,659.0,802.0,562.0,802.0,9409.0,22500.0,31909.0,97.0,150.0,178.63090438107287,0.5430191395833172,0.9967679688276931,122.88940223234559
