sho_x(coord),sho_y(coord),hip_x(coord),hip_y(coord),c_x(coord),c_y(coord),a_sq(dis),b_sq(dis),c_sq(dis),a(dis),b(dis),c(dis),cos(rad)),theta(theta),degree(deg)
495.0,790.0,577.0,790.0,495.0,790.0,6724.0,28561.0,35285.0,82.0,169.0,187.8430195668713,0.43653472026309903,1.1190529173524002,115.88299078390534
494.0,786.0,580.0,786.0,494.0,786.0,7396.0,27889.0,35285.0,86.0,167.0,187.8430195668713,0.45782909686129897,1.0952445182357806,117.24711157025064
495.0,791.0,577.0,791.0,495.0,791.0,6724.0,26896.0,33620.0,82.0,164.0,183.35757415498276,0.447213595499958,1.1071487177940904,116.56505117707799
495.0,787.0,576.0,787.0,495.0,787.0,6561.0,28900.0,35461.0,81.0,170.0,188.31091311976584,0.4301397017202288,1.1261488063954816,115.47642628984366
495.0,785.0,581.0,785.0,495.0,785.0,7396.0,29929.0,37325.0,86.0,173.0,193.19679086361657,0.44514196957189617,1.1094635284743757,116.43242229472584
495.0,790.0,577.0,790.0,495.0,790.0,6724.0,28224.0,34948.0,82.0,168.0,186.9438418349211,0.43863440055120556,1.1167178037017012,116.0167829407738
497.0,789.0,578.0,789.0,497.0,789.0,6561.0,28224.0,34785.0,81.0,168.0,186.50737250843463,0.43429918566000303,1.121536214183016,115.74070835623284
496.0,789.0,577.0,789.0,496.0,789.0,6561.0,28561.0,35122.0,81.0,169.0,187.40864441108366,0.43221058588058137,1.1238536076829018,115.60793148921834
497.0,791.0,578.0,791.0,497.0,791.0,6561.0,28224.0,34785.0,81.0,168.0,186.50737250843463,0.43429918566000303,1.121536214183016,115.74070835623284
496.0,785.0,577.0,785.0,496.0,785.0,6561.0,30276.0,36837.0,81.0,174.0,191.92967462067975,0.4220295801578592,1.135113453763956,114.96278983080701
496.0,789.0,577.0,789.0,496.0,789.0,6561.0,28561.0,35122.0,81.0,169.0,187.40864441108366,0.43221058588058137,1.1238536076829018,115.60793148921834
