sho_x(coord),sho_y(coord),hip_x(coord),hip_y(coord),c_x(coord),c_y(coord),a_sq(dis),b_sq(dis),c_sq(dis),a(dis),b(dis),c(dis),cos(rad)),theta(theta),degree(deg)
468.0,794.0,561.0,794.0,468.0,794.0,8649.0,25281.0,33930.0,93.0,159.0,184.20097719610501,0.5048833150379537,1.0415495459630517,120.32360686254998
461.0,790.0,561.0,790.0,461.0,790.0,10000.0,25921.0,35921.0,100.0,161.0,189.52836199366047,0.5276255170893361,1.0149934247437173,121.84516052865565
463.0,790.0,557.0,790.0,463.0,790.0,8836.0,27556.0,36392.0,94.0,166.0,190.76687343456672,0.4927480243693469,1.0555513631088533,119.52136183458164
468.0,793.0,557.0,793.0,468.0,793.0,7921.0,26244.0,34165.0,89.0,162.0,184.83776670366908,0.48150332903926674,1.068427161813987,118.78363291091748
463.0,788.0,552.0,788.0,463.0,788.0,7921.0,27889.0,35810.0,89.0,167.0,189.2353032602532,0.47031393438041147,1.08114984914788,118.05467662262086
464.0,796.0,553.0,796.0,464.0,796.0,7921.0,24336.0,32257.0,89.0,156.0,179.60233851484227,0.49553920475620683,1.0523408201733877,119.70531239472936
458.0,794.0,552.0,794.0,458.0,794.0,8836.0,25921.0,34757.0,94.0,161.0,186.43229333996834,0.5042044933094635,1.0423357780016225,120.27855908502193
453.0,794.0,547.0,794.0,453.0,794.0,8836.0,25921.0,34757.0,94.0,161.0,186.43229333996834,0.5042044933094635,1.0423357780016225,120.27855908502193
453.0,793.0,547.0,793.0,453.0,793.0,8836.0,25921.0,34757.0,94.0,161.0,186.43229333996834,0.5042044933094635,1.0423357780016225,120.27855908502193
443.0,792.0,547.0,792.0,443.0,792.0,10816.0,25600.0,36416.0,104.0,160.0,190.829767070025,0.5449883505954142,0.9944211062037128,123.02386755579664
439.0,795.0,544.0,795.0,439.0,795.0,11025.0,23716.0,34741.0,105.0,154.0,186.38937737972086,0.5633368246415098,0.9723774333163594,124.28687697720896
439.0,795.0,544.0,795.0,439.0,795.0,11025.0,23716.0,34741.0,105.0,154.0,186.38937737972086,0.5633368246415098,0.9723774333163594,124.28687697720896
434.0,795.0,544.0,795.0,434.0,795.0,12100.0,25281.0,37381.0,110.0,159.0,193.3416664870767,0.56894099445115,0.9655787812678891,124.67641104596427
434.0,796.0,539.0,796.0,434.0,796.0,11025.0,25281.0,36306.0,105.0,159.0,190.541334098405,0.5510615347417102,0.9871605077177353,123.43986920578223
435.0,798.0,539.0,798.0,435.0,798.0,10816.0,23716.0,34532.0,104.0,154.0,185.82787734890587,0.5596576869073963,0.9768236449227916,124.0321278173383
436.0,797.0,540.0,797.0,436.0,797.0,10816.0,24964.0,35780.0,104.0,158.0,189.15602025840997,0.5498106793424996,0.9886587586359528,123.35402575151679
437.0,798.0,535.0,798.0,437.0,798.0,9604.0,24964.0,34568.0,98.0,158.0,185.9247159470736,0.5270950637240572,1.015617750674292,121.80938928779315
432.0,797.0,536.0,797.0,432.0,797.0,10816.0,25281.0,36097.0,104.0,159.0,189.992105099133,0.5473911663104921,0.9915526233386481,123.18821951757045
433.0,799.0,531.0,799.0,433.0,799.0,9604.0,24964.0,34568.0,98.0,158.0,185.9247159470736,0.5270950637240572,1.015617750674292,121.80938928779315
422.0,801.0,532.0,801.0,422.0,801.0,12100.0,23716.0,35816.0,110.0,154.0,189.25115587493778,0.5812381937190965,0.9505468408120751,125.53767779197437
422.0,802.0,526.0,802.0,422.0,802.0,10816.0,23716.0,34532.0,104.0,154.0,185.82787734890587,0.5596576869073963,0.9768236449227916,124.0321278173383
422.0,803.0,521.0,803.0,422.0,803.0,9801.0,24025.0,33826.0,99.0,155.0,183.91846019364124,0.5382820185410774,1.0023990541045338,122.56676481190436
416.0,800.0,521.0,800.0,416.0,800.0,11025.0,25600.0,36625.0,105.0,160.0,191.3765920900464,0.5486564414868224,0.9900399732272263,123.27488798483492
416.0,803.0,515.0,803.0,416.0,803.0,9801.0,24025.0,33826.0,99.0,155.0,183.91846019364124,0.5382820185410774,1.0023990541045338,122.56676481190436
411.0,804.0,511.0,804.0,411.0,804.0,10000.0,24336.0,34336.0,100.0,156.0,185.29975715040752,0.5396661147204319,1.0007558630951865,122.6609127216738
404.0,805.0,504.0,805.0,404.0,805.0,10000.0,22500.0,32500.0,100.0,150.0,180.27756377319946,0.5547001962252291,0.982793723247329,123.69006752597979
401.0,803.0,506.0,803.0,401.0,803.0,11025.0,23716.0,34741.0,105.0,154.0,186.38937737972086,0.5633368246415098,0.9723774333163594,124.28687697720896
389.0,806.0,499.0,806.0,389.0,806.0,12100.0,22201.0,34301.0,110.0,149.0,185.20529150107996,0.5939355139826475,0.9348544692624182,126.4367844523209
390.0,808.0,487.0,808.0,390.0,808.0,9409.0,22201.0,31610.0,97.0,149.0,177.79201331893398,0.5455813126205821,0.993713725986874,123.06439745673256
380.0,812.0,482.0,812.0,380.0,812.0,10404.0,21904.0,32308.0,102.0,148.0,179.74426277353055,0.5674729108239481,0.9673628493566343,124.57419147411521
371.0,814.0,474.0,814.0,371.0,814.0,10609.0,20449.0,31058.0,103.0,143.0,176.23280057923384,0.5844541972973496,0.9465890778356955,125.76444090683407
360.0,813.0,468.0,813.0,360.0,813.0,11664.0,20449.0,32113.0,108.0,143.0,179.20100446147057,0.6026751932811891,0.9239470162275758,127.06173547645452
353.0,817.0,461.0,817.0,353.0,817.0,11664.0,20164.0,31828.0,108.0,142.0,178.4040358287895,0.6053674710792153,0.9205688620464573,127.25528945357709
348.0,817.0,454.0,817.0,348.0,817.0,11236.0,19881.0,31117.0,106.0,141.0,176.40011337864837,0.6009066432540645,0.9261614316393567,126.93485881927074
341.0,819.0,446.0,819.0,341.0,819.0,11025.0,19600.0,30625.0,105.0,140.0,175.0,0.6,0.9272952180016123,126.86989764584402
334.0,819.0,434.0,819.0,334.0,819.0,10000.0,19600.0,29600.0,100.0,140.0,172.04650534085255,0.5812381937190964,0.9505468408120752,125.53767779197437
327.0,821.0,426.0,821.0,327.0,821.0,9801.0,19600.0,29401.0,99.0,140.0,171.46719802924406,0.577369905952014,0.9552925678959812,125.26576765934564
316.0,821.0,417.0,821.0,316.0,821.0,10201.0,17956.0,28157.0,101.0,134.0,167.80047675736802,0.6019053220333901,0.9249114322903979,127.0064785063602
303.0,817.0,409.0,817.0,303.0,817.0,11236.0,17956.0,29192.0,106.0,134.0,170.85666507338834,0.6204030726835833,0.9015397902774386,128.3455749539934
296.0,813.0,402.0,813.0,296.0,813.0,11236.0,19321.0,30557.0,106.0,139.0,174.80560631741764,0.6063878741252829,0.9192862359300931,127.32877851673801
280.0,808.0,391.0,808.0,280.0,808.0,12321.0,19044.0,31365.0,111.0,138.0,177.1016657177453,0.6267586448165064,0.8934098880974948,128.8113840367584
276.0,809.0,382.0,809.0,276.0,809.0,11236.0,16641.0,27877.0,106.0,129.0,166.96406799069075,0.6348671380354133,0.882959781501474,129.4101310401722
271.0,801.0,378.0,801.0,271.0,801.0,11449.0,16900.0,28349.0,107.0,130.0,168.37161280928564,0.6354990500756134,0.8821416257363881,129.45700791249592
267.0,789.0,371.0,789.0,267.0,789.0,10816.0,18769.0,29585.0,104.0,137.0,172.00290695217916,0.6046409438237833,0.9214813300197706,127.20300888976539
267.0,782.0,372.0,782.0,267.0,782.0,11025.0,16641.0,27666.0,105.0,129.0,166.33099530754933,0.6312713983695757,0.8876048815047018,129.14398641457103
265.0,773.0,365.0,773.0,265.0,773.0,10000.0,18225.0,28225.0,100.0,135.0,168.00297616411441,0.5952275506257376,0.9332475286562038,126.52885536698517
257.0,761.0,360.0,761.0,257.0,761.0,10609.0,17689.0,28298.0,103.0,133.0,168.22009392459628,0.6122930834063687,0.9118386606558379,127.75549314755882
246.0,750.0,358.0,750.0,246.0,750.0,12544.0,16900.0,29444.0,112.0,130.0,171.5925406304132,0.6527090256285245,0.8596416150490297,130.7461635638808
249.0,734.0,355.0,734.0,249.0,734.0,11236.0,18769.0,30005.0,106.0,137.0,173.21951391226105,0.6119402924412488,0.9122847981052186,127.72993135462657
246.0,721.0,354.0,721.0,246.0,721.0,11664.0,19600.0,31264.0,108.0,140.0,176.81628884240274,0.6108034542918211,0.9137213910832431,127.64762064010765
244.0,708.0,350.0,708.0,244.0,708.0,11236.0,19321.0,30557.0,106.0,139.0,174.80560631741764,0.6063878741252829,0.9192862359300931,127.32877851673801
247.0,698.0,348.0,698.0,247.0,698.0,10201.0,17956.0,28157.0,101.0,134.0,167.80047675736802,0.6019053220333901,0.9249114322903979,127.0064785063602
